,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-03-01,0.10235727349211618,0.11391370058762332,1.0,0
1,2,15,2020-03-02,0.15827247559354202,0.0130406296689273,0.8867628174870564,0
2,3,16,2020-03-03,0.2150182923922845,0.0003249487839439011,0.03964375164115593,1
3,4,17,2020-03-04,0.2711687251645237,6.82242257347122e-09,2.1831752235107902e-06,1
4,5,18,2020-03-05,0.23213185854191573,2.15263481166814e-11,1.0354173444123753e-08,1
5,6,19,2020-03-06,0.21058049050334013,1.3201205074802156e-11,6.508194101877463e-09,1
6,7,20,2020-03-07,0.19356988513172707,7.000420180867116e-11,3.129187820847601e-08,1
7,8,21,2020-03-08,0.17726771909268704,4.586502588494237e-10,1.8024955172782352e-07,1
8,9,22,2020-03-09,0.15955429894457984,1.6279964022277199e-09,5.779387227908405e-07,1
9,10,23,2020-03-10,0.14185542127141088,4.039245346595147e-09,1.37334341784235e-06,1
10,11,24,2020-03-11,0.12490147877796812,7.93964990400718e-09,2.500989719762262e-06,1
11,12,25,2020-03-12,0.10907246896248206,1.3029067345906167e-08,3.9608364731554745e-06,1
12,13,26,2020-03-13,0.09456182799340443,1.735351218117482e-08,5.101932581265397e-06,1
13,14,27,2020-03-14,0.08149697219007251,1.8360204122998285e-08,5.3611796039155e-06,1
14,15,28,2020-03-15,0.06999844605518203,1.675412547789887e-08,4.952700233170431e-06,1
15,16,29,2020-03-16,0.06003585050536594,1.6732095382332538e-08,4.952700233170431e-06,1
16,17,30,2020-03-17,0.05132170874393535,2.5057988546951962e-08,7.1164687473343576e-06,1
17,18,31,2020-03-18,0.04340734194154156,6.962157639653037e-08,1.8171231439494427e-05,1
18,19,32,2020-03-19,0.035967282872169715,3.577727049912794e-07,8.192994944300299e-05,1
19,20,33,2020-03-20,0.028865721647538107,2.9060039279269918e-06,0.0005521407463061285,1
20,21,34,2020-03-21,0.022080965162045607,3.4155583924061895e-05,0.005362426676077717,1
21,22,35,2020-03-22,0.01555875421921409,0.0006100433749736271,0.06710477124709899,0
