,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.10367917872434416,4.4571119332286794e-10,2.1706135114823669e-07,1
1,2,15,2020-02-03,0.09315052260752303,9.196911819190408e-11,4.635243556871966e-08,1
2,3,16,2020-02-04,0.08487643819972125,2.301102585207582e-11,1.210379959819188e-08,1
3,4,17,2020-02-05,0.07815393196006079,6.5804866125415965e-12,3.573204230610087e-09,1
4,5,18,2020-02-06,0.07256809153389124,2.1366405687766033e-12,1.2050652807900041e-09,1
5,6,19,2020-02-07,0.06783741938709105,7.876549876154571e-13,4.5605223782934965e-10,1
6,7,20,2020-02-08,0.06376096039559082,3.2886738129423896e-13,1.9370288758230675e-10,1
7,8,21,2020-02-09,0.060191699529632624,1.5423662080982094e-13,9.238773586508275e-11,1
8,9,22,2020-02-10,0.057021766017339076,8.026728034798765e-14,4.968544653540436e-11,1
9,10,23,2020-02-11,0.05417237322777397,4.580398722850894e-14,2.8764903979503615e-11,1
10,11,24,2020-02-12,0.051585228912673114,2.8293656272445234e-14,1.7938178076730278e-11,1
11,12,25,2020-02-13,0.049217537363640915,1.8644616564695927e-14,1.1988488451099482e-11,1
12,13,26,2020-02-14,0.04703794151746908,1.2837834213126012e-14,8.30607873589253e-12,1
13,14,27,2020-02-15,0.0450239656450976,9.005851996247903e-15,5.88082135354988e-12,1
14,15,28,2020-02-16,0.0431597355101877,6.2668264236938625e-15,4.129838613214256e-12,1
15,16,29,2020-02-17,0.04143354059646679,4.199690478614161e-15,2.7843947873211888e-12,1
16,17,30,2020-02-18,0.039837174770843066,2.6352543793820627e-15,1.7867024692210386e-12,1
17,18,31,2020-02-19,0.038365374655102265,1.5168822292867144e-15,1.05271626712498e-12,1
18,19,32,2020-02-20,0.03701481831127933,7.918050862637729e-16,5.582225858159598e-13,1
19,20,33,2020-02-21,0.03578265691072378,3.7334841097846824e-16,2.673174622605833e-13,1
20,21,34,2020-02-22,0.03466529403517675,1.5912382843542748e-16,1.1552389944412034e-13,1
21,22,35,2020-02-23,0.03365806026231079,6.159634027595112e-17,4.551969546392788e-14,1
22,23,36,2020-02-24,0.032755006930629015,2.1902516699933013e-17,1.642688752494976e-14,1
23,24,37,2020-02-25,0.031948483171533607,7.298904571541642e-18,5.5544663789431894e-15,1
24,25,38,2020-02-26,0.03122910549029531,2.340164813450278e-18,1.8159678952374158e-15,1
25,26,39,2020-02-27,0.030587742211941566,7.340050777236901e-19,5.805980164794389e-16,1
26,27,40,2020-02-28,0.030019274906257824,2.1874048027865504e-19,1.7455490326236672e-16,1
27,28,41,2020-02-29,0.02952409199149179,5.574838872767093e-20,4.5156194869413455e-17,1
28,29,42,2020-03-01,0.029106306107386407,1.0203088264306665e-20,8.366532376731465e-18,1
