,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.017124757823484216,2.3221598746927062e-20,1.7973517430121546e-17,1
1,2,15,2020-02-03,0.016967082967762257,5.985053047414117e-19,4.4289392550864466e-16,1
2,3,16,2020-02-04,0.01665767089807582,4.35441863357926e-18,3.1090549043755916e-15,1
3,4,17,2020-02-05,0.016306258631638478,1.5093285184897033e-17,1.0520019773873231e-14,1
4,5,18,2020-02-06,0.015923993316605184,3.095908603856445e-17,2.092834216206957e-14,1
5,6,19,2020-02-07,0.015519938349465174,4.481724146134529e-17,2.9803465571794617e-14,1
6,7,20,2020-02-08,0.015101190543754065,5.374591763269467e-17,3.5579797472843874e-14,1
7,8,21,2020-02-09,0.014673452669926354,6.26119479304917e-17,4.126127368619403e-14,1
8,9,22,2020-02-10,0.014243196038448808,8.072114673765764e-17,5.263018767295278e-14,1
9,10,23,2020-02-11,0.013814145817394987,1.2739238434978258e-16,8.178591075256042e-14,1
10,11,24,2020-02-12,0.013382520788250812,2.6000098207046317e-16,1.6406061968646227e-13,1
11,12,25,2020-02-13,0.012938333961155554,6.989298231002377e-16,4.340354201452476e-13,1
12,13,26,2020-02-14,0.012470220567325751,2.4537409250554014e-15,1.4820595187334624e-12,1
13,14,27,2020-02-15,0.01196629997762723,1.0724870526518344e-14,6.1453508116950114e-12,1
14,15,28,2020-02-16,0.011414895801910309,5.394879150824054e-14,2.9078398622941652e-11,1
15,16,29,2020-02-17,0.010809024155655022,2.9848055135466095e-13,1.5162812008816776e-10,1
16,17,30,2020-02-18,0.01014964445343471,1.7805766568113632e-12,8.261875687604725e-10,1
17,18,31,2020-02-19,0.009442137130450398,1.1027652999176605e-11,4.642641912653351e-09,1
18,19,32,2020-02-20,0.008692041098886364,6.681635501855054e-11,2.5323398552030654e-08,1
19,20,33,2020-02-21,0.007904589533900391,3.838251868596093e-10,1.274299620373903e-07,1
20,21,34,2020-02-22,0.007083314215587472,2.117984535338707e-09,6.311593915309347e-07,1
21,22,35,2020-02-23,0.0062309645728369405,1.1780103158408662e-08,3.16884774961193e-06,1
22,23,36,2020-02-24,0.0053522762654899655,7.28941638873115e-08,1.705723434963089e-05,1
23,24,37,2020-02-25,0.0044514945408034605,5.856333861545269e-07,0.00011595541045859632,1
24,25,38,2020-02-26,0.0035304926676910436,7.281199197982403e-06,0.0011504294732812197,1
25,26,39,2020-02-27,0.0025903521590222123,0.00016040288121592835,0.019599160430476624,1
26,27,40,2020-02-28,0.0016327935740514715,0.006140573437271031,0.436623688493811,0
