,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.024881634154020834,3.441396753660933e-11,1.5073317781034887e-08,-1
1,2,15,2020-02-03,-0.026974951941589154,3.138298670415145e-12,1.578564231218818e-09,-1
2,3,16,2020-02-04,-0.028707890194963875,5.968449812055613e-13,3.1990890992618084e-10,-1
3,4,17,2020-02-05,-0.0302576561180636,7.642606377858112e-14,4.49385255018057e-11,-1
4,5,18,2020-02-06,-0.031563561572984226,5.711208973580965e-15,3.717997041801208e-12,-1
5,6,19,2020-02-07,-0.03257237653622881,2.0434568304367448e-16,1.4672020042535826e-13,-1
6,7,20,2020-02-08,-0.03324313486076202,3.0049714433453616e-18,2.310823039932583e-15,-1
7,8,21,2020-02-09,-0.033548759051995315,6.201485819072665e-20,5.0108005418107137e-17,-1
8,9,22,2020-02-10,-0.033479568228897874,1.936918416320709e-19,1.5340393857260016e-16,-1
9,10,23,2020-02-11,-0.03304371800785191,1.58966831182787e-17,1.1938409021827305e-14,-1
10,11,24,2020-02-12,-0.03226597222793148,7.449783705442944e-16,5.177599675282846e-13,-1
11,12,25,2020-02-13,-0.0311939081509313,1.2551095278629323e-14,8.007598787765508e-12,-1
12,13,26,2020-02-14,-0.029894614722962225,9.122076706365397e-14,5.34048840073538e-11,-1
13,14,27,2020-02-15,-0.028447197472670903,3.361519390305594e-13,1.8320280677165488e-10,-1
14,15,28,2020-02-16,-0.026941502028091133,6.615427995439646e-13,3.532638549564771e-10,-1
15,16,29,2020-02-17,-0.025473907470906908,6.672885698495804e-13,3.5566480772982635e-10,-1
16,17,30,2020-02-18,-0.024129603838697618,3.224700235340972e-13,1.760686328496171e-10,-1
17,18,31,2020-02-19,-0.022971297010377513,6.84727096131301e-14,4.046737138135989e-11,-1
18,19,32,2020-02-20,-0.022035602071344376,5.602089384955302e-15,3.6525622789908565e-12,-1
19,20,33,2020-02-21,-0.021331395928748446,1.514643978382143e-16,1.0981168843270537e-13,-1
20,21,34,2020-02-22,-0.020832413773394627,1.1838032969678163e-18,9.20998965040961e-16,-1
21,22,35,2020-02-23,-0.02047641920389988,2.930282458786911e-21,2.432134440793136e-18,-1
22,23,36,2020-02-24,-0.020167327608524552,1.530893589487076e-22,1.3012595510640147e-19,-1
23,24,37,2020-02-25,-0.01979186993261981,1.6709151546885753e-19,1.3267066328227288e-16,-1
24,25,38,2020-02-26,-0.01923410911431412,3.923840436304166e-16,2.766307507594437e-13,-1
