,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.013393743112475272,1.152571904638547e-15,7.998849018191516e-13,-1
1,2,15,2020-02-03,-0.013733682527971454,2.8140142116359407e-15,1.9191576923357115e-12,-1
2,3,16,2020-02-04,-0.014161451473438301,8.803008133042517e-16,6.223726750061059e-13,-1
3,4,17,2020-02-05,-0.014532369146131801,9.32628593088754e-17,6.957409304442105e-14,-1
4,5,18,2020-02-06,-0.014798671087011796,3.0442532057382805e-18,2.398871526121765e-15,-1
5,6,19,2020-02-07,-0.014914492576017754,1.3004088398064553e-19,1.0702364751607126e-16,-1
6,7,20,2020-02-08,-0.014838526062788127,1.7146344462043904e-18,1.3717075569635123e-15,-1
7,8,21,2020-02-09,-0.014538819973294925,5.597192581824081e-16,4.007589888586042e-13,-1
8,9,22,2020-02-10,-0.014001292205838201,8.378510992668579e-14,5.177919793469182e-11,-1
9,10,23,2020-02-11,-0.013232009858172843,4.4864928501683024e-12,2.2432464250841513e-09,-1
10,11,24,2020-02-12,-0.012255826773068638,1.1146158203587704e-10,4.581071021674546e-08,-1
11,12,25,2020-02-13,-0.011112117916307018,1.5958939035804843e-09,5.665423357710719e-07,-1
12,13,26,2020-02-14,-0.009850380979629121,1.5135490772700304e-08,4.616324685673593e-06,-1
13,14,27,2020-02-15,-0.008528773095285474,1.0219423016520198e-07,2.6891702134921467e-05,-1
14,15,28,2020-02-16,-0.007210457472502874,4.892182444561676e-07,0.00011741237866948022,-1
15,16,29,2020-02-17,-0.005958418401659986,1.5730314446143438e-06,0.00033348266625824087,-1
16,17,30,2020-02-18,-0.004831657713509032,3.1816314922218393e-06,0.0006363262984443678,-1
17,18,31,2020-02-19,-0.003874988534562914,3.616097395463853e-06,0.0007159872843018429,-1
18,19,32,2020-02-20,-0.0031161872959802883,1.80411723284281e-06,0.00037706050166414726,-1
19,20,33,2020-02-21,-0.0025707501224933975,2.446501674953787e-07,6.165184220883542e-05,-1
