,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.008536849159869664,2.2132743472185305e-16,1.5537185917474084e-13,1
1,2,15,2020-02-03,0.008321748080881788,6.196308511607798e-15,3.978030064452206e-12,1
2,3,16,2020-02-04,0.007998258762408894,4.4989570980680166e-14,2.7351302251936383e-11,1
3,4,17,2020-02-05,0.0076428666962375345,1.502676742048411e-13,8.565257429675943e-11,1
4,5,18,2020-02-06,0.0072790926776506925,2.3813934701526746e-13,1.324054769404887e-10,1
5,6,19,2020-02-07,0.006931909116650104,1.6788709902216137e-13,9.51919851455655e-11,1
6,7,20,2020-02-08,0.006625392121092798,4.6078715049791343e-14,2.7923701320173555e-11,1
7,8,21,2020-02-09,0.006379359186895956,4.046557438522535e-15,2.6464485647937378e-12,1
8,9,22,2020-02-10,0.006206734837958827,9.421273417682256e-17,6.736210493642813e-14,1
9,10,23,2020-02-11,0.006112966571021869,1.091985675801225e-18,8.583007411797628e-16,1
10,11,24,2020-02-12,0.006096271162206706,3.2076577778673394e-19,2.5565032489602696e-16,1
11,12,25,2020-02-13,0.006148409440481883,4.677419113151601e-18,3.573548202447823e-15,1
12,13,26,2020-02-14,0.006256016710231252,5.0372527689097373e-17,3.657045510228469e-14,1
13,14,27,2020-02-15,0.006403398241028022,1.6083108358063545e-16,1.138684071750899e-13,1
14,15,28,2020-02-16,0.006574371954691453,1.8353114627778374e-16,1.2957298927211532e-13,1
15,16,29,2020-02-17,0.006755077957468112,9.280478384347755e-17,6.644822523192992e-14,1
16,17,30,2020-02-18,0.006937089113161246,2.672041179417283e-17,1.9692943492305374e-14,1
17,18,31,2020-02-19,0.007119015844626963,7.172541897763806e-18,5.443959300402729e-15,1
18,19,32,2020-02-20,0.00730813921734541,4.591487167013751e-18,3.5124876827655196e-15,1
19,20,33,2020-02-21,0.007518823186862936,1.60028186388623e-17,1.1970108341869002e-14,1
20,21,34,2020-02-22,0.007769469351720185,2.1237117792633014e-16,1.4950930926013642e-13,1
21,22,35,2020-02-23,0.008076218034919022,3.625383295465436e-15,2.3782514418253257e-12,1
22,23,36,2020-02-24,0.0084481205661872,3.972198800266248e-14,2.4309856657629437e-11,1
23,24,37,2020-02-25,0.008885766423875613,2.214301385760826e-13,1.2377944746403019e-10,1
24,25,38,2020-02-26,0.009382391250442799,6.186718954076236e-13,3.2975212025226337e-10,1
25,26,39,2020-02-27,0.009924515624780247,8.996862169287164e-13,4.723352638875761e-10,1
26,27,40,2020-02-28,0.01049434989332573,7.124396260789478e-13,3.775930018218423e-10,1
27,28,41,2020-02-29,0.011069439651327978,3.0841266776307833e-13,1.6870172926640384e-10,1
28,29,42,2020-03-01,0.011620355072130389,6.884645182329188e-14,4.061940657574221e-11,1
