,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.015949053680509542,4.055525291927258e-10,1.4721556809695947e-07,1
1,2,15,2020-02-03,0.017835115146323268,1.3323766013869145e-10,5.289535107506051e-08,1
2,3,16,2020-02-04,0.01962385525561286,1.395563204849243e-10,5.526430291203002e-08,1
3,4,17,2020-02-05,0.02154117603248912,1.1864368245391266e-10,4.7457472981565064e-08,1
4,5,18,2020-02-06,0.02355277397045998,7.51843797525395e-11,3.1126333217551354e-08,1
5,6,19,2020-02-07,0.025609323940527322,3.426883363281158e-11,1.53867063011324e-08,1
6,7,20,2020-02-08,0.027651219276501812,1.106203402475207e-11,5.464644808227522e-09,1
7,8,21,2020-02-09,0.029616619059765217,2.5001289102511568e-12,1.3425692248048712e-09,1
8,9,22,2020-02-10,0.031447468624784515,3.933389280346652e-13,2.2892325611617515e-10,1
9,10,23,2020-02-11,0.03309546293451663,4.309257204515329e-14,2.7320690676627185e-11,1
10,11,24,2020-02-12,0.03452789113778969,3.191265999289071e-15,2.1860172095130137e-12,1
11,12,25,2020-02-13,0.035723041526243705,1.4829394641640069e-16,1.075131111518905e-13,1
12,13,26,2020-02-14,0.03667006248555073,3.894476520829191e-18,3.006535874080135e-15,1
13,14,27,2020-02-15,0.03737248440192077,5.1387377795254984e-20,4.1726550769747047e-17,1
14,15,28,2020-02-16,0.03784894543507377,3.0197315940116092e-22,2.521475880999694e-19,1
15,16,29,2020-02-17,0.03813094534936299,7.185396987991328e-25,6.114772836780621e-22,1
16,17,30,2020-02-18,0.038254804938063824,2.4317706925955043e-27,2.0986181077099202e-24,1
17,18,31,2020-02-19,0.03825245154444864,2.8131207387596367e-27,2.4249100768108067e-24,1
18,19,32,2020-02-20,0.03814913716305763,1.1482212137954643e-25,9.805809165813266e-23,1
19,20,33,2020-02-21,0.037966790380331156,2.295338947910877e-24,1.9464474278284235e-21,1
20,21,34,2020-02-22,0.037718627421267095,1.9194544772393596e-23,1.6200195787900195e-20,1
