,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.04772435003512535,4.20395167045598e-14,3.0520689127510414e-11,1
1,2,15,2020-02-03,0.0454844907485961,2.22915990048748e-14,1.633974207057323e-11,1
2,3,16,2020-02-04,0.04345296336645145,1.1848205983962151e-14,8.803217046083879e-12,1
3,4,17,2020-02-05,0.041608634256936006,6.575285774583864e-15,4.924889045163314e-12,1
4,5,18,2020-02-06,0.03992420363661973,3.802503410025373e-15,2.886100088209258e-12,1
5,6,19,2020-02-07,0.038377672381218704,2.2882351309474235e-15,1.7688057562223583e-12,1
6,7,20,2020-02-08,0.03695107634784292,1.430721975080383e-15,1.1116709746374576e-12,1
7,8,21,2020-02-09,0.03562950628870879,9.269288098609322e-16,7.23931400501388e-13,1
8,9,22,2020-02-10,0.03595022584460106,6.863428380126877e-15,5.126980999954777e-12,1
9,10,23,2020-02-11,0.03532902406770324,5.9300650077037386e-15,4.459408885793211e-12,1
10,11,24,2020-02-12,0.03389886240301661,2.31654729368474e-13,1.6401154839287956e-10,1
11,12,25,2020-02-13,0.031789953542023026,3.2154479770696844e-11,2.1511346966596188e-08,1
12,13,26,2020-02-14,0.02912988812956022,2.181409124312295e-09,1.3851947939383073e-06,1
13,14,27,2020-02-15,0.026043569148652274,6.71871031462819e-08,3.910289403113606e-05,1
14,15,28,2020-02-16,0.02265291971657694,1.1501358783726025e-06,0.0006187731025644602,1
15,16,29,2020-02-17,0.019076599425120973,1.2929362679255173e-05,0.006684480505174924,1
16,17,30,2020-02-18,0.01543006483147119,0.00010731735549143698,0.053444043034735614,0
17,18,31,2020-02-19,0.011825996148561084,0.0007153321538130935,0.3304834550616492,0
18,19,32,2020-02-20,0.008374502885009205,0.004087309301308495,1.0,0
19,20,33,2020-02-21,-0.0004768790096882367,0.9108397920596701,1.0,0
20,21,34,2020-02-22,-0.008796138688718445,0.08507117757689159,1.0,0
21,22,35,2020-02-23,-0.016389781564314237,0.0038008924639503115,1.0,0
22,23,36,2020-02-24,-0.021269403789478118,0.0006335466627564139,0.293965651518976,0
23,24,37,2020-02-25,-0.02568353097005422,9.355317324720096e-05,0.04691320982094133,-1
24,25,38,2020-02-26,-0.029533163190001738,1.2333868532111066e-05,0.006388943899633532,-1
25,26,39,2020-02-27,-0.03272367665094153,1.5565821998548343e-06,0.0008281017303227718,-1
26,27,40,2020-02-28,-0.03516010867588171,2.27912696031195e-07,0.0001280240411496506,-1
27,28,41,2020-02-29,-0.036745497203183354,5.526940738761797e-08,3.2277333914368896e-05,-1
28,29,42,2020-03-01,-0.03738046606111035,3.181941952168316e-08,1.8900735195879797e-05,-1
29,30,43,2020-03-02,-0.03696325294551501,4.2042336681446445e-08,2.484702097873485e-05,-1
30,31,44,2020-03-03,-0.03538996460773695,7.176154949255783e-08,4.1334652507713315e-05,-1
31,32,45,2020-03-04,-0.03255511719284613,4.7402425063351814e-08,2.792002836231422e-05,-1
32,33,46,2020-03-05,-0.02835278489650596,7.063511149636669e-17,5.707317008906429e-14,-1
33,34,47,2020-03-06,-0.02921015649698551,2.006196139962113e-16,1.598938323549804e-13,-1
34,35,48,2020-03-07,-0.03018507547908117,6.047191120662618e-16,4.740997838599493e-13,-1
35,36,49,2020-03-08,-0.031341846992287696,2.327037200817022e-15,1.7964727190307409e-12,-1
36,37,50,2020-03-09,-0.03284422695960883,2.1698690866375256e-14,1.5926839095919438e-11,-1
37,38,51,2020-03-10,-0.03526040517839689,2.389385972678315e-12,1.6295612333666108e-09,-1
38,39,52,2020-03-11,-0.04028529543918659,3.74244308931403e-09,2.3390269308212688e-06,-1
39,40,53,2020-03-12,-0.04620910496636258,2.5620097625591537e-08,1.5320818380103738e-05,-1
40,41,54,2020-03-13,-0.0509487447982087,1.2445061087409603e-08,7.5665971411450385e-06,-1
41,42,55,2020-03-14,-0.054583036018187724,2.9293890691367474e-09,1.8396563354178774e-06,-1
42,43,56,2020-03-15,-0.05725778284487564,5.536863960194723e-10,3.5657403903654016e-07,-1
43,44,57,2020-03-16,-0.05897540652180804,1.2562865290652518e-10,8.266365361249356e-08,-1
44,45,58,2020-03-17,-0.0596771012291104,5.984777352273834e-11,3.967907384557552e-08,-1
45,46,59,2020-03-18,-0.059344314470703485,8.516363933723242e-11,5.629316560191063e-08,-1
46,47,60,2020-03-19,-0.05800697734713371,2.668451478766359e-10,1.7481366157242056e-07,-1
47,48,61,2020-03-20,-0.05573360060992024,9.789305058759852e-10,6.255365932547545e-07,-1
48,49,62,2020-03-21,-0.052625025208974205,2.4736897202106498e-09,1.5658455928933414e-06,-1
49,50,63,2020-03-22,-0.048835147591353906,2.4979215861064963e-09,1.5786864424193056e-06,-1
50,51,64,2020-03-23,-0.044668096779633626,2.8149243183434114e-10,1.8409605041965912e-07,-1
51,52,65,2020-03-24,-0.04097279638313457,3.78521111111253e-15,2.878055714547358e-12,-1
52,53,66,2020-03-25,-0.04010004094726148,1.026237010691414e-18,8.569079039273306e-16,-1
53,54,67,2020-03-26,-0.04108157142730344,3.695157854619308e-18,3.0632858614794066e-15,-1
54,55,68,2020-03-27,-0.04209576032479546,3.0372784549378676e-17,2.4875310545941135e-14,-1
55,56,69,2020-03-28,-0.04320412654904725,2.5231378267819797e-16,1.998325158811328e-13,-1
56,57,70,2020-03-29,-0.04455645976730748,1.0916420904093042e-15,8.492975463384386e-13,-1
57,58,71,2020-03-30,-0.046172263332653514,2.440574394194198e-15,1.8768017091353383e-12,-1
58,59,72,2020-03-31,-0.04799372797810789,3.7819391781174215e-15,2.878055714547358e-12,-1
59,60,73,2020-04-01,-0.049981396699587954,5.215826741539683e-15,3.932733363120921e-12,-1
60,61,74,2020-04-02,-0.05213152766794072,7.469665305707974e-15,5.572370318058149e-12,-1
61,62,75,2020-04-03,-0.05447393384215819,1.2056072517047402e-14,8.933549735132126e-12,-1
62,63,76,2020-04-04,-0.05706526477954793,2.3148640192382137e-14,1.6944804620823726e-11,-1
63,64,77,2020-04-05,-0.059988610543695337,5.519772367484577e-14,3.996315194058834e-11,-1
64,65,78,2020-04-06,-0.06336024546312306,1.6673362567673945e-13,1.1904780873319198e-10,-1
65,66,79,2020-04-07,-0.06734644367927567,6.384808231481228e-13,4.443826529110935e-10,-1
66,67,80,2020-04-08,-0.07218840162779012,3.065645389034661e-12,2.0846388645435693e-09,-1
67,68,81,2020-04-09,-0.078243252898732,1.8005079855935463e-11,1.2081408583332695e-08,-1
68,69,82,2020-04-10,-0.08604783994641627,1.2457103652766626e-10,8.209231307173207e-08,-1
69,70,83,2020-04-11,-0.09642828651829216,9.687136703563127e-10,6.199767490280401e-07,-1
70,71,84,2020-04-12,-0.11071184194902882,8.08817104112694e-09,4.974225190293068e-06,-1
71,72,85,2020-04-13,-0.1312160113472159,7.136884709713654e-08,4.1179824775047785e-05,-1
72,73,86,2020-04-14,-0.16287004518805331,7.479953915205772e-07,0.0004106494699447969,-1
73,74,87,2020-04-15,-0.22532377803296927,2.3720941554379263e-05,0.012192563958950941,-1
74,75,88,2020-04-16,-0.1354125606097407,0.07849646674000121,1.0,0
75,76,89,2020-04-17,-0.052427413583196684,0.5522053262100786,1.0,0
76,77,90,2020-04-18,0.023133953573150255,0.8071840955203965,1.0,0
77,78,91,2020-04-19,0.09070360870440479,0.35724133789345913,1.0,0
78,79,92,2020-04-20,0.14962197856546952,0.13567708964809555,1.0,0
79,80,93,2020-04-21,0.1991016320980654,0.047959447661779,1.0,0
80,81,94,2020-04-22,0.23817222123077478,0.01753150378627625,1.0,0
81,82,95,2020-04-23,0.26559728656107284,0.007675539149243351,1.0,0
82,83,96,2020-04-24,0.27974433443659796,0.004814763425705558,1.0,0
83,84,97,2020-04-25,0.2783719633749508,0.005037668917505388,1.0,0
84,85,98,2020-04-26,0.25825054534222835,0.009160319484782603,1.0,0
85,86,99,2020-04-27,0.21437349342007153,0.02655649513495001,1.0,0
86,87,100,2020-04-28,0.13766710615392858,0.10886430106296381,1.0,0
87,88,101,2020-04-29,0.0,1.0,1.0,0
88,89,102,2020-04-30,0.0,1.0,1.0,0
