,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0020660534566152283,7.628166737680196e-11,3.1733173628749615e-08,-1
1,2,15,2020-02-03,-0.0022672174966676503,3.624268668500903e-11,1.56568406479239e-08,-1
2,3,16,2020-02-04,-0.0024651381105070674,2.9817824905275656e-11,1.3060207308510738e-08,-1
3,4,17,2020-02-05,-0.0026748316175059074,2.2049619266045784e-11,9.79047904457263e-09,-1
4,5,18,2020-02-06,-0.0028964960045007237,1.4536672995942262e-11,6.541502848174018e-09,-1
5,6,19,2020-02-07,-0.0031295029485543108,8.812613005633645e-12,4.115490273630912e-09,-1
6,7,20,2020-02-08,-0.0033730582578748755,5.2008414108148944e-12,2.4808013529587047e-09,-1
7,8,21,2020-02-09,-0.0036269067208141615,3.2284581637452787e-12,1.5819445002351865e-09,-1
8,9,22,2020-02-10,-0.0038919514802658096,2.2782594665395867e-12,1.1391297332697933e-09,-1
9,10,23,2020-02-11,-0.004170031291766168,1.8856257883325867e-12,9.503553973196236e-10,-1
10,11,24,2020-02-12,-0.0044633970500949395,1.7614691296651751e-12,8.895419104809134e-10,-1
11,12,25,2020-02-13,-0.004773550805590121,1.7187197093049016e-12,8.696721729082802e-10,-1
12,13,26,2020-02-14,-0.0051002655397631635,1.613668673874499e-12,8.197436863282455e-10,-1
13,14,27,2020-02-15,-0.005440776521152922,1.3305014397099875e-12,6.838777400109336e-10,-1
14,15,28,2020-02-16,-0.005789243444430525,8.861378197337607e-13,4.687669066391594e-10,-1
15,16,29,2020-02-17,-0.006136254271951317,4.3981873459609347e-13,2.375021166818905e-10,-1
16,17,30,2020-02-18,-0.00646958382800268,1.4808081573486245e-13,8.277717599578811e-11,-1
17,18,31,2020-02-19,-0.006774885119219435,2.987879618145397e-14,1.759861095087639e-11,-1
18,19,32,2020-02-20,-0.0070377356694993395,3.1078764076406166e-15,1.9424227547753853e-12,-1
19,20,33,2020-02-21,-0.007245222561335048,1.3770970713037102e-16,9.391802026291303e-14,-1
20,21,34,2020-02-22,-0.00738617329026549,2.3026177175881773e-18,1.6947266401448984e-15,-1
21,22,35,2020-02-23,-0.007451220806844403,5.177843573324202e-20,4.080140735779471e-17,-1
22,23,36,2020-02-24,-0.007433402248686162,1.963496267939598e-19,1.51385562258143e-16,-1
23,24,37,2020-02-25,-0.007328455299562911,2.2999287891794073e-17,1.621449796371482e-14,-1
24,25,38,2020-02-26,-0.007135748224186655,1.6970645058345527e-15,1.0844242192282792e-12,-1
25,26,39,2020-02-27,-0.006858169478327823,5.4007356755295995e-14,3.116224484780579e-11,-1
26,27,40,2020-02-28,-0.0065019146773368924,9.47129153947119e-13,4.991370641301317e-10,-1
27,28,41,2020-02-29,-0.006076363179296398,1.1144711516242123e-11,5.104277874438892e-09,-1
28,29,42,2020-03-01,-0.005593061188833658,1.0101756387523672e-10,4.151821875272229e-08,-1
29,30,43,2020-03-02,-0.00506398777739068,7.797818651921744e-10,2.783821258736063e-07,-1
30,31,44,2020-03-03,-0.004501173167463099,5.468353280094063e-09,1.6951895168291595e-06,-1
31,32,45,2020-03-04,-0.003914755264219449,3.690045942585953e-08,1.029522817981481e-05,-1
32,33,46,2020-03-05,-0.003313283930134765,2.591051777147715e-07,6.140792711840084e-05,-1
33,34,47,2020-03-06,-0.00270444945175765,2.122588859809556e-06,0.00040965964994324434,-1
34,35,48,2020-03-07,-0.002095011134117364,2.3551235311992634e-05,0.003626890238046866,-1
35,36,49,2020-03-08,-0.0014899271274667655,0.0004167575039865243,0.046676840446490724,-1
36,37,50,2020-03-09,-0.0008921006305145265,0.012322423642169653,0.8379248076675364,0
37,38,51,2020-03-10,-0.00030275416408873383,0.3307202769328489,1.0,0
38,39,52,2020-03-11,0.0002772567790656195,0.3663545029551303,1.0,0
39,40,53,2020-03-12,0.0008466427604474948,0.013454013767323721,0.8879649086433656,0
40,41,54,2020-03-13,0.0014032862514872294,0.0003880183642519979,0.044099375176359513,1
41,42,55,2020-03-14,0.001943877172517758,1.6509578189016424e-05,0.002641532510242628,1
42,43,56,2020-03-15,0.0024650828376704607,1.007244449282619e-06,0.00021152133434935,1
43,44,57,2020-03-16,0.002963951127425766,7.731534100364899e-08,2.0179304001952387e-05,1
44,45,58,2020-03-17,0.003436910327157028,6.846256982452253e-09,2.089287401513361e-06,1
45,46,59,2020-03-18,0.00388040869113639,6.711905746733089e-10,2.4522499449711065e-07,1
46,47,60,2020-03-19,0.004292406665717981,7.265820493413034e-11,3.0443787867400615e-08,1
47,48,61,2020-03-20,0.004672833801734019,8.933225008822901e-12,4.162882854111472e-09,1
48,49,62,2020-03-21,0.005023350563239453,1.3202337773452948e-12,6.812406291101722e-10,1
49,50,63,2020-03-22,0.005346273091346094,2.4515719178478975e-13,1.3557192705698872e-10,1
50,51,64,2020-03-23,0.00564318579123963,5.5831817653798516e-14,3.215912696858795e-11,1
51,52,65,2020-03-24,0.005914529051965206,1.3987072349999857e-14,8.476165844099914e-12,1
52,53,66,2020-03-25,0.006159013272582005,3.185611740698089e-15,1.9878217261956073e-12,1
53,54,67,2020-03-26,0.006372702861214006,5.178271212950351e-16,3.4280155429731324e-13,1
54,55,68,2020-03-27,0.0065486286934969395,4.594490483945281e-17,3.1793874148901345e-14,1
55,56,69,2020-03-28,0.0066781157371435616,1.7225502023947683e-18,1.2746871497721286e-15,1
56,57,70,2020-03-29,0.006753507703932,3.409226662204905e-20,2.6966982898040796e-17,1
57,58,71,2020-03-30,0.006769504297972647,7.959204770291968e-21,6.343486201922698e-18,1
58,59,72,2020-03-31,0.006723063884462899,3.203507175921513e-19,2.4442759752281144e-16,1
59,60,73,2020-04-01,0.006613138622145326,2.965497958030584e-17,2.0788140685794394e-14,1
60,61,74,2020-04-02,0.006441030332863995,1.135230070385007e-15,7.344938555390995e-13,1
61,62,75,2020-04-03,0.0062101846070764695,1.9463351474083448e-14,1.1639084181501901e-11,1
62,63,76,2020-04-04,0.0059261271835524135,1.9161538832979722e-13,1.0653815591136726e-10,1
63,64,77,2020-04-05,0.005595492142881764,1.332722745431671e-12,6.838777400109336e-10,1
64,65,78,2020-04-06,0.005224879043879224,7.659116751431388e-12,3.5921257564213208e-09,1
65,66,79,2020-04-07,0.004821088056767789,4.0908532613628476e-11,1.7549760491246616e-08,1
66,67,80,2020-04-08,0.004391164932444373,2.1953023943906137e-10,8.495820266291675e-08,1
67,68,81,2020-04-09,0.003942248095182558,1.229061657859065e-09,4.227972103035183e-07,1
68,69,82,2020-04-10,0.003481096069922316,7.219738186868196e-09,2.1826213823691907e-06,1
69,70,83,2020-04-11,0.0030146752932888993,4.344609102356669e-08,1.189799061623678e-05,1
70,71,84,2020-04-12,0.0025504881368896577,2.6240698865437987e-07,6.191940926551039e-05,1
71,72,85,2020-04-13,0.0020966726654887045,1.5946253852459913e-06,0.0003125465755082143,1
72,73,86,2020-04-14,0.001661166550241704,1.0068208627903321e-05,0.0017015272581156612,1
73,74,87,2020-04-15,0.001251680802864516,7.043166188710157e-05,0.009649137678532914,1
74,75,88,2020-04-16,0.0008757137526720696,0.0005981231989144398,0.0645973054827595,0
75,76,89,2020-04-17,0.0005404710022451421,0.006717616465811052,0.4903860020042068,0
76,77,90,2020-04-18,0.0002514041159137027,0.09627161980168134,1.0,0
77,78,91,2020-04-19,1.1055990322724787e-05,0.9238926432380008,1.0,0
78,79,92,2020-04-20,-0.00018071329252216715,0.06411642909288541,1.0,0
79,80,93,2020-04-21,-0.0003256599718680556,0.00034441421367997104,0.039952048786876644,-1
80,81,94,2020-04-22,-0.0004266743787173998,7.841980945368982e-07,0.00016823900989343553,-1
81,82,95,2020-04-23,-0.00048798867746874415,1.268307240271587e-09,4.324927689326112e-07,-1
82,83,96,2020-04-24,-0.0005158598675453522,5.210055449579964e-12,2.4808013529587047e-09,-1
83,84,97,2020-04-25,-0.0005177249067522611,3.278922869352583e-12,1.600465196252233e-09,-1
84,85,98,2020-04-26,-0.0005017966639701191,3.629924992815503e-11,1.56568406479239e-08,-1
85,86,99,2020-04-27,-0.0004771131834476264,1.56573264629195e-10,6.215958605779041e-08,-1
86,87,100,2020-04-28,-0.0004533882763843534,1.2657126954959435e-10,5.077897003740687e-08,-1
87,88,101,2020-04-29,-0.0004401702546198122,3.5632796348166565e-11,1.5429000818756124e-08,-1
88,89,102,2020-04-30,-0.00044623571854447795,1.0028122421024681e-10,4.131586437462168e-08,-1
89,90,103,2020-05-01,-0.00047819295875811696,4.801580577725727e-09,1.5269026237167811e-06,-1
90,91,104,2020-05-02,-0.0005402596935066976,1.068041614248297e-07,2.6807844517632254e-05,-1
91,92,105,2020-05-03,-0.0006345324937992617,5.187590921862305e-07,0.00011408199384163423,-1
92,93,106,2020-05-04,-0.0007604922199569597,7.785620423173255e-07,0.00016816940114054233,-1
93,94,107,2020-05-05,-0.00091396861370553,5.128632791330341e-07,0.00011343302303357344,-1
94,95,108,2020-05-06,-0.00108724034693893,1.8727000952296607e-07,4.531934230455779e-05,-1
95,96,109,2020-05-07,-0.0012702027317124953,4.342332341692256e-08,1.189799061623678e-05,-1
96,97,110,2020-05-08,-0.0014527250229054954,6.827736606252813e-09,2.089287401513361e-06,-1
97,98,111,2020-05-09,-0.001626245490533512,7.410366592730475e-10,2.65291124019751e-07,-1
98,99,112,2020-05-10,-0.001784360631099725,5.5514716233188114e-11,2.353823968287176e-08,-1
99,100,113,2020-05-11,-0.001923448222759582,2.8411445129043778e-12,1.397843100348954e-09,-1
100,101,114,2020-05-12,-0.002041992475789083,9.785317297548425e-14,5.518918955817312e-11,-1
101,102,115,2020-05-13,-0.0021398301340909533,2.381560260988114e-15,1.4932382836395475e-12,-1
102,103,116,2020-05-14,-0.0022184926698563317,4.9920110095845076e-17,3.449479607622895e-14,-1
103,104,117,2020-05-15,-0.002281720663095055,1.6005052722146343e-18,1.1923764277999025e-15,-1
104,105,118,2020-05-16,-0.002334723820422921,2.326768908629521e-19,1.7916120596447314e-16,-1
105,106,119,2020-05-17,-0.00238349656604143,2.9475476183013345e-19,2.254873928000521e-16,-1
106,107,120,2020-05-18,-0.002433738925035276,1.4446097486825594e-18,1.0791234822658718e-15,-1
107,108,121,2020-05-19,-0.0024902673924190226,9.95200878292909e-18,7.10573427101137e-15,-1
108,109,122,2020-05-20,-0.002557419465793219,6.574127066538514e-17,4.5295735488450364e-14,-1
109,110,123,2020-05-21,-0.0026381914562881603,3.800412177695735e-16,2.534874922523055e-13,-1
110,111,124,2020-05-22,-0.002734271274182181,1.866402667862777e-15,1.1832992914250007e-12,-1
111,112,125,2020-05-23,-0.002846029083672162,7.357546230469774e-15,4.495460746817032e-12,-1
112,113,126,2020-05-24,-0.0029719357503113913,2.0696689572795493e-14,1.2293833606240524e-11,-1
113,114,127,2020-05-25,-0.0031089062956458167,3.685413901629809e-14,2.1559671324534382e-11,-1
114,115,128,2020-05-26,-0.003251931568337557,3.800435670282263e-14,2.2194544314448415e-11,-1
115,116,129,2020-05-27,-0.00339364077660163,2.096129022274642e-14,1.2430045102088627e-11,-1
116,117,130,2020-05-28,-0.003525049444437948,5.726338026814808e-15,3.521697886491107e-12,-1
117,118,131,2020-05-29,-0.003636571749534142,6.742020363744142e-16,4.402539297524925e-13,-1
118,119,132,2020-05-30,-0.003717963450164393,2.9169214601583804e-17,2.047678865031183e-14,-1
119,120,133,2020-05-31,-0.003759060572265373,1.0205087630042267e-18,7.684430985421826e-16,-1
120,121,134,2020-06-01,-0.0037502577867565725,2.9018466685542894e-18,2.115446221376077e-15,-1
121,122,135,2020-06-02,-0.0036834445911611653,5.589671008782339e-16,3.683593194787562e-13,-1
122,123,136,2020-06-03,-0.003553857377624337,8.327390701017809e-14,4.7299579181781157e-11,-1
123,124,137,2020-06-04,-0.003360514962518128,5.015832206935747e-12,2.397567794915287e-09,-1
124,125,138,2020-06-05,-0.0031062240894668205,1.5680085428188705e-10,6.215958605779041e-08,-1
125,126,139,2020-06-06,-0.0027972641713314033,3.2457461921040514e-09,1.0483760200496086e-06,-1
126,127,140,2020-06-07,-0.002441761437498727,5.36247605251038e-08,1.4371435820727817e-05,-1
127,128,141,2020-06-08,-0.002048521599377782,8.356642924254183e-07,0.00017716082999418868,-1
128,129,142,2020-06-09,-0.001626493091999749,1.4487522928801291e-05,0.002346978714465809,-1
129,130,143,2020-06-10,-0.0011845266658059644,0.00032545407228904463,0.038078126457818225,-1
130,131,144,2020-06-11,-0.0007318024897221024,0.009995688378836682,0.6996981865185677,0
131,132,145,2020-06-12,-0.0002778919260318087,0.26352617003163387,1.0,0
132,133,146,2020-06-13,0.0001683545186393189,0.479839730677603,1.0,0
133,134,147,2020-06-14,0.0005995209053572067,0.01922488329816096,1.0,0
134,135,148,2020-06-15,0.001009355126070505,0.00043091240182802526,0.047831276602910804,1
135,136,149,2020-06-16,0.0013922899467379395,1.2246320820015804e-05,0.002020642935302608,1
136,137,150,2020-06-17,0.0017436364604229801,4.658535370021583e-07,0.00010435119228848347,1
137,138,151,2020-06-18,0.002060702967429646,2.107056776620364e-08,6.047252948900444e-06,1
138,139,152,2020-06-19,0.0023431278251143614,1.0207624102496664e-09,3.552253187668839e-07,1
139,140,153,2020-06-20,0.0025919323762895207,5.079372734644332e-11,2.1638127849584855e-08,1
140,141,154,2020-06-21,0.002809342906570187,2.730741533154592e-12,1.351717058911523e-09,1
141,142,155,2020-06-22,0.0029993010810170505,1.8603251800979352e-13,1.0380614504946479e-10,1
142,143,156,2020-06-23,0.0031670365044613523,2.028960181368335e-14,1.2092602680955277e-11,1
143,144,157,2020-06-24,0.00331836644374677,4.340154020919302e-15,2.690895492969967e-12,1
144,145,158,2020-06-25,0.0034589775807902464,1.843284170364927e-15,1.1704854481817286e-12,1
145,146,159,2020-06-26,0.0035938935831961783,1.3133286069654176e-15,8.431569656717981e-13,1
146,147,160,2020-06-27,0.0037264842482465465,1.193913468514628e-15,7.700741871919351e-13,1
147,148,161,2020-06-28,0.0038578804122380967,1.0143540719503833e-15,6.593301467677491e-13,1
148,149,162,2020-06-29,0.003986771322537,6.155793735891236e-16,4.0382006907446506e-13,1
149,150,163,2020-06-30,0.004109320904695436,2.2220329542714204e-16,1.5043163100417517e-13,1
150,151,164,2020-07-01,0.004219426526337264,4.197680480431129e-17,2.9173879338996344e-14,1
151,152,165,2020-07-02,0.004310493522969006,3.554470753077513e-18,2.580545766734274e-15,1
152,153,166,2020-07-03,0.004376232098220097,1.102303068860987e-19,8.586940906427088e-17,1
153,154,167,2020-07-04,0.0044109901246286625,2.285651484803346e-21,1.8422350967514966e-18,1
154,155,168,2020-07-05,0.004410073479877817,2.6767598775163652e-21,2.154791701400674e-18,1
155,156,169,2020-07-06,0.004370101696046304,3.3993752761747045e-19,2.590323960445125e-16,1
156,157,170,2020-07-07,0.004288984520586587,4.053380906040547e-17,2.8211531106042207e-14,1
157,158,171,2020-07-08,0.004165771386573028,1.916871953251877e-15,1.2114630744551864e-12,1
158,159,172,2020-07-09,0.004001347560634091,4.33515289571349e-14,2.5100535266181106e-11,1
159,160,173,2020-07-10,0.0037996716763132876,5.650402219721347e-13,3.017314785331199e-10,1
160,161,174,2020-07-11,0.0035674061457735494,4.76935155934229e-12,2.284519396924957e-09,1
161,162,175,2020-07-12,0.0033133889246666666,2.7176455735421692e-11,1.1957640523585545e-08,1
162,163,176,2020-07-13,0.0030478661673553086,1.0446899145170086e-10,4.2727817503745656e-08,1
163,164,177,2020-07-14,0.002781347756278255,2.690745602286239e-10,1.0305555656756296e-07,1
164,165,178,2020-07-15,0.0025238263975852133,4.5333410557446516e-10,1.6954695548484997e-07,1
165,166,179,2020-07-16,0.0022846129417254412,4.734047263980148e-10,1.7657996294645953e-07,1
166,167,180,2020-07-17,0.00207126657959573,2.7918999109619123e-10,1.0647394334828999e-07,1
167,168,181,2020-07-18,0.001889552852616529,8.05848320798927e-11,3.344270531315547e-08,1
168,169,182,2020-07-19,0.0017437408271403928,9.127623392582914e-12,4.244344877551055e-09,1
169,170,183,2020-07-20,0.0016364320759922185,2.91274127835257e-13,1.599094961815561e-10,1
170,171,184,2020-07-21,0.0015681846701946533,1.8690903713354682e-15,1.1832992914250007e-12,1
171,172,185,2020-07-22,0.0015366664033179581,7.040611644939915e-18,5.069240384356739e-15,1
172,173,186,2020-07-23,0.0015370714271221325,7.79134869809405e-18,5.594188365231527e-15,1
173,174,187,2020-07-24,0.0015627558176734124,2.567752270715675e-16,1.7280972781916493e-13,1
174,175,188,2020-07-25,0.0016052475893657376,2.2723952479766002e-15,1.427064215729305e-12,1
175,176,189,2020-07-26,0.0016553127726784635,4.206568606480855e-15,2.6122791046246106e-12,1
176,177,190,2020-07-27,0.0017047541283591824,2.0293356138802233e-15,1.2764521011306605e-12,1
177,178,191,2020-07-28,0.001746312391143906,2.879617041121557e-16,1.9264638005103214e-13,1
178,179,192,2020-07-29,0.0017729903506215716,1.7561091392426242e-17,1.2433252705837779e-14,1
179,180,193,2020-07-30,0.0017783896507727241,6.329801410691704e-18,4.563786817108719e-15,1
180,181,194,2020-07-31,0.0017573269292396163,2.729453158875612e-16,1.8314630696055357e-13,1
181,182,195,2020-08-01,0.00170614394227825,4.1168903425691374e-14,2.396030179375238e-11,1
182,183,196,2020-08-02,0.0016236656989210769,2.8637217865798166e-12,1.40608739721069e-09,1
183,184,197,2020-08-03,0.001511504508223218,8.815790819082859e-11,3.649737399100304e-08,1
184,185,198,2020-08-04,0.001374008980949602,1.4672228415758244e-09,4.92986874769477e-07,1
185,186,199,2020-08-05,0.0012174511333844429,1.566242181531237e-08,4.651739279147774e-06,1
186,187,200,2020-08-06,0.0010494131095277292,1.2262063221482795e-07,3.040991678927733e-05,1
187,188,201,2020-08-07,0.0008780518912863099,7.825070227601653e-07,0.00016823900989343553,1
188,189,202,2020-08-08,0.00071083419897099,4.362610747009011e-06,0.000789632545208631,1
189,190,203,2020-08-09,0.0005539847867998913,2.1516085878776504e-05,0.0033350417419713,1
190,191,204,2020-08-10,0.0004130824132296439,9.324367113343993e-05,0.012308164589614071,1
191,192,205,2020-08-11,0.00029298862715900544,0.0003535214411388708,0.04065496573097014,1
192,193,206,2020-08-12,0.00019733282767005607,0.0010969910424942352,0.11142268552102902,0
193,194,207,2020-08-13,0.00012840841425652713,0.0021841881621019006,0.19220855826496724,0
194,195,208,2020-08-14,8.7254630790562e-05,0.0016966419835693994,0.15439442050481533,0
195,196,209,2020-08-15,7.356424487191134e-05,0.0007437961954206112,0.07884239671458479,0
196,197,210,2020-08-16,8.566434067610413e-05,0.0014713867035835472,0.13831035013685344,0
197,198,211,2020-08-17,0.00011973632426245457,0.0014403517016750235,0.13816177467656326,0
198,199,212,2020-08-18,0.00016956127667183964,0.0004964487612920682,0.05411291498083543,0
199,200,213,2020-08-19,0.00022677861234030055,8.376729013454089e-05,0.01130858416816302,1
200,201,214,2020-08-20,0.00028126308459176607,7.354679282190773e-06,0.0012797141951011945,1
201,202,215,2020-08-21,0.0003222958496444616,3.5552906656070766e-07,8.177168530896276e-05,1
202,203,216,2020-08-22,0.00033927920342156936,3.697154613764254e-08,1.029522817981481e-05,1
203,204,217,2020-08-23,0.00032349787500867387,5.08533842841152e-07,0.0001134030469535769,1
204,205,218,2020-08-24,0.00026932426013261444,0.00018353841623317915,0.022575225196681037,1
205,206,219,2020-08-25,0.00017418512378767506,0.033074904897252684,1.0,0
206,207,220,2020-08-26,3.903374820301436e-05,0.6837860783548706,1.0,0
207,208,221,2020-08-27,-0.00013059389629348152,0.26081157607529193,1.0,0
208,209,222,2020-08-28,-0.0003246879868301809,0.019911822533897987,1.0,0
209,210,223,2020-08-29,-0.00052946449901576,0.00100830259386636,0.10385516716823508,0
210,211,224,2020-08-30,-0.0007290796473592111,3.8913190535974895e-05,0.005836978580396234,-1
211,212,225,2020-08-31,-0.0009074724348235943,1.0470026410226027e-06,0.00021882355197372396,-1
212,213,226,2020-09-01,-0.0010503815893886125,1.602824471083916e-08,4.728332189697552e-06,-1
213,214,227,2020-09-02,-0.0011467117642872345,1.263158458641962e-10,5.077897003740687e-08,-1
214,215,228,2020-09-03,-0.0011896483375487712,2.331094507385354e-12,1.1632161591852917e-09,-1
215,216,229,2020-09-04,-0.0011771951105111758,9.222387886379471e-12,4.279187979280075e-09,-1
216,217,230,2020-09-05,-0.001112662337847263,7.20540368791224e-10,2.6083561350242306e-07,-1
217,218,231,2020-09-06,-0.0010033984467075106,3.900586461495541e-08,1.0804624498342648e-05,-1
218,219,232,2020-09-07,-0.0008594371553289005,1.0961364251534727e-06,0.00022580410358161537,-1
219,220,233,2020-09-08,-0.0006931157375211522,1.956049372234849e-05,0.003070997514408713,-1
