,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.006955050487593019,1.732122027190805e-08,5.750645130273472e-06,-1
1,2,15,2020-02-03,-0.005857311288547425,7.399947754725086e-09,2.6047816096632303e-06,-1
2,3,16,2020-02-04,-0.005015972975831359,3.4115940554140164e-08,1.0712405334000012e-05,-1
3,4,17,2020-02-05,-0.004190362501770306,2.858073708919391e-07,7.716799014082357e-05,-1
4,5,18,2020-02-06,-0.003374959109065879,3.7720724655376133e-06,0.0008411721598148877,-1
5,6,19,2020-02-07,-0.002574158895687926,6.343140639292065e-05,0.01065647627401067,-1
6,7,20,2020-02-08,-0.0018053293143053127,0.0011155826232746168,0.13498549741622862,0
7,8,21,2020-02-09,-0.001098480250026215,0.017105172503344927,1.0,0
8,9,22,2020-02-10,-0.0004927758139424144,0.18029750771946398,1.0,0
9,10,23,2020-02-11,-3.0363685348816077e-05,0.9143307711121009,1.0,0
10,11,24,2020-02-12,0.00024886953303247973,0.2497760359394147,1.0,0
11,12,25,2020-02-13,0.000312175882746155,0.11321186640037798,1.0,0
12,13,26,2020-02-14,0.00013847394100128323,0.5809468439894845,1.0,0
13,14,27,2020-02-15,-0.0002795102030129525,0.438119889005508,1.0,0
14,15,28,2020-02-16,-0.0009326741744731498,0.0637289983597557,1.0,0
15,16,29,2020-02-17,-0.001793638559881233,0.006802665123385341,0.659858516968378,0
16,17,30,2020-02-18,-0.0028195243320885046,0.0006532079091035992,0.0842638202743643,0
17,18,31,2020-02-19,-0.003957739647222881,5.985575136695353e-05,0.01031427032670542,-1
18,19,32,2020-02-20,-0.005152406271971282,5.294033942877981e-06,0.00112762922983301,-1
19,20,33,2020-02-21,-0.006350542600620663,4.4908896317027687e-07,0.00011721221938744226,-1
20,21,34,2020-02-22,-0.007506728281093967,3.588339687470989e-08,1.1159736428034777e-05,-1
21,22,35,2020-02-23,-0.00858477744601331,2.62117089927656e-09,9.803179163294335e-07,-1
22,23,36,2020-02-24,-0.009556155442114782,1.6647346606243204e-10,7.391421893171982e-08,-1
23,24,37,2020-02-25,-0.01039961198831829,8.645575048342453e-12,4.3746609744612814e-09,-1
24,25,38,2020-02-26,-0.011100968815717985,3.383872481436076e-13,1.9491105493071799e-10,-1
25,26,39,2020-02-27,-0.011652088085440339,8.676597606097027e-15,5.639788443963067e-12,-1
26,27,40,2020-02-28,-0.012049688275823332,1.1579618609509535e-16,8.453121584941961e-14,-1
27,28,41,2020-02-29,-0.012295654251745952,6.7489241789586e-19,5.270909783766666e-16,-1
28,29,42,2020-03-01,-0.012397227395304031,8.753497032012806e-21,7.090332595930374e-18,-1
29,30,43,2020-03-02,-0.012365921894846879,4.395802106392385e-20,3.5078500809011236e-17,-1
30,31,44,2020-03-03,-0.012216351361903095,3.353699757971462e-18,2.5722877143641113e-15,-1
31,32,45,2020-03-04,-0.011965764453114393,1.0885420545758873e-16,7.968127839495495e-14,-1
32,33,46,2020-03-05,-0.011631869924486558,1.3036437626903746e-15,8.851741148667643e-13,-1
33,34,47,2020-03-06,-0.011232453412748752,7.380772630595662e-15,4.841786845670754e-12,-1
34,35,48,2020-03-07,-0.010784294016528119,2.432014100164678e-14,1.5297368690035825e-11,-1
35,36,49,2020-03-08,-0.010300216379670737,5.741349713310812e-14,3.5251887239728385e-11,-1
36,37,50,2020-03-09,-0.009784770426070896,1.242428380965706e-13,7.491843137223207e-11,-1
37,38,51,2020-03-10,-0.009232958639603061,3.4774038191752926e-13,1.9960297922066178e-10,-1
38,39,52,2020-03-11,-0.008629854881036502,1.8660625407923437e-12,1.0058077094870732e-09,-1
39,40,53,2020-03-12,-0.007950976995961848,2.3971930931781823e-11,1.1482554916323493e-08,-1
40,41,54,2020-03-13,-0.007163133683665065,6.875857401884108e-10,2.8259773921743686e-07,-1
41,42,55,2020-03-14,-0.006226997572982643,3.60470354507871e-08,1.1159736428034777e-05,-1
42,43,56,2020-03-15,-0.005106269647178848,2.8625423971682026e-06,0.0006583847513486866,-1
43,44,57,2020-03-16,-0.0037813654713676364,0.0002836826579077316,0.04141766805452882,-1
44,45,58,2020-03-17,-0.0022579202717674914,0.023525970660137875,1.0,0
45,46,59,2020-03-18,-0.0005724474088667671,0.5660784770135855,1.0,0
46,47,60,2020-03-19,0.0012113467166213843,0.2618258001431199,1.0,0
47,48,61,2020-03-20,0.0030082947325618162,0.013032058197366863,1.0,0
48,49,62,2020-03-21,0.004721449135925998,0.00040934645378975343,0.055564756736964184,0
49,50,63,2020-03-22,0.006255096615942531,1.0154240926423412e-05,0.002041002426211106,1
50,51,64,2020-03-23,0.0075241281764029284,1.728171191003198e-07,4.856161046718986e-05,1
51,52,65,2020-03-24,0.008462132701389622,1.5936468679979918e-09,6.167413379152228e-07,1
52,53,66,2020-03-25,0.009025531459489719,9.58093515659898e-12,4.809629448612688e-09,1
53,54,67,2020-03-26,0.009196683116875975,7.377518908505739e-13,4.116176587314365e-10,1
54,55,68,2020-03-27,0.008984859384753272,1.1867058859501189e-11,5.88606119431259e-09,1
55,56,69,2020-03-28,0.00842836697707459,5.898837951354658e-10,2.4362200739094735e-07,1
56,57,70,2020-03-29,0.0075906788727881196,1.583627027692459e-08,5.320986813046663e-06,1
57,58,71,2020-03-30,0.006547971313542994,2.5307941171087687e-07,6.858452057364763e-05,1
58,59,72,2020-03-31,0.005376973615349158,3.2330939826935696e-06,0.0007306792400887468,1
59,60,73,2020-04-01,0.004143960052490224,4.350291894454985e-05,0.007700016653185323,1
60,61,74,2020-04-02,0.002899238116836844,0.0007806474185535436,0.09793757644817878,0
61,62,75,2020-04-03,0.001676597120547204,0.02019071455796291,1.0,0
62,63,76,2020-04-04,0.0004956245750626676,0.42364018586421626,1.0,0
63,64,77,2020-04-05,-0.0006316842421640215,0.2877830705517557,1.0,0
64,65,78,2020-04-06,-0.001697137945471042,0.008109721188525565,0.7704235129099287,0
65,66,79,2020-04-07,-0.0026922027831729253,0.00016802778426205727,0.026044306560618877,-1
66,67,80,2020-04-08,-0.0036071805868453594,4.87485761672783e-06,0.001057844102829939,-1
67,68,81,2020-04-09,-0.004430194563047109,1.8881351524581087e-07,5.267897075358123e-05,-1
68,69,82,2020-04-10,-0.0051488134793452826,7.945784814252007e-09,2.7889704698024547e-06,-1
69,70,83,2020-04-11,-0.005750870993256067,2.8351530737282197e-10,1.2219509747768627e-07,-1
70,71,84,2020-04-12,-0.006225490389802352,6.491065067339798e-12,3.342898509679996e-09,-1
71,72,85,2020-04-13,-0.006567248565091399,7.285770264632144e-14,4.45160563169024e-11,-1
72,73,86,2020-04-14,-0.006777702953190416,3.923909583382503e-16,2.762432346701282e-13,-1
73,74,87,2020-04-15,-0.0068648892461152305,7.228006927137705e-18,5.486057257697518e-15,-1
74,75,88,2020-04-16,-0.006839007556863268,2.5903712358626872e-17,1.929826570717702e-14,-1
75,76,89,2020-04-17,-0.006709871154569681,9.352404750253237e-16,6.453159277674734e-13,-1
76,77,90,2020-04-18,-0.006487970517825087,2.165127001796928e-14,1.3705253921374554e-11,-1
77,78,91,2020-04-19,-0.006180400900940058,3.1408247433945925e-13,1.8153967016820744e-10,-1
78,79,92,2020-04-20,-0.005785985165376071,4.707264882753708e-12,2.4536698078153486e-09,-1
79,80,93,2020-04-21,-0.005292198022782373,1.1766420743253633e-10,5.2948893344641343e-08,-1
80,81,94,2020-04-22,-0.00467239634281588,6.608951756335243e-09,2.339568921742676e-06,-1
81,82,95,2020-04-23,-0.003889366675160483,8.317697351561696e-07,0.00020544712458357389,-1
82,83,96,2020-04-24,-0.002900445265016187,0.00018457225409786767,0.028239554876973754,-1
83,84,97,2020-04-25,-0.00166651681043523,0.034075910741359114,1.0,0
84,85,98,2020-04-26,-0.0001599575340139434,0.8560428535878268,1.0,0
85,86,99,2020-04-27,0.0016261665916990054,0.14021752590812867,1.0,0
86,87,100,2020-04-28,0.0036728488195923808,0.009000221433433351,0.8460208147427349,0
87,88,101,2020-04-29,0.005934267342547806,0.0006476745017127143,0.08419768522265286,0
88,89,102,2020-04-30,0.008344748510514617,5.518511540212436e-05,0.009602210079969638,1
89,90,103,2020-05-01,0.010824629517989853,4.979446813957619e-06,0.001070581065000888,1
90,91,104,2020-05-02,0.013283605974856779,4.25923400886573e-07,0.00011244377783405527,1
91,92,105,2020-05-03,0.015628954493735272,3.153753830573332e-08,1.0028937181223195e-05,1
92,93,106,2020-05-04,0.017777712874311083,1.8708578105023628e-09,7.127968258014002e-07,1
93,94,107,2020-05-05,0.01966272532245374,8.286924666613868e-11,3.778837647975924e-08,1
