,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.00752352935246981,8.678411418815435e-19,6.795196140932486e-16,-1
1,2,15,2020-02-03,-0.007559441693515094,4.546798217534638e-20,3.696546950855661e-17,-1
2,3,16,2020-02-04,-0.007436816934975166,5.607422295568123e-17,3.970054985262231e-14,-1
3,4,17,2020-02-05,-0.0072088165637839785,1.4955500827492916e-14,9.377099018838058e-12,-1
4,5,18,2020-02-06,-0.006938905033793072,2.435796615029267e-13,1.459042172402531e-10,-1
5,6,19,2020-02-07,-0.0067503732239219535,2.537947589524627e-13,1.517692658535727e-10,-1
6,7,20,2020-02-08,-0.00679112870417977,4.3134118302881574e-13,2.5405995680397246e-10,-1
7,8,21,2020-02-09,-0.007181204737588551,1.0415013125489814e-10,5.2387516021213765e-08,-1
8,9,22,2020-02-10,-0.007981839732629115,1.3118294098436557e-08,6.0737701675761265e-06,-1
9,10,23,2020-02-11,-0.009201878992563885,1.8415527202013763e-07,8.066000914482028e-05,-1
10,11,24,2020-02-12,-0.01082046521921914,5.587653468111835e-07,0.0002397103337819977,-1
11,12,25,2020-02-13,-0.012804557028907251,6.283583123943518e-07,0.0002683089993923882,-1
12,13,26,2020-02-14,-0.015107265929893374,3.4839736760055335e-07,0.00014981086806823793,-1
13,14,27,2020-02-15,-0.01766159661895822,1.0848163119356516e-07,4.784039935636224e-05,-1
14,15,28,2020-02-16,-0.02037272978411221,1.9905097939827468e-08,9.11653485644098e-06,-1
15,16,29,2020-02-17,-0.023116448097099063,2.209897288961334e-09,1.0629605959904017e-06,-1
16,17,30,2020-02-18,-0.02575111035137374,1.5981812092497525e-10,7.974924234156265e-08,-1
17,18,31,2020-02-19,-0.028149269642448505,9.12469745541825e-12,4.927336625925855e-09,-1
18,19,32,2020-02-20,-0.03023769334199467,5.692197863504476e-13,3.324009471190911e-10,-1
19,20,33,2020-02-21,-0.03202002938465735,5.28733029205418e-14,3.2411334690292124e-11,-1
20,21,34,2020-02-22,-0.033561182695386896,7.909390828409308e-15,5.006644394383092e-12,-1
21,22,35,2020-02-23,-0.03494372348602607,1.6824574230358914e-15,1.1070569843576166e-12,-1
22,23,36,2020-02-24,-0.03623260142096847,4.623657929824199e-16,3.125592760561159e-13,-1
23,24,37,2020-02-25,-0.03747071911813113,1.7461352446863954e-16,1.2118178598123583e-13,-1
24,25,38,2020-02-26,-0.03869254257998272,1.0656234394566018e-16,7.470020310590779e-14,-1
25,26,39,2020-02-27,-0.0399368907328094,1.1597774968935673e-16,8.118442478254971e-14,-1
26,27,40,2020-02-28,-0.041237874479263754,2.000410060706702e-16,1.3842837620090377e-13,-1
27,28,41,2020-02-29,-0.04258486347343183,3.441021326057274e-16,2.346776544371061e-13,-1
28,29,42,2020-03-01,-0.043922070979082524,3.7441243902238673e-16,2.5460045853522297e-13,-1
29,30,43,2020-03-02,-0.045164422648941716,1.9322697857671614e-16,1.339062961536643e-13,-1
30,31,44,2020-03-03,-0.0462163773992137,3.9736614438386816e-17,2.8332206094569798e-14,-1
31,32,45,2020-03-04,-0.04698749310613258,3.1209318854510397e-18,2.3781500967136924e-15,-1
32,33,46,2020-03-05,-0.04739880601161621,1.9590897186744655e-19,1.579026313251619e-16,-1
33,34,47,2020-03-06,-0.04738911650095,2.1589460647904525e-19,1.7336336900267334e-16,-1
34,35,48,2020-03-07,-0.04690649495520429,9.809784375465933e-18,7.288669790971188e-15,-1
35,36,49,2020-03-08,-0.04588155451285498,8.433128920260775e-16,5.616463860893676e-13,-1
36,37,50,2020-03-09,-0.044230045962707465,4.7695379783988976e-14,2.9284963187369233e-11,-1
37,38,51,2020-03-10,-0.04187097492445922,1.8524069172300094e-12,1.0503147220694152e-09,-1
38,39,52,2020-03-11,-0.03877408297215249,5.461973627475891e-11,2.7856065500127042e-08,-1
39,40,53,2020-03-12,-0.03502161658026465,1.2100418534730688e-09,5.868702989344384e-07,-1
40,41,54,2020-03-13,-0.03083577628882904,1.8525845640861998e-08,8.52188899479652e-06,-1
41,42,55,2020-03-14,-0.026507455768384758,1.77969694738484e-07,7.812869599019448e-05,-1
42,43,56,2020-03-15,-0.0223087736859869,1.0303176212635899e-06,0.00043376371855197133,-1
43,44,57,2020-03-16,-0.018436439525266694,3.6021589867294335e-06,0.0014732830255723382,-1
44,45,58,2020-03-17,-0.015012512158236735,7.46515737540772e-06,0.0030308538944155343,-1
45,46,59,2020-03-18,-0.012113434383110881,8.22180204588247e-06,0.0033298298285824005,-1
46,47,60,2020-03-19,-0.00979872523726709,3.515132919229596e-06,0.0014412044968841343,-1
47,48,61,2020-03-20,-0.00807788855207891,3.3782657160768e-07,0.00014594107893451777,-1
48,49,62,2020-03-21,-0.006885253881750562,4.5956631279409695e-09,2.1737486595160786e-06,-1
49,50,63,2020-03-22,-0.006063324909153239,1.1649345463399635e-10,5.8479714226266164e-08,-1
50,51,64,2020-03-23,-0.005399803192094628,5.890706354883875e-09,2.7627412804405372e-06,-1
51,52,65,2020-03-24,-0.004676247196168426,3.145702279738298e-06,0.0012928836369724406,-1
52,53,66,2020-03-25,-0.00366723464731827,0.0008870794085332423,0.3033811577183689,0
53,54,67,2020-03-26,-0.002212646466167868,0.06985053689029917,1.0,0
54,55,68,2020-03-27,-0.00029487017820604354,0.8293463639674343,1.0,0
55,56,69,2020-03-28,0.0019893241817975434,0.20353973733593334,1.0,0
56,57,70,2020-03-29,0.004490462647086047,0.012306657701698842,1.0,0
57,58,71,2020-03-30,0.007056165143524977,0.00046359675587135177,0.16457684833432987,0
58,59,72,2020-03-31,0.009536498315578068,1.3252849439412584e-05,0.0052481283780073835,1
59,60,73,2020-04-01,0.011764966041878107,2.495454372940753e-07,0.0001080531743483346,1
60,61,74,2020-04-02,0.013541847823297103,2.4424433628976077e-09,1.1723728141908516e-06,1
61,62,75,2020-04-03,0.014705026065154494,1.0868729742429098e-11,5.825639141941996e-09,1
62,63,76,2020-04-04,0.015190629909271568,1.2735187456721117e-13,7.730258786229718e-11,1
