,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0006258112136301301,0.011459048837275025,0.6531657837246764,0
1,2,15,2020-02-03,0.00025193415326940535,0.2570722047593579,1.0,0
2,3,16,2020-02-04,-0.00011013923368897422,0.6044817614165984,1.0,0
3,4,17,2020-02-05,-0.00046363623026365576,0.032704316263216585,1.0,0
4,5,18,2020-02-06,-0.0007959222129504265,0.0005204991909934932,0.04892692395338836,-1
5,6,19,2020-02-07,-0.001097631013588446,6.055319895138337e-06,0.0008996257774657047,-1
6,7,20,2020-02-08,-0.0013647484503452349,8.470112828804847e-08,1.8464845966794566e-05,-1
7,8,21,2020-02-09,-0.0015998406026784275,2.2080271792115696e-09,6.072074742831816e-07,-1
8,9,22,2020-02-10,-0.0018111869200496257,1.7658248936535757e-10,5.968488140549086e-08,-1
9,10,23,2020-02-11,-0.002010836330816167,5.3593075687038656e-11,2.0579741063822844e-08,-1
10,11,24,2020-02-12,-0.002211636559752178,4.49854284671942e-11,1.7634287959140127e-08,-1
11,12,25,2020-02-13,-0.0024250265517710627,6.155679875827839e-11,2.3391583528145786e-08,-1
12,13,26,2020-02-14,-0.0026593185509903596,9.160236739582305e-11,3.306845462989212e-08,-1
13,14,27,2020-02-15,-0.002920165090027003,1.2262623001439095e-10,4.316443296506562e-08,-1
14,15,28,2020-02-16,-0.0032157536162287677,1.5588401369198098e-10,5.3000564655273535e-08,-1
15,16,29,2020-02-17,-0.0035591098988260045,2.2224295932419732e-10,7.378466249563351e-08,-1
16,17,30,2020-02-18,-0.003969027022087382,4.153122096396281e-10,1.3123865824612247e-07,-1
17,18,31,2020-02-19,-0.004469603580259534,1.0453011098232523e-09,3.061932018704107e-07,-1
18,19,32,2020-02-20,-0.0050796688434446395,2.7843032286401826e-09,7.545461749614895e-07,-1
19,20,33,2020-02-21,-0.005804147897372639,5.742274737135842e-09,1.4642800579696398e-06,-1
20,21,34,2020-02-22,-0.006634497160739441,7.816287681837072e-09,1.958864851540236e-06,-1
21,22,35,2020-02-23,-0.0075497068985877986,6.7339252535806046e-09,1.7104170144094736e-06,-1
22,23,36,2020-02-24,-0.008518364873635885,3.667492827470717e-09,9.7188559927974e-07,-1
23,24,37,2020-02-25,-0.009505401070953334,1.2763725885508265e-09,3.6887167809118886e-07,-1
24,25,38,2020-02-26,-0.010475876082855334,2.82149161918921e-10,9.085203013789257e-08,-1
25,26,39,2020-02-27,-0.011397767883277444,3.8319019889199674e-11,1.521265089601227e-08,-1
26,27,40,2020-02-28,-0.012242022532253571,3.0216995476873376e-12,1.377894993745426e-09,-1
27,28,41,2020-02-29,-0.012983222722238954,1.3141335432212748e-13,6.79407041845399e-11,-1
28,29,42,2020-03-01,-0.013605857035958702,3.095196362345413e-15,1.798309086522685e-12,-1
29,30,43,2020-03-02,-0.01410667474636755,4.5477150374813925e-17,2.9923964946627564e-14,-1
30,31,44,2020-03-03,-0.01449917183851435,8.074752710706649e-19,5.838046209840907e-16,-1
31,32,45,2020-03-04,-0.014818626395178069,7.15513631240172e-20,5.352041961676486e-17,-1
32,33,46,2020-03-05,-0.015112394425608336,9.833559532375499e-20,7.316168292087372e-17,-1
33,34,47,2020-03-06,-0.015425022394241898,8.984224080326842e-19,6.459657113754999e-16,-1
34,35,48,2020-03-07,-0.015788122944325928,1.1513638959707502e-17,7.829274492601101e-15,-1
35,36,49,2020-03-08,-0.016215039724979317,9.322484415525651e-17,6.00367996359852e-14,-1
36,37,50,2020-03-09,-0.016701052397202782,3.842780311249866e-16,2.3902093535974167e-13,-1
37,38,51,2020-03-10,-0.017230810677368032,8.013250021289947e-16,4.872056012944288e-13,-1
38,39,52,2020-03-11,-0.01778490743277573,8.986971665102461e-16,5.428130885721887e-13,-1
39,40,53,2020-03-12,-0.018344724641469138,5.759824053160125e-16,3.548051616746637e-13,-1
40,41,54,2020-03-13,-0.018895158270760475,2.2197458037925329e-16,1.3984398563892957e-13,-1
41,42,55,2020-03-14,-0.01942629604215493,5.477983758652884e-17,3.5716454106416805e-14,-1
42,43,56,2020-03-15,-0.019936179856831996,9.9101388843397e-18,6.748804580235336e-15,-1
43,44,57,2020-03-16,-0.02043258915983545,2.0341709497509827e-18,1.4401930324236957e-15,-1
44,45,58,2020-03-17,-0.020936018769110946,1.231990118031894e-18,8.808729343928042e-16,-1
45,46,59,2020-03-18,-0.021480290656389605,4.6057861508369725e-18,3.196415588680859e-15,-1
46,47,60,2020-03-19,-0.02210510307786162,5.541122018251545e-17,3.607270433881756e-14,-1
47,48,61,2020-03-20,-0.022840012644533864,6.767577551079902e-16,4.1417574612609e-13,-1
48,49,62,2020-03-21,-0.02368833277105558,4.46115682979038e-15,2.547320549810307e-12,-1
49,50,63,2020-03-22,-0.024628955673196232,1.3436480892418632e-14,7.497556337969596e-12,-1
50,51,64,2020-03-23,-0.02562545673408925,1.8758879741067345e-14,1.0392419376551308e-11,-1
51,52,65,2020-03-24,-0.026635815663575972,1.2826271847531135e-14,7.169885962769904e-12,-1
52,53,66,2020-03-25,-0.02761659320706552,4.385376500877796e-15,2.508435358502099e-12,-1
53,54,67,2020-03-26,-0.028523921952945577,7.189825607856907e-16,4.39298344640057e-13,-1
54,55,68,2020-03-27,-0.02931606421415325,4.9981277595456593e-17,3.273773682502407e-14,-1
55,56,69,2020-03-28,-0.02995595422177675,1.1579474867063517e-18,8.302483479684541e-16,-1
56,57,70,2020-03-29,-0.030414764378169985,5.972621732645643e-21,4.5929461124044995e-18,-1
57,58,71,2020-03-30,-0.030677578877028804,5.652592539411615e-24,4.646431067396347e-21,-1
58,59,72,2020-03-31,-0.030748480288299268,1.3330847495870187e-25,1.1117926811555735e-22,-1
59,60,73,2020-04-01,-0.030651184283316205,6.011794066887106e-24,4.929671134847427e-21,-1
60,61,74,2020-04-02,-0.030422637421485075,2.3501601334927907e-22,1.8566265054593046e-19,-1
61,62,75,2020-04-03,-0.03009903445590108,3.361010571900938e-21,2.5879781403637222e-18,-1
62,63,76,2020-04-04,-0.029702678406644534,2.8121629784321464e-20,2.1203708857378383e-17,-1
63,64,77,2020-04-05,-0.029243035971711403,1.7011990541450997e-19,1.262289698175664e-16,-1
64,65,78,2020-04-06,-0.028723328809203585,7.89786120130305e-19,5.718051509743408e-16,-1
65,66,79,2020-04-07,-0.028147772930460335,2.9137287396801694e-18,2.0425238465157986e-15,-1
66,67,80,2020-04-08,-0.027522378186632616,8.889625285042406e-18,6.0716140696839635e-15,-1
67,68,81,2020-04-09,-0.02685397828853406,2.3106567456047095e-17,1.536586735827132e-14,-1
68,69,82,2020-04-10,-0.026151113248962764,5.1954103442938024e-17,3.392602954823853e-14,-1
69,70,83,2020-04-11,-0.025421885098018834,1.0363650435711611e-16,6.632736278855431e-14,-1
70,71,84,2020-04-12,-0.024674352047768598,1.8655169685242136e-16,1.1808722410758273e-13,-1
71,72,85,2020-04-13,-0.023918269113495642,2.9859476101800613e-16,1.8692032039727183e-13,-1
72,73,86,2020-04-14,-0.023162652846395737,4.1877986994914337e-16,2.6006229923841805e-13,-1
73,74,87,2020-04-15,-0.022412097201831144,5.277626848146606e-16,3.261573392154603e-13,-1
74,75,88,2020-04-16,-0.021667975367817272,6.300774815016684e-16,3.862374961605227e-13,-1
75,76,89,2020-04-17,-0.020929184708972,7.659415101372792e-16,4.672243211837403e-13,-1
76,77,90,2020-04-18,-0.02019481590721242,1.001599834750646e-15,6.029631005198888e-13,-1
77,78,91,2020-04-19,-0.0194681971836532,1.3811231810152073e-15,8.245305390660787e-13,-1
78,79,92,2020-04-20,-0.018756922790555196,1.8530971101123596e-15,1.0988865862966293e-12,-1
79,80,93,2020-04-21,-0.018070289093640255,2.2118139656199974e-15,1.2983347978189385e-12,-1
80,81,94,2020-04-22,-0.01741665024297551,2.1759866116294635e-15,1.281656114249754e-12,-1
81,82,95,2020-04-23,-0.01680345472564761,1.6464498954162503e-15,9.779912378772528e-13,-1
82,83,96,2020-04-24,-0.016240171167487993,8.843448864795578e-16,5.359130012066121e-13,-1
83,84,97,2020-04-25,-0.015736751214811655,2.9557511353328576e-16,1.8532559618537018e-13,-1
84,85,98,2020-04-26,-0.0153029117547077,5.072117892129152e-17,3.317165101452465e-14,-1
85,86,99,2020-04-27,-0.014948109639908056,3.647192893269325e-18,2.549387832395258e-15,-1
86,87,100,2020-04-28,-0.014678196722977453,9.123156200473491e-20,6.796751369352751e-17,-1
87,88,101,2020-04-29,-0.014491068031816493,6.441762887952462e-22,5.02457505260292e-19,-1
