,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.00019630549291614052,0.025704891394652884,1.0,0
1,2,15,2020-02-03,-0.00031096793130113874,0.010108721734480425,0.6772843562101885,0
2,3,16,2020-02-04,-0.0005081349506021556,0.0012907564207324913,0.11358656502445923,0
3,4,17,2020-02-05,-0.0007454927830514058,0.00016024567779533087,0.019389727013235034,-1
4,5,18,2020-02-06,-0.0010171773549461165,2.1113701845145084e-05,0.0031037141712363272,-1
5,6,19,2020-02-07,-0.0013180741322402004,3.247197652236002e-06,0.0005610348542695369,-1
6,7,20,2020-02-08,-0.0016447351612168988,6.370136163756724e-07,0.00012740272327513448,-1
7,8,21,2020-02-09,-0.0019957910779349482,1.643567988204812e-07,3.6158495740505865e-05,-1
8,9,22,2020-02-10,-0.002372787005999543,5.415060501781162e-08,1.3147851772123824e-05,-1
9,10,23,2020-02-11,-0.002778955528269259,2.1742812513006826e-08,5.631388440868768e-06,-1
10,11,24,2020-02-12,-0.003217972642361457,1.0214262093585978e-08,2.81913633782973e-06,-1
11,12,25,2020-02-13,-0.003693490214133554,5.416900604017066e-09,1.5925687775810173e-06,-1
12,13,26,2020-02-14,-0.004208543736385972,3.1381325062380785e-09,9.665448119213281e-07,-1
13,14,27,2020-02-15,-0.004764982132131209,1.916566286683176e-09,6.190509105986659e-07,-1
14,15,28,2020-02-16,-0.0053633937261960965,1.1782044600244994e-09,3.9121357907155457e-07,-1
15,16,29,2020-02-17,-0.006002533114558841,6.933223522446232e-10,2.398895338766396e-07,-1
16,17,30,2020-02-18,-0.0066773244784628285,3.759159334224867e-10,1.3532973603209522e-07,-1
17,18,31,2020-02-19,-0.007378980145688521,1.8270702529658376e-10,7.052491176448133e-08,-1
18,19,32,2020-02-20,-0.008096217121527513,7.785051582839004e-11,3.145160839466958e-08,-1
19,20,33,2020-02-21,-0.008817108439183052,2.8607214220160485e-11,1.2186673257788366e-08,-1
20,21,34,2020-02-22,-0.009530731082261832,9.011879800372432e-12,4.064357789967967e-09,-1
21,22,35,2020-02-23,-0.010226906480042774,2.465076223568827e-12,1.1733762824187616e-09,-1
22,23,36,2020-02-24,-0.010894888054246312,5.904750517169022e-13,2.970089510136018e-10,-1
23,24,37,2020-02-25,-0.01152270374361694,1.2250750743927547e-13,6.627656152464803e-11,-1
24,25,38,2020-02-26,-0.012097715238023743,2.126447372062788e-14,1.2418452652846683e-11,-1
25,26,39,2020-02-27,-0.0126078504627439,2.9030628967540127e-15,1.85215412812906e-12,-1
26,27,40,2020-02-28,-0.013043102882126019,2.8417354687957194e-16,1.923854912374702e-13,-1
27,28,41,2020-02-29,-0.013396403978746084,1.745981399681592e-17,1.2571066077707462e-14,-1
28,29,42,2020-03-01,-0.013663892936561329,5.580926061006111e-19,4.2470847324256506e-16,-1
29,30,43,2020-03-02,-0.01384385082337708,7.581684058393934e-21,6.088092298890329e-18,-1
30,31,44,2020-03-03,-0.013935153595795493,8.724150220995547e-23,7.2497688336473e-20,-1
31,32,45,2020-03-04,-0.013936978336774899,7.641815262905211e-23,6.365632114000041e-20,-1
32,33,46,2020-03-05,-0.013848004300187745,6.094778465726032e-21,4.9062966649094556e-18,-1
33,34,47,2020-03-06,-0.013666590331746232,4.499060348718159e-19,3.432783046071956e-16,-1
34,35,48,2020-03-07,-0.013392451064140488,1.4558782677312675e-17,1.0511441093019752e-14,-1
35,36,49,2020-03-08,-0.013028326624907305,2.627573826037263e-16,1.789377775531376e-13,-1
36,37,50,2020-03-09,-0.012579351972684177,3.2697892231119947e-15,2.0730463674530047e-12,-1
37,38,51,2020-03-10,-0.012052295905617107,3.1230406296318243e-14,1.8051174839271945e-11,-1
38,39,52,2020-03-11,-0.01145459621305795,2.406552791732716e-13,1.2586271100762103e-10,-1
39,40,53,2020-03-12,-0.010793202464096319,1.5480894449362723e-12,7.523714702390283e-10,-1
40,41,54,2020-03-13,-0.010073632178152212,8.70034135665647e-12,3.958655317278694e-09,-1
41,42,55,2020-03-14,-0.009299708191281219,4.557106937244666e-11,1.8866422720192917e-08,-1
42,43,56,2020-03-15,-0.008475433252380236,2.3874796969114775e-10,8.976923660387156e-08,-1
43,44,57,2020-03-16,-0.0076048568727317975,1.3473087948914242e-09,4.432645935192785e-07,-1
44,45,58,2020-03-17,-0.006691454268621468,8.864561414041142e-09,2.490941757345561e-06,-1
45,46,59,2020-03-18,-0.005738521463196919,7.436234616001727e-08,1.740078900144404e-05,-1
46,47,60,2020-03-19,-0.004749239133768061,8.69995150087301e-07,0.0001687790591169364,-1
47,48,61,2020-03-20,-0.003726486134904107,1.5359633130345158e-05,0.0023039449695517735,-1
48,49,62,2020-03-21,-0.0026728198692894485,0.0004293650289177023,0.04465396300744104,-1
49,50,63,2020-03-22,-0.0015910334061375578,0.016906330488415316,0.9805671683280883,0
50,51,64,2020-03-23,-0.0004856881083821139,0.42424337772292564,1.0,0
51,52,65,2020-03-24,0.0006337198820207951,0.3062100668546852,1.0,0
52,53,66,2020-03-25,0.0017512899132328893,0.011651090155182207,0.7689719502420257,0
53,54,67,2020-03-26,0.0028455183257034924,0.0003325182840662625,0.03591197467915635,1
