,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0009985464776811794,6.302438325848167e-05,0.006617560242140576,-1
1,2,15,2020-02-03,-0.0006555357016112464,0.0003970181125615583,0.034143557680294014,-1
2,3,16,2020-02-04,-0.00038235126713871595,0.014015303652573474,0.7089504626725897,0
3,4,17,2020-02-05,-0.00010865669078833021,0.4406321262117835,1.0,0
4,5,18,2020-02-06,0.000173081277820826,0.2527107978987478,1.0,0
5,6,19,2020-02-07,0.0004695170680056043,0.010555848334762311,0.5800813880262313,0
6,7,20,2020-02-08,0.0007844452108528271,0.0005387290040216003,0.04579196534183602,1
7,8,21,2020-02-09,0.001118174449198447,4.5577018845424164e-05,0.005013472072996658,1
8,9,22,2020-02-10,0.001467927660845732,5.497253690088492e-06,0.0007201402334015925,1
9,10,23,2020-02-11,0.0018276279907096322,7.845218380512749e-07,0.00012160088489794762,1
10,11,24,2020-02-12,0.002187215251805743,1.1171726072202429e-07,1.9662237887076275e-05,1
11,12,25,2020-02-13,0.002532826405977487,1.3470067209152169e-08,2.7613637778761947e-06,1
12,13,26,2020-02-14,0.002847826933899699,1.1667757384853496e-09,2.940274860983081e-07,1
13,14,27,2020-02-15,0.003114903013463136,6.019488545398997e-11,1.944294800163876e-08,1
14,15,28,2020-02-16,0.003318353325937408,1.4906454829281917e-12,6.350149757274097e-10,1
15,16,29,2020-02-17,0.003445182910481851,1.8728922610938024e-14,9.813955448131525e-12,1
16,17,30,2020-02-18,0.003485571792344751,1.492699832420791e-15,8.926344997876331e-13,1
17,18,31,2020-02-19,0.0034339497111717503,3.556775149650449e-14,1.8195683080015822e-11,1
18,19,32,2020-02-20,0.003289347962017325,4.529998009020069e-12,1.7757592195358672e-09,1
19,20,33,2020-02-21,0.003054063250453324,3.1981934380232066e-10,9.018905495225442e-08,1
20,21,34,2020-02-22,0.0027324893096717937,1.3319283282811454e-08,2.7437723562591595e-06,1
21,22,35,2020-02-23,0.002331149263892014,4.4600625635571237e-07,7.046898850420255e-05,1
22,23,36,2020-02-24,0.001859959353125842,1.551475834232054e-05,0.001861771001078465,1
23,24,37,2020-02-25,0.001332369981753597,0.0006563083991388613,0.05316098033024776,0
24,25,38,2020-02-26,0.0007633960783902477,0.03020434767510076,1.0,0
25,26,39,2020-02-27,0.00016884831688880318,0.6098612700206939,1.0,0
26,27,40,2020-02-28,-0.0004349846441734676,0.20663773753114123,1.0,0
27,28,41,2020-02-29,-0.0010315130062999729,0.00734876837249299,0.4482748707220724,0
28,29,42,2020-03-01,-0.0016039855661393,0.00020248371405492187,0.018830985407107734,-1
29,30,43,2020-03-02,-0.002136380629255377,6.214120541928346e-06,0.0008016215499087566,-1
30,31,44,2020-03-03,-0.002614506317310376,1.957938049472346e-07,3.292458334344728e-05,-1
31,32,45,2020-03-04,-0.003026805473879456,5.302238015513525e-09,1.1853653237826004e-06,-1
32,33,46,2020-03-05,-0.003365446177866614,1.0306087586357395e-10,3.1536628014253626e-08,-1
33,34,47,2020-03-06,-0.003628369161531167,1.1992733969270316e-12,5.144882872816966e-10,-1
34,35,48,2020-03-07,-0.0038198509388619136,6.81362903758926e-15,3.77475048682445e-12,-1
35,36,49,2020-03-08,-0.003950039962904303,1.4171199711296603e-17,9.848983799351138e-15,-1
