,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0018949809248457342,1.1849205676262214e-08,3.4599680574685667e-06,1
1,2,15,2020-02-03,0.002115158621333989,4.98099917545416e-11,2.0970006528662012e-08,1
2,3,16,2020-02-04,0.0022626085751670474,1.125487240212436e-13,6.404022396808761e-11,1
3,4,17,2020-02-05,0.0023564015537502095,5.528032400697706e-17,3.930431036896069e-14,1
4,5,18,2020-02-06,0.002412924816773468,8.432336549604394e-21,6.855489614828373e-18,1
5,6,19,2020-02-07,0.0024564601096427464,3.7246716684252885e-21,3.051744707705228e-18,1
6,7,20,2020-02-08,0.0025155602167333114,2.5054835154227598e-17,1.8203402011224425e-14,1
7,8,21,2020-02-09,0.002620082895061293,4.68675134882972e-14,2.7745567985071944e-11,1
8,9,22,2020-02-10,0.0027990109942860808,1.198030966240089e-11,5.427080277067603e-09,1
9,10,23,2020-02-11,0.0030793971991667783,5.94971269830941e-10,2.1716451348829346e-07,1
10,11,24,2020-02-12,0.0034821775136270445,7.724625042290022e-09,2.3251121377292965e-06,1
11,12,25,2020-02-13,0.004019150439599579,3.4479759572146736e-08,8.930257729186004e-06,1
12,13,26,2020-02-14,0.004692386951740902,6.81541147263407e-08,1.6970374566858834e-05,1
13,14,27,2020-02-15,0.005492474562730845,7.162152166317928e-08,1.7614991793920074e-05,1
14,15,28,2020-02-16,0.006397063107784633,4.4828383892652424e-08,1.1341581124841064e-05,1
15,16,29,2020-02-17,0.007369887676229237,1.7841491644916806e-08,4.977776168931789e-06,1
16,17,30,2020-02-18,0.00836315220184495,4.603090675464749e-09,1.4545766534468608e-06,1
17,18,31,2020-02-19,0.009322866525057703,7.455870703944474e-10,2.676657582716066e-07,1
18,19,32,2020-02-20,0.010193848640266411,6.987675386530785e-11,2.8859099346372143e-08,1
19,20,33,2020-02-21,0.010922859730789053,3.2486870017047924e-12,1.5918566308353482e-09,1
20,21,34,2020-02-22,0.01146401632477983,6.119383841027301e-14,3.5920783146830255e-11,1
21,22,35,2020-02-23,0.011783778071658231,6.004369760895153e-16,3.992905890995277e-13,1
22,23,36,2020-02-24,0.011865431014319942,7.987004468085617e-17,5.646812158936531e-14,1
23,24,37,2020-02-25,0.01171001855254828,2.1612601750153267e-15,1.3875290323598398e-12,1
24,25,38,2020-02-26,0.011334350931403156,1.3238814246445908e-13,7.453452420749046e-11,1
25,26,39,2020-02-27,0.010768005774482876,3.405967421717855e-12,1.6587061343765955e-09,1
26,27,40,2020-02-28,0.010052855260219767,3.8774811530176525e-11,1.6556844523385378e-08,1
27,28,41,2020-02-29,0.009237427239526402,2.3581148397807474e-10,9.031579836360263e-08,1
28,29,42,2020-03-01,0.008370574126814792,8.777410444268457e-10,3.124758118159571e-07,1
29,30,43,2020-03-02,0.007495826271420618,2.200260503439263e-09,7.28286226638396e-07,1
30,31,44,2020-03-03,0.0066486311318550775,3.9530675296682735e-09,1.2649816094938476e-06,1
31,32,45,2020-03-04,0.00585461861850325,5.3487970011752204e-09,1.6688246643666688e-06,1
32,33,46,2020-03-05,0.005129294780314323,5.892263232802756e-09,1.8207093389360514e-06,1
33,34,47,2020-03-06,0.004476342832899088,5.978960652280196e-09,1.8355409202500202e-06,1
34,35,48,2020-03-07,0.0038902314165597113,6.678151747537798e-09,2.02599241604388e-06,1
35,36,49,2020-03-08,0.003358885298767379,1.0521211173596133e-08,3.1247997185580517e-06,1
36,37,50,2020-03-09,0.002866706481475903,3.090102149375964e-08,8.096067631365027e-06,1
37,38,51,2020-03-10,0.0023943059314409576,2.0716198711724656e-07,4.6314021379231546e-05,1
38,39,52,2020-03-11,0.0019192493757019208,3.4548464952853363e-06,0.0005769593647126512,1
39,40,53,2020-03-12,0.0014184687625896902,0.00013978307884197092,0.015935270987984685,1
40,41,54,2020-03-13,0.0008733714799300884,0.010386138675694559,0.6439405978930627,0
41,42,55,2020-03-14,0.0002704253119592261,0.41947067828864437,1.0,0
42,43,56,2020-03-15,-0.0003995270364902785,0.2931874456633744,1.0,0
43,44,57,2020-03-16,-0.001141184941924174,0.015522024273550572,0.8537113350452814,0
44,45,58,2020-03-17,-0.001953408668138655,0.0008820936370495077,0.08379889551970322,0
45,46,59,2020-03-18,-0.0028283761826273994,7.373224210413628e-05,0.008995333536704626,-1
46,47,60,2020-03-19,-0.003753115728504941,8.277091144192473e-06,0.0012829491273498334,-1
