,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0020139258460890454,1.8036419770799167e-09,5.208013663557344e-07,-1
1,2,15,2020-02-03,-0.0022557981144409396,4.131109573854157e-11,1.582214966786142e-08,-1
2,3,16,2020-02-04,-0.002447190934210209,4.709233816152607e-12,2.0510651044528776e-09,-1
3,4,17,2020-02-05,-0.0026252178918756515,7.462506205230193e-13,3.5446904474843416e-10,-1
4,5,18,2020-02-06,-0.0027961136556161263,2.181724558596607e-13,1.1039526266498831e-10,-1
5,6,19,2020-02-07,-0.002969049051341765,1.5238829711544732e-13,7.817519642022448e-11,-1
6,7,20,2020-02-08,-0.0031549993923108356,2.584375464635553e-13,1.2870189813885054e-10,-1
7,8,21,2020-02-09,-0.003364527664282697,7.863193276581499e-13,3.7114272265464674e-10,-1
8,9,22,2020-02-10,-0.0036068809761577317,2.933169544299441e-12,1.322859464479048e-09,-1
9,10,23,2020-02-11,-0.003889454094966784,1.0145984231186386e-11,4.230875424404723e-09,-1
10,11,24,2020-02-12,-0.004217577527468898,2.7892122092942725e-11,1.0961603982526491e-08,-1
11,12,25,2020-02-13,-0.004594074233229202,5.656970084928798e-11,2.127020751933228e-08,-1
12,13,26,2020-02-14,-0.0050179937534845466,8.186689255240954e-11,3.00451495667343e-08,-1
13,14,27,2020-02-15,-0.0054841981717304545,8.342542998835901e-11,3.045028194575104e-08,-1
14,15,28,2020-02-16,-0.005984846512075921,6.085026663181016e-11,2.2757999720296996e-08,-1
15,16,29,2020-02-17,-0.006510733738009312,3.32993965162183e-11,1.298082252142894e-08,-1
16,17,30,2020-02-18,-0.007052319982761573,1.4645114680997286e-11,5.960561675165895e-09,-1
17,18,31,2020-02-19,-0.007600949564762828,5.5664852703595226e-12,2.399155151524954e-09,-1
18,19,32,2020-02-20,-0.008149289756370475,1.9660049908157886e-12,8.947683275366342e-10,-1
19,20,33,2020-02-21,-0.008692195052461644,6.89169071981002e-13,3.2873364733493794e-10,-1
20,21,34,2020-02-22,-0.009227768402702795,2.559127910855465e-13,1.277004827516877e-10,-1
21,22,35,2020-02-23,-0.009757263202217602,1.090666762546985e-13,5.660560497618852e-11,-1
22,23,36,2020-02-24,-0.010284627406259694,5.719489154985646e-14,3.0656461870723064e-11,-1
23,24,37,2020-02-25,-0.010815918310323335,3.815103994664632e-14,2.0677863651082307e-11,-1
24,25,38,2020-02-26,-0.011357480097290708,3.123285760619808e-14,1.7115605968196548e-11,-1
25,26,39,2020-02-27,-0.011912782524635632,2.7990092295136008e-14,1.5394550762324803e-11,-1
26,27,40,2020-02-28,-0.012480789045494144,2.4013954883661852e-14,1.3423800779966975e-11,-1
27,28,41,2020-02-29,-0.013055176163567626,1.780384325949426e-14,1.0165994501171223e-11,-1
28,29,42,2020-03-01,-0.013625430998254254,1.0578935391387712e-14,6.114624656222097e-12,-1
29,30,43,2020-03-02,-0.014179284541595494,4.74862802214756e-15,2.8064391610892077e-12,-1
30,31,44,2020-03-03,-0.014704586386436451,1.526558151835492e-15,9.49519170441676e-13,-1
31,32,45,2020-03-04,-0.015188854654955487,3.2795754336178607e-16,2.1350036072852272e-13,-1
32,33,46,2020-03-05,-0.01561778865246663,4.210907876004773e-17,2.892893710815279e-14,-1
33,34,47,2020-03-06,-0.015976670258763467,2.7665007665697817e-18,2.02784506189565e-15,-1
34,35,48,2020-03-07,-0.01625359903150422,7.550010055902467e-20,5.775757692765387e-17,-1
35,36,49,2020-03-08,-0.01644268675539099,6.831480114557759e-22,5.513004452448111e-19,-1
36,37,50,2020-03-09,-0.016544720352329016,3.3107588748180065e-24,2.7876589725967615e-21,-1
37,38,51,2020-03-10,-0.01656594057082935,5.412673207050607e-25,4.600772225993016e-22,-1
38,39,52,2020-03-11,-0.016515233225953073,1.4037027167811378e-23,1.1706880657954689e-20,-1
39,40,53,2020-03-12,-0.016400504034592582,4.959259117763172e-22,4.007081367152643e-19,-1
40,41,54,2020-03-13,-0.01622712939641329,8.411265994199635e-21,6.560787475475715e-18,-1
41,42,55,2020-03-14,-0.015999222242529195,8.466297809030638e-20,6.459785228290376e-17,-1
42,43,56,2020-03-15,-0.015719577879394587,6.316463683891158e-19,4.737347762918369e-16,-1
43,44,57,2020-03-16,-0.01538855155308397,4.212944316486579e-18,3.0670234624022294e-15,-1
44,45,58,2020-03-17,-0.015003371542317656,3.0116285545687814e-17,2.0840469597615968e-14,-1
45,46,59,2020-03-18,-0.014558688853519961,2.5435145415698765e-16,1.6660020247282691e-13,-1
46,47,60,2020-03-19,-0.014047799295905264,2.4076181065928476e-15,1.4638318088084513e-12,-1
47,48,61,2020-03-20,-0.01346502059441704,2.254691595181731e-14,1.264881984896951e-11,-1
48,49,62,2020-03-21,-0.012808023484105603,1.870046786119507e-13,9.537238609209485e-11,-1
49,50,63,2020-03-22,-0.012079622326058722,1.2931751377400657e-12,5.961537384981703e-10,-1
50,51,64,2020-03-23,-0.01128685180446971,7.46057476671908e-12,3.1558231263221706e-09,-1
51,52,65,2020-03-24,-0.010437265532355695,3.78908049166565e-11,1.4663741502746064e-08,-1
52,53,66,2020-03-25,-0.00953721753515172,1.831469884963822e-10,6.208682910027357e-08,-1
53,54,67,2020-03-26,-0.008593201708729514,9.036525905737918e-10,2.7199942976271134e-07,-1
54,55,68,2020-03-27,-0.007614498085542802,4.7024205800587e-09,1.269653556615849e-06,-1
55,56,69,2020-03-28,-0.006615089651220587,2.6194991236297335e-08,6.051042975584685e-06,-1
56,57,70,2020-03-29,-0.0056131037778254095,1.5935298407903744e-07,3.282671472028171e-05,-1
57,58,71,2020-03-30,-0.004627324800278438,1.091693626339474e-06,0.0001899546909830685,-1
58,59,72,2020-03-31,-0.003673523330120501,8.724227280220924e-06,0.001247564501071592,-1
59,60,73,2020-04-01,-0.002766234139245659,8.301412077685977e-05,0.009546623889338874,-1
60,61,74,2020-04-02,-0.0019204822844056603,0.0009569454807467553,0.08421120230571447,0
61,62,75,2020-04-03,-0.0011527140504009226,0.013254526861745046,0.8085261385664478,0
62,63,76,2020-04-04,-0.00047995089599460955,0.18468608427792405,1.0,0
63,64,77,2020-04-05,8.091976960169963e-05,0.7750131577580861,1.0,0
64,65,78,2020-04-06,0.0005162262396607115,0.029740925866142288,1.0,0
65,66,79,2020-04-07,0.0008201961564366829,0.00010842625746948193,0.01236059335152094,1
66,67,80,2020-04-08,0.0009972006332662697,1.787422724658075e-07,3.57484544931615e-05,1
67,68,81,2020-04-09,0.0010600298458370329,3.317718619001413e-09,9.256434947013943e-07,1
68,69,82,2020-04-10,0.0010258989345902482,2.7579968378271897e-08,6.315812758624265e-06,1
69,70,83,2020-04-11,0.000914439637440198,1.4621237248399173e-06,0.0002456367857731061,1
70,71,84,2020-04-12,0.0007468730153990004,5.1434437709152414e-05,0.006017829211970832,1
71,72,85,2020-04-13,0.0005463053874300154,0.0011471005167292382,0.09520934288852677,0
72,73,86,2020-04-14,0.0003371387098586199,0.01899872468467005,1.0,0
73,74,87,2020-04-15,0.00014062558377777234,0.22722194062633988,1.0,0
74,75,88,2020-04-16,-2.5758691917885525e-05,0.7788504378965435,1.0,0
75,76,89,2020-04-17,-0.000149024223134563,0.04237664832078882,1.0,0
76,77,90,2020-04-18,-0.0002209162138395072,0.00032097649053153504,0.03177667256262197,-1
77,78,91,2020-04-19,-0.00023827874460862524,3.73866466376636e-05,0.004598557536432623,-1
78,79,92,2020-04-20,-0.0002027590632979878,0.001493244853702922,0.11945958829623377,0
79,80,93,2020-04-21,-0.00011933688364222316,0.10234485130161096,1.0,0
80,81,94,2020-04-22,5.208651562981238e-06,0.9515904036233747,1.0,0
81,82,95,2020-04-23,0.00016284673773850667,0.11882227097624908,1.0,0
82,83,96,2020-04-24,0.00034469168989866933,0.00676948947820698,0.4467863055616607,0
83,84,97,2020-04-25,0.0005414742354341066,0.0003491553062437748,0.03351890939940238,1
84,85,98,2020-04-26,0.0007442996644676271,2.037399857897092e-05,0.002709741811003132,1
85,86,99,2020-04-27,0.0009461411833434363,1.364585567127899e-06,0.00023061496084461494,1
86,87,100,2020-04-28,0.0011419200531815141,1.0031983939524691e-07,2.170708963877404e-05,1
87,88,101,2020-04-29,0.0013268779573966229,7.876958510631938e-09,2.0154706675205793e-06,1
88,89,102,2020-04-30,0.0014971778293102979,6.434440239048948e-10,1.968938713148978e-07,1
89,90,103,2020-05-01,0.0016516931532349836,5.4382017199612775e-11,2.0556402501453627e-08,1
90,91,104,2020-05-02,0.0017918158389905515,5.067617664533395e-12,2.1993460664074933e-09,1
91,92,105,2020-05-03,0.0019200737900521181,5.894267961687765e-13,2.835142889571815e-10,1
92,93,106,2020-05-04,0.0020389341861623534,1.0219408383883563e-13,5.314092359619453e-11,1
