,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.00040595233475979373,3.957859276658517e-05,0.002493451344294866,-1
1,2,15,2020-02-03,-0.0002853715720173741,0.0020300940838267217,0.07917366926924214,0
2,3,16,2020-02-04,-0.00014501434359279056,0.08872516769486981,1.0,0
3,4,17,2020-02-05,7.933517273969828e-06,0.9250146813310414,1.0,0
4,5,18,2020-02-06,0.00017015232154489042,0.07042360163129101,1.0,0
5,6,19,2020-02-07,0.0003382634916235604,0.0023329890089081157,0.08632059332960028,0
6,7,20,2020-02-08,0.000509482552161853,0.00010109275273650476,0.005560101400507762,1
7,8,21,2020-02-09,0.0006810546567389252,6.8710921498389755e-06,0.0004947186347884062,1
8,9,22,2020-02-10,0.0008505201805812208,6.496771455315191e-07,6.0255133789846726e-05,1
9,10,23,2020-02-11,0.0010153439749814868,7.228042680437332e-08,8.167688228894185e-06,1
10,11,24,2020-02-12,0.0011730223027929423,7.969169880691776e-09,1.0200537447285473e-06,1
11,12,25,2020-02-13,0.0013204731451887505,7.896117150132826e-10,1.1607292210695254e-07,1
12,13,26,2020-02-14,0.0014548421811272636,6.667593718773478e-11,1.1334909321914912e-08,1
13,14,27,2020-02-15,0.0015752619767562337,4.74946882741645e-12,9.641421719655394e-10,1
14,15,28,2020-02-16,0.0016827114657081107,3.2777128623664283e-13,7.57151671206645e-11,1
15,16,29,2020-02-17,0.0017804506044772012,3.274643830476009e-14,8.546820397542382e-12,1
16,17,30,2020-02-18,0.0018744709093701092,9.134520182661506e-15,2.6307418126065136e-12,1
17,18,31,2020-02-19,0.0019725961175752157,1.2393811116698043e-14,3.457873301558754e-12,1
18,19,32,2020-02-20,0.002083085150767713,6.690024651490935e-14,1.6992662614786975e-11,1
19,20,33,2020-02-21,0.0022137272563374317,5.995157202297168e-13,1.3369200561122683e-10,1
20,21,34,2020-02-22,0.002370904663328094,4.4401775863506366e-12,9.057962276155298e-10,1
21,22,35,2020-02-23,0.002558529574773264,2.0426108739619144e-11,3.81968233430878e-09,1
22,23,36,2020-02-24,0.0027768381165388907,5.2767349332406274e-11,9.234286133171098e-09,1
23,24,37,2020-02-25,0.0030221569604994792,7.614618960959773e-11,1.2868706044022016e-08,1
24,25,38,2020-02-26,0.003287575649676319,6.370502193438214e-11,1.0957263772713728e-08,1
25,26,39,2020-02-27,0.0035647135197864033,3.259414793469496e-11,5.866946628245093e-09,1
26,27,40,2020-02-28,0.0038444292281350698,1.0858943272474021e-11,2.1174939381324343e-09,1
27,28,41,2020-02-29,0.004117847531215723,2.4747765916493703e-12,5.197030842463678e-10,1
28,29,42,2020-03-01,0.004376652576667855,3.9898632989147626e-13,9.017091055547363e-11,1
29,30,43,2020-03-02,0.004613223035444723,4.644233682030541e-14,1.193568056281849e-11,1
30,31,44,2020-03-03,0.004821366093819987,3.9833889813634976e-15,1.1990000833904127e-12,1
31,32,45,2020-03-04,0.004996996471385109,2.5643762154811095e-16,9.257398137886806e-14,1
32,33,46,2020-03-05,0.005138638881061695,1.2105858228477197e-17,5.39921276990083e-15,1
33,34,47,2020-03-06,0.005247239046426545,3.940796274541808e-19,2.1832011360961618e-16,1
34,35,48,2020-03-07,0.005325445392365945,8.0227463003256e-21,5.21478509521164e-18,1
35,36,49,2020-03-08,0.00537718705886943,8.283524196114737e-23,6.196076098693823e-20,1
36,37,50,2020-03-09,0.005406078800093352,5.055655159265427e-25,4.084969368686465e-22,1
37,38,51,2020-03-10,0.005414829419238951,3.4517168885919945e-26,2.861473300642763e-23,1
38,39,52,2020-03-11,0.005405343302355943,4.238580820722688e-25,3.429011883964655e-22,1
39,40,53,2020-03-12,0.0053800793108579135,1.0478073181094404e-23,8.047160203080502e-21,1
40,41,54,2020-03-13,0.0053424507536940224,8.673454776751133e-23,6.470397263456346e-20,1
41,42,55,2020-03-14,0.005296515109456741,2.635210055631896e-22,1.8683639294430144e-19,1
42,43,56,2020-03-15,0.005245944961963333,4.028918426624438e-22,2.816213980210482e-19,1
43,44,57,2020-03-16,0.005193457137672287,4.013029257827216e-22,2.8131335097368784e-19,1
44,45,58,2020-03-17,0.005141123506566157,3.1092004801945418e-22,2.198204739497541e-19,1
45,46,59,2020-03-18,0.005090171619228641,2.131827520452025e-22,1.5199930220822937e-19,1
46,47,60,2020-03-19,0.005040753890685869,1.4072640060220916e-22,1.0244881963840826e-19,1
47,48,61,2020-03-20,0.004992607800919398,9.81980215080908e-23,7.296112998051146e-20,1
48,49,62,2020-03-21,0.004945292684846276,8.186957599365136e-23,6.132031241924487e-20,1
49,50,63,2020-03-22,0.004898076923489548,9.425231946019645e-23,7.012372567838615e-20,1
50,51,64,2020-03-23,0.004849977092046515,1.631084534150295e-22,1.177643033656513e-19,1
51,52,65,2020-03-24,0.0047998599858524215,4.0371832085239195e-22,2.8179538795496957e-19,1
52,53,66,2020-03-25,0.004746813327628004,1.164280143997372e-21,7.963676184942025e-19,1
53,54,67,2020-03-26,0.004690967824617893,3.0742336531594147e-21,2.0597365476168077e-18,1
54,55,68,2020-03-27,0.004633623268380354,5.987825896811621e-21,3.9220259624116114e-18,1
55,56,69,2020-03-28,0.0045765688640895105,7.839373491387877e-21,5.111271516384896e-18,1
56,57,70,2020-03-29,0.004521382872092346,6.481359091769859e-21,4.238808846017488e-18,1
57,58,71,2020-03-30,0.004469407411676094,3.1357523216317854e-21,2.0946825508500327e-18,1
58,59,72,2020-03-31,0.004422069979613234,8.279961095876525e-22,5.696613233963049e-19,1
59,60,73,2020-04-01,0.004380915681597195,1.0762226422089196e-22,7.953285325923915e-20,1
60,61,74,2020-04-02,0.004347663022320165,5.37740633398298e-24,4.1836221278387585e-21,1
