,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0041526394909124605,2.4512812313767345e-19,1.965927547564141e-16,-1
1,2,15,2020-02-03,-0.00423623592849253,4.556660225775569e-19,3.595204918136924e-16,-1
2,3,16,2020-02-04,-0.00432515615347126,1.7141591827547847e-18,1.328473366634958e-15,-1
3,4,17,2020-02-05,-0.004425706877689482,9.428641435733064e-18,7.071481076799798e-15,-1
4,5,18,2020-02-06,-0.004544853181484339,5.987872381111374e-17,4.311268114400189e-14,-1
5,6,19,2020-02-07,-0.0046893658046661705,3.81215311095421e-16,2.6570707183350845e-13,-1
6,7,20,2020-02-08,-0.004864979047146445,2.2642908363244775e-15,1.5012248244831285e-12,-1
7,8,21,2020-02-09,-0.005075668488820528,1.20839322092352e-14,7.564541562981235e-12,-1
8,9,22,2020-02-10,-0.00532399720865534,5.4328241414968745e-14,3.2542616607566276e-11,-1
9,10,23,2020-02-11,-0.005612113151941321,1.9315693603777468e-13,1.0855419805322937e-10,-1
10,11,24,2020-02-12,-0.0059418656283986475,5.275022983165499e-13,2.848512410909369e-10,-1
11,12,25,2020-02-13,-0.006314533438390069,1.0874558866540193e-12,5.654770610600901e-10,-1
12,13,26,2020-02-14,-0.006730321522241055,1.7040149173233983e-12,8.673435929176097e-10,-1
13,14,27,2020-02-15,-0.0071877393007122046,2.1106473458097613e-12,1.0553236729048807e-09,-1
14,15,28,2020-02-16,-0.007684169904122974,2.17553032966665e-12,1.0834141041739918e-09,-1
15,16,29,2020-02-17,-0.008215962128211296,1.950615267124829e-12,9.83110094630914e-10,-1
16,17,30,2020-02-18,-0.008778103059355648,1.5598993841539445e-12,7.986684846868196e-10,-1
17,18,31,2020-02-19,-0.009362639402645897,1.106823103553077e-12,5.74441190744047e-10,-1
18,19,32,2020-02-20,-0.009957876573574918,6.696964396785248e-13,3.5359972015026107e-10,-1
19,20,33,2020-02-21,-0.010548972314195458,3.253133086554371e-13,1.80874199612423e-10,-1
20,21,34,2020-02-22,-0.01112019636184298,1.1919318002902933e-13,6.925123759686604e-11,-1
21,22,35,2020-02-23,-0.011656647145852432,3.097404839663253e-14,1.8925143570342477e-11,-1
