,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.00016352585722480495,0.26100719887008644,1.0,0
1,2,15,2020-02-03,-9.195126650633897e-05,0.4244529542067358,1.0,0
2,3,16,2020-02-04,-0.0002827346631220792,0.01284617123513933,0.7837709652396727,0
3,4,17,2020-02-05,-0.00044880649969398703,0.00012675415695174427,0.014449973892498847,-1
4,5,18,2020-02-06,-0.0005899895764238743,1.0313725363589307e-06,0.00018564705654460753,-1
5,6,19,2020-02-07,-0.0007082023137349559,9.934013492919232e-09,2.612645548637758e-06,-1
6,7,20,2020-02-08,-0.0008075455952970342,1.6744842253036643e-10,5.7746707793825014e-08,-1
7,8,21,2020-02-09,-0.000893751171928719,9.501924339476355e-12,3.819773584469495e-09,-1
8,9,22,2020-02-10,-0.0009730599811249444,2.9213110079945855e-12,1.2853768435176176e-09,-1
9,10,23,2020-02-11,-0.0010514705543896734,3.4592244465878117e-12,1.4978441853725224e-09,-1
10,11,24,2020-02-12,-0.0011350628467339315,7.905809385667023e-12,3.249287657509146e-09,-1
11,12,25,2020-02-13,-0.0012312842292382135,2.4587010538556067e-11,9.465999057344086e-09,-1
12,13,26,2020-02-14,-0.0013499229941311424,9.846901232366534e-11,3.4759561350253865e-08,-1
13,14,27,2020-02-15,-0.001501474260171676,4.5037035380646466e-10,1.4682073534090747e-07,-1
14,15,28,2020-02-16,-0.001694250423315047,1.8231252612944118e-09,5.505838289109123e-07,-1
15,16,29,2020-02-17,-0.0019322943920461809,5.191055683395848e-09,1.4327313686172542e-06,-1
16,17,30,2020-02-18,-0.0022147117993429025,9.367343831164858e-09,2.491713459089852e-06,-1
17,18,31,2020-02-19,-0.0025364741948731098,1.0626151049253937e-08,2.7734254238552775e-06,-1
18,19,32,2020-02-20,-0.0028893532169315945,7.783941966915414e-09,2.109448273034077e-06,-1
19,20,33,2020-02-21,-0.0032627219834594455,3.765355997855083e-09,1.0542996793994233e-06,-1
20,21,34,2020-02-22,-0.00364395512819333,1.2028333658733957e-09,3.668641765913857e-07,-1
21,22,35,2020-02-23,-0.004018148752663675,2.441662045085284e-10,8.277234332839114e-08,-1
22,23,36,2020-02-24,-0.004368996148546709,2.9296152536371484e-11,1.1132537963821164e-08,-1
23,24,37,2020-02-25,-0.004680079245547173,1.8713271778812032e-12,8.383545756907791e-10,-1
24,25,38,2020-02-26,-0.004936634162277446,5.5456899592758516e-14,3.005763957927512e-11,-1
25,26,39,2020-02-27,-0.005127935386369671,6.357034209511017e-16,4.068501894087051e-13,-1
26,27,40,2020-02-28,-0.005250348400094834,2.4515540824208763e-18,1.7969891424145023e-15,-1
27,28,41,2020-02-29,-0.005305853865500138,1.2854513580414517e-20,1.0155065728527468e-17,-1
28,29,42,2020-03-01,-0.00529917928297151,2.8862578827917575e-20,2.259939922225946e-17,-1
29,30,43,2020-03-02,-0.005237182952116247,2.0321532746877348e-18,1.501761269994236e-15,-1
30,31,44,2020-03-03,-0.00513085577339218,5.830161957893462e-17,3.9703402933254476e-14,-1
