,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0031334640357547736,4.6616469561288546e-08,1.0675171529535078e-05,1
1,2,15,2020-02-03,0.002635714471195313,1.9317200529362532e-07,3.940708907989956e-05,1
2,3,16,2020-02-04,0.0021784863563971296,1.2199288260889526e-06,0.00021470747339165564,1
3,4,17,2020-02-05,0.0017291363788944083,8.39295366979851e-06,0.0012589430504697766,1
4,5,18,2020-02-06,0.0012951084958797584,7.419134868438065e-05,0.008680387796072537,1
5,6,19,2020-02-07,0.0008819775156896872,0.001026163002125606,0.08209304017004848,0
6,7,20,2020-02-08,0.0004937645656030031,0.023600405375139098,1.0,0
7,8,21,2020-02-09,0.00013338770920300882,0.46628066799805534,1.0,0
8,9,22,2020-02-10,-0.00019634862477188223,0.2544663158479349,1.0,0
9,10,23,2020-02-11,-0.0004914683558484994,0.006412849484215824,0.4040095175055969,0
10,11,24,2020-02-12,-0.0007468186683288625,0.00010209985116055862,0.011230983627661449,-1
11,12,25,2020-02-13,-0.0009566570168456553,1.6249035894422921e-06,0.00027722669649465117,-1
12,13,26,2020-02-14,-0.0011143969653779153,2.1027067311610188e-08,5.088550289409665e-06,-1
13,14,27,2020-02-15,-0.0012127445496198119,2.01307753126629e-10,6.683417403804083e-08,-1
14,15,28,2020-02-16,-0.0012447239119432866,1.3775385738407174e-11,5.565255838316498e-09,-1
15,16,29,2020-02-17,-0.0012065198477672835,3.526031951015527e-10,1.1459603840800463e-07,-1
16,17,30,2020-02-18,-0.0011051456317914615,4.352471557348309e-08,1.001068458190111e-05,-1
17,18,31,2020-02-19,-0.0009632940292435757,1.5619049193070772e-06,0.0002697053834366265,-1
18,19,32,2020-02-20,-0.0008173168438870287,1.1655385192946627e-05,0.0017249970085561007,-1
19,20,33,2020-02-21,-0.0007096739444623524,1.687124609723485e-05,0.0023451032075156443,-1
20,21,34,2020-02-22,-0.0006840121654448216,1.2253089775988694e-05,0.0017766980175183606,-1
21,22,35,2020-02-23,-0.0007810284364279851,6.874414449609524e-05,0.008111809050539239,-1
22,23,36,2020-02-24,-0.001028592236396753,0.0003447648567089728,0.032407896530643444,-1
23,24,37,2020-02-25,-0.0014378667679892535,0.00045385459464667083,0.0403930589235537,-1
24,25,38,2020-02-26,-0.002005518449999346,0.00025620235999002506,0.025364033639012483,-1
25,26,39,2020-02-27,-0.0027169949440913207,8.541424495049133e-05,0.00956639543445503,-1
26,27,40,2020-02-28,-0.003548806753438909,1.9212042409063642e-05,0.0025936257252235917,-1
27,28,41,2020-02-29,-0.004468148723805264,3.070502875571614e-06,0.0004974214658426014,-1
28,29,42,2020-03-01,-0.005432275578670402,3.5767666218937494e-07,7.010462578911748e-05,-1
29,30,43,2020-03-02,-0.006391689363369007,3.1549614835383806e-08,7.445709101150578e-06,-1
30,31,44,2020-03-03,-0.00729964554457742,2.210373365504263e-09,6.233252890722022e-07,-1
31,32,45,2020-03-04,-0.008121255276346079,1.282109225055113e-10,4.4104557341895894e-08,-1
32,33,46,2020-03-05,-0.008835565388134181,6.30029206654694e-12,2.715425880681731e-09,-1
33,34,47,2020-03-06,-0.009431286797442654,2.6887554412070587e-13,1.4062190957512918e-10,-1
34,35,48,2020-03-07,-0.009904242442851624,9.726060968246797e-15,5.952349312567039e-12,-1
35,36,49,2020-03-08,-0.01025626159986684,2.3669756755355145e-16,1.6474150701727181e-13,-1
36,37,50,2020-03-09,-0.010488370587185726,2.678770634314851e-18,2.0412232233479165e-15,-1
37,38,51,2020-03-10,-0.010597052446345075,3.038997384811102e-20,2.419041918309637e-17,-1
38,39,52,2020-03-11,-0.010577604923975623,9.511936486414335e-20,7.514429824267325e-17,-1
39,40,53,2020-03-12,-0.010428408174782652,1.882867822760378e-17,1.39520505666544e-14,-1
40,41,54,2020-03-13,-0.010155475412105031,1.7650073445225385e-15,1.150784788628695e-12,-1
41,42,55,2020-03-14,-0.009776711591405437,5.0316409927629424e-14,2.9082884938169806e-11,-1
42,43,56,2020-03-15,-0.009330569904273407,4.5107687172766844e-13,2.2779382022247256e-10,-1
43,44,57,2020-03-16,-0.008885400247125126,1.0295472591169363e-12,4.931531371170125e-10,-1
44,45,58,2020-03-17,-0.008546461855853584,4.153441447681563e-13,2.1224085797652787e-10,-1
45,46,59,2020-03-18,-0.008445450540193493,1.2862736295568533e-13,7.061642226267124e-11,-1
46,47,60,2020-03-19,-0.0087197498426314,7.948888113984385e-12,3.3782774484433636e-09,-1
47,48,61,2020-03-20,-0.009482696870411684,1.96300580805667e-09,5.614196611042076e-07,-1
48,49,62,2020-03-21,-0.010791456117754145,5.815404169282522e-08,1.305024507233895e-05,-1
49,50,63,2020-03-22,-0.012632574553381237,2.80251736539301e-07,5.57700955713209e-05,-1
50,51,64,2020-03-23,-0.014927143435483374,3.9372975690399764e-07,7.598984308247155e-05,-1
51,52,65,2020-03-24,-0.01754817711598798,2.3376637241252575e-07,4.698704085491768e-05,-1
52,53,66,2020-03-25,-0.0203423632406515,7.060774484124064e-08,1.54630961202317e-05,-1
53,54,67,2020-03-26,-0.023143358293200727,1.1468634648130539e-08,2.8786272966807652e-06,-1
54,55,68,2020-03-27,-0.02578126871641084,9.635345249197086e-10,2.929144955755914e-07,-1
55,56,69,2020-03-28,-0.028092199052196124,3.703107517449567e-11,1.403477749113386e-08,-1
56,57,70,2020-03-29,-0.029935034824310466,5.209609397161064e-13,2.610014307977693e-10,-1
57,58,71,2020-03-30,-0.03121003582907108,2.0276552907497054e-15,1.3179759389873084e-12,-1
58,59,72,2020-03-31,-0.031879247586074404,4.109263957560451e-18,3.1189313437883824e-15,-1
59,60,73,2020-04-01,-0.03197060731546424,1.1499443243324492e-18,8.866070740603183e-16,-1
60,61,74,2020-04-02,-0.03157000880722343,3.560347771898092e-17,2.584812482398015e-14,-1
61,62,75,2020-04-03,-0.030797886929836774,6.271392393766934e-16,4.2018329038238457e-13,-1
62,63,76,2020-04-04,-0.029775266815919167,4.190000962251733e-15,2.664840611992102e-12,-1
63,64,77,2020-04-05,-0.02859969617238307,1.5487366681252796e-14,9.354369475476689e-12,-1
64,65,78,2020-04-06,-0.027335548612203244,4.1397449246627414e-14,2.4093315461537154e-11,-1
65,66,79,2020-04-07,-0.026018293008592007,9.376095782869256e-14,5.269365829972522e-11,-1
66,67,80,2020-04-08,-0.024665691994443538,2.0057326307683391e-13,1.0690554921995247e-10,-1
67,68,81,2020-04-09,-0.023285068141659506,4.3969826718430027e-13,2.2292702146244024e-10,-1
68,69,82,2020-04-10,-0.021879758531709835,1.045254306777749e-12,4.99631558639764e-10,-1
69,70,83,2020-04-11,-0.020452881231227214,2.7638569821402725e-12,1.2547910698916838e-09,-1
70,71,84,2020-04-12,-0.01900817568679768,8.130931969902938e-12,3.447515155238846e-09,-1
71,72,85,2020-04-13,-0.01754987874504597,2.5916892920763166e-11,1.0055754453256108e-08,-1
72,73,86,2020-04-14,-0.016080277757051554,8.696646595398688e-11,3.061219601580338e-08,-1
73,74,87,2020-04-15,-0.014596916646810133,3.0790689280245144e-10,1.0130136773200653e-07,-1
74,75,88,2020-04-16,-0.013094642852213978,1.192989769103398e-09,3.578969307310194e-07,-1
75,76,89,2020-04-17,-0.011571134600899062,5.2899888807131734e-09,1.3965570645082778e-06,-1
76,77,90,2020-04-18,-0.010030750295109685,2.7790729473837517e-08,6.641984344247167e-06,-1
77,78,91,2020-04-19,-0.008482140982787607,1.809234438504432e-07,3.7162252791275584e-05,-1
78,79,92,2020-04-20,-0.006934703793164973,1.5589906557030434e-06,0.0002697053834366265,-1
79,80,93,2020-04-21,-0.005400425942852995,1.8832011281575733e-05,0.0025611535342943,-1
80,81,94,2020-04-22,-0.003893670529306171,0.0003306960398590476,0.03174681982646857,-1
81,82,95,2020-04-23,-0.0024283582411837672,0.008175326942224418,0.4905196165334651,0
82,83,96,2020-04-24,-0.0010188056210837357,0.19288618921186565,1.0,0
83,84,97,2020-04-25,0.00031800755228448516,0.6555597521333529,1.0,0
84,85,98,2020-04-26,0.0015616483172293688,0.030576271384787277,1.0,0
85,86,99,2020-04-27,0.002687992893988241,0.00047550205660762266,0.041844180981470795,1
86,87,100,2020-04-28,0.003671765453600914,6.742575263212153e-06,0.0010248714400082472,1
87,88,101,2020-04-29,0.004492935444414631,1.0208045222328521e-07,2.1641055871336466e-05,1
88,89,102,2020-04-30,0.0051412055329484695,1.3550709031637529e-09,3.9839084553014337e-07,1
