,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.003302366561410227,4.922306019803323e-31,4.139659362654595e-28,-1
1,2,15,2020-02-03,-0.0032984123156701325,2.1870435308386687e-36,1.8786703929904165e-33,-1
2,3,16,2020-02-04,-0.0033003874223566047,2.139182991818889e-34,1.8332798239887878e-31,-1
3,4,17,2020-02-05,-0.0033039245582322523,9.124264421901376e-33,7.801246080725676e-30,-1
4,5,18,2020-02-06,-0.0033088114726833586,1.5286741490931199e-31,1.2932583301327793e-28,-1
5,6,19,2020-02-07,-0.003314849231617547,1.2864190876222568e-30,1.0780191954274511e-27,-1
6,7,20,2020-02-08,-0.0033219144546843514,6.876469168788105e-30,5.741851755938067e-27,-1
7,8,21,2020-02-09,-0.0033299407395089306,2.7096860768044654e-29,2.2382006994404884e-26,-1
8,9,22,2020-02-10,-0.0033389402920234426,8.623433856914909e-29,7.062592328813311e-26,-1
9,10,23,2020-02-11,-0.0033489083423604324,2.354094403409978e-28,1.9138787499723122e-25,-1
10,11,24,2020-02-12,-0.003359771572164697,5.565175785752453e-28,4.496662034887982e-25,-1
11,12,25,2020-02-13,-0.003371392785195808,1.1005401894629444e-27,8.859348525176703e-25,-1
12,13,26,2020-02-14,-0.003383610489427165,1.809517009938817e-27,1.4494231249609923e-24,-1
13,14,27,2020-02-15,-0.0033962181099909104,2.412134172617775e-27,1.9224709355763665e-24,-1
14,15,28,2020-02-16,-0.0034088997515252534,2.5445733541340217e-27,2.025480389890681e-24,-1
15,16,29,2020-02-17,-0.0034213180884100497,2.0386188939543364e-27,1.630895115163469e-24,-1
16,17,30,2020-02-18,-0.0034332016725405236,1.1498682857067672e-27,9.244941017082408e-25,-1
17,18,31,2020-02-19,-0.0034443268128076837,4.230110654123808e-28,3.4263896298402843e-25,-1
18,19,32,2020-02-20,-0.003454289430040604,8.639352009741139e-29,7.066989943968252e-26,-1
19,20,33,2020-02-21,-0.003462472989171416,7.576300012688929e-30,6.2959053105445e-27,-1
20,21,34,2020-02-22,-0.003468154258639791,2.060721396991613e-31,1.7392488590609213e-28,-1
21,22,35,2020-02-23,-0.0034707141371429634,5.322927080453645e-33,4.55642558086832e-30,-1
22,23,36,2020-02-24,-0.0034697703724864293,3.3244771421139525e-32,2.8291300479389735e-29,-1
23,24,37,2020-02-25,-0.0034650474768068073,7.296343739606175e-30,6.0778543350919435e-27,-1
24,25,38,2020-02-26,-0.0034563216258855544,7.642122513597809e-28,6.167192868473432e-25,-1
25,26,39,2020-02-27,-0.0034432991527205987,3.025384883665473e-26,2.3749271336773965e-23,-1
26,27,40,2020-02-28,-0.003425735871766064,6.030873343279137e-25,4.607587234265261e-22,-1
27,28,41,2020-02-29,-0.0034034564454534246,7.388771779674433e-24,5.438136029840383e-21,-1
28,29,42,2020-03-01,-0.0033762334631238624,6.453443459524307e-23,4.646479290857501e-20,-1
29,30,43,2020-03-02,-0.0033435403753862385,4.765357003010519e-22,3.264269547062205e-19,-1
30,31,44,2020-03-03,-0.0033045807227067214,3.469340644817463e-21,2.2585407597761684e-18,-1
31,32,45,2020-03-04,-0.0032586785932928386,2.6570178836217656e-20,1.6632931951472254e-17,-1
32,33,46,2020-03-05,-0.003205270414417209,2.0790034270182825e-19,1.2390860425028963e-16,-1
33,34,47,2020-03-06,-0.0031436726262472968,1.5942005043088604e-18,8.927522824129618e-16,-1
34,35,48,2020-03-07,-0.0030729355270408655,1.1644943763187989e-17,6.13688536320007e-15,-1
35,36,49,2020-03-08,-0.0029919649291665954,8.108147657060373e-17,3.9729923519595825e-14,-1
36,37,50,2020-03-09,-0.002900161237547998,5.254144265483837e-16,2.3380941981403074e-13,-1
37,38,51,2020-03-10,-0.002797773484169668,2.9848668185755157e-15,1.1939467274302063e-12,-1
38,39,52,2020-03-11,-0.0026859161655464164,1.4038180850467972e-14,5.1800887338226814e-12,-1
39,40,53,2020-03-12,-0.0025664605251189926,5.190201537336494e-14,1.8061901349931e-11,-1
40,41,54,2020-03-13,-0.00244174894658818,1.4680857839233092e-13,4.8300022291076874e-11,-1
41,42,55,2020-03-14,-0.0023138603652480363,3.276232947820851e-13,1.0418420774070306e-10,-1
42,43,56,2020-03-15,-0.0021839863854005207,6.344420972735983e-13,1.947737238629947e-10,-1
43,44,57,2020-03-16,-0.002052348340465509,1.2050448393926584e-12,3.5669327246022687e-10,-1
44,45,58,2020-03-17,-0.0019185106814367508,2.524640082796493e-12,7.169977835142041e-10,-1
45,46,59,2020-03-18,-0.0017819696727597214,6.449421568227399e-12,1.7348944018531703e-09,-1
46,47,60,2020-03-19,-0.0016429570370430956,2.0886932693719478e-11,5.284393971511028e-09,-1
47,48,61,2020-03-20,-0.0015025973987475324,8.137677326016258e-11,1.822839721027642e-08,-1
48,49,62,2020-03-21,-0.0013626246233045204,3.388906696531723e-10,6.540589924306226e-08,-1
49,50,63,2020-03-22,-0.0012252169444624918,1.2813123823977948e-09,2.1269785547803394e-07,-1
50,51,64,2020-03-23,-0.0010930168596631979,3.752733170110094e-09,5.478990428360737e-07,-1
51,52,65,2020-03-24,-0.0009690080678589914,7.430397742619258e-09,1.010534092996219e-06,-1
52,53,66,2020-03-25,-0.0008565459300533164,8.477998962550651e-09,1.1275738620192366e-06,-1
53,54,67,2020-03-26,-0.0007593237652791111,4.482612255003814e-09,6.49978776975553e-07,-1
54,55,68,2020-03-27,-0.0006811857969665548,8.029244676398984e-10,1.4131470630462212e-07,-1
55,56,69,2020-03-28,-0.000625122120058838,3.2624657729344235e-11,8.058290459148026e-09,-1
56,57,70,2020-03-29,-0.0005924180680439234,2.8802046077821455e-13,9.245456790980688e-11,-1
57,58,71,2020-03-30,-0.0005828700095554647,1.8663762782913687e-14,6.774945890197668e-12,-1
58,59,72,2020-03-31,-0.0005946806014653007,3.0230869979897407e-13,9.67387839356717e-11,-1
59,60,73,2020-04-01,-0.000624735102143403,5.573042442814179e-12,1.5158675444454567e-09,-1
60,61,74,2020-04-02,-0.0006699188300728303,2.891837872598855e-11,7.2295946814971376e-09,-1
61,62,75,2020-04-03,-0.0007278157939675148,6.45569321869583e-11,1.4959331476425508e-08,-1
62,63,76,2020-04-04,-0.0007964229284768423,9.141765202478605e-11,2.0294718749502503e-08,-1
63,64,77,2020-04-05,-0.0008745499808843529,1.0341961434089261e-10,2.2400041779249872e-08,-1
64,65,78,2020-04-06,-0.0009615268824527663,1.0322599898271831e-10,2.2400041779249872e-08,-1
65,66,79,2020-04-07,-0.0010565849336037967,9.387710447365754e-11,2.065296298420466e-08,-1
66,67,80,2020-04-08,-0.0011595186376126955,8.073348794448196e-11,1.816679774802007e-08,-1
67,68,81,2020-04-09,-0.0012709857150553698,6.974237351066262e-11,1.6040745907452402e-08,-1
68,69,82,2020-04-10,-0.001392129624310877,6.228502787907241e-11,1.4636981551582017e-08,-1
