,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0011642824245311834,0.0019440409856531665,0.16718752476617232,0
1,2,15,2020-02-03,-0.0017714705547309142,1.1423246038775583e-05,0.0018505658582816445,-1
2,3,16,2020-02-04,-0.002254310698876393,9.014476649100551e-07,0.00018299387597674118,-1
3,4,17,2020-02-05,-0.0027310761762398997,1.1591520720003656e-07,2.863105617840903e-05,-1
4,5,18,2020-02-06,-0.0032057213838145443,2.0474045593956195e-08,5.794154903089603e-06,-1
5,6,19,2020-02-07,-0.003682161145512751,4.396925847507401e-09,1.4114131970498757e-06,-1
6,7,20,2020-02-08,-0.004163750733695584,1.1032921919390953e-09,3.927720203303179e-07,-1
7,8,21,2020-02-09,-0.004652427919688645,3.3038255122505225e-10,1.2354170445262356e-07,-1
8,9,22,2020-02-10,-0.005149316595542197,1.205384734797056e-10,4.737162007752431e-08,-1
9,10,23,2020-02-11,-0.005654115839244238,5.208797394724687e-11,2.1564421214160206e-08,-1
10,11,24,2020-02-12,-0.006163841625073851,2.4366701592648744e-11,1.0575148491209555e-08,-1
11,12,25,2020-02-13,-0.006672143754548117,1.0891545682654261e-11,4.901195557194417e-09,-1
12,13,26,2020-02-14,-0.007168176360149766,4.018633933983509e-12,1.896795216840216e-09,-1
13,14,27,2020-02-15,-0.0076348976699073005,1.057741217079283e-12,5.256973848884036e-10,-1
14,15,28,2020-02-16,-0.008050360924570893,1.6810936851665456e-13,8.926607468234358e-11,-1
15,16,29,2020-02-17,-0.00839059420547967,1.2884584215850163e-14,7.460174260977244e-12,-1
16,17,30,2020-02-18,-0.008632326374204816,3.9428447930755875e-16,2.5589062707060563e-13,-1
17,18,31,2020-02-19,-0.008754739723502006,1.0816484352278346e-17,7.863584124106358e-15,-1
18,19,32,2020-02-20,-0.008740419546118327,1.977855932087646e-17,1.4226138364568897e-14,-1
19,20,33,2020-02-21,-0.008578134233382283,2.106366724679526e-15,1.3143728362000243e-12,-1
20,21,34,2020-02-22,-0.008265528808067699,1.9460320460264387e-13,1.0216668241638803e-10,-1
21,22,35,2020-02-23,-0.007808902285606597,7.6320671362804e-12,3.5183829498252644e-09,-1
22,23,36,2020-02-24,-0.007222642481086995,1.5549549931183618e-10,6.048774923230427e-08,-1
23,24,37,2020-02-25,-0.006527554705381657,2.0476583443441123e-09,6.962038370769982e-07,-1
24,25,38,2020-02-26,-0.005748293254770732,2.064133994363311e-08,5.816792667161691e-06,-1
25,26,39,2020-02-27,-0.0049127333663769295,1.8176687812260166e-07,4.307875011505659e-05,-1
26,27,40,2020-02-28,-0.004049397488321774,1.5739190713588475e-06,0.0003037663807722576,-1
27,28,41,2020-02-29,-0.003187821135653798,1.4640412884986013e-05,0.0022985448229428038,-1
28,29,42,2020-03-01,-0.0023575812845838123,0.0001547786184646308,0.018418655597291066,-1
29,30,43,2020-03-02,-0.0015863488461206957,0.0019047050898131949,0.16570934281374797,0
30,31,44,2020-03-03,-0.0008978717291271476,0.026532036196579786,1.0,0
31,32,45,2020-03-04,-0.0003122721961743642,0.31796965829252877,1.0,0
32,33,46,2020-03-05,0.00015527891433629197,0.5256637709182578,1.0,0
33,34,47,2020-03-06,0.0004966151747319053,0.014416057979550485,0.7928831888752766,0
34,35,48,2020-03-07,0.0007107970442992405,5.5127561572880445e-05,0.007607603497057501,1
35,36,49,2020-03-08,0.0008055057182726191,5.036746540582487e-07,0.00010829005062252346,1
36,37,50,2020-03-09,0.0007988313262279304,7.386999051275958e-07,0.00015426593729496907,1
37,38,51,2020-03-10,0.0007172370818166782,1.431603461709151e-05,0.0022619334695004583,1
38,39,52,2020-03-11,0.0005915217967230296,0.00019139332226715444,0.021657998661506465,1
39,40,53,2020-03-12,0.00045420937283945393,0.0011359246699896612,0.10675234779018433,0
40,41,54,2020-03-13,0.0003388950960919673,0.002744264926394358,0.21679692918515428,0
41,42,55,2020-03-14,0.0002754676875623982,0.0026221859694110813,0.2097748775528865,0
42,43,56,2020-03-15,0.00028497742627687036,0.0028576068486510305,0.21989782415549494,0
43,44,57,2020-03-16,0.0003771892393546285,0.003775350887023106,0.27937596563970984,0
44,45,58,2020-03-17,0.0005521596933152797,0.002192524232373892,0.17978698705465918,0
45,46,59,2020-03-18,0.0007997220204458747,0.0006274813594970475,0.06525806138769294,0
46,47,60,2020-03-19,0.0011006088821262484,0.00010719831915091667,0.013292591574713667,1
47,48,61,2020-03-20,0.0014299154040089861,1.1805910684178489e-05,0.0019007516201527367,1
48,49,62,2020-03-21,0.001758208099004073,8.392062883660371e-07,0.00017203728911503762,1
49,50,63,2020-03-22,0.0020548331401311942,3.6457436703551085e-08,9.879965346662345e-06,1
