,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.008973927755055738,1.4945690541858236e-23,9.684807471124137e-21,-1
1,2,15,2020-02-03,-0.009035980470284529,6.948807202742243e-24,4.634854404229076e-21,-1
2,3,16,2020-02-04,-0.009090722758004224,1.3082689733316524e-24,9.1840481927882e-22,-1
3,4,17,2020-02-05,-0.009132836284532042,8.899883251584117e-26,6.577013722920663e-23,-1
4,5,18,2020-02-06,-0.00915825211353606,2.5271088970236548e-27,1.9964160286486872e-24,-1
5,6,19,2020-02-07,-0.009163586065931787,6.448685107220525e-28,5.210537566634184e-25,-1
6,7,20,2020-02-08,-0.009147151041274292,2.7521524211849193e-26,2.086131535258169e-23,-1
7,8,21,2020-02-09,-0.009108319316107932,2.5744769741746594e-24,1.7635167273096417e-21,-1
8,9,22,2020-02-10,-0.009047639363188613,8.480112723850937e-23,5.1983090997206244e-20,-1
9,10,23,2020-02-11,-0.008967383782827458,9.78763267402734e-22,5.432136134085174e-19,-1
10,11,24,2020-02-12,-0.008871889780303463,4.6816763095111106e-21,2.415744975707733e-18,-1
11,12,25,2020-02-13,-0.008767182673350526,1.0381952154997102e-20,5.08715655594858e-18,-1
12,13,26,2020-02-14,-0.008660184548457234,1.0917221654507546e-20,5.3385213890541894e-18,-1
13,14,27,2020-02-15,-0.00855777526361627,5.2913391430253776e-21,2.719748319515044e-18,-1
14,15,28,2020-02-16,-0.008466318701596155,1.0980940738805949e-21,6.048465150976278e-19,-1
15,16,29,2020-02-17,-0.008391251541247306,8.510263727159208e-23,5.208281401021435e-20,-1
16,17,30,2020-02-18,-0.00833662271125692,2.0828676569830952e-24,1.4350958156613526e-21,-1
17,18,31,2020-02-19,-0.008304902057467391,2.1547313898479482e-26,1.6440600504539846e-23,-1
18,19,32,2020-02-20,-0.00829710476023451,2.9862802797463684e-27,2.3472162998806456e-24,-1
19,20,33,2020-02-21,-0.008312993096941954,8.507236532422737e-26,6.295355033992825e-23,-1
20,21,34,2020-02-22,-0.008351286324436413,3.976564550120645e-24,2.692134200431677e-21,-1
21,22,35,2020-02-23,-0.008408743042891308,5.668912685598786e-23,3.526063690442445e-20,-1
22,23,36,2020-02-24,-0.008480884357216025,2.832144404966315e-22,1.653972332500328e-19,-1
23,24,37,2020-02-25,-0.008562853390921115,6.356583010994146e-22,3.604182567233681e-19,-1
24,25,38,2020-02-26,-0.008650687400143018,8.146635804138352e-22,4.570262686121615e-19,-1
25,26,39,2020-02-27,-0.008742066321551589,7.554784610003575e-22,4.2457889508220087e-19,-1
26,27,40,2020-02-28,-0.008836381473129087,6.217505565402644e-22,3.5315431611487015e-19,-1
27,28,41,2020-02-29,-0.008933883939865389,5.481288545154313e-22,3.1298157592831127e-19,-1
28,29,42,2020-03-01,-0.009035206288593143,6.096012716722902e-22,3.4686312358153315e-19,-1
29,30,43,2020-03-02,-0.00914183747611896,9.822345901547394e-22,5.441579629457257e-19,-1
30,31,44,2020-03-03,-0.009255701327165869,2.3763709220160302e-21,1.266605701434544e-18,-1
31,32,45,2020-03-04,-0.00937863085144096,7.604616847332966e-21,3.817517657361149e-18,-1
32,33,46,2020-03-05,-0.009512334182818879,2.60357031093444e-20,1.2288851867610557e-17,-1
33,34,47,2020-03-06,-0.009658180611523057,7.910369052913789e-20,3.488472752334981e-17,-1
34,35,48,2020-03-07,-0.009816953725540898,1.9002373675689318e-19,7.866982701735377e-17,-1
35,36,49,2020-03-08,-0.00998833938447433,3.508183416416616e-19,1.3997651831502298e-16,-1
36,37,50,2020-03-09,-0.010171894750550147,5.231646362009485e-19,2.03511043482169e-16,-1
37,38,51,2020-03-10,-0.01036742706763963,7.070920478875804e-19,2.7081625434094326e-16,-1
38,39,52,2020-03-11,-0.010575665831497688,9.83436633154844e-19,3.6583842753360196e-16,-1
39,40,53,2020-03-12,-0.010799170244798206,1.5816875750352433e-18,5.694075270126876e-16,-1
40,41,54,2020-03-13,-0.01104226637414747,3.1975615278856773e-18,1.1063562886484444e-15,-1
41,42,55,2020-03-14,-0.01130996552780048,8.219022859889628e-18,2.6383063380245704e-15,-1
42,43,56,2020-03-15,-0.011606493689375923,2.481650883608481e-17,7.246420580136765e-15,-1
43,44,57,2020-03-16,-0.011933508186182717,7.350173422552458e-17,1.9624963038215065e-14,-1
44,45,58,2020-03-17,-0.012287762594956411,1.7208936763371593e-16,4.3366520643696417e-14,-1
45,46,59,2020-03-18,-0.012661043026801133,2.7171422200632045e-16,6.466392556587947e-14,-1
46,47,60,2020-03-19,-0.013041863238043664,2.6544727978619183e-16,6.370734714868604e-14,-1
47,48,61,2020-03-20,-0.013416147332260792,1.5115835797308092e-16,3.8545381283135636e-14,-1
48,49,62,2020-03-21,-0.01376836137458902,4.710246628192592e-17,1.3188690558939257e-14,-1
49,50,63,2020-03-22,-0.014083828710577461,7.469721953473162e-18,2.405250469018358e-15,-1
50,51,64,2020-03-23,-0.01435072563122977,5.379093712903943e-19,2.081709266893826e-16,-1
51,52,65,2020-03-24,-0.01456220381578217,1.472137565387407e-20,7.12514581647505e-18,-1
52,53,66,2020-03-25,-0.014716467295234167,1.181811578486818e-22,7.126323818275513e-20,-1
53,54,67,2020-03-26,-0.014816868466233648,2.1314503542486038e-25,1.5538273082472321e-22,-1
54,55,68,2020-03-27,-0.01487114420526166,1.872989242303743e-28,1.5321052002044616e-25,-1
55,56,69,2020-03-28,-0.014890241335054382,8.452524400694841e-30,7.133930594186445e-27,-1
56,57,70,2020-03-29,-0.014887155261003813,9.568836113367862e-30,8.05696000745574e-27,-1
57,58,71,2020-03-30,-0.014874294953611759,3.463922717229607e-30,2.937406464210707e-27,-1
58,59,72,2020-03-31,-0.014860440888553124,2.900715638795314e-31,2.468509008614812e-28,-1
59,60,73,2020-04-01,-0.014850733317614375,2.032039543594814e-32,1.7394258493171608e-29,-1
60,61,74,2020-04-02,-0.01484837907280118,1.1097926142393079e-32,9.533118556315655e-30,-1
61,62,75,2020-04-03,-0.014853919933114303,1.9295096673152475e-32,1.6535897848891672e-29,-1
62,63,76,2020-04-04,-0.014864573969563071,1.0107023346104745e-32,8.69204007765008e-30,-1
63,64,77,2020-04-05,-0.0148749150732719,6.339611476149273e-34,5.458405480964524e-31,-1
64,65,78,2020-04-06,-0.014877720216886528,1.1564829789368446e-34,9.9688832784356e-32,-1
65,66,79,2020-04-07,-0.014866235407345321,4.9164654093954425e-32,4.198661459623708e-29,-1
66,67,80,2020-04-08,-0.0148354349302176,4.177320103627604e-29,3.462998365907284e-26,-1
67,68,81,2020-04-09,-0.01478248828633182,7.766973245713852e-27,6.027171238673949e-24,-1
68,69,82,2020-04-10,-0.014706188282250201,4.720112627849495e-25,3.3796006415402383e-22,-1
69,70,83,2020-04-11,-0.014605316441169879,1.3880237806508704e-23,9.008274336424149e-21,-1
70,71,84,2020-04-12,-0.014479009119963315,2.3632164704698093e-22,1.3848448516953083e-19,-1
71,72,85,2020-04-13,-0.014325427010431982,2.7042255027498574e-21,1.4332395164574244e-18,-1
72,73,86,2020-04-14,-0.014139814597734895,2.4694735441469538e-20,1.1705304599256561e-17,-1
73,74,87,2020-04-15,-0.013915875122699083,2.0392275714557584e-19,8.36083304296861e-17,-1
74,75,88,2020-04-16,-0.013649407566737947,1.582512748378789e-18,5.694075270126876e-16,-1
75,76,89,2020-04-17,-0.013339294047462666,1.1350123212578975e-17,3.5639386887497986e-15,-1
76,77,90,2020-04-18,-0.012987556634730106,7.18573991570084e-17,1.9257782974078248e-14,-1
77,78,91,2020-04-19,-0.012600659265840067,3.631793036229076e-16,8.425759844051456e-14,-1
78,79,92,2020-04-20,-0.01218835722756899,1.3306670709014889e-15,2.754480836766082e-13,-1
79,80,93,2020-04-21,-0.011761960341643488,3.3085852606702747e-15,6.153968584846711e-13,-1
80,81,94,2020-04-22,-0.011333494181810325,5.3238230980476024e-15,9.582881576485684e-13,-1
81,82,95,2020-04-23,-0.010916083253427586,5.23153687135178e-15,9.469081737146722e-13,-1
