,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.007220084258911818,3.6571424671397535e-07,0.00011519998771490224,-1
1,2,15,2020-02-03,-0.008375811980175387,1.1623602579784649e-07,3.973725211263482e-05,-1
2,3,16,2020-02-04,-0.009610395459419146,1.0851549988458255e-08,4.384026195337135e-06,-1
3,4,17,2020-02-05,-0.01070230886451165,5.570157672669336e-10,2.7126667865899665e-07,-1
4,5,18,2020-02-06,-0.011577838969159477,1.3436892261197035e-11,7.847145080539068e-09,-1
5,6,19,2020-02-07,-0.012181221665055602,1.3398360727965232e-13,9.191275459384149e-11,-1
6,7,20,2020-02-08,-0.01247715413425434,1.630987637468276e-15,1.2428125797508263e-12,-1
7,8,21,2020-02-09,-0.012457375164186475,2.4164493931050214e-15,1.826835741187396e-12,-1
8,9,22,2020-02-10,-0.012138660543842425,1.3948699908849372e-13,9.54091073765297e-11,-1
9,10,23,2020-02-11,-0.01156575213844682,5.181183729022276e-12,3.139797339787499e-09,-1
10,11,24,2020-02-12,-0.01081007480739517,6.591763805763644e-11,3.5793277465296586e-08,-1
11,12,25,2020-02-13,-0.00995860907433707,3.100150167964523e-10,1.5562753843181905e-07,-1
12,13,26,2020-02-14,-0.009104370311603273,5.651036494579945e-10,2.7407526998712735e-07,-1
13,14,27,2020-02-15,-0.0083345574414655,3.6966988301627555e-10,1.8335626197607266e-07,-1
14,15,28,2020-02-16,-0.00772502020299492,6.894454427518753e-11,3.736794299715164e-08,-1
15,16,29,2020-02-17,-0.007339612421177998,3.6337938999090354e-12,2.2275156606442387e-09,-1
16,17,30,2020-02-18,-0.007224615461844483,6.038956888870113e-13,3.907205107098963e-10,-1
17,18,31,2020-02-19,-0.007405946019763737,8.95703808418743e-12,5.320480622007333e-09,-1
18,19,32,2020-02-20,-0.007887741304965248,2.550950312641287e-10,1.2958827588217738e-07,-1
19,20,33,2020-02-21,-0.008642993788188946,1.7265055210306122e-09,7.76942898139849e-07,-1
20,21,34,2020-02-22,-0.009613351720969882,3.141868287440284e-09,1.3572871001742026e-06,-1
21,22,35,2020-02-23,-0.01072093956875535,2.129869673157703e-09,9.39272525862547e-07,-1
22,23,36,2020-02-24,-0.011879956478739429,6.852544991533528e-10,3.289221595936093e-07,-1
23,24,37,2020-02-25,-0.013005112323948026,1.1748795582659441e-10,6.203364067644185e-08,-1
24,25,38,2020-02-26,-0.014010799973908895,1.0180376244052935e-11,6.006421983991232e-09,-1
25,26,39,2020-02-27,-0.014814477652469701,3.6357709573879896e-13,2.395973060918685e-10,-1
26,27,40,2020-02-28,-0.015343954900849254,4.923320425878073e-15,3.643257115149774e-12,-1
27,28,41,2020-02-29,-0.01553987948755033,2.1834508175246773e-16,1.7292930474795444e-13,-1
28,29,42,2020-03-01,-0.015363081328049102,4.414262938008491e-15,3.284211625878317e-12,-1
29,30,43,2020-03-02,-0.01480098384116577,7.746906985991905e-13,4.965767378020811e-10,-1
30,31,44,2020-03-03,-0.013864739432902319,6.509545776488376e-11,3.5542119939626536e-08,-1
31,32,45,2020-03-04,-0.012582593981376533,2.715304371942113e-09,1.1811574017948193e-06,-1
32,33,46,2020-03-05,-0.010999054067704428,7.65692927928099e-08,2.6646113891897844e-05,-1
33,34,47,2020-03-06,-0.009168085326091561,1.8290255449508035e-06,0.0004956659226816678,-1
34,35,48,2020-03-07,-0.007151299079150444,4.333228477287028e-05,0.008233134106845353,-1
35,36,49,2020-03-08,-0.0050226502520948485,0.0011189595169726217,0.14210785865552295,0
36,37,50,2020-03-09,-0.0028772961877954455,0.02961393748057732,1.0,0
37,38,51,2020-03-10,-0.0008186000803738522,0.47234540605414554,1.0,0
38,39,52,2020-03-11,0.0010627768307191186,0.3074480815740881,1.0,0
39,40,53,2020-03-12,0.0026976295823075377,0.00828770038108772,0.7624684350600703,0
40,41,54,2020-03-13,0.0040340413935059695,7.646083307685735e-05,0.01353356745460375,1
41,42,55,2020-03-14,0.005032162306964241,4.1215908916463074e-07,0.00012818147673020015,1
42,43,56,2020-03-15,0.005661440794740824,1.3737913114251512e-09,6.319440032555695e-07,1
43,44,57,2020-03-16,0.005910276432022316,2.1583304913570754e-11,1.23240671056489e-08,1
44,45,58,2020-03-17,0.00579495573498552,1.7179373504727115e-10,8.950453595962827e-08,1
45,46,59,2020-03-18,0.0053682408845199155,1.2816580397425452e-08,5.066022939853147e-06,1
46,47,60,2020-03-19,0.004717911369564963,4.3008966761858236e-07,0.00013332779696176053,1
47,48,61,2020-03-20,0.003950304674763507,5.695496911011985e-06,0.0013726147555538884,1
48,49,62,2020-03-21,0.0031789768595269063,3.328236753145638e-05,0.006589908771228363,1
49,50,63,2020-03-22,0.002512137784300356,8.154557256267452e-05,0.014303866102922991,1
50,51,64,2020-03-23,0.002038949236613544,6.612668651792184e-05,0.011968930259743852,1
51,52,65,2020-03-24,0.0018301845642440609,2.599713905875501e-05,0.0053554106461035315,1
52,53,66,2020-03-25,0.0019387706468492547,5.370835055023483e-05,0.009989753202343679,1
53,54,67,2020-03-26,0.002391601532066022,0.0001906980384629567,0.03051168615407307,1
54,55,68,2020-03-27,0.003181683720302023,0.000205560442959653,0.03227298954466552,1
55,56,69,2020-03-28,0.00426510548914806,8.491524764302728e-05,0.014775253089886748,1
56,57,70,2020-03-29,0.005555713924515155,1.843712328869971e-05,0.0039086701372043385,1
57,58,71,2020-03-30,0.006939941646834378,2.43707569487106e-06,0.000648262134835702,1
58,59,72,2020-03-31,0.008294628967829584,2.0272500795328104e-07,6.669652761662946e-05,1
59,60,73,2020-04-01,0.00950140838156718,9.94277706859674e-09,4.036767489850276e-06,1
60,61,74,2020-04-02,0.010464305355049669,2.433256284798728e-10,1.2433939615321502e-07,1
61,62,75,2020-04-03,0.011107249310871013,2.841121706160617e-12,1.7558132144072613e-09,1
62,63,76,2020-04-04,0.011377980243620505,8.775994137298842e-14,6.072987943010799e-11,1
63,64,77,2020-04-05,0.01125585759872576,5.240621048166576e-13,3.4064036813082743e-10,1
64,65,78,2020-04-06,0.010754314172577968,4.0274552452647175e-11,2.2432925716124477e-08,1
65,66,79,2020-04-07,0.00991763221231264,1.8217130776133695e-09,8.161274587707895e-07,1
66,67,80,2020-04-08,0.008820417234976253,3.8494432099196656e-08,1.4127456580405173e-05,1
67,68,81,2020-04-09,0.00754860590757756,4.84666364065372e-07,0.0001473385746758731,1
68,69,82,2020-04-10,0.006181474370199882,4.58188834401156e-06,0.0011271445326268437,1
69,70,83,2020-04-11,0.004791917687827359,3.961004857730358e-05,0.007605129326842287,1
70,71,84,2020-04-12,0.00344683224681681,0.00036692713461335857,0.05393828878816371,0
