,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0012016076065581045,1.278382125721236e-13,5.944476884603746e-11,1
1,2,15,2020-02-03,0.0012661917472045266,1.407701898924051e-12,5.729346728620887e-10,1
2,3,16,2020-02-04,0.0013523259731002867,4.646779279600363e-12,1.7239551127317344e-09,1
3,4,17,2020-02-05,0.0014514342972979238,8.446570851431939e-12,2.9731929397040422e-09,1
4,5,18,2020-02-06,0.001560654108870722,9.397902117528334e-12,3.2798678390173885e-09,1
5,6,19,2020-02-07,0.0016769560057779175,6.9809334070813944e-12,2.5061550931422207e-09,1
6,7,20,2020-02-08,0.0017975464944882846,3.757679511234508e-12,1.4053721372017058e-09,1
7,8,21,2020-02-09,0.0019202899224605389,1.592889423434536e-12,6.387486587972489e-10,1
8,9,22,2020-02-10,0.002043807438178122,5.884087424817321e-13,2.512505330396996e-10,1
9,10,23,2020-02-11,0.0021674674119186183,2.1584823182199726e-13,9.864264194265275e-11,1
10,11,24,2020-02-12,0.002291324719560841,9.180305468063824e-14,4.3422844863941886e-11,1
11,12,25,2020-02-13,0.0024156675252328067,5.0201402806031526e-14,2.4448083166537354e-11,1
12,13,26,2020-02-14,0.002538525741029261,3.0845966644669744e-14,1.5330445422400864e-11,1
13,14,27,2020-02-15,0.0026532833681534576,1.4028440766077766e-14,7.2520084252239715e-12,1
14,15,28,2020-02-16,0.002746019574053536,2.5339659537741646e-15,1.401283172437113e-12,1
15,16,29,2020-02-17,0.002793534401774496,1.9770187844638587e-16,1.219820590014201e-13,1
16,17,30,2020-02-18,0.0027677252672830333,2.4072210688142153e-15,1.3360076931918895e-12,1
17,18,31,2020-02-19,0.0026430897691577166,6.133397003100331e-12,2.2141563181192195e-09,1
18,19,32,2020-02-20,0.002403303445921762,6.568783353179577e-09,1.320325453989095e-06,1
19,20,33,2020-02-21,0.0020447540511129877,1.9953035439611364e-06,0.00022945990755553067,1
20,21,34,2020-02-22,0.0015767036139116204,0.0002542113234469996,0.017794792641289973,1
21,22,35,2020-02-23,0.0010190293028287643,0.015482409874323411,0.5552971184718972,0
22,23,36,2020-02-24,0.0003979914055295435,0.3320564949464424,1.0,0
23,24,37,2020-02-25,-0.00026074893543204686,0.52912548573116,1.0,0
24,25,38,2020-02-26,-0.000937302194864901,0.033048117305584185,1.0,0
25,26,39,2020-02-27,-0.0016187936667144312,0.0007496797357787739,0.048729182825620304,-1
26,27,40,2020-02-28,-0.002299276809621033,1.446118866990186e-05,0.0013882741123105785,-1
27,28,41,2020-02-29,-0.0029772806823187936,4.834011037750265e-07,6.332554459452848e-05,-1
28,29,42,2020-03-01,-0.003653026891956561,4.984652631733857e-08,8.075137263408849e-06,-1
29,30,43,2020-03-02,-0.0043289657980870155,1.5699295356315307e-08,2.872971050205701e-06,-1
30,31,44,2020-03-03,-0.005009087059179761,8.738686598806343e-09,1.730259946563656e-06,-1
31,32,45,2020-03-04,-0.005695482591625168,5.076823848172155e-09,1.0407488888752918e-06,-1
32,33,46,2020-03-05,-0.006385624056187321,2.283805730451806e-09,5.024372606993973e-07,-1
33,34,47,2020-03-06,-0.007070399362844885,6.80781954276436e-10,1.647492329348975e-07,-1
34,35,48,2020-03-07,-0.007733678413826902,1.210709891780082e-10,3.341559301313027e-08,-1
35,36,49,2020-03-08,-0.008353422047545678,1.1666344985739264e-11,3.978223640137089e-09,-1
36,37,50,2020-03-09,-0.008904558327972826,5.556403434403753e-13,2.3948098802280176e-10,-1
