,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.09980251706715193,0.002968991707142593,1.0,0
1,2,15,2020-02-03,0.11744847405495729,0.000600085246939661,0.2412342692697437,0
2,3,16,2020-02-04,0.13235967545179483,0.00011838401206008935,0.051378661234078776,0
3,4,17,2020-02-05,0.1439774912453651,2.5818576700517845e-05,0.01138599232492837,1
4,5,18,2020-02-06,0.15179976259353156,7.75969752328289e-06,0.0035073832805238665,1
5,6,19,2020-02-07,0.15537082347853273,4.259550889347355e-06,0.001942355205542394,1
6,7,20,2020-02-08,0.11823771652283957,9.303151366120595e-09,4.828335559016589e-06,1
7,8,21,2020-02-09,0.1023275275257936,7.437424081979997e-10,4.083145821007018e-07,1
8,9,22,2020-02-10,0.09138030037598036,1.4298929851220676e-10,8.093194295790903e-08,1
9,10,23,2020-02-11,0.08291222339641395,3.915894633267522e-11,2.2555553087620926e-08,1
10,11,24,2020-02-12,0.07602702150689697,1.3126966756726745e-11,7.718656452955326e-09,1
11,12,25,2020-02-13,0.07026067729473139,5.0877660444639394e-12,3.0526596266783635e-09,1
12,13,26,2020-02-14,0.06532665367156859,2.2303918535589446e-12,1.367230206231633e-09,1
13,14,27,2020-02-15,0.0610356570980605,1.0888781757543528e-12,6.740155907919444e-10,1
14,15,28,2020-02-16,0.05731579206009463,5.139055962868085e-13,3.211909976792553e-10,1
15,16,29,2020-02-17,0.054349987925168756,1.245756730467909e-13,8.147249017260125e-11,1
16,17,30,2020-02-18,0.055429715233896296,2.372644624785475e-12,1.4520585103687108e-09,1
17,18,31,2020-02-19,0.05515994048913753,2.041195272636584e-12,1.2532938973988627e-09,1
18,19,32,2020-02-20,0.05367918128617483,4.600777966470994e-12,2.769668335815538e-09,1
19,20,33,2020-02-21,0.05113951618665791,6.630721103162486e-11,3.799403192112104e-08,1
20,21,34,2020-02-22,0.047694686885674506,1.938446448060832e-09,1.0448226355047884e-06,1
21,22,35,2020-02-23,0.043495896762290764,4.811488479503584e-08,2.391309774313281e-05,1
22,23,36,2020-02-24,0.03869094856419521,8.206386703878662e-07,0.0003873414524230729,1
23,24,37,2020-02-25,0.03342344179346647,9.823821881108556e-06,0.004401072202736633,1
24,25,38,2020-02-26,0.02783184886763694,8.819197347860469e-05,0.03845170043667164,1
25,26,39,2020-02-27,0.02204831941124573,0.0006330595517842852,0.2532238207137141,0
26,27,40,2020-02-28,0.016197726688029213,0.0038400209709108075,1.0,0
27,28,41,2020-02-29,0.010403904327024356,0.020734011688955174,1.0,0
28,29,42,2020-03-01,0.004857902579745591,0.10734477924063648,1.0,0
29,30,43,2020-03-02,1.988825835116868e-05,0.08949297723519824,1.0,0
30,31,44,2020-03-03,8.252256442465355e-07,0.6212049933830696,1.0,0
31,32,45,2020-03-04,-2.2068876919133395e-06,4.3271109694769495e-07,0.0002055377710501551,-1
32,33,46,2020-03-05,-2.6489929144505037e-06,1.3383522453537204e-07,6.491008389965544e-05,-1
33,34,47,2020-03-06,-3.1384388687853565e-06,3.904319743586057e-08,1.9521598717930283e-05,-1
34,35,48,2020-03-07,-3.6645203420444698e-06,1.4766003387059471e-08,7.574959737561509e-06,-1
35,36,49,2020-03-08,-4.234401617228148e-06,7.524762648069575e-09,3.9128765769961785e-06,-1
36,37,50,2020-03-09,-4.86252697746958e-06,5.025368553290355e-09,2.6533945961373076e-06,-1
37,38,51,2020-03-10,-5.567786120304356e-06,4.290993730153282e-09,2.2785176707113927e-06,-1
38,39,52,2020-03-11,-6.375269949493018e-06,4.57879825201252e-09,2.4267630735666354e-06,-1
39,40,53,2020-03-12,-7.318985945578041e-06,5.978773866178112e-09,3.1388562797435086e-06,-1
40,41,54,2020-03-13,-8.446168268991951e-06,9.375636651253468e-09,4.856413960783244e-06,-1
41,42,55,2020-03-14,-9.824343618909185e-06,1.738230931384601e-08,8.882360059375313e-06,-1
42,43,56,2020-03-15,-1.1553369579994368e-05,3.7650576371059605e-08,1.890058933827192e-05,-1
43,44,57,2020-03-16,-1.3786871985380606e-05,9.454992032533175e-08,4.614036111876189e-05,-1
44,45,58,2020-03-17,-1.6772249253657334e-05,2.741429297630649e-07,0.00013104032042674503,-1
45,46,59,2020-03-18,-2.092797772825734e-05,9.127421416365037e-07,0.0004289888065691567,-1
46,47,60,2020-03-19,-2.6984958814303027e-05,3.3834762342268946e-06,0.0015530155915101445,-1
47,48,61,2020-03-20,-3.604613203660114e-05,1.1454272076896105e-05,0.005108605346295663,-1
48,49,62,2020-03-21,-4.654787770883865e-05,8.671910398669414e-06,0.0039023596794012364,-1
49,50,63,2020-03-22,0.017937986380510255,0.109763140401873,1.0,0
50,51,64,2020-03-23,0.00997914651732769,0.42131468425707574,1.0,0
51,52,65,2020-03-24,-0.06922845019370794,0.1746598573449477,1.0,0
52,53,66,2020-03-25,-0.13358422591540872,0.03611249507670338,1.0,0
53,54,67,2020-03-26,-0.1837933131126305,0.008170354914967887,1.0,0
54,55,68,2020-03-27,-0.22073161948913955,0.0020960171563465637,0.7692382963791888,0
55,56,69,2020-03-28,-0.2450706058860363,0.0006980272781053103,0.2778148566859135,0
56,57,70,2020-03-29,-0.2573480381004535,0.000365522976788185,0.1531541272742495,0
57,58,71,2020-03-30,-0.25801361642582904,0.00035202057241007977,0.1478486404122335,0
58,59,72,2020-03-31,-0.24597692800217666,0.0006863446807637334,0.27385152762472964,0
59,60,73,2020-04-01,-0.22477199722430619,0.001915957804943512,0.7069884300241559,0
60,61,74,2020-04-02,-0.19300095013481763,0.007023993780657095,1.0,0
61,62,75,2020-04-03,-0.06604407671307308,0.4639656896282457,1.0,0
62,63,76,2020-04-04,-0.029717601127061666,0.7283196708132695,1.0,0
63,64,77,2020-04-05,0.040302953774755526,0.5679647106376202,1.0,0
64,65,78,2020-04-06,0.09594735331005295,0.09883097557904442,1.0,0
65,66,79,2020-04-07,0.07707700329596813,0.1836769438237391,1.0,0
66,67,80,2020-04-08,0.05900231354188379,0.3064651664823596,1.0,0
67,68,81,2020-04-09,0.04175836111903999,0.4662793393093968,1.0,0
68,69,82,2020-04-10,0.02526248615589244,0.6566798813836956,1.0,0
69,70,83,2020-04-11,0.009649617774955752,0.8637597685583712,1.0,0
70,71,84,2020-04-12,-0.004722240697217815,0.9322306390282618,1.0,0
71,72,85,2020-04-13,-0.017492247943750216,0.7493013558617492,1.0,0
72,73,86,2020-04-14,-0.026812126317195754,0.6201138115849778,1.0,0
73,74,87,2020-04-15,-0.0360091808443563,0.4990720918776911,1.0,0
74,75,88,2020-04-16,-0.04397360417741081,0.40182252465472335,1.0,0
75,76,89,2020-04-17,0.046758514683274965,2.144492966535634e-08,1.0915469199666377e-05,1
76,77,90,2020-04-18,0.049649854656660344,3.585975400255416e-08,1.8037456263284743e-05,1
77,78,91,2020-04-19,0.054898871433070526,5.639501074742735e-09,2.9663775653146786e-06,1
78,79,92,2020-04-20,0.05933938775500967,3.832313534418864e-10,2.1269340116024694e-07,1
79,80,93,2020-04-21,0.1301094504646835,0.005869770481162087,1.0,0
80,81,94,2020-04-22,0.16264993784904402,0.0014892714608605098,0.5599660692835517,0
81,82,95,2020-04-23,0.14574438467587691,0.005436322595185599,1.0,0
82,83,96,2020-04-24,0.12685919320348465,0.0171880390660069,1.0,0
83,84,97,2020-04-25,0.1061659329879059,0.047733534620363505,1.0,0
84,85,98,2020-04-26,0.08420123410559682,0.11609067942636675,1.0,0
85,86,99,2020-04-27,0.061695344584635166,0.24582952366229288,1.0,0
86,87,100,2020-04-28,0.03932936528833415,0.4531120470462391,1.0,0
87,88,101,2020-04-29,0.017610239503050403,0.7320211874056115,1.0,0
88,89,102,2020-04-30,-0.03605847153829378,0.5113061378987354,1.0,0
89,90,103,2020-05-01,-0.050711923826805144,0.3437666886283257,1.0,0
90,91,104,2020-05-02,-0.09901396661115748,0.07029461291032886,1.0,0
91,92,105,2020-05-03,-0.1420170895102826,0.008489674780471567,1.0,0
92,93,106,2020-05-04,-0.17971819401420527,0.0004619184699933697,0.19121441351896984,0
93,94,107,2020-05-05,-0.13419371470345273,0.0005683915938083335,0.23076698708618337,0
94,95,108,2020-05-06,-0.10331771712607694,0.0009475521236857071,0.3714404324847972,0
95,96,109,2020-05-07,-0.10842010672627951,0.0005239179600833992,0.21480636363419367,0
96,97,110,2020-05-08,-0.10832897704186743,0.0005296417255505123,0.21662346575015953,0
97,98,111,2020-05-09,-0.10305624990757054,0.0009557066065198112,0.3736812831492462,0
98,99,112,2020-05-10,-0.09256070718498474,0.0026596107638092985,0.9627790964989661,0
99,100,113,2020-05-11,-0.0767478649432762,0.00959977010222358,1.0,0
100,101,114,2020-05-12,-0.05547611046221995,0.03970680094071734,1.0,0
101,102,115,2020-05-13,-0.028563558775702356,0.18215743202537474,1.0,0
102,103,116,2020-05-14,-0.033756933098557325,0.10886430106296381,1.0,0
103,104,117,2020-05-15,0.0,1.0,1.0,0
104,105,118,2020-05-16,0.0,1.0,1.0,0
105,106,119,2020-05-17,0.0,1.0,1.0,0
