,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.003889108048510588,2.359729593539325e-13,1.3710028938463477e-10,-1
1,2,15,2020-02-03,-0.004179947988045876,7.434513714240164e-13,4.155893166260252e-10,-1
2,3,16,2020-02-04,-0.00448983174281901,9.139079784956054e-12,4.587818052047939e-09,-1
3,4,17,2020-02-05,-0.004879950046594414,6.43139838025024e-11,2.9252583239801446e-08,-1
4,5,18,2020-02-06,-0.005363320545144297,2.5025115770752026e-10,1.0388596384647473e-07,-1
5,6,19,2020-02-07,-0.005945340789123998,5.709051309605092e-10,2.2208209594363808e-07,-1
6,7,20,2020-02-08,-0.0066221903539000525,8.347658893860859e-10,3.0969814496223786e-07,-1
7,8,21,2020-02-09,-0.007386036969682606,8.593160406225037e-10,3.179469350303264e-07,-1
8,9,22,2020-02-10,-0.008225960361025153,6.549187101629623e-10,2.508338659924146e-07,-1
9,10,23,2020-02-11,-0.00912432030896967,3.720282953546367e-10,1.4955537473256396e-07,-1
10,11,24,2020-02-12,-0.010054931606710308,1.57701026884124e-10,6.781144156017332e-08,-1
11,12,25,2020-02-13,-0.01098586332416676,4.960093252836075e-11,2.3064433625687746e-08,-1
12,13,26,2020-02-14,-0.011881376041596156,1.1307687664894724e-11,5.6312284571175725e-09,-1
13,14,27,2020-02-15,-0.012709131291365736,1.7968257556187335e-12,9.595049535004037e-10,-1
14,15,28,2020-02-16,-0.013444033721671885,1.8665203125916755e-13,1.0937809031787218e-10,-1
15,16,29,2020-02-17,-0.014066789409007997,1.1382393727613381e-14,7.330261560583018e-12,-1
16,17,30,2020-02-18,-0.014562914154772144,3.45162729015824e-16,2.426493984981243e-13,-1
17,18,31,2020-02-19,-0.01492500067786051,4.087487146734409e-18,3.0860527957844784e-15,-1
18,19,32,2020-02-20,-0.015155240679263784,1.524387880878025e-20,1.2210346925832981e-17,-1
19,20,33,2020-02-21,-0.015266380208902587,5.660818298911777e-23,4.68149673320004e-20,-1
20,21,34,2020-02-22,-0.015280526022390453,2.2738264308002272e-23,1.8895497639949887e-20,-1
21,22,35,2020-02-23,-0.01522991193761388,1.2191648513766077e-22,1.0021535078315716e-19,-1
22,23,36,2020-02-24,-0.015151175507438773,1.7376824340200492e-22,1.4266372783304604e-19,-1
