,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,6.574583785408546e-05,6.916402949075767e-09,1.5631070664911234e-06,1
1,2,15,2020-02-03,5.730071261102519e-05,2.7586052961196093e-09,6.56548060476467e-07,1
2,3,16,2020-02-04,5.09386779373967e-05,1.7250401939953987e-09,4.2953500830485427e-07,1
3,4,17,2020-02-05,4.563979155615396e-05,5.844880893802049e-10,1.6073422457955636e-07,1
4,5,18,2020-02-06,4.147154378810869e-05,8.502571603256037e-11,2.6442997686126277e-08,1
5,6,19,2020-02-07,3.846719242953143e-05,3.823106416681273e-12,1.5483580987559156e-09,1
6,7,20,2020-02-08,3.66504458565874e-05,4.132505702724014e-14,2.1654329882273836e-11,1
7,8,21,2020-02-09,3.602299556921695e-05,1.2626100101096093e-15,7.373642459040119e-13,1
8,9,22,2020-02-10,3.656100705929006e-05,2.6448744945739385e-14,1.4123629801024832e-11,1
9,10,23,2020-02-11,3.81862783252931e-05,1.6160895894657875e-12,6.900702547018912e-10,1
10,11,24,2020-02-12,4.074098388897314e-05,2.043780766048419e-11,7.275859527132372e-09,1
11,12,25,2020-02-13,4.402416124608878e-05,7.032419044878989e-11,2.2503740943612766e-08,1
12,13,26,2020-02-14,4.781251887236224e-05,9.4328088254479e-11,2.905305118237953e-08,1
13,14,27,2020-02-15,5.1839268463405514e-05,5.820278160320344e-11,1.8817979171872144e-08,1
14,15,28,2020-02-16,5.5795117341599196e-05,1.697523745039048e-11,6.145035957041353e-09,1
15,16,29,2020-02-17,5.9343771971732304e-05,2.1624409865659733e-12,9.060627733711428e-10,1
16,17,30,2020-02-18,6.212677908745908e-05,1.0180937436682052e-13,5.052886253694866e-11,1
17,18,31,2020-02-19,6.37882790057449e-05,2.345312607745096e-15,1.341518811630195e-12,1
18,19,32,2020-02-20,6.402972908247485e-05,9.114471860580275e-16,5.368423925881782e-13,1
19,20,33,2020-02-21,6.264583929813245e-05,7.993655511235899e-14,4.0208087221516574e-11,1
20,21,34,2020-02-22,5.955347915083364e-05,1.35068486307169e-11,4.997533993365253e-09,1
21,22,35,2020-02-23,5.476895504319377e-05,1.0584754427994766e-09,2.7837904145626234e-07,1
22,23,36,2020-02-24,4.839253196011908e-05,4.805293132641489e-08,9.610586265282978e-06,1
23,24,37,2020-02-25,4.06010161799772e-05,1.6744719535084028e-06,0.0002478218491192436,1
24,25,38,2020-02-26,3.164242788754064e-05,5.4924198357421435e-05,0.006261358612746044,1
25,26,39,2020-02-27,2.183301685425027e-05,0.001925745758891825,0.15791115222912966,0
26,27,40,2020-02-28,1.1569443148657004e-05,0.06293610217813948,1.0,0
27,28,41,2020-02-29,1.3185135460927996e-06,0.8159591980514902,1.0,0
28,29,42,2020-03-01,-8.378731631177713e-06,0.132702823922588,1.0,0
29,30,43,2020-03-02,-1.6935504036026197e-05,0.0031142443060846285,0.24291105587460102,0
30,31,44,2020-03-03,-2.379332703494836e-05,3.892426079789416e-05,0.004593062774151511,-1
31,32,45,2020-03-04,-2.8466869334690563e-05,3.4542407304885287e-07,5.9363619909501546e-05,-1
32,33,46,2020-03-05,-3.0544102428178506e-05,8.11967367688192e-09,1.7863282089140222e-06,-1
33,34,47,2020-03-06,-2.9701204491716524e-05,5.3834485767200274e-08,1.0551559210371255e-05,-1
34,35,48,2020-03-07,-2.5743135253636298e-05,1.5778626860521204e-05,0.0019565497307046293,-1
35,36,49,2020-03-08,-1.8680564373699156e-05,0.0036413790308160035,0.2803861853728323,0
36,37,50,2020-03-09,-8.709270811380798e-06,0.2119491537222596,1.0,0
37,38,51,2020-03-10,3.838233551063922e-06,0.6320432651884452,1.0,0
38,39,52,2020-03-11,1.8674407536715818e-05,0.054627732902489116,1.0,0
39,40,53,2020-03-12,3.556188011662971e-05,0.002848316902571391,0.22501703530313988,0
40,41,54,2020-03-13,5.431744806186813e-05,0.00017490277761560914,0.017840083316792134,1
41,42,55,2020-03-14,7.484543801628521e-05,1.6094496414249732e-05,0.001979623058952717,1
42,43,56,2020-03-15,9.712535747962719e-05,2.3485639467919446e-06,0.00033584464439124806,1
43,44,57,2020-03-16,0.00012109469599789738,5.113647623426312e-07,8.33524562618489e-05,1
44,45,58,2020-03-17,0.00014661750230592703,1.468760402365114e-07,2.70251914035181e-05,1
45,46,59,2020-03-18,0.00017365070648635297,5.0352535614708726e-08,9.943049550760641e-06,1
46,47,60,2020-03-19,0.00020219543290838363,1.8950325864262896e-08,4.017469083223734e-06,1
47,48,61,2020-03-20,0.00023222379195240184,7.276091787392685e-09,1.6371206521633542e-06,1
48,49,62,2020-03-21,0.00026372148995065065,2.7250514960874745e-09,6.512873075649064e-07,1
49,50,63,2020-03-22,0.00029673025867689944,1.0087560729041145e-09,2.663116032466862e-07,1
50,51,64,2020-03-23,0.00033128958398307107,3.8728441470567937e-10,1.0921420494700158e-07,1
51,52,65,2020-03-24,0.00036733537515195317,1.650831706272254e-10,4.9359868017540396e-08,1
52,53,66,2020-03-25,0.00040477488819856515,8.062026929786114e-11,2.5457934427308608e-08,1
53,54,67,2020-03-26,0.00044345403155403215,4.423507315126526e-11,1.4774514432522597e-08,1
54,55,68,2020-03-27,0.00048311640538580876,2.550144067648672e-11,8.848999914740892e-09,1
55,56,69,2020-03-28,0.0005234172445773589,1.4048809345851008e-11,5.169961839273171e-09,1
56,57,70,2020-03-29,0.0005638363737983348,6.636517212838617e-12,2.561695644155706e-09,1
57,58,71,2020-03-30,0.0006035042822308592,2.4334419364057306e-12,1.0074449616719725e-09,1
58,59,72,2020-03-31,0.0006411567490812246,6.334912961386087e-13,2.812701354855423e-10,1
59,60,73,2020-04-01,0.000675354770222908,1.0308070097196914e-13,5.102494698112472e-11,1
60,61,74,2020-04-02,0.0007046367286334884,8.838529079492641e-15,4.896545110038923e-12,1
61,62,75,2020-04-03,0.0007274364814659934,3.165601248799864e-16,1.908857553026318e-13,1
62,63,76,2020-04-04,0.0007421224265631309,4.3494375622744674e-18,2.866279353538874e-15,1
63,64,77,2020-04-05,0.0007471479523584241,2.325345777505501e-19,1.6137899695888178e-16,1
64,65,78,2020-04-06,0.0007411408317588501,8.917701958369657e-18,5.796506272940277e-15,1
65,66,79,2020-04-07,0.0007228888804254474,2.759942601192333e-15,1.5676473974772451e-12,1
66,67,80,2020-04-08,0.0006913374151060371,4.006116136675344e-13,1.8388073067339829e-10,1
67,68,81,2020-04-09,0.0006457433353578672,2.90746805108236e-11,9.943540734701671e-09,1
68,69,82,2020-04-10,0.0005860343247735737,1.3493582091633058e-09,3.454357015458063e-07,1
69,70,83,2020-04-11,0.0005128148937281899,4.8870955316012e-08,9.725320107886388e-06,1
70,71,84,2020-04-12,0.0004273330581736757,1.6215701259934678e-06,0.0002416139487730267,1
71,72,85,2020-04-13,0.00033151163498995617,5.579591832352088e-05,0.006261358612746044,1
72,73,86,2020-04-14,0.00022761986927613009,0.0021456009969152362,0.17379368075013413,0
