,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.03252396967828992,2.5802915959434615e-34,2.2319522304910942e-31,-1
1,2,15,2020-02-03,-0.032507769527642776,1.6387321025435295e-33,1.4158645365976095e-30,-1
2,3,16,2020-02-04,-0.032446928159814974,8.045106456003191e-33,6.942926871530755e-30,-1
3,4,17,2020-02-05,-0.032369485900708296,6.684275105386518e-30,5.761845140843178e-27,-1
4,5,18,2020-02-06,-0.03226081622315706,2.7719242965223595e-27,2.3866268193057514e-24,-1
5,6,19,2020-02-07,-0.0321085304331909,3.2233544786554355e-25,2.759191433729053e-22,-1
6,7,20,2020-02-08,-0.03190110758580121,1.4678348855283268e-23,1.2476596526990778e-20,-1
7,8,21,2020-02-09,-0.03161928557160847,4.40590244156653e-22,3.7362052704484176e-19,-1
8,9,22,2020-02-10,-0.031229008032296602,1.4392213497935357e-20,1.2132635978759506e-17,-1
9,10,23,2020-02-11,-0.03066369696245976,9.012461272271553e-19,7.525405162346747e-16,-1
10,11,24,2020-02-12,-0.029722314618533204,3.9685882481147133e-16,3.238368010461606e-13,-1
11,12,25,2020-02-13,-0.027987503646589452,1.290472873094718e-12,9.949545851560276e-10,-1
12,13,26,2020-02-14,-0.024949118576718148,4.924721469268945e-09,3.4423803070189923e-06,-1
13,14,27,2020-02-15,-0.02025230739341595,7.777269450362811e-06,0.004790797981423491,-1
14,15,28,2020-02-16,-0.013863233098328391,0.0035300686728037744,1.0,0
15,16,29,2020-02-17,-0.006020466112450798,0.23776671868100976,1.0,0
16,17,30,2020-02-18,0.0028387821891176428,0.6210081764010592,1.0,0
17,18,31,2020-02-19,0.0121232822940262,0.06421675966225168,1.0,0
18,19,32,2020-02-20,0.021215323449424773,0.003480954759585985,1.0,0
19,20,33,2020-02-21,0.029558804889936827,0.0001249590947528189,0.07260123405138778,0
20,21,34,2020-02-22,0.03668709429370543,2.6979319893177178e-06,0.0016969992212808444,1
21,22,35,2020-02-23,0.04222481906686886,2.800363160215874e-08,1.909847675267226e-05,1
22,23,36,2020-02-24,0.0458804897645906,1.4457465767916677e-10,1.0568407476347091e-07,1
23,24,37,2020-02-25,0.047455592369112745,3.5687127594409488e-12,2.715790409934562e-09,1
24,25,38,2020-02-26,0.046962322181506,1.0209731943322274e-11,7.698137885264995e-09,1
25,26,39,2020-02-27,0.044758898196966254,9.932425558120335e-11,7.290400359660326e-08,1
26,27,40,2020-02-28,0.04148622561299271,3.5386569289850887e-10,2.569064930443174e-07,1
27,28,41,2020-02-29,0.03783051411043097,4.1108822164010136e-10,2.95983519580873e-07,1
28,29,42,2020-03-01,0.034308783363501134,1.707857840000721e-10,1.2467362232005264e-07,1
29,30,43,2020-03-02,0.031245962759447875,2.8104841507053484e-11,2.1022421447276006e-08,1
