,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0006619862501501478,0.00883483829447441,0.8039702847971713,0
1,2,15,2020-02-03,-0.0003354455296486991,0.044884806323428825,1.0,0
2,3,16,2020-02-04,-0.00013417192099287478,0.20729051687980132,1.0,0
3,4,17,2020-02-05,-2.9036961726993024e-05,0.6597921264475479,1.0,0
4,5,18,2020-02-06,-1.7940359713945006e-05,0.7698754429329747,1.0,0
5,6,19,2020-02-07,-9.571878733277707e-05,0.2675883561262337,1.0,0
6,7,20,2020-02-08,-0.0002486346254023544,0.04192597357012023,1.0,0
7,8,21,2020-02-09,-0.00045639643545547916,0.004590017482922037,0.45900174829220364,0
8,9,22,2020-02-10,-0.0006991722176002541,0.00041985232046489173,0.0558403586218306,0
9,10,23,2020-02-11,-0.0009599753104154787,3.421635787111424e-05,0.005953646269573878,-1
10,11,24,2020-02-12,-0.0012231105558142014,2.6060437616019833e-06,0.0005629054525060284,-1
11,12,25,2020-02-13,-0.0014746564649928068,1.7195405511915895e-07,4.625564082705376e-05,-1
12,13,26,2020-02-14,-0.0016957782548975987,7.925666026723164e-09,2.599618456765198e-06,-1
13,14,27,2020-02-15,-0.0018629108863604596,2.0238437420983086e-10,8.479905279391913e-08,-1
14,15,28,2020-02-16,-0.0019565169340426598,3.884834034369197e-12,2.066731706284413e-09,-1
15,16,29,2020-02-17,-0.001962242979392445,2.593692119837302e-12,1.4057811289518178e-09,-1
16,17,30,2020-02-18,-0.001868112533159752,4.959515432372114e-10,1.9639681112193572e-07,-1
17,18,31,2020-02-19,-0.0016673000887427601,1.5766489053441477e-07,4.2727185334826404e-05,-1
18,19,32,2020-02-20,-0.0013648600358380444,2.329138404806344e-05,0.004285614664843673,-1
19,20,33,2020-02-21,-0.0009824119638207566,0.0017923411069745109,0.20432688619509423,0
20,21,34,2020-02-22,-0.0005514853775876576,0.06559667034181464,1.0,0
21,22,35,2020-02-23,-0.00010648828412618662,0.7084000858095261,1.0,0
22,23,36,2020-02-24,0.0003173971050608481,0.24687055523123544,1.0,0
23,24,37,2020-02-25,0.0006834257412816475,0.009586457843562438,0.853194748077057,0
24,25,38,2020-02-26,0.0009546835375414824,0.0001149849017930507,0.017937644679715908,1
25,26,39,2020-02-27,0.0010991597535848704,1.587882117184522e-06,0.00035886135848370196,1
26,27,40,2020-02-28,0.001097526847445849,1.6969207323255716e-06,0.00037841332330860246,1
27,28,41,2020-02-29,0.0009422530491516624,0.00016433639794599726,0.02465045969189959,1
28,29,42,2020-03-01,0.0006333990573273441,0.021045610648937667,1.0,0
29,30,43,2020-03-02,0.00017493377962496466,0.5735134521734678,1.0,0
30,31,44,2020-03-03,-0.000423750147309501,0.2626348089548557,1.0,0
31,32,45,2020-03-04,-0.0011511984561385312,0.016478278998028964,1.0,0
32,33,46,2020-03-05,-0.0019958806231340108,0.0010217534182091414,0.1236321636033061,0
33,34,47,2020-03-06,-0.002944493164236583,9.332968937954985e-05,0.015119409679487076,-1
