,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.00787613493908231,1.1267443231670039e-08,3.785860925841133e-06,-1
1,2,15,2020-02-03,-0.008889458826530198,2.2989419201143072e-10,1.0299259802112096e-07,-1
2,3,16,2020-02-04,-0.00961166843852371,9.803823426658158e-12,5.21563406298214e-09,-1
3,4,17,2020-02-05,-0.01014453947116448,1.9352827110717878e-13,1.2126565042273142e-10,-1
4,5,18,2020-02-06,-0.010460510790222262,2.175875027685249e-15,1.5513988947395825e-12,-1
5,6,19,2020-02-07,-0.010550612054528055,2.3792852466480854e-16,1.8011189317126007e-13,-1
6,7,20,2020-02-08,-0.01041790455996196,4.741260983966145e-15,3.2856938618885384e-12,-1
7,8,21,2020-02-09,-0.010073988878390746,3.094119716793158e-13,1.9059777455445853e-10,-1
8,9,22,2020-02-10,-0.009542926502788136,9.208923276870284e-12,4.935982876402472e-09,-1
9,10,23,2020-02-11,-0.008859380955671785,1.2393463479861512e-10,5.725780127696019e-08,-1
10,11,24,2020-02-12,-0.008062354261354201,9.55658115003183e-10,3.860858784612859e-07,-1
11,12,25,2020-02-13,-0.007192282551612227,5.103729039121906e-09,1.84754991216213e-06,-1
12,13,26,2020-02-14,-0.006291716449462489,2.0911363150269214e-08,6.7543702975369564e-06,-1
13,14,27,2020-02-15,-0.005404254592975576,6.789448023173557e-08,1.975729374743505e-05,-1
14,15,28,2020-02-16,-0.0045722916166227685,1.6982409696542193e-07,4.466373750190596e-05,-1
15,16,29,2020-02-17,-0.003831142931090926,3.0276626464822294e-07,7.417773483881461e-05,-1
16,17,30,2020-02-18,-0.003208736993472008,3.25823363257898e-07,7.8613466772876e-05,-1
17,18,31,2020-02-19,-0.0027281680611740125,1.4502722473599864e-07,3.857724177977564e-05,-1
18,19,32,2020-02-20,-0.002408281048235785,1.6467332070584405e-08,5.351882922939931e-06,-1
19,20,33,2020-02-21,-0.0022611197346767563,1.0527372965899953e-09,4.182317677739535e-07,-1
20,21,34,2020-02-22,-0.002289956894130561,2.2486169058285118e-09,8.567230411206629e-07,-1
21,22,35,2020-02-23,-0.00248953036000636,4.2377785304344184e-08,1.2840468947216288e-05,-1
22,23,36,2020-02-24,-0.00285229501109247,2.573786489837544e-07,6.485941954390611e-05,-1
23,24,37,2020-02-25,-0.003364210249983351,4.2566164726991044e-07,9.747651722480949e-05,-1
24,25,38,2020-02-26,-0.003992592421150371,2.735440189268031e-07,6.838600473170077e-05,-1
25,26,39,2020-02-27,-0.004685395052601819,8.699591675644972e-08,2.414385539190471e-05,-1
26,27,40,2020-02-28,-0.005385410263970074,1.538005946637315e-08,5.0292794455040195e-06,-1
27,28,41,2020-02-29,-0.006042073919327076,1.549648857701559e-09,6.012637567882049e-07,-1
28,29,42,2020-03-01,-0.006617202605755051,8.363132850174116e-11,3.947398705282183e-08,-1
29,30,43,2020-03-02,-0.007085072552518951,2.183300821022785e-12,1.2597645737301469e-09,-1
30,31,44,2020-03-03,-0.0074313981338071395,2.5253397978731285e-14,1.68692698497925e-11,-1
31,32,45,2020-03-04,-0.007662113122484977,1.2979313642255404e-16,9.916195622683129e-14,-1
32,33,46,2020-03-05,-0.0078031185017124185,5.011112651308319e-19,4.0790456981649715e-16,-1
33,34,47,2020-03-06,-0.00789026293405756,1.2382960038214866e-20,1.0327388671871199e-17,-1
34,35,48,2020-03-07,-0.007962839462886713,2.143013926592188e-20,1.7808445729981082e-17,-1
35,36,49,2020-03-08,-0.00805926922844891,1.4779298061070218e-18,1.1941672833344736e-15,-1
36,37,50,2020-03-09,-0.008223153032213012,3.0019780049084866e-16,2.251483503681365e-13,-1
37,38,51,2020-03-10,-0.00849557621111472,2.6727710150772835e-14,1.780065496041471e-11,-1
38,39,52,2020-03-11,-0.008899000629482625,6.068183080229967e-13,3.68338712969959e-10,-1
39,40,53,2020-03-12,-0.009436797662513331,4.205126283091171e-12,2.342255339681782e-09,-1
40,41,54,2020-03-13,-0.010102408123024396,1.2179677905627872e-11,6.443049612077144e-09,-1
41,42,55,2020-03-14,-0.010884704389966093,1.90221644247584e-11,9.87250333644961e-09,-1
42,43,56,2020-03-15,-0.011768239000730233,1.9152829350670194e-11,9.92116560364716e-09,-1
43,44,57,2020-03-16,-0.0127319020362924,1.3848316918098179e-11,7.2842146989196424e-09,-1
44,45,58,2020-03-17,-0.013745896376335633,7.85861368203984e-12,4.250856187137582e-09,-1
45,46,59,2020-03-18,-0.014772972359598168,3.6357061991739942e-12,2.050538296334133e-09,-1
46,47,60,2020-03-19,-0.015771800112729654,1.3049002332072434e-12,7.672813371258592e-10,-1
47,48,61,2020-03-20,-0.016695392334117556,3.1148814325825103e-13,1.915652081038244e-10,-1
48,49,62,2020-03-21,-0.017492269289357137,4.085548910453964e-14,2.6923767319891622e-11,-1
49,50,63,2020-03-22,-0.018107128499469893,2.4400744291701454e-15,1.7300127702816331e-12,-1
50,51,64,2020-03-23,-0.018487715846298373,7.207745457257179e-17,5.5499640020880276e-14,-1
51,52,65,2020-03-24,-0.018582822430532806,1.4050782320393082e-17,1.1072016468469749e-14,-1
52,53,66,2020-03-25,-0.018341882303600614,7.4720778429756795e-16,5.491977214587125e-13,-1
53,54,67,2020-03-26,-0.01773397104176188,1.5122781388175925e-13,9.633211744268064e-11,-1
54,55,68,2020-03-27,-0.016758048257228916,1.2511666764152115e-11,6.6061600514723164e-09,-1
55,56,69,2020-03-28,-0.01543795023195805,4.5343311268230974e-10,1.9406937222802856e-07,-1
56,57,70,2020-03-29,-0.013815296892791868,9.589768789171841e-09,3.27970092589677e-06,-1
57,58,71,2020-03-30,-0.011945198828600446,1.486832530322004e-07,3.9401062053533106e-05,-1
58,59,72,2020-03-31,-0.009895589457710468,2.0215716238329577e-06,0.0004083574680142575,-1
59,60,73,2020-04-01,-0.007739305253366878,2.847402485892759e-05,0.004527369952569487,-1
60,61,74,2020-04-02,-0.005550557527188876,0.0004829738887846943,0.05747389276537863,0
61,62,75,2020-04-03,-0.0033917055354604655,0.010826607944036127,0.8228222037467456,0
62,63,76,2020-04-04,-0.0013142938359669394,0.2380920604179652,1.0,0
63,64,77,2020-04-05,0.0006359939982562796,0.5274533838290449,1.0,0
64,65,78,2020-04-06,0.002423041907037969,0.01841757292972458,1.0,0
65,66,79,2020-04-07,0.004018155264126923,0.00028199270637956336,0.03581307371020455,1
66,67,80,2020-04-08,0.005394320382401202,4.717286373840551e-06,0.0008679806927866613,1
67,68,81,2020-04-09,0.006519671841481797,8.000375951175408e-08,2.2401052663291145e-05,1
68,69,82,2020-04-10,0.007361336316389735,9.951606524041751e-10,4.000545822664784e-07,1
69,70,83,2020-04-11,0.007895090811068733,7.924128756722546e-12,4.2711053998734525e-09,1
70,71,84,2020-04-12,0.0081102759132822,2.2219032064054153e-13,1.3820237943841682e-10,1
71,72,85,2020-04-13,0.008016994819059969,1.3005511534457402e-12,7.66024629379541e-10,1
72,73,86,2020-04-14,0.0076455604947150545,9.096871962621202e-11,4.257336078506722e-08,1
73,74,87,2020-04-15,0.00704683603184331,3.5724767866716924e-09,1.3360084359467831e-06,1
74,75,88,2020-04-16,0.006287379240589681,5.647288525004292e-08,1.6715974034012706e-05,1
75,76,89,2020-04-17,0.005444899907642654,3.9843143598662495e-07,9.203766171291036e-05,1
76,77,90,2020-04-18,0.004603509090652375,1.3068122041825652e-06,0.00027704418728670383,1
77,78,91,2020-04-19,0.00385117831472183,1.6706390850862796e-06,0.0003424810124426873,1
