,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.5861025687652481,0.1896904541990871,1.0,0
1,2,15,2020-02-03,-0.19660183994718972,0.6704227487628502,1.0,0
2,3,16,2020-02-04,0.19289888887086895,0.6763197628443287,1.0,0
3,4,17,2020-02-05,0.5823996176889273,0.1927247367387263,1.0,0
4,5,18,2020-02-06,0.971900346506986,0.018591909852578928,1.0,0
5,6,19,2020-02-07,1.3614010753250445,6.449264513950529e-05,0.028118793280824304,1
6,7,20,2020-02-08,1.3053042614636707,0.0001259924166047166,0.05342078464039984,0
7,8,21,2020-02-09,1.2236826160466832,0.0003204010502069993,0.13200523268528372,0
8,9,22,2020-02-10,1.0976576817036736,0.0011157617200475759,0.43626283253860215,0
9,10,23,2020-02-11,0.9208256847919802,0.004715211237310089,1.0,0
10,11,24,2020-02-12,0.6874941650819456,0.02189448552705617,1.0,0
11,12,25,2020-02-13,0.3889643331325923,0.10886430106296381,1.0,0
12,13,26,2020-02-14,0.0,1.0,1.0,0
13,14,27,2020-02-15,-0.37178458776631423,0.10886430106296381,1.0,0
14,15,28,2020-02-16,-0.6501519059636571,0.02213171919894189,1.0,0
15,16,29,2020-02-17,-0.8606765943327411,0.0049438056342842995,1.0,0
16,17,30,2020-02-18,-1.0117250994742306,0.0012840185641417846,0.49434714719458706,0
17,18,31,2020-02-19,-1.1079607326847922,0.00045019814132042147,0.18323064351741153,0
18,19,32,2020-02-20,-1.1523326415585309,0.00025840709944366125,0.10749735336856309,0
19,20,33,2020-02-21,-1.1468841146577897,0.0002775889251461115,0.11519940393563628,0
20,21,34,2020-02-22,-1.0931758435759302,0.0005432903958238122,0.21785944872534868,0
21,22,35,2020-02-23,-0.9924600869669801,0.001638537814166625,0.6226443693833175,0
22,23,36,2020-02-24,-0.845747806593426,0.0062698977843818945,1.0,0
23,24,37,2020-02-25,-0.6538565621880998,0.026445573749093395,1.0,0
24,25,38,2020-02-26,-0.417457321718089,0.11455415446236969,1.0,0
25,26,39,2020-02-27,-0.13710249885707723,0.5076422223497863,1.0,0
26,27,40,2020-02-28,0.18677150491231673,0.00010100381149703001,0.04363364656671696,1
27,28,41,2020-02-29,0.12483095599696194,1.9340417010978884e-05,0.008645166403907561,1
28,29,42,2020-03-01,0.09035765227413803,1.7829520017015615e-05,0.008005454487640012,1
29,30,43,2020-03-02,0.06561915337429745,3.8442539659298466e-05,0.01699160252940992,1
30,31,44,2020-03-03,0.04619069869499345,0.00017628016651045908,0.07403766993439281,0
31,32,45,2020-03-04,0.030056198171666586,0.0016398707457077788,0.6226443693833175,0
32,33,46,2020-03-05,0.016227268515079593,0.02823974606459729,1.0,0
33,34,47,2020-03-06,0.004218460750422256,0.4761878569156309,1.0,0
34,35,48,2020-03-07,-0.0061452380981372,0.24543946098505504,1.0,0
35,36,49,2020-03-08,-0.014864736019845937,0.004836168270030904,1.0,0
36,37,50,2020-03-09,-0.021891186941523505,4.7119886715035904e-05,0.02068563026790076,-1
37,38,51,2020-03-10,-0.027249989607573282,3.8174537411392835e-07,0.00018094730733000204,-1
38,39,52,2020-03-11,-0.031132672871320467,2.2900805543447986e-09,1.2412236604548808e-06,-1
39,40,53,2020-03-12,-0.03398448344056817,8.431375770373292e-12,5.117845092616588e-09,-1
40,41,54,2020-03-13,-0.036567852229439604,6.232271712284126e-14,4.237944764353206e-11,-1
41,42,55,2020-03-14,-0.040097874885194104,4.1954755240592845e-12,2.5928038738686378e-09,-1
42,43,56,2020-03-15,-0.046515288889826714,1.2403205491046732e-08,6.325634800433833e-06,-1
43,44,57,2020-03-16,-0.05904679477474834,3.1623190447455646e-06,0.0014609913986724508,-1
44,45,58,2020-03-17,-0.08528090318700804,0.000116820574656343,0.05011602652757115,0
45,46,59,2020-03-18,0.22210984844497803,0.24525143907596278,1.0,0
46,47,60,2020-03-19,0.4845050589166019,0.04858927612696054,1.0,0
47,48,61,2020-03-20,0.7015908669930423,0.010212935646158407,1.0,0
48,49,62,2020-03-21,0.8731923109130655,0.0022690557611264616,0.8486268546612966,0
49,50,63,2020-03-22,0.9992792335063827,0.0005838826046205225,0.233553041848209,0
50,51,64,2020-03-23,1.0798883371539307,0.00020652895535129434,0.08632910333684103,0
51,52,65,2020-03-24,1.115007975057092,0.00012403898049605464,0.05284060569131927,0
52,53,66,2020-03-25,1.1044745715392101,0.0001451003483393452,0.06123234699920367,0
53,54,67,2020-03-26,1.047834254914406,0.0003167162725133937,0.1308038205480316,0
54,55,68,2020-03-27,0.9441718903026038,0.0010698184834640296,0.4193688455178996,0
55,56,69,2020-03-28,0.7918549462900903,0.0045699001880260956,1.0,0
56,57,70,2020-03-29,0.5880657415739661,0.021606205193892686,1.0,0
57,58,71,2020-03-30,0.3278458889875984,0.10886430106296377,1.0,0
58,59,72,2020-03-31,0.0,1.0,1.0,0
59,60,73,2020-04-01,0.0,1.0,1.0,0
60,61,74,2020-04-02,0.0,1.0,1.0,0
61,62,75,2020-04-03,0.0,1.0,1.0,0
62,63,76,2020-04-04,0.0,1.0,1.0,0
63,64,77,2020-04-05,0.0,1.0,1.0,0
64,65,78,2020-04-06,0.0,1.0,1.0,0
65,66,79,2020-04-07,0.0,1.0,1.0,0
66,67,80,2020-04-08,0.0,1.0,1.0,0
67,68,81,2020-04-09,0.0,1.0,1.0,0
68,69,82,2020-04-10,0.0,1.0,1.0,0
69,70,83,2020-04-11,0.0,1.0,1.0,0
70,71,84,2020-04-12,0.0,1.0,1.0,0
71,72,85,2020-04-13,0.0,1.0,1.0,0
72,73,86,2020-04-14,0.0,1.0,1.0,0
73,74,87,2020-04-15,0.0,1.0,1.0,0
74,75,88,2020-04-16,0.0,1.0,1.0,0
75,76,89,2020-04-17,0.0,1.0,1.0,0
76,77,90,2020-04-18,0.0,1.0,1.0,0
77,78,91,2020-04-19,0.0,1.0,1.0,0
78,79,92,2020-04-20,0.0,1.0,1.0,0
79,80,93,2020-04-21,0.0,1.0,1.0,0
80,81,94,2020-04-22,0.0,1.0,1.0,0
81,82,95,2020-04-23,0.0,1.0,1.0,0
82,83,96,2020-04-24,0.0,1.0,1.0,0
83,84,97,2020-04-25,0.0,1.0,1.0,0
84,85,98,2020-04-26,0.0,1.0,1.0,0
85,86,99,2020-04-27,0.0,1.0,1.0,0
86,87,100,2020-04-28,0.0,1.0,1.0,0
87,88,101,2020-04-29,0.0,1.0,1.0,0
88,89,102,2020-04-30,0.0,1.0,1.0,0
89,90,103,2020-05-01,0.0,1.0,1.0,0
90,91,104,2020-05-02,0.0,1.0,1.0,0
91,92,105,2020-05-03,0.0,1.0,1.0,0
92,93,106,2020-05-04,0.0,1.0,1.0,0
93,94,107,2020-05-05,0.0,1.0,1.0,0
94,95,108,2020-05-06,0.0,1.0,1.0,0
95,96,109,2020-05-07,0.0,1.0,1.0,0
96,97,110,2020-05-08,0.0,1.0,1.0,0
97,98,111,2020-05-09,0.0,1.0,1.0,0
98,99,112,2020-05-10,0.0,1.0,1.0,0
99,100,113,2020-05-11,0.0,1.0,1.0,0
100,101,114,2020-05-12,0.0,1.0,1.0,0
101,102,115,2020-05-13,0.0,1.0,1.0,0
102,103,116,2020-05-14,0.0,1.0,1.0,0
103,104,117,2020-05-15,0.0,1.0,1.0,0
104,105,118,2020-05-16,0.0,1.0,1.0,0
105,106,119,2020-05-17,0.0,1.0,1.0,0
106,107,120,2020-05-18,0.0,1.0,1.0,0
107,108,121,2020-05-19,0.0,1.0,1.0,0
108,109,122,2020-05-20,0.0,1.0,1.0,0
109,110,123,2020-05-21,0.0,1.0,1.0,0
110,111,124,2020-05-22,0.0,1.0,1.0,0
111,112,125,2020-05-23,0.0,1.0,1.0,0
112,113,126,2020-05-24,0.0,1.0,1.0,0
113,114,127,2020-05-25,0.0,1.0,1.0,0
114,115,128,2020-05-26,0.0,1.0,1.0,0
115,116,129,2020-05-27,0.0,1.0,1.0,0
116,117,130,2020-05-28,0.0,1.0,1.0,0
117,118,131,2020-05-29,0.0,1.0,1.0,0
118,119,132,2020-05-30,0.0,1.0,1.0,0
119,120,133,2020-05-31,0.0,1.0,1.0,0
120,121,134,2020-06-01,0.0,1.0,1.0,0
121,122,135,2020-06-02,0.0,1.0,1.0,0
122,123,136,2020-06-03,0.0,1.0,1.0,0
123,124,137,2020-06-04,0.0,1.0,1.0,0
124,125,138,2020-06-05,0.0,1.0,1.0,0
125,126,139,2020-06-06,0.0,1.0,1.0,0
126,127,140,2020-06-07,0.0,1.0,1.0,0
127,128,141,2020-06-08,0.0,1.0,1.0,0
128,129,142,2020-06-09,0.0,1.0,1.0,0
129,130,143,2020-06-10,0.0,1.0,1.0,0
130,131,144,2020-06-11,0.0,1.0,1.0,0
131,132,145,2020-06-12,0.0,1.0,1.0,0
132,133,146,2020-06-13,0.0,1.0,1.0,0
133,134,147,2020-06-14,0.0,1.0,1.0,0
134,135,148,2020-06-15,0.0,1.0,1.0,0
135,136,149,2020-06-16,0.0,1.0,1.0,0
136,137,150,2020-06-17,-0.2038515773265456,0.10886430106296381,1.0,0
137,138,151,2020-06-18,-0.33753745893860887,0.02375724999944411,1.0,0
138,139,152,2020-06-19,-0.4284673550250489,0.006279908017495915,1.0,0
139,140,153,2020-06-20,-0.4849049312065444,0.0022306963034274697,0.8365111137853011,0
140,141,154,2020-06-21,-0.5113158418131634,0.0012590784628617178,0.48852244359034647,0
141,142,155,2020-06-22,-0.5106755782483691,0.0012780990387317632,0.4933462289504606,0
142,143,156,2020-06-23,-0.4852013079957514,0.0022926095691206483,0.8551433692820019,0
143,144,157,2020-06-24,-0.4366628601671859,0.006233575060808552,1.0,0
144,145,158,2020-06-25,-0.36653957556220995,0.02116746682589791,1.0,0
145,146,159,2020-06-26,-0.27610575896151845,0.07655055947931283,1.0,0
146,147,160,2020-06-27,-0.1664813258436831,0.2630147762489122,1.0,0
147,148,161,2020-06-28,-0.03866494881605106,0.7752493287791644,1.0,0
148,149,162,2020-06-29,0.10644437320158201,0.3411458566074592,1.0,0
149,150,163,2020-06-30,0.26803641292034935,1.5483360160372877e-06,0.0007199762474573388,1
150,151,164,2020-07-01,0.2101677942001669,1.4495489612238312e-08,7.349213233404824e-06,1
151,152,165,2020-07-02,0.18080016857217718,1.2308435072915166e-09,6.745022419957511e-07,1
152,153,166,2020-07-03,0.1605544884413537,2.2645225714015082e-10,1.2726616851276476e-07,1
153,154,167,2020-07-04,0.1450776644653523,6.232709593495858e-11,3.59627343544711e-08,1
154,155,168,2020-07-05,0.13258226385096405,2.1531429512772984e-11,1.276813770107438e-08,1
155,156,169,2020-07-06,0.12215521689440842,8.454015247425546e-12,5.123133239939881e-09,1
156,157,170,2020-07-07,0.11326878034039896,3.5659672798723035e-12,2.210899713520828e-09,1
157,158,171,2020-07-08,0.10558975589264535,1.572757052618356e-12,9.971279713600376e-10,1
158,159,172,2020-07-09,0.09889068955712606,7.188693126789609e-13,4.658273146159667e-10,1
159,160,173,2020-07-10,0.09300706831805361,3.4027114727825093e-13,2.218567880254196e-10,1
160,161,174,2020-07-11,0.08781505612875844,1.6635696737128059e-13,1.1079374026927287e-10,1
161,162,175,2020-07-12,0.08321390134236792,8.313062371720808e-14,5.627943225654987e-11,1
162,163,176,2020-07-13,0.07911712525795254,4.1390472657091187e-14,2.8311083297450373e-11,1
163,164,177,2020-07-14,0.0754524976756349,1.986924831419544e-14,1.3848866074994221e-11,1
164,165,178,2020-07-15,0.07216435598202806,9.014628163411852e-15,6.4634883931662985e-12,1
165,166,179,2020-07-16,0.06920916960545162,3.891144811909285e-15,2.8405357126937782e-12,1
