,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.008963030897479848,1.1294843760739111e-16,7.285174225676727e-14,1
1,2,15,2020-02-03,0.009259219670766605,2.377511346304686e-18,1.6999206126078506e-15,1
2,3,16,2020-02-04,0.009486845824238825,2.448576206640263e-18,1.7433862591278671e-15,1
3,4,17,2020-02-05,0.00971816460276364,5.3158097928268704e-18,3.715751045185982e-15,1
4,5,18,2020-02-06,0.009956115597050634,1.2715575601960821e-17,8.722884862945123e-15,1
5,6,19,2020-02-07,0.010199237995420355,2.2524174537652833e-17,1.518129363837801e-14,1
6,7,20,2020-02-08,0.010442980528406956,2.5289241467036384e-17,1.699974035321233e-14,1
7,8,21,2020-02-09,0.010681570169420177,1.6863080043011887e-17,1.1517483669377118e-14,1
8,9,22,2020-02-10,0.010910555610770948,6.254682213780145e-18,4.353258820790981e-15,1
9,10,23,2020-02-11,0.011125815075793962,1.2057745610454337e-18,8.790096550021212e-16,1
10,11,24,2020-02-12,0.011326093866959768,1.2840962080272775e-19,9.784813105167855e-17,1
11,12,25,2020-02-13,0.011520745432018661,1.531437407812233e-20,1.2220870514341618e-17,1
12,13,26,2020-02-14,0.011732735487139297,1.842179740216733e-20,1.462690713732086e-17,1
13,14,27,2020-02-15,0.011997709024298545,8.414114910272592e-19,6.175960344140082e-16,1
14,15,28,2020-02-16,0.01235907906219183,1.219846929374064e-16,7.80702034799401e-14,1
15,16,29,2020-02-17,0.012865407952777108,1.0679251401507302e-14,5.766795756813943e-12,1
16,17,30,2020-02-18,0.013578478714864613,4.638838021809817e-13,2.0596440816835585e-10,1
17,18,31,2020-02-19,0.014577371528067852,1.0968291360605112e-11,3.804357283138403e-09,1
18,19,32,2020-02-20,0.015944036925734175,1.4139208278229613e-10,4.1145096089648173e-08,1
19,20,33,2020-02-21,0.017738733492692588,9.302392081818181e-10,2.3535051967e-07,1
20,21,34,2020-02-22,0.01997820596023017,3.0268894679816793e-09,6.689425724239511e-07,1
21,22,35,2020-02-23,0.02262037472109964,4.977665552085235e-09,1.0502874314899846e-06,1
22,23,36,2020-02-24,0.025554947408859746,4.277727825039767e-09,9.154337545585101e-07,1
23,24,37,2020-02-25,0.028599341807388733,1.9336027304660662e-09,4.505294361985934e-07,1
24,25,38,2020-02-26,0.03152296752386686,4.474414656522078e-10,1.203617542604439e-07,1
25,26,39,2020-02-27,0.03407681030780677,4.853133629798436e-11,1.514177692497112e-08,1
26,27,40,2020-02-28,0.03602321884357172,2.250164945373879e-12,8.775643286958128e-10,1
27,28,41,2020-02-29,0.03716092213629703,7.031532210371441e-14,3.4969638589173564e-11,1
28,29,42,2020-03-01,0.03734880371827128,2.8287076073587742e-14,1.45395571018241e-11,1
29,30,43,2020-03-02,0.03652682164623712,8.402184965391654e-13,3.5457220553952783e-10,1
30,31,44,2020-03-03,0.03473477828677224,4.884533157572429e-11,1.5190898120050255e-08,1
31,32,45,2020-03-04,0.03212138576386144,1.236562169425208e-09,3.017211693397507e-07,1
32,33,46,2020-03-05,0.028916914413564046,1.3380618943672319e-08,2.528936980354068e-06,1
33,34,47,2020-03-06,0.025395212336164052,7.087149742687758e-08,1.1410311085727291e-05,1
34,35,48,2020-03-07,0.021839847513236917,1.9648406665399777e-07,2.8293705598175677e-05,1
35,36,49,2020-03-08,0.018514552128890683,2.775829641306933e-07,3.858403201416637e-05,1
36,37,50,2020-03-09,0.015639777729264837,1.7211553977757206e-07,2.512886880752552e-05,1
37,38,51,2020-03-10,0.013369688156040546,3.325963299428086e-08,5.753916508010589e-06,1
38,39,52,2020-03-11,0.011792149491884174,1.130494338229596e-09,2.7923210154271025e-07,1
39,40,53,2020-03-12,0.010935461248938986,5.5593164204280404e-12,2.018031860615379e-09,1
40,41,54,2020-03-13,0.010775294096690523,7.714003672581737e-13,3.2784515608472385e-10,1
41,42,55,2020-03-14,0.011243856814810639,3.617557760941185e-11,1.1576184835011792e-08,1
42,43,56,2020-03-15,0.012244951121685898,6.694855316388646e-10,1.7607469482102138e-07,1
43,44,57,2020-03-16,0.013668814745502396,2.7987631143991226e-09,6.241241745110044e-07,1
44,45,58,2020-03-17,0.01538313214845146,4.128899667677257e-09,8.877134285506103e-07,1
45,46,59,2020-03-18,0.017224481515732682,2.574871256256664e-09,5.81920903914006e-07,1
46,47,60,2020-03-19,0.018976829396151404,6.581351059090221e-10,1.7374766795998184e-07,1
47,48,61,2020-03-20,0.020371410509156883,6.203203202140672e-11,1.916789789461468e-08,1
48,49,62,2020-03-21,0.02111963794298374,4.016560929972584e-12,1.506210348739719e-09,1
49,50,63,2020-03-22,0.020968457871078545,9.711687527621966e-12,3.399090634667688e-09,1
50,51,64,2020-03-23,0.019761374302233032,2.200062070876302e-09,5.038142142306732e-07,1
51,52,65,2020-03-24,0.017469616610584746,5.799001386664816e-07,7.59669181653091e-05,1
52,53,66,2020-03-25,0.014180251732410915,6.631294666749548e-05,0.006100791093409584,1
