,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.004595408274068814,1.1618260618359794e-10,5.541910314957622e-08,1
1,2,15,2020-02-03,0.0042492715449103345,1.1911016340397076e-12,7.027499640834275e-10,1
2,3,16,2020-02-04,0.00409075850802399,1.632902833008021e-14,1.0956778009483821e-11,1
3,4,17,2020-02-05,0.004048611778870386,1.942867832187226e-15,1.3872076321816794e-12,1
4,5,18,2020-02-06,0.00411057251330221,2.5858354997283358e-14,1.7066514298207015e-11,1
5,6,19,2020-02-07,0.004255474520090828,3.6486861115893176e-13,2.229347214181073e-10,1
6,7,20,2020-02-08,0.004460079814679013,1.319383643763896e-12,7.771169661769347e-10,1
7,8,21,2020-02-09,0.004700987413641583,1.448430427400961e-12,8.487802304569631e-10,1
8,9,22,2020-02-10,0.004954455751117424,5.879325699458619e-13,3.5511127224730057e-10,1
9,10,23,2020-02-11,0.005197500567953325,9.608446567456247e-14,6.139797356604542e-11,1
10,11,24,2020-02-12,0.005407332868828291,5.654054915373273e-15,3.884335726861438e-12,1
11,12,25,2020-02-13,0.005560070089164451,9.12563194683775e-17,6.953731543490366e-14,1
12,13,26,2020-02-14,0.0056322107345727805,1.1583758810984712e-18,9.31334208403171e-16,1
13,14,27,2020-02-15,0.005602548212072067,1.2947103412418807e-17,1.0137581971923926e-14,1
14,15,28,2020-02-16,0.005453580742841767,8.71969336322647e-15,5.903232406904321e-12,1
15,16,29,2020-02-17,0.0051749613289675854,2.480992309629579e-12,1.421608593417749e-09,1
16,17,30,2020-02-18,0.0047634711861768144,2.9808575645682916e-10,1.3473476191848677e-07,1
17,18,31,2020-02-19,0.004219715349294061,2.2203652125831793e-08,7.349408853650323e-06,1
18,19,32,2020-02-20,0.003546957003109916,1.317081810327435e-06,0.00030292881637531,1
19,20,33,2020-02-21,0.0027552962959720615,7.129210649691579e-05,0.010719635638610643,1
20,21,34,2020-02-22,0.0018666249211764345,0.003566396759363992,0.34594048565830726,0
21,22,35,2020-02-23,0.0009119995689898239,0.12120259907526076,1.0,0
22,23,36,2020-02-24,-7.305309657092948e-05,0.8970856304419428,1.0,0
23,24,37,2020-02-25,-0.0010500100806588558,0.07346335623390864,1.0,0
24,25,38,2020-02-26,-0.001982033443645907,0.0017938036258918284,0.1901431843445338,0
25,26,39,2020-02-27,-0.002839191754659603,3.280132894131405e-05,0.005379417946375504,-1
26,27,40,2020-02-28,-0.0036029148220076508,5.962743027105113e-07,0.00015145367288846987,-1
