,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.010221625293591117,5.812589729412464e-30,4.981389398106482e-27,-1
1,2,15,2020-02-03,-0.010212512075352434,1.148937805809001e-31,9.8923545080155e-29,-1
2,3,16,2020-02-04,-0.01022469322393586,2.8861392321926024e-29,2.467649043524675e-26,-1
3,4,17,2020-02-05,-0.01026111299484539,5.0222785516530785e-26,4.14337980511379e-23,-1
4,5,18,2020-02-06,-0.010327686535143358,1.7564408922208438e-23,1.3577288096867123e-20,-1
5,6,19,2020-02-07,-0.01042877219343787,1.515383979956503e-21,1.0956226175085517e-18,-1
6,7,20,2020-02-08,-0.010567448033768616,4.674650373186829e-20,3.0665706448105595e-17,-1
7,8,21,2020-02-09,-0.010745429872615201,6.552863233947157e-19,3.9906937094738187e-16,-1
8,9,22,2020-02-10,-0.010962660083395751,4.785273284891155e-18,2.627115033405244e-15,-1
9,10,23,2020-02-11,-0.011216555469600391,1.956151957020339e-17,1.0054621059084543e-14,-1
10,11,24,2020-02-12,-0.011501533615137307,4.720684787422754e-17,2.327297600199418e-14,-1
11,12,25,2020-02-13,-0.011809776921868985,7.03860968373224e-17,3.378532648191475e-14,-1
12,13,26,2020-02-14,-0.01213200935718745,6.726893151795772e-17,3.235635606013766e-14,-1
13,14,27,2020-02-15,-0.012457203772905727,4.184847460692454e-17,2.0798691879641497e-14,-1
14,15,28,2020-02-16,-0.012773147356729046,1.7101687123740624e-17,8.858673930097644e-15,-1
15,16,29,2020-02-17,-0.01306823745339638,4.65120764024502e-18,2.5721178250554964e-15,-1
16,17,30,2020-02-18,-0.013334582471142933,8.479549137870458e-19,5.113168130135887e-16,-1
17,18,31,2020-02-19,-0.013568221824856732,1.0343043618435342e-19,6.671263133890796e-17,-1
18,19,32,2020-02-20,-0.013768004109813367,8.362533773582474e-21,5.669797898488918e-18,-1
19,20,33,2020-02-21,-0.013934755534114268,4.637874125179518e-22,3.4227511043824848e-19,-1
20,21,34,2020-02-22,-0.014071752836223217,2.0301469710784342e-23,1.565243314701473e-20,-1
21,22,35,2020-02-23,-0.014185238188032365,1.0465494832834438e-24,8.382861361100385e-22,-1
22,23,36,2020-02-24,-0.01428418084537344,1.5643589635346216e-25,1.278081273207786e-22,-1
23,24,37,2020-02-25,-0.014379108246163242,2.0002004778852846e-25,1.6321635899543922e-22,-1
24,25,38,2020-02-26,-0.014481582999075595,1.9423702928164205e-24,1.5441843827890543e-21,-1
25,26,39,2020-02-27,-0.014605198761524961,5.096577702666491e-23,3.883592209431866e-20,-1
26,27,40,2020-02-28,-0.014765715776650017,1.708525747931544e-21,1.2301385385107116e-18,-1
27,28,41,2020-02-29,-0.014979337131277524,5.1717593762250137e-20,3.383818322902133e-17,-1
28,29,42,2020-03-01,-0.015261211004797685,1.2009101376373138e-18,7.121397116189271e-16,-1
29,30,43,2020-03-02,-0.01562376015372176,1.9409479464310403e-17,9.995881924119858e-15,-1
30,31,44,2020-03-03,-0.016075985453819573,2.0395896728500038e-16,9.116965837639516e-14,-1
31,32,45,2020-03-04,-0.016621841198501523,1.332730857737869e-15,5.410887282415749e-13,-1
32,33,46,2020-03-05,-0.01725787070866428,5.287720981499401e-15,1.9458813211917798e-12,-1
33,34,47,2020-03-06,-0.017973762904989515,1.2847843478045403e-14,4.419658156447619e-12,-1
34,35,48,2020-03-07,-0.018754476677199195,1.979949749128745e-14,6.652631157072584e-12,-1
35,36,49,2020-03-08,-0.019581417347982143,2.0083677673816724e-14,6.707948343054786e-12,-1
36,37,50,2020-03-09,-0.020434024747240424,1.387496326290621e-14,4.745237435913924e-12,-1
37,38,51,2020-03-10,-0.02129037468387651,6.744859524067457e-15,2.421943801105964e-12,-1
38,39,52,2020-03-11,-0.02212824821296561,2.401595888598854e-15,9.342208006649541e-13,-1
39,40,53,2020-03-12,-0.02292854176363542,6.618511261825318e-16,2.783027058586104e-13,-1
40,41,54,2020-03-13,-0.023677998637495194,1.528251723165784e-16,7.028559228449732e-14,-1
41,42,55,2020-03-14,-0.024370646054907852,3.3044584528843663e-17,1.6555336848950676e-14,-1
