,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.02833855523345694,4.7045833487921e-15,1.3408062544057484e-12,1
1,2,15,2020-02-03,0.027237598966117695,5.550522805861838e-15,1.5485958628354528e-12,1
2,3,16,2020-02-04,0.026184918957218733,5.1852260082443474e-15,1.4674189603331503e-12,1
3,4,17,2020-02-05,0.02519302012345449,3.649153964871489e-15,1.0655529577424747e-12,1
4,5,18,2020-02-06,0.024272957246139325,1.8608523254840118e-15,5.675599592726236e-13,1
5,6,19,2020-02-07,0.023433622571158205,6.715106024559833e-16,2.2294152001538643e-13,1
6,7,20,2020-02-08,0.02268195476859447,1.7618459639332054e-16,6.483593147274196e-14,1
7,8,21,2020-02-09,0.022021212802820166,3.8218810638428077e-17,1.544039949792494e-14,1
8,9,22,2020-02-10,0.021444294269483372,8.163593156129232e-18,3.5348358366039578e-15,1
9,10,23,2020-02-11,0.020935871675625568,2.1818015668543665e-18,1.0101741254535716e-15,1
10,11,24,2020-02-12,0.020473228790913,1.0335978989355645e-18,4.981941872869421e-16,1
11,12,25,2020-02-13,0.020029580518206056,1.1329289656732665e-18,5.438059035231679e-16,1
12,13,26,2020-02-14,0.01957905069268141,2.8857114385144856e-18,1.3158844159626053e-15,1
13,14,27,2020-02-15,0.01909961209365265,1.3513306332153325e-17,5.77018180382947e-15,1
14,15,28,2020-02-16,0.018573705424990573,8.707468268504205e-17,3.3436678151056147e-14,1
15,16,29,2020-02-17,0.017987740769057407,6.245977869681667e-16,2.0924025863433584e-13,1
16,17,30,2020-02-18,0.0173338729074722,4.3111532354074365e-15,1.2329898253265268e-12,1
17,18,31,2020-02-19,0.01660966810222425,2.6338968560130163e-14,6.55840317147241e-12,1
18,19,32,2020-02-20,0.015809296047288295,1.4852694954193153e-13,3.147291320601846e-11,1
19,20,33,2020-02-21,0.014926887358671918,8.203152771341155e-13,1.484770651612749e-10,1
20,21,34,2020-02-22,0.01396269529461508,4.500014087785189e-12,7.200022540456302e-10,1
21,22,35,2020-02-23,0.012926347969502254,2.385040415978823e-11,3.4344581990095054e-09,1
22,23,36,2020-02-24,0.011836467264092541,1.1765155574497597e-10,1.5647656914081804e-08,1
23,24,37,2020-02-25,0.010714464947474965,5.359632111224734e-10,6.538751175694176e-08,1
24,25,38,2020-02-26,0.009574032688069641,2.334215528891382e-09,2.6843478582250893e-07,1
25,26,39,2020-02-27,0.008427168812856833,1.0022469698016447e-08,1.0423368485937104e-06,1
26,27,40,2020-02-28,0.007287129345084232,4.342676163487852e-08,3.995262070408824e-06,1
27,28,41,2020-02-29,0.006171964039457407,1.8967031376369512e-07,1.593230635615039e-05,1
28,29,42,2020-03-01,0.005100270888982428,8.413618004757941e-07,6.226077323520876e-05,1
29,30,43,2020-03-02,0.004088669262986039,3.887770550288834e-06,0.00024104177411790774,1
30,31,44,2020-03-03,0.0031524401847146393,2.0073481657524756e-05,0.0010237475645337626,1
31,32,45,2020-03-04,0.0023040156852823634,0.000134406705620111,0.005645081636044662,1
32,33,46,2020-03-05,0.0015421388858036578,0.0013988718253916696,0.041966154761750085,1
33,34,47,2020-03-06,0.0008587483756026604,0.024077366029340533,0.43339258852812956,0
34,35,48,2020-03-07,0.00024884507165694067,0.4139361923657573,1.0,0
35,36,49,2020-03-08,-0.00028837423766086173,0.2810993589526692,1.0,0
36,37,50,2020-03-09,-0.0007501598248208047,0.00485160578979283,0.13099335632440642,0
37,38,51,2020-03-10,-0.001135337520583883,4.620242122361399e-05,0.0021253113762862434,-1
38,39,52,2020-03-11,-0.0014491799338916518,6.024561142454727e-07,4.759403302539234e-05,-1
39,40,53,2020-03-12,-0.0016984809581963036,1.0043987731136028e-08,1.0423368485937104e-06,-1
40,41,54,2020-03-13,-0.0018901479651946287,1.3993642007780237e-10,1.8471607450269912e-08,-1
41,42,55,2020-03-14,-0.0020285537627755205,1.0529294539584447e-12,1.8636851335064472e-10,-1
42,43,56,2020-03-15,-0.0021205235125622427,2.7797068300589876e-15,8.311132029119556e-13,-1
43,44,57,2020-03-16,-0.0021780577091688653,2.163933088120304e-18,1.0044938007036042e-15,-1
44,45,58,2020-03-17,-0.002217686280156943,7.507838430051785e-21,4.4221168353005016e-18,-1
45,46,59,2020-03-18,-0.0022567188085218324,4.43491924671416e-19,2.221894542603794e-16,-1
46,47,60,2020-03-19,-0.0023164911805962393,5.8368245102501135e-16,1.9786835089747885e-13,-1
47,48,61,2020-03-20,-0.002424652013483428,3.090296504151548e-13,5.933369287970972e-11,-1
48,49,62,2020-03-21,-0.0026100517186633276,4.397241036048272e-11,6.156137450467581e-09,-1
49,50,63,2020-03-22,-0.00289693050437826,1.5377126002282548e-09,1.8145008682693407e-07,-1
50,51,64,2020-03-23,-0.0032955691583199317,1.3696449589409005e-08,1.3833414085303094e-06,-1
51,52,65,2020-03-24,-0.0037989859796755026,3.7261457386135006e-08,3.5025769942966906e-06,-1
52,53,66,2020-03-25,-0.004391389178437834,4.173569999836627e-08,3.881420099848064e-06,-1
53,54,67,2020-03-26,-0.005049940054246758,2.4066888426014523e-08,2.382621954175438e-06,-1
54,55,68,2020-03-27,-0.0057453982562539925,8.179383021770503e-09,8.588352172859028e-07,-1
55,56,69,2020-03-28,-0.006447222728683653,1.7891487198808666e-09,2.093304002260614e-07,-1
56,57,70,2020-03-29,-0.007127584130766622,2.637755346551579e-10,3.349949290120506e-08,-1
57,58,71,2020-03-30,-0.007764525613697489,2.5944447827488577e-11,3.7100560393308664e-09,-1
58,59,72,2020-03-31,-0.008342294521726802,1.5814847869123712e-12,2.735968681358402e-10,-1
59,60,73,2020-04-01,-0.008846912958050967,5.778628436826269e-14,1.3521990542173468e-11,-1
60,61,74,2020-04-02,-0.009267776300917862,1.5523647720284266e-15,4.812330793288123e-13,-1
