,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.004013065008467464,4.106319703726839e-09,1.3879360598596717e-06,-1
1,2,15,2020-02-03,-0.004503997263477306,3.8982538641600453e-10,1.5631997995281782e-07,-1
2,3,16,2020-02-04,-0.0049356618647410705,4.5585583132329935e-11,2.110612499026876e-08,-1
3,4,17,2020-02-05,-0.005321037693623075,3.827893953143412e-12,2.017300113306578e-09,-1
4,5,18,2020-02-06,-0.005647690876587246,2.1140249044395648e-13,1.238818594001585e-10,-1
5,6,19,2020-02-07,-0.005907172542414969,6.516624599176854e-15,4.248839238663309e-12,-1
6,7,20,2020-02-08,-0.006096291948740722,9.179506794006817e-17,6.609244891684908e-14,-1
7,8,21,2020-02-09,-0.00621822342442786,5.271154801933131e-19,4.085144971498177e-16,-1
8,9,22,2020-02-10,-0.006280787979233265,2.8518739067162458e-21,2.358499720854335e-18,-1
9,10,23,2020-02-11,-0.006294010977846594,6.028860504494495e-22,5.040127381757398e-19,-1
10,11,24,2020-02-12,-0.006269081931533237,4.205967284451519e-21,3.465717042388052e-18,-1
11,12,25,2020-02-13,-0.006218512136389222,1.9607257586223784e-20,1.586227138725504e-17,-1
12,13,26,2020-02-14,-0.006155310522825838,2.3813317667072422e-20,1.919353403966037e-17,-1
13,14,27,2020-02-15,-0.006092189447709712,6.563923809822306e-21,5.3692896764346465e-18,-1
14,15,28,2020-02-16,-0.0060419651761591435,3.5801695248159943e-22,2.9966018922709873e-19,-1
15,16,29,2020-02-17,-0.006016186088103181,1.0572755756870222e-23,9.02913341636717e-21,-1
16,17,30,2020-02-18,-0.006024077389580457,4.80285496319012e-23,4.082426718711602e-20,-1
17,18,31,2020-02-19,-0.006071767649832872,9.300690529333459e-21,7.570762090877436e-18,-1
18,19,32,2020-02-20,-0.006160843420024186,6.592416813994699e-19,5.102530614031898e-16,-1
19,20,33,2020-02-21,-0.006287262462658226,1.2166750495229415e-17,9.015562116964996e-15,-1
20,21,34,2020-02-22,-0.006443087107618987,7.720584732458754e-17,5.5819827615676795e-14,-1
21,22,35,2020-02-23,-0.006618584798007977,1.9847045452380881e-16,1.397231999847614e-13,-1
22,23,36,2020-02-24,-0.006802602868935851,2.235550269065908e-16,1.5693562888842675e-13,-1
23,24,37,2020-02-25,-0.006982623765174848,1.1109143174591587e-16,7.965255656182168e-14,-1
24,25,38,2020-02-26,-0.007145071882106877,2.2228489145640116e-17,1.6337939522045486e-14,-1
25,26,39,2020-02-27,-0.007275185553771301,1.482563381379657e-18,1.1386086768995767e-15,-1
26,27,40,2020-02-28,-0.007357434056904939,3.688145372736488e-20,2.954204443561927e-17,-1
27,28,41,2020-02-29,-0.007377877468320313,6.633406923933804e-21,5.419493456853918e-18,-1
28,29,42,2020-03-01,-0.007325425826761172,3.723414251360662e-19,2.896816287558595e-16,-1
29,30,43,2020-03-02,-0.007193297636282996,6.271862413597603e-17,4.5471002498582625e-14,-1
30,31,44,2020-03-03,-0.006980169438287963,3.990985093542205e-15,2.6260681915507706e-12,-1
31,32,45,2020-03-04,-0.006690284075733324,1.0492157533422241e-13,6.305786677586767e-11,-1
32,33,46,2020-03-05,-0.006332122154234445,1.4745007990596648e-12,8.065519370856367e-10,-1
33,34,47,2020-03-06,-0.005917569945430074,1.3095856492540347e-11,6.482448963807472e-09,-1
34,35,48,2020-03-07,-0.005460532700533622,8.094633335223116e-11,3.618301100844733e-08,-1
35,36,49,2020-03-08,-0.004974929801727214,3.7367644933146265e-10,1.5059160908057945e-07,-1
36,37,50,2020-03-09,-0.004473308248349363,1.3910515337235559e-09,5.132980159439921e-07,-1
