,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0005786480445213007,0.4066436826698202,1.0,0
1,2,15,2020-02-03,0.001891883168451143,0.015833675696465474,1.0,0
2,3,16,2020-02-04,0.0031580292679728285,0.0005980086326407989,0.06518294095784709,0
3,4,17,2020-02-05,0.004433410276008372,2.842070176861679e-05,0.004462050177672836,1
4,5,18,2020-02-06,0.0056942073692706815,1.7441377873940322e-06,0.0003505716952662005,1
5,6,19,2020-02-07,0.006919681641763184,1.3189967706720757e-07,3.231542088146585e-05,1
6,7,20,2020-02-08,0.008094231185560182,1.1908545604038843e-08,3.417752588359148e-06,1
7,8,21,2020-02-09,0.009209087844265156,1.2738547240423492e-09,4.2674133255418696e-07,1
8,9,22,2020-02-10,0.010262105148312654,1.6530117576452902e-10,6.446745854816632e-08,1
9,10,23,2020-02-11,0.01125683398447342,2.687351643651476e-11,1.1609359100574376e-08,1
10,11,24,2020-02-12,0.012200111155646468,5.6142988463436215e-12,2.6780205497059075e-09,1
11,12,25,2020-02-13,0.013099681450556913,1.5141021602207975e-12,7.585651822706196e-10,1
12,13,26,2020-02-14,0.013963798126898273,5.076024824634036e-13,2.720749306003843e-10,1
13,14,27,2020-02-15,0.014796855856576027,1.9375805162446558e-13,1.1063584747756985e-10,1
14,15,28,2020-02-16,0.015592872475049802,7.216999416257644e-14,4.3301996497545866e-11,1
15,16,29,2020-02-17,0.016331452542482656,2.1046511687746124e-14,1.3406627945094282e-11,1
16,17,30,2020-02-18,0.016978537110524453,3.672230644456409e-15,2.449377839852425e-12,1
17,18,31,2020-02-19,0.017489514284891764,2.832589270404846e-16,2.0054732034466312e-13,1
18,19,32,2020-02-20,0.017816107434700183,9.17212283851548e-18,6.9799854801102805e-15,1
19,20,33,2020-02-21,0.017916063031632696,1.1735815716303527e-18,9.306501863028697e-16,1
20,21,34,2020-02-22,0.01776169497741074,3.259486846197496e-17,2.4283177004171346e-14,1
21,22,35,2020-02-23,0.017343951281851927,4.701638385450738e-15,3.12188788793929e-12,1
22,23,36,2020-02-24,0.01667430720356164,2.744149999865919e-13,1.5257473999254508e-10,1
23,24,37,2020-02-25,0.015783265486556685,5.965695803978885e-12,2.8277398110859915e-09,1
24,25,38,2020-02-26,0.014719799654128765,5.7361380765773947e-11,2.3919695779327735e-08,1
25,26,39,2020-02-27,0.013546175991656896,2.729031205193947e-10,1.0288447643581181e-07,1
26,27,40,2020-02-28,0.012333349459254031,6.717066384113414e-10,2.4047097655126024e-07,1
27,28,41,2020-02-29,0.011151907566681859,8.598927337374993e-10,2.997263757849993e-07,1
28,29,42,2020-03-01,0.010062491994300551,5.579571760515967e-10,2.0086458337857483e-07,1
29,30,43,2020-03-02,0.009108124084792344,1.757754268270011e-10,6.820086560887643e-08,1
30,31,44,2020-03-03,0.008310337915436932,2.6581918860357818e-11,1.1509970866534935e-08,1
31,32,45,2020-03-04,0.007667127134873536,2.161199825147027e-12,1.0719551132729254e-09,1
32,33,46,2020-03-05,0.007155778068053553,1.4176819233435382e-13,8.265085613092828e-11,1
33,34,47,2020-03-06,0.006741355246676547,1.8876198517857792e-14,1.204301465439327e-11,1
34,35,48,2020-03-07,0.006385293234776976,1.5633870215247207e-14,1.0021310807973459e-11,1
35,36,49,2020-03-08,0.006051081643809454,7.676907751712418e-14,4.5907908355240256e-11,1
36,37,50,2020-03-09,0.005708118021627316,8.256060410836488e-13,4.3261756552783197e-10,1
37,38,51,2020-03-10,0.005333609345557939,9.797016331218634e-12,4.4772364633669155e-09,1
38,39,52,2020-03-11,0.0049160609576718185,1.0124734691843096e-10,4.090392815504611e-08,1
39,40,53,2020-03-12,0.004455382142029899,8.569120822359245e-10,2.997263757849993e-07,1
40,41,54,2020-03-13,0.00396197523426998,5.95487307197006e-09,1.804326540806928e-06,1
41,42,55,2020-03-14,0.003450217746834583,3.520592253181731e-08,9.540805006122492e-06,1
42,43,56,2020-03-15,0.002931291334378432,1.97671091855139e-07,4.684804876966795e-05,1
43,44,57,2020-03-16,0.0024073423862322973,1.347111349850532e-06,0.000273463604019658,1
44,45,58,2020-03-17,0.0018714048283526648,1.6260213949161678e-05,0.0026991955155608385,1
