,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.016119103446798268,5.282589781854622e-17,2.0179492966684655e-14,1
1,2,15,2020-02-03,0.015657146561356944,8.81766834114602e-17,3.2889902912474656e-14,1
2,3,16,2020-02-04,0.015219368828977436,2.1215175512304592e-16,7.446526604818912e-14,1
3,4,17,2020-02-05,0.014766693548112789,3.5171158210516926e-16,1.1817509158733687e-13,1
4,5,18,2020-02-06,0.014309411897296669,4.167848985891679e-16,1.3717860106768194e-13,1
5,6,19,2020-02-07,0.013857523645044213,3.7156229708063765e-16,1.2447336952201361e-13,1
6,7,20,2020-02-08,0.013423249503809184,2.5461859111844994e-16,8.733533134763737e-14,1
7,8,21,2020-02-09,0.013019226294111277,1.3130318225576125e-16,4.805696470560862e-14,1
8,9,22,2020-02-10,0.012655447615812365,4.930962755808515e-17,1.8934896982304698e-14,1
9,10,23,2020-02-11,0.012338796164285465,1.289785164849161e-17,5.3052196790480215e-15,1
10,11,24,2020-02-12,0.012073628620607933,2.14197489174092e-18,9.874504250925642e-16,1
11,12,25,2020-02-13,0.011861216936757814,1.9293740813167683e-19,1.0437913779923717e-16,1
12,13,26,2020-02-14,0.01169958474104901,7.683286004375942e-21,4.617654888629941e-18,1
13,14,27,2020-02-15,0.011584906113556693,1.0835636357466714e-22,7.324890177647499e-20,1
14,15,28,2020-02-16,0.011511930303490965,4.911189038598882e-25,3.639191077601771e-22,1
15,16,29,2020-02-17,0.011473286203920964,1.972183901458184e-27,1.5323868914330091e-24,1
16,17,30,2020-02-18,0.011458933791406181,1.810561230292443e-28,1.4412067393127846e-25,1
17,18,31,2020-02-19,0.011456623372096094,1.7081855315262955e-28,1.3631320541579838e-25,1
18,19,32,2020-02-20,0.011452832880401545,2.951204610555807e-28,2.32259802850742e-25,1
19,20,33,2020-02-21,0.01143436742883705,9.63094447857764e-27,7.358041581633318e-24,1
20,21,34,2020-02-22,0.011390553223319281,1.6557593312677105e-24,1.2070485524941609e-21,1
21,22,35,2020-02-23,0.011313862117087856,1.6940626535256506e-22,1.1282457272480833e-19,1
22,23,36,2020-02-24,0.011198502177585137,7.37774169521175e-21,4.448778242212685e-18,1
23,24,37,2020-02-25,0.011041673968799785,1.4895136682588018e-19,8.132744628693057e-17,1
24,25,38,2020-02-26,0.010844866127144628,1.6059740026399262e-18,7.548077812407653e-16,1
25,26,39,2020-02-27,0.010613226544701294,1.042798735905153e-17,4.348470728724488e-15,1
26,27,40,2020-02-28,0.01035242632693127,4.518110267591903e-17,1.7439905632904746e-14,1
27,28,41,2020-02-29,0.010066964138586551,1.454139343493542e-16,5.2785258168815574e-14,1
28,29,42,2020-03-01,0.009760118995815838,3.9421305824348897e-16,1.3087873533683833e-13,1
29,30,43,2020-03-02,0.009434520482599294,1.0102271482724735e-15,3.037516811939866e-13,1
30,31,44,2020-03-03,0.009091993023643004,2.595901576591474e-15,7.320442445987957e-13,1
31,32,45,2020-03-04,0.00873331113566541,6.650540634058286e-15,1.788995430561679e-12,1
32,33,46,2020-03-05,0.008360309350566676,1.665269255195394e-14,4.279741985852162e-12,1
33,34,47,2020-03-06,0.007977124625478175,4.062153912164927e-14,9.830412467439123e-12,1
34,35,48,2020-03-07,0.007588545109358011,9.482105764486372e-14,2.1808843258318658e-11,1
35,36,49,2020-03-08,0.007198258033331483,2.0650590419615694e-13,4.4605275306369896e-11,1
36,37,50,2020-03-09,0.006809196919456845,3.9882856376334027e-13,8.21586841352481e-11,1
