,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.00028427792011243014,0.06742431908163328,1.0,0
1,2,15,2020-02-03,-0.0001230682412200263,0.2554697613354434,1.0,0
2,3,16,2020-02-04,-5.461913107097051e-05,0.514891592128978,1.0,0
3,4,17,2020-02-05,-6.367633684813381e-05,0.4655138177867637,1.0,0
4,5,18,2020-02-06,-0.00014597428416679106,0.18968960791134423,1.0,0
5,6,19,2020-02-07,-0.0002925123232450106,0.03795133789349992,1.0,0
6,7,20,2020-02-08,-0.0004879923869638825,0.0038516901957638128,0.23306785397632443,0
7,8,21,2020-02-09,-0.0007131833926068288,0.000215339569107293,0.01787318423590532,-1
8,9,22,2020-02-10,-0.0009495051972290109,7.784854253361937e-06,0.0008874733848832608,-1
9,10,23,2020-02-11,-0.0011821728846177376,2.240769630233924e-07,4.010977638118724e-05,-1
10,11,24,2020-02-12,-0.0014002628066370024,7.429795164473967e-09,1.6642741168421687e-06,-1
11,12,25,2020-02-13,-0.0015994070823734622,4.603361748203549e-10,1.3764051627128612e-07,-1
12,13,26,2020-02-14,-0.0017812559377960112,7.158507694644674e-11,2.4983191854309914e-08,-1
13,14,27,2020-02-15,-0.0019502637544457472,2.330679004826169e-11,8.786659848194658e-09,-1
14,15,28,2020-02-16,-0.002110381853609011,1.0207494719452457e-11,4.001337930025363e-09,-1
15,16,29,2020-02-17,-0.0022618603391067545,3.918306048047933e-12,1.6450347445894496e-09,-1
16,17,30,2020-02-18,-0.0024001552259070497,9.367394413133967e-13,4.252797063562821e-10,-1
17,18,31,2020-02-19,-0.0025180448363814217,1.0508262527614376e-13,5.453788251831861e-11,-1
18,19,32,2020-02-20,-0.0026070130221382804,4.453818540824499e-15,2.721283128443769e-12,-1
19,20,33,2020-02-21,-0.0026573597879338846,1.1216916834609943e-16,7.85184178422696e-14,-1
20,21,34,2020-02-22,-0.0026617886192975577,6.665720403558136e-17,4.7193300457191606e-14,-1
21,22,35,2020-02-23,-0.0026202006740767628,2.9456037116669496e-15,1.8262743012335086e-12,-1
22,23,36,2020-02-24,-0.002540079557981171,1.1688135867842096e-13,5.974926652807455e-11,-1
23,24,37,2020-02-25,-0.0024330087176197028,1.3271265836204557e-12,5.918984562947233e-10,-1
24,25,38,2020-02-26,-0.002313598478672054,4.272324366455418e-12,1.7730146120789987e-09,-1
25,26,39,2020-02-27,-0.0021977336226508323,3.916749391879642e-12,1.6450347445894496e-09,-1
26,27,40,2020-02-28,-0.002101755434048556,9.29290445194035e-13,4.2374600794381803e-10,-1
27,28,41,2020-02-29,-0.0020420229584938764,7.609118284692418e-14,4.0252235726022893e-11,-1
28,29,42,2020-03-01,-0.002033744198670959,4.067438741301013e-14,2.2411587464568583e-11,-1
29,30,43,2020-03-02,-0.0020887326391501246,1.2794853449979806e-12,5.719299492140973e-10,-1
30,31,44,2020-03-03,-0.0022132958035684246,4.8115112568305425e-11,1.7225210299453342e-08,-1
31,32,45,2020-03-04,-0.0024090226669421042,4.88978959412026e-10,1.4571572990478374e-07,-1
32,33,46,2020-03-05,-0.0026724053808002742,1.539389513515463e-09,4.1563516864917503e-07,-1
33,34,47,2020-03-06,-0.0029930725888851423,2.0797787415896205e-09,5.428222515548909e-07,-1
34,35,48,2020-03-07,-0.003357560648180191,1.643861079641711e-09,4.3891090826433687e-07,-1
35,36,49,2020-03-08,-0.003752749949246183,9.082897551617847e-10,2.543211314452997e-07,-1
36,37,50,2020-03-09,-0.004165014052502699,3.706810412381506e-10,1.1268703653639778e-07,-1
37,38,51,2020-03-10,-0.00457805847868284,1.108270219759536e-10,3.768118747182422e-08,-1
38,39,52,2020-03-11,-0.004975877838699502,2.3350981880335038e-11,8.786659848194658e-09,-1
39,40,53,2020-03-12,-0.005343576004428067,3.3331518949645163e-12,1.419922707254884e-09,-1
40,41,54,2020-03-13,-0.005668921167384459,3.0988704926763175e-13,1.5060510594406904e-10,-1
