,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.027451290497472223,3.5193464801328685e-12,2.030662919036665e-09,-1
1,2,15,2020-02-03,-0.034250940889716364,8.550644745775469e-07,0.0003591270793225697,-1
2,3,16,2020-02-04,-0.03918864062740108,6.113039743881379e-07,0.00026102679706373487,-1
3,4,17,2020-02-05,-0.04237310663958414,1.910991147096961e-07,8.408361047226629e-05,-1
4,5,18,2020-02-06,-0.04392120093619596,7.470918913821035e-08,3.354442592305644e-05,-1
5,6,19,2020-02-07,-0.043953115200211244,7.286491135872652e-08,3.2789210111426935e-05,-1
6,7,20,2020-02-08,-0.04259270101356289,2.1915725675918767e-07,9.530802288361954e-05,-1
7,8,21,2020-02-09,-0.039967922148611904,1.3834635019546978e-06,0.0005686034993033809,-1
8,9,22,2020-02-10,-0.036211562529920915,1.1255885920135135e-05,0.004468586710293649,-1
9,10,23,2020-02-11,-0.031462495004089916,8.95112763101796e-05,0.03383526244524789,-1
10,11,24,2020-02-12,-0.025871039564837148,0.0006283413203305338,0.22243282739700898,0
11,12,25,2020-02-13,-0.020315413659148032,0.002654554253596954,0.8388391441366375,0
12,13,26,2020-02-14,-0.01438935976613271,0.009601636139162536,1.0,0
13,14,27,2020-02-15,-0.008389251561557759,0.025367262508851043,1.0,0
14,15,28,2020-02-16,-0.0034172580483128943,0.0006517433977251901,0.22941367599926693,0
15,16,29,2020-02-17,-0.0043725616360027735,9.367445491869367e-05,0.03531526950434751,-1
16,17,30,2020-02-18,-0.005305358646537965,1.057675321780605e-05,0.004220124533904614,-1
17,18,31,2020-02-19,-0.006181394950850909,8.730296385798229e-07,0.0003657994185649458,-1
18,19,32,2020-02-20,-0.006967818432139395,4.804664002497533e-08,2.20053611314387e-05,-1
19,20,33,2020-02-21,-0.007631562597205246,1.6511315889996095e-09,8.173101365548067e-07,-1
20,21,34,2020-02-22,-0.008139328089047887,4.208866041064355e-11,2.276996528215816e-08,-1
21,22,35,2020-02-23,-0.008457780153115312,2.241674486002101e-12,1.311379574311229e-09,-1
22,23,36,2020-02-24,-0.008554306980792355,1.124195074818695e-12,6.756412399660357e-10,-1
23,24,37,2020-02-25,-0.00839745635181975,1.0717645278971113e-12,6.45202245794061e-10,-1
24,25,38,2020-02-26,-0.00796056924417593,3.433366338317027e-23,2.8359605954498645e-20,-1
25,26,39,2020-02-27,-0.008042587040376276,8.342165445335192e-22,6.8238913342841875e-19,-1
26,27,40,2020-02-28,-0.008157279150066142,2.3167119451990552e-20,1.8649531158852395e-17,-1
27,28,41,2020-02-29,-0.008309301867978451,6.813684896830277e-19,5.321487904424447e-16,-1
28,29,42,2020-03-01,-0.008508558919203995,1.7066651258635776e-17,1.2919455002787283e-14,-1
29,30,43,2020-03-02,-0.008762209662060113,2.7504813046043084e-16,1.972095095401289e-13,-1
30,31,44,2020-03-03,-0.009055999406893505,1.6307781938388837e-15,1.1317600665241853e-12,-1
31,32,45,2020-03-04,-0.009325824634311952,1.5742800019392126e-15,1.0972731613516312e-12,-1
32,33,46,2020-03-05,-0.009438601025754414,3.467137325775234e-16,2.475536050603517e-13,-1
33,34,47,2020-03-06,-0.00922872967623879,6.59678403712177e-14,4.261522487980664e-11,-1
34,35,48,2020-03-07,-0.008644750217149022,1.9118959708084965e-10,9.980096967620352e-08,-1
35,36,49,2020-03-08,-0.007900850962602436,1.5288740666583257e-08,7.231574335293881e-06,-1
36,37,50,2020-03-09,-0.007328739614812774,5.932409785501278e-08,2.7051788621885828e-05,-1
37,38,51,2020-03-10,-0.007085302222242408,5.65269735752442e-08,2.5832826923886597e-05,-1
38,39,52,2020-03-11,-0.0071734942295872085,6.855954347160143e-08,3.098891364916385e-05,-1
39,40,53,2020-03-12,-0.0075726146874340716,1.9277954067832355e-07,8.463021835778404e-05,-1
40,41,54,2020-03-13,-0.008266678329547346,6.294323582880742e-07,0.00026750875227243154,-1
41,42,55,2020-03-14,-0.009242452942785195,1.2847328984548157e-06,0.0005315424399833126,-1
42,43,56,2020-03-15,-0.010492053839987267,1.3616072045298842e-06,0.0005609821682663123,-1
43,44,57,2020-03-16,-0.012008245171174471,6.980567637853724e-07,0.00029457995431742717,-1
44,45,58,2020-03-17,-0.013763249465891136,1.4916980249838995e-07,6.593305270428836e-05,-1
45,46,59,2020-03-18,-0.015669792904056415,9.75305143055122e-09,4.71072384095624e-06,-1
46,47,60,2020-03-19,-0.017542430275798833,1.1781020768347548e-10,6.243941007224201e-08,-1
47,48,61,2020-03-20,-0.01911410020895053,1.667006949268159e-13,1.0535483919374764e-10,-1
48,49,62,2020-03-21,-0.020187964221406344,1.1867257589127247e-16,8.663098040062891e-14,-1
49,50,63,2020-03-22,-0.02084048683459033,4.599413260672367e-18,3.546147623978395e-15,-1
50,51,64,2020-03-23,-0.021332482259046763,3.532558262205624e-18,2.734200094947153e-15,-1
51,52,65,2020-03-24,-0.02181730476522378,4.1033996958558036e-18,3.1678245652006805e-15,-1
52,53,66,2020-03-25,-0.0223201984811901,4.873068165604349e-18,3.752262487515349e-15,-1
53,54,67,2020-03-26,-0.02284291437933413,5.934012376957072e-18,4.563255517879988e-15,-1
54,55,68,2020-03-27,-0.023387545868728064,7.414908870517626e-18,5.6798201948165015e-15,-1
55,56,69,2020-03-28,-0.023956475449555058,9.506081626978331e-18,7.253140281384467e-15,-1
56,57,70,2020-03-29,-0.024552369181775748,1.2498453212039001e-17,9.498824441149641e-15,-1
57,58,71,2020-03-30,-0.02517820867811033,1.684911804684468e-17,1.2771631479508267e-14,-1
58,59,72,2020-03-31,-0.025837346596935273,2.3293634319576344e-17,1.7470225739682257e-14,-1
59,60,73,2020-04-01,-0.026533571864844237,3.303990452457104e-17,2.466598938148195e-14,-1
60,61,74,2020-04-02,-0.027271164817820073,4.810002766223626e-17,3.583452060836601e-14,-1
61,62,75,2020-04-03,-0.028054904067097607,7.183348657870153e-17,5.301311309508173e-14,-1
62,63,76,2020-04-04,-0.02888995773928787,1.097346598604357e-16,8.043550567769936e-14,-1
63,64,77,2020-04-05,-0.029781573720034454,1.7024961123701663e-16,1.2360121775807408e-13,-1
64,65,78,2020-04-06,-0.030723568655170654,2.430244945039034e-16,1.7546368503181826e-13,-1
65,66,79,2020-04-07,-0.03161968584800427,1.6241723779184076e-16,1.1807733187466824e-13,-1
