,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.006208178487034328,1.6669021639227066e-17,5.900833660286381e-15,-1
1,2,15,2020-02-03,-0.0063736565893088475,8.019727866612122e-19,3.576798628509006e-16,-1
2,3,16,2020-02-04,-0.006512185815669395,3.0724977290632245e-19,1.4532914258469052e-16,-1
3,4,17,2020-02-05,-0.00664990320583857,4.6188844786835025e-19,2.152400167066512e-16,-1
4,5,18,2020-02-06,-0.006799065606183695,2.3688460702972218e-18,9.901776573842387e-16,-1
5,6,19,2020-02-07,-0.0069754060111155616,2.51555441560281e-17,8.552885013049555e-15,-1
6,7,20,2020-02-08,-0.007193681326640964,3.2107132442783117e-16,8.476282964894742e-14,-1
7,8,21,2020-02-09,-0.007464078516556079,3.26081596943937e-15,7.304227771544189e-13,-1
8,9,22,2020-02-10,-0.007788750475527799,2.020859961800342e-14,3.859842527038653e-12,-1
9,10,23,2020-02-11,-0.008162873718853176,7.028180971117656e-14,1.1807344031477663e-11,-1
10,11,24,2020-02-12,-0.008578047349124467,1.4260238975060394e-13,2.147423211321591e-11,-1
11,12,25,2020-02-13,-0.009025973562877211,1.8273033241442747e-13,2.5764976870434275e-11,-1
12,13,26,2020-02-14,-0.009498908793173463,1.5802405060000577e-13,2.307151138760084e-11,-1
13,14,27,2020-02-15,-0.00998834551691427,9.61293552323816e-14,1.5476826192413437e-11,-1
14,15,28,2020-02-16,-0.010483732553975077,4.2499022784760054e-14,7.43732898733301e-12,-1
15,16,29,2020-02-17,-0.010972814218092318,1.4162671161054371e-14,2.7900462187277112e-12,-1
16,17,30,2020-02-18,-0.011443102888490223,3.785997769757025e-15,8.367055071163026e-13,-1
17,18,31,2020-02-19,-0.011885175945317985,9.129391655538553e-16,2.2184421722958683e-13,-1
18,19,32,2020-02-20,-0.012294465345390191,2.3201920999396405e-16,6.241316748837633e-14,-1
19,20,33,2020-02-21,-0.0126728465431632,6.941758501877486e-17,2.1241781015745106e-14,-1
20,21,34,2020-02-22,-0.0130268668553703,2.5238595259372996e-17,8.555883792927445e-15,-1
21,22,35,2020-02-23,-0.013364870692524568,1.066697106000743e-17,3.946779292202749e-15,-1
22,23,36,2020-02-24,-0.013691750273037427,5.018984479161112e-18,1.982498869268639e-15,-1
23,24,37,2020-02-25,-0.0140088694303943,2.6451246910323732e-18,1.0950816220874024e-15,-1
24,25,38,2020-02-26,-0.014316236951832269,1.6046420206958643e-18,6.835775008164382e-16,-1
25,26,39,2020-02-27,-0.014613675123863405,1.0751329119248484e-18,4.687579495992339e-16,-1
26,27,40,2020-02-28,-0.01489889568897173,6.779679587185064e-19,3.0576354938204637e-16,-1
27,28,41,2020-02-29,-0.015168729580186772,3.395433609128438e-19,1.5924583626812374e-16,-1
28,29,42,2020-03-01,-0.015418697230484387,1.1587116155663632e-19,5.654512683963853e-17,-1
29,30,43,2020-03-02,-0.015640428800222636,2.2238095068452652e-20,1.156380943559538e-17,-1
30,31,44,2020-03-03,-0.015823206983733313,1.945823421922647e-21,1.103281880230141e-18,-1
31,32,45,2020-03-04,-0.015955069481479973,5.976581174944786e-23,3.657667679066209e-20,-1
32,33,46,2020-03-05,-0.016024503861856745,1.1020893431068517e-24,7.240726984212016e-22,-1
33,34,47,2020-03-06,-0.016024334004776472,1.1191539034201382e-24,7.341649606436107e-22,-1
34,35,48,2020-03-07,-0.015952911988161254,1.0152714607505398e-22,6.13223962293326e-20,-1
35,36,49,2020-03-08,-0.015815725228281473,6.036322094347261e-21,3.2656502530418684e-18,-1
36,37,50,2020-03-09,-0.01562376166693396,9.85626411476668e-20,4.8295694162356733e-17,-1
37,38,51,2020-03-10,-0.015391122674977244,5.420065268811538e-19,2.4932300236533077e-16,-1
38,39,52,2020-03-11,-0.015132710118129576,1.2656297706463276e-18,5.454864311485671e-16,-1
39,40,53,2020-03-12,-0.014863736935429422,1.4444287088486393e-18,6.182154873872176e-16,-1
40,41,54,2020-03-13,-0.01459461816412792,8.789793389886435e-19,3.902668265109577e-16,-1
41,42,55,2020-03-14,-0.014333240775544372,3.107914510932009e-19,1.4669356491599082e-16,-1
42,43,56,2020-03-15,-0.014083371082958953,8.278799213820368e-20,4.089726811627262e-17,-1
43,44,57,2020-03-16,-0.013842340603575441,2.8939543238026525e-20,1.4874925224345634e-17,-1
44,45,58,2020-03-17,-0.01360414842936619,3.0140933218655864e-20,1.5462298741170457e-17,-1
45,46,59,2020-03-18,-0.01336099009739434,1.1641710510675648e-19,5.667153581766697e-17,-1
46,47,60,2020-03-19,-0.013100287490885607,9.924453019422679e-19,4.366759328545979e-16,-1
47,48,61,2020-03-20,-0.01280825544277722,1.0826387286387186e-17,3.984110521390485e-15,-1
48,49,62,2020-03-21,-0.012466621168617131,1.267119277536268e-16,3.636632326529089e-14,-1
49,50,63,2020-03-22,-0.012053251677559296,1.6859508749748988e-15,3.961984556191012e-13,-1
50,51,64,2020-03-23,-0.011544138822697456,2.8214377848414582e-14,5.191445524108283e-12,-1
51,52,65,2020-03-24,-0.01091537570163502,6.082800140018195e-13,7.725156177823108e-11,-1
52,53,66,2020-03-25,-0.010147471693287159,1.5422927301731732e-11,1.557715657474905e-09,-1
53,54,67,2020-03-26,-0.009235738014109806,3.928201534926903e-10,3.181843243290792e-08,-1
54,55,68,2020-03-27,-0.008195213284765912,8.558265887898887e-09,5.648455486013265e-07,-1
55,56,69,2020-03-28,-0.007056182023465279,1.50187594316212e-07,7.809754904443023e-06,-1
56,57,70,2020-03-29,-0.0058517568766448666,2.208634413298682e-06,9.276264535854466e-05,-1
57,58,71,2020-03-30,-0.004612316599193595,2.986480787917084e-05,0.0009556738521334669,-1
58,59,72,2020-03-31,-0.0033667491338109008,0.00041936396859264025,0.010067806347140284,-1
59,60,73,2020-04-01,-0.0021452026343569694,0.006967216278780274,0.12540989301804492,0
60,61,74,2020-04-02,-0.0009743256692113394,0.13137594029165867,1.0,0
61,62,75,2020-04-03,0.0001244825591027738,0.819461611718009,1.0,0
62,63,76,2020-04-04,0.0011397588739088086,0.03172740810213161,0.40754224287160834,0
63,64,77,2020-04-05,0.002072717576796876,0.00035340182951449565,0.009541849396891382,1
64,65,78,2020-04-06,0.002937344599712573,8.619086504954653e-06,0.0003361443736932315,1
65,66,79,2020-04-07,0.003758058259457898,6.996897666325254e-07,3.2885419031728696e-05,1
66,67,80,2020-04-08,0.004563405433609639,1.301727079241513e-07,6.899153519980019e-06,1
67,68,81,2020-04-09,0.005378949587466409,3.5035757652383355e-08,2.102145459143001e-06,1
68,69,82,2020-04-10,0.006216776789142635,1.0431651357028983e-08,6.780573382068839e-07,1
69,70,83,2020-04-11,0.0070735947835769,3.054533278013013e-09,2.1687186273892392e-07,1
70,71,84,2020-04-12,0.007938240638122561,8.299335449498951e-10,6.390488296114193e-08,1
71,72,85,2020-04-13,0.008796906066436284,2.0170148567333433e-10,1.714462628223342e-08,1
72,73,86,2020-04-14,0.009633011776462558,4.26774443686237e-11,3.881163864784247e-09,1
73,74,87,2020-04-15,0.010427842952588437,7.746669528608892e-12,8.211469700325426e-10,1
74,75,88,2020-04-16,0.011166104136924324,1.2236146979601372e-12,1.4683376375521647e-10,1
75,76,89,2020-04-17,0.011840227037325513,1.7452971899273124e-13,2.48611263644137e-11,1
76,77,90,2020-04-18,0.012449392332030277,2.3660137220349283e-14,4.424445660205316e-12,1
77,78,91,2020-04-19,0.012998439646389876,3.2692125123668143e-15,7.304227771544189e-13,1
78,79,92,2020-04-20,0.013494919219561698,4.991104993737726e-16,1.292696193378071e-13,1
79,80,93,2020-04-21,0.013945076625548095,8.999736844143162e-17,2.6909213163988053e-14,1
80,81,94,2020-04-22,0.014353860942379648,2.1506181944928298e-17,7.484151316835048e-15,1
81,82,95,2020-04-23,0.014728187875176645,7.354971023525763e-18,2.8316638440574185e-15,1
82,83,96,2020-04-24,0.015076847037362024,3.4493106238314746e-18,1.3900721814040842e-15,1
83,84,97,2020-04-25,0.01540705193013586,1.9749174169526375e-18,8.314402325370604e-16,1
84,85,98,2020-04-26,0.0157247393754294,1.2225990149194446e-18,5.281627744452e-16,1
