,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.024232829383270243,7.66115184497103e-22,6.228516449961447e-19,-1
1,2,15,2020-02-03,-0.024419460741177845,1.331886506126956e-19,9.882597875462014e-17,-1
2,3,16,2020-02-04,-0.0249041415739098,5.0638006615512066e-17,3.1750030147926065e-14,-1
3,4,17,2020-02-05,-0.025690586692916437,3.938834615528996e-15,1.847313434683099e-12,-1
4,5,18,2020-02-06,-0.026791513894802246,7.931240479436514e-14,3.069390065541931e-11,-1
5,6,19,2020-02-07,-0.028195983471860715,5.524059548470327e-13,1.9665651992554364e-10,-1
6,7,20,2020-02-08,-0.029871361560320154,1.6445017032890281e-12,5.657085859314256e-10,-1
7,8,21,2020-02-09,-0.03176675536916119,2.435690722520549e-12,8.183920827669044e-10,-1
8,9,22,2020-02-10,-0.033820178748063146,2.0258925498833104e-12,6.867775744104423e-10,-1
9,10,23,2020-02-11,-0.03596691493069831,1.0577098613197323e-12,3.6914074160058654e-10,-1
10,11,24,2020-02-12,-0.03814780200376586,3.9094756088314e-13,1.4113206947881353e-10,-1
11,12,25,2020-02-13,-0.04031493648998721,1.1934766103104202e-13,4.475537288664076e-11,-1
12,13,26,2020-02-14,-0.04243866238607926,3.603608815332231e-14,1.4738760054708825e-11,-1
13,14,27,2020-02-15,-0.04450895226342111,1.263596736003971e-14,5.534553703697393e-12,-1
14,15,28,2020-02-16,-0.04653152554978485,5.796214620322428e-15,2.6488700814873496e-12,-1
15,16,29,2020-02-17,-0.04853282484843381,3.7302245891359126e-15,1.753205556893879e-12,-1
16,17,30,2020-02-18,-0.05056113564826611,3.4318080294918154e-15,1.6198133899201369e-12,-1
17,18,31,2020-02-19,-0.052686318911380266,4.489069207538989e-15,2.0829281122980912e-12,-1
18,19,32,2020-02-20,-0.055003884439903554,8.46168421023443e-15,3.78237284197479e-12,-1
19,20,33,2020-02-21,-0.05763956702427825,2.366624768176907e-14,9.91615777866124e-12,-1
20,21,34,2020-02-22,-0.060756874083059124,9.884184384719509e-14,3.755990066193413e-11,-1
21,22,35,2020-02-23,-0.0645668984997908,5.838028879030726e-13,2.0725002520559077e-10,-1
22,23,36,2020-02-24,-0.06934545782873841,4.321315779994906e-12,1.4217128916183242e-09,-1
23,24,37,2020-02-25,-0.07546277760410303,3.474085510877059e-11,1.059596080817503e-08,-1
24,25,38,2020-02-26,-0.08345454175125466,2.758905271248963e-10,7.945647181197013e-08,-1
25,26,39,2020-02-27,-0.0942648095952599,2.275073167388615e-09,6.256451210318692e-07,-1
26,27,40,2020-02-28,-0.10980056348028637,2.3207955850729767e-08,5.96444465363755e-06,-1
27,28,41,2020-02-29,-0.134863985912649,4.1762033050933995e-07,9.81407776696949e-05,-1
28,29,42,2020-03-01,-0.1923797272296865,4.6117722735183725e-05,0.009638604051653399,-1
29,30,43,2020-03-02,-0.14454361376724173,0.009900568081235031,1.0,0
30,31,44,2020-03-03,-0.09824802564902152,0.10455564782436567,1.0,0
31,32,45,2020-03-04,-0.053907430067135886,0.3924517125739555,1.0,0
32,33,46,2020-03-05,-0.011998017132852895,0.8519726282279143,1.0,0
33,34,47,2020-03-06,0.026919834419393236,0.6772592635463939,1.0,0
34,35,48,2020-03-07,0.06217412138609309,0.33454227529746405,1.0,0
35,36,49,2020-03-08,0.09294694614498299,0.14494069916968383,1.0,0
36,37,50,2020-03-09,0.11822967135126641,0.06027444225166943,1.0,0
37,38,51,2020-03-10,0.13675621220445158,0.027889681290507132,1.0,0
38,39,52,2020-03-11,0.1468734648419411,0.01750900416824467,1.0,0
39,40,53,2020-03-12,0.14618062395136397,0.01807306740749227,1.0,0
40,41,54,2020-03-13,0.1307123464667311,0.03357807184147286,1.0,0
41,42,55,2020-03-14,0.0923171311254425,0.10886430106296369,1.0,0
42,43,56,2020-03-15,0.0,1.0,1.0,0
43,44,57,2020-03-16,0.0,1.0,1.0,0
44,45,58,2020-03-17,0.0,1.0,1.0,0
45,46,59,2020-03-18,0.0,1.0,1.0,0
46,47,60,2020-03-19,0.0,1.0,1.0,0
47,48,61,2020-03-20,0.0,1.0,1.0,0
48,49,62,2020-03-21,0.0,1.0,1.0,0
49,50,63,2020-03-22,0.0,1.0,1.0,0
50,51,64,2020-03-23,0.0,1.0,1.0,0
51,52,65,2020-03-24,-0.025200114833653253,0.10886430106296381,1.0,0
52,53,66,2020-03-25,0.013844527340867148,0.6376166789949476,1.0,0
53,54,67,2020-03-26,0.055818081087608454,0.15293068366831825,1.0,0
54,55,68,2020-03-27,0.09364209920200013,0.03695037906467725,1.0,0
55,56,69,2020-03-28,0.1258385304693111,0.009082817290159731,1.0,0
56,57,70,2020-03-29,0.15189903850107367,0.002361834269077869,0.4109591628195492,0
57,58,71,2020-03-30,0.1715764831837236,0.0007083337007041483,0.13458340313378817,0
58,59,72,2020-03-31,0.18474320078220474,0.00027962047400180017,0.055364853852356434,0
59,60,73,2020-04-01,0.19139527424150607,0.00016737446983584563,0.03364226843700497,1
60,61,74,2020-04-02,0.19182462297430541,0.00016186776063933507,0.03269728764914569,1
61,62,75,2020-04-03,0.18647866534495855,0.00023816850531991325,0.04739553255866274,1
62,63,76,2020-04-04,0.17391047122461453,0.0005319249718013161,0.10240669481548624,0
63,64,77,2020-04-05,0.15314913607176578,0.001641031898806036,0.2953857417850865,0
64,65,78,2020-04-06,0.12406082043564058,0.005988329115580477,0.969463237191601,0
65,66,79,2020-04-07,0.057438496894462794,3.6091490623209705e-08,9.203330108918475e-06,1
66,67,80,2020-04-08,0.04801113485510269,4.245322921416758e-12,1.4009565640675302e-09,1
67,68,81,2020-04-09,0.0449103576517256,2.4236107833536177e-11,7.513193428396215e-09,1
68,69,82,2020-04-10,0.04261246815245958,2.2423487106507126e-10,6.525234747993573e-08,1
69,70,83,2020-04-11,0.045891102085537046,4.811633139330341e-09,1.2943293144798618e-06,1
70,71,84,2020-04-12,0.04726470436035302,5.415382236895296e-09,1.4404916750141488e-06,1
71,72,85,2020-04-13,0.0468335564000131,5.9444233582535174e-09,1.575272189937182e-06,1
72,73,86,2020-04-14,0.04481520347668855,1.2483911590958229e-08,3.235111268832424e-06,1
73,74,87,2020-04-15,0.04158550134351775,4.9411253197589145e-08,1.2352813299397287e-05,1
74,75,88,2020-04-16,0.03792030490673978,3.0610114275380404e-07,7.346427426091297e-05,1
75,76,89,2020-04-17,0.03494229665175647,2.088451675820679e-06,0.0004719900787354734,1
76,77,90,2020-04-18,0.03130363868942856,2.1752736633959927e-05,0.0046161561116030755,1
77,78,91,2020-04-19,0.027336756390085315,0.00014599794671608563,0.02971924040412621,1
78,79,92,2020-04-20,0.02282082867677233,0.0008571728336329246,0.16114849272298984,0
79,80,93,2020-04-21,0.01776435545107519,0.004600166972464767,0.7566798812895361,0
80,81,94,2020-04-22,0.012223355410591896,0.023165162401363622,1.0,0
81,82,95,2020-04-23,0.006270884413903572,0.11559933587023322,1.0,0
82,83,96,2020-04-24,-1.3711642178052381e-05,0.968343827021338,1.0,0
83,84,97,2020-04-25,8.85953629245385e-05,0.7981731229501737,1.0,0
84,85,98,2020-04-26,0.0001837425269395494,0.5947277303053305,1.0,0
85,86,99,2020-04-27,0.00026926041430025036,0.432111334701493,1.0,0
86,87,100,2020-04-28,0.0003441682920269573,0.31007413967511155,1.0,0
87,88,101,2020-04-29,0.00040906030979052016,0.22159829498450442,1.0,0
88,89,102,2020-04-30,0.0004663402767376616,0.15721332071561828,1.0,0
89,90,103,2020-05-01,0.0005228155118413726,0.10601284164608415,1.0,0
90,91,104,2020-05-02,-1.947970219498338e-05,0.8641703813919062,1.0,0
91,92,105,2020-05-03,-0.00022218308777675687,0.0018035777558313762,0.321036840537985,0
92,93,106,2020-05-04,-0.00032419800846330855,3.209043853760541e-07,7.637524371950088e-05,-1
