,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0008574885662790218,4.491188730168111e-06,0.0006916430644458892,1
1,2,15,2020-02-03,0.0006248943262487565,0.00033439597449522613,0.03277080550053216,1
2,3,16,2020-02-04,0.00035961979390920583,0.02927792404922388,1.0,0
3,4,17,2020-02-05,5.82496779952871e-05,0.733275517166323,1.0,0
4,5,18,2020-02-06,-0.0002856027685247075,0.15986877482041295,1.0,0
5,6,19,2020-02-07,-0.0006765947087556297,0.008521929035296192,0.5260993513699209,0
6,7,20,2020-02-08,-0.0011164006382302187,0.000570103253796581,0.04959898308030254,-1
7,8,21,2020-02-09,-0.0016046944567544876,5.8271369755218954e-05,0.006759478891605399,-1
8,9,22,2020-02-10,-0.002139764209451128,8.568549914329237e-06,0.0012595768374063978,-1
9,10,23,2020-02-11,-0.0027193048267162376,1.656637846329328e-06,0.00028659834741497374,-1
10,11,24,2020-02-12,-0.003340366443054903,3.844110547272722e-07,8.034191043799989e-05,-1
11,12,25,2020-02-13,-0.003998103275752856,9.871487325809328e-08,2.20134167365548e-05,-1
12,13,26,2020-02-14,-0.004684538050387468,2.6273185199642336e-08,6.594569485110227e-06,-1
13,14,27,2020-02-15,-0.005389210361048495,6.868294169403812e-09,1.902517484924856e-06,-1
14,15,28,2020-02-16,-0.006099899544853056,1.6945680422703312e-09,5.151486848501807e-07,-1
15,16,29,2020-02-17,-0.00680271054113787,3.8438932962701895e-10,1.2646408944728924e-07,-1
16,17,30,2020-02-18,-0.007483148486102285,7.838550790695837e-11,2.8767481401853722e-08,-1
17,18,31,2020-02-19,-0.008127390889612543,1.3937373508154455e-11,5.797947379392253e-09,-1
18,19,32,2020-02-20,-0.008723701261833132,2.071213548382926e-12,9.424021645142314e-10,-1
19,20,33,2020-02-21,-0.009264202478480173,2.50951258508582e-13,1.2949084939042832e-10,-1
20,21,34,2020-02-22,-0.009745843893779292,2.5407015682946708e-14,1.427874281381605e-11,-1
21,22,35,2020-02-23,-0.010171827245357515,2.378328507338864e-15,1.4650503605207403e-12,-1
22,23,36,2020-02-24,-0.010550867896170327,2.5489020428453e-16,1.7154110748348869e-13,-1
23,24,37,2020-02-25,-0.010894515226739142,4.290950692960015e-17,3.0165383371508904e-14,-1
24,25,38,2020-02-26,-0.011215253640277412,1.53690353486106e-17,1.1157919663091296e-14,-1
25,26,39,2020-02-27,-0.011524623780241647,1.2306468672722447e-17,9.008335068432831e-15,-1
26,27,40,2020-02-28,-0.01183154612829333,1.6928809786810867e-17,1.2222600666077447e-14,-1
27,28,41,2020-02-29,-0.012141871310809887,2.7776530033485464e-17,1.9887995503975593e-14,-1
28,29,42,2020-03-01,-0.0124585479080098,4.070643660463973e-17,2.865733136966637e-14,-1
29,30,43,2020-03-02,-0.012781581888794231,4.4578552765894193e-17,3.129414404165772e-14,-1
30,31,44,2020-03-03,-0.013108819668687776,3.354068455900985e-17,2.3780345352337982e-14,-1
31,32,45,2020-03-04,-0.01343484773112611,1.674815599870362e-17,1.2108916787062717e-14,-1
32,33,46,2020-03-05,-0.013749588292242107,5.4722012614175504e-18,4.08773434227891e-15,-1
33,34,47,2020-03-06,-0.01403887244059233,1.1094017601752e-18,8.509111500543784e-16,-1
34,35,48,2020-03-07,-0.014285440722898765,1.2054932850151701e-19,9.595726548720754e-17,-1
35,36,49,2020-03-08,-0.014471200575128535,5.343893769094186e-21,4.398024571964515e-18,-1
36,37,50,2020-03-09,-0.014578434501520486,1.0164350096504518e-22,8.5482184311603e-20,-1
37,38,51,2020-03-10,-0.014589178987810864,4.8286747288324065e-23,4.075401471134551e-20,-1
38,39,52,2020-03-11,-0.014485221218012963,1.482975236570163e-20,1.2071418425681127e-17,-1
39,40,53,2020-03-12,-0.014249608321518026,6.1603983438933885e-18,4.5956571645444675e-15,-1
40,41,54,2020-03-13,-0.013868455640525154,8.128921168397048e-16,5.243154153616096e-13,-1
