,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.003877836950097198,9.384529375580585e-13,5.001954157184452e-10,-1
1,2,15,2020-02-03,-0.003642245900888829,4.4088532774346765e-12,2.2176531985496425e-09,-1
2,3,16,2020-02-04,-0.0034047668949069862,1.4494413281904529e-11,6.75439658936751e-09,-1
3,4,17,2020-02-05,-0.0031656959440509286,2.4790391076936988e-11,1.127962794000633e-08,-1
4,5,18,2020-02-06,-0.002940107037955219,2.0001361950331103e-11,9.211324599588403e-09,-1
5,6,19,2020-02-07,-0.0027440942722693493,6.147288831315561e-12,3.036760682669887e-09,-1
6,7,20,2020-02-08,-0.0025925295699587504,5.322256262211727e-13,2.9059519191676027e-10,-1
7,8,21,2020-02-09,-0.002495888876753062,1.1729917290112045e-14,7.413307727350813e-12,-1
8,9,22,2020-02-10,-0.0024596464355177315,5.66617778710692e-16,3.909662673103775e-13,-1
9,10,23,2020-02-11,-0.0024874763221810377,6.7162765547801076e-15,4.331998377833169e-12,-1
10,11,24,2020-02-12,-0.0025823294693471145,4.602856862186079e-13,2.531571274202343e-10,-1
11,12,25,2020-02-13,-0.0027459337983391,1.101768134768463e-11,5.255434002845568e-09,-1
12,13,26,2020-02-14,-0.0029792918468690937,9.376844321518946e-11,3.938274615037958e-08,-1
13,14,27,2020-02-15,-0.0032834334511066287,3.7505556136833547e-10,1.4627166893365084e-07,-1
14,15,28,2020-02-16,-0.003657929655219718,8.593610601863138e-10,3.119480648476319e-07,-1
15,16,29,2020-02-17,-0.004100515663116245,1.311435142122727e-09,4.5954295152738623e-07,-1
16,17,30,2020-02-18,-0.004607990448025908,1.4874159488993383e-09,5.116710864213724e-07,-1
17,18,31,2020-02-19,-0.005176339162338661,1.3568883458304964e-09,4.7219714434901275e-07,-1
18,19,32,2020-02-20,-0.005799984039896746,1.03553345082867e-09,3.686499084950065e-07,-1
19,20,33,2020-02-21,-0.006472348880493299,6.628459215280419e-10,2.472415287299596e-07,-1
20,21,34,2020-02-22,-0.007184804193933306,3.507872029449078e-10,1.3715779635145895e-07,-1
21,22,35,2020-02-23,-0.007923000835163651,1.5060381451140162e-10,6.204877157869747e-08,-1
22,23,36,2020-02-24,-0.008666413062400624,5.190383665278621e-11,2.2837688127225932e-08,-1
23,24,37,2020-02-25,-0.009392446552365404,1.4112828165488788e-11,6.633029237779731e-09,-1
24,25,38,2020-02-26,-0.01007994331709862,2.9323064813788542e-12,1.4984086119845945e-09,-1
25,26,39,2020-02-27,-0.01070992077646383,4.44196715107432e-13,2.456407834544099e-10,-1
26,27,40,2020-02-28,-0.011266061249346085,4.5544169781911326e-14,2.7599766887838262e-11,-1
27,28,41,2020-02-29,-0.01173433812052976,2.7756830892544874e-15,1.8263994727294527e-12,-1
28,29,42,2020-03-01,-0.012102919390130152,8.22672191226034e-17,5.882106167266143e-14,-1
29,30,43,2020-03-02,-0.012364127835381692,9.064563832894302e-19,7.070359789657555e-16,-1
30,31,44,2020-03-03,-0.012517568055640397,3.8662921074914375e-21,3.1587606518205045e-18,-1
31,32,45,2020-03-04,-0.012571597997567508,1.0404528091509604e-22,8.718994540685048e-20,-1
32,33,46,2020-03-05,-0.012540154950675658,7.533528059227583e-22,6.230227704981212e-19,-1
33,34,47,2020-03-06,-0.012438589582440679,1.7572590983420377e-20,1.4233798696570506e-17,-1
34,35,48,2020-03-07,-0.012280160185353748,1.8086027321514115e-19,1.4378391720603722e-16,-1
35,36,49,2020-03-08,-0.01207401824427725,1.0128355041641303e-18,7.859603512313651e-16,-1
36,37,50,2020-03-09,-0.011825574582966049,4.385963936666548e-18,3.337718555803243e-15,-1
37,38,51,2020-03-10,-0.011537244039863212,1.8953824019613223e-17,1.4044783598533398e-14,-1
38,39,52,2020-03-11,-0.011208578479888499,9.849892245094775e-17,7.022973170752575e-14,-1
39,40,53,2020-03-12,-0.010835885301825955,6.897059980657207e-16,4.731383146730844e-13,-1
40,41,54,2020-03-13,-0.010415247179741674,6.197657730329648e-15,4.009884551523282e-12,-1
41,42,55,2020-03-14,-0.009941305948275076,6.310130412629427e-14,3.798698508402915e-11,-1
42,43,56,2020-03-15,-0.009408403886791818,6.342131641142014e-13,3.4374353494989713e-10,-1
43,44,57,2020-03-16,-0.008813968863484045,5.552677489492443e-12,2.754128034788252e-09,-1
44,45,58,2020-03-17,-0.008162881907050386,3.8698273380911086e-11,1.7153887591813926e-08,-1
45,46,59,2020-03-18,-0.0074680713575648,2.0834743887183236e-10,8.417236530422027e-08,-1
46,47,60,2020-03-19,-0.0067462263914466174,8.970534534364597e-10,3.247333501439984e-07,-1
47,48,61,2020-03-20,-0.0060139097902526285,3.2950100220949717e-09,1.0873533072913407e-06,-1
48,49,62,2020-03-21,-0.005286462129831556,1.0785677985496344e-08,3.321988819532874e-06,-1
49,50,63,2020-03-22,-0.0045777967473322155,3.226026460370949e-08,9.194175412057205e-06,-1
50,51,64,2020-03-23,-0.0039019627070910933,8.928995929408853e-08,2.3365064872386516e-05,-1
51,52,65,2020-03-24,-0.003273111613751247,2.3095132421282044e-07,5.5428317811076906e-05,-1
52,53,66,2020-03-25,-0.0027039359113899216,5.556246167113581e-07,0.00012072974551022452,-1
53,54,67,2020-03-26,-0.002203954750276337,1.173732237553477e-06,0.00022770405408537454,-1
54,55,68,2020-03-27,-0.0017798831107260775,2.0012434297199635e-06,0.0003562213304901535,-1
55,56,69,2020-03-28,-0.0014336823948080859,2.402236816575914e-06,0.0004107824956344813,-1
56,57,70,2020-03-29,-0.001163137386033151,1.5863681977970899e-06,0.0002934781165924616,-1
57,58,71,2020-03-30,-0.0009643470805740596,3.7097225572956485e-07,8.468315464756815e-05,-1
58,59,72,2020-03-31,-0.000835332205672564,1.6345195219346958e-08,4.870868175365394e-06,-1
59,60,73,2020-04-01,-0.0007767178817004885,3.0957452219130367e-10,1.2135321269899103e-07,-1
60,61,74,2020-04-02,-0.0007897747160509225,1.007114227586602e-09,3.605468934760035e-07,-1
61,62,75,2020-04-03,-0.0008748162795325683,3.6243263968268604e-08,1.0184357175083478e-05,-1
62,63,76,2020-04-04,-0.0010320716587235888,3.009224202429262e-07,6.981400149635888e-05,-1
63,64,77,2020-04-05,-0.0012630418539451094,8.053184111359483e-07,0.00016589559269400533,-1
64,65,78,2020-04-06,-0.0015707733468917214,1.1763490670787443e-06,0.00022770405408537454,-1
65,66,79,2020-04-07,-0.0019560828959830643,1.1857019419120542e-06,0.00022770405408537454,-1
66,67,80,2020-04-08,-0.0024169366143650525,9.029379038318731e-07,0.0001814905186702065,-1
67,68,81,2020-04-09,-0.0029501740887761313,5.377692909527396e-07,0.00011830924400960272,-1
68,69,82,2020-04-10,-0.0035504848545393074,2.553817965059019e-07,6.0160272455746996e-05,-1
69,70,83,2020-04-11,-0.004206752014475693,9.634259087679747e-08,2.4952731037090547e-05,-1
70,71,84,2020-04-12,-0.004899510090563312,2.8115102333468222e-08,8.06903436970538e-06,-1
71,72,85,2020-04-13,-0.005602130540180298,6.156389538393486e-09,1.9762010418243093e-06,-1
72,73,86,2020-04-14,-0.006281099668309262,9.541767053641028e-10,3.43503613931077e-07,-1
73,74,87,2020-04-15,-0.006897741088675552,9.384112660306364e-11,3.938274615037958e-08,-1
74,75,88,2020-04-16,-0.00741111983871457,4.827083913909611e-12,2.408714873040896e-09,-1
75,76,89,2020-04-17,-0.007781910963259471,1.0451628721110598e-13,6.156009316734142e-11,-1
76,77,90,2020-04-18,-0.007975143297964617,1.8641770813279574e-15,1.2415419361644196e-12,-1
77,78,91,2020-04-19,-0.00796514525978243,2.5494732131877015e-15,1.6852017939170706e-12,-1
78,79,92,2020-04-20,-0.007738892320807366,3.708182496807359e-13,2.0617494682248915e-10,-1
79,80,93,2020-04-21,-0.0072924486417088015,5.569609034154811e-11,2.4283495388914978e-08,-1
80,81,94,2020-04-22,-0.006628030532687768,4.088111962576602e-09,1.3409007237251256e-06,-1
81,82,95,2020-04-23,-0.005754966691975213,1.9328269140743276e-07,4.696769401200616e-05,-1
82,83,96,2020-04-24,-0.004691298507608345,7.942492139623507e-06,0.0012152012973623966,-1
83,84,97,2020-04-25,-0.0034618934927728856,0.0003547718669834066,0.03512241483135725,-1
84,85,98,2020-04-26,-0.002098117231943383,0.017149193888938485,0.9432056638916166,0
85,86,99,2020-04-27,-0.0006386915128494012,0.43774897964630655,1.0,0
86,87,100,2020-04-28,0.0008747994561407985,0.3033264011522201,1.0,0
87,88,101,2020-04-29,0.0024016155907505554,0.012042358207458637,0.6984567760326009,0
88,89,102,2020-04-30,0.0039055688728357562,0.0003569562910467727,0.03512241483135725,1
89,90,103,2020-05-01,0.005356717270115835,1.3440015236348733e-05,0.00190848216356152,1
90,91,104,2020-05-02,0.006732873181736353,6.501225768727967e-07,0.0001378259862970329,1
91,92,105,2020-05-03,0.008019107205980529,3.708981825371827e-08,1.0385149111041116e-05,1
92,93,106,2020-05-04,0.009204776579664856,2.352787377611884e-09,7.952421336328168e-07,1
93,94,107,2020-05-05,0.010285470743336526,1.6704797467106003e-10,6.8324409065962e-08,1
94,95,108,2020-05-06,0.011264477964025799,1.424427824264328e-11,6.652077939314412e-09,1
95,96,109,2020-05-07,0.012151650509230639,1.634140741760676e-12,8.546556079408336e-10,1
96,97,110,2020-05-08,0.012960737329923462,2.78803396455379e-13,1.5696631220437836e-10,1
97,98,111,2020-05-09,0.013708517769057559,7.16867583141691e-14,4.2983187505566426e-11,1
98,99,112,2020-05-10,0.014410344976321782,2.5494645346734922e-14,1.5704701533588714e-11,1
99,100,113,2020-05-11,0.015077987043963034,1.1005089406919578e-14,6.988231773393932e-12,1
100,101,114,2020-05-12,0.015718757520653468,5.005585185367756e-15,3.263641540859777e-12,1
101,102,115,2020-05-13,0.01633241211949252,2.0780685680790193e-15,1.3798375292044689e-12,1
102,103,116,2020-05-14,0.016908790408336576,6.733718767951445e-16,4.632798512350594e-13,1
103,104,117,2020-05-15,0.017428608453542726,1.4214686389705368e-16,1.0049783277521696e-13,1
104,105,118,2020-05-16,0.01786641389661585,1.5439166191359304e-17,1.1486739646371322e-14,1
105,106,119,2020-05-17,0.018195281896626624,6.552146345816548e-19,5.130330588774358e-16,1
106,107,120,2020-05-18,0.018387976022884226,1.3067302634968318e-20,1.0597582436959307e-17,1
107,108,121,2020-05-19,0.01842186115514226,3.805587653305705e-21,3.112970700404067e-18,1
108,109,122,2020-05-20,0.01828162030874103,2.912096407388279e-19,2.2947319690219635e-16,1
109,110,123,2020-05-21,0.017958691303955242,4.404747721370672e-17,3.2022515934364785e-14,1
110,111,124,2020-05-22,0.017449279862322264,2.622559514825882e-15,1.7308892797850822e-12,1
111,112,125,2020-05-23,0.01675527259498199,7.066818828219967e-14,4.2471581157602e-11,1
112,113,126,2020-05-24,0.015885980052437465,1.0715539897388016e-12,5.700667225410424e-10,1
113,114,127,2020-05-25,0.01485904824839378,1.0742354001056161e-11,5.134845212504845e-09,1
114,115,128,2020-05-26,0.013700428589014034,8.043890667722432e-11,3.426697424449756e-08,1
115,116,129,2020-05-27,0.01244402572061465,4.879440944680005e-10,1.8590669999230817e-07,1
116,117,130,2020-05-28,0.011128961316308989,2.5059297758596497e-09,8.394864749129826e-07,1
117,118,131,2020-05-29,0.009795967602335757,1.1096654927746077e-08,3.3955764078902996e-06,1
118,119,132,2020-05-30,0.008484390899316092,4.215387054821578e-08,1.167662214185577e-05,1
119,120,133,2020-05-31,0.007231204515796733,1.3490888903923925e-07,3.413194892692753e-05,1
120,121,134,2020-06-01,0.006068606717048343,3.511057807447736e-07,8.075432957129793e-05,1
121,122,135,2020-06-02,0.005022936435492628,7.031397990216404e-07,0.00014765935779454447,1
122,123,136,2020-06-03,0.004114830438097648,9.987173286807945e-07,0.0001977460310787973,1
123,124,137,2020-06-04,0.0033581912914568495,8.848571262397688e-07,0.0001787411395004333,1
124,125,138,2020-06-05,0.0027581437630558423,3.9612538919967027e-07,8.912821256992582e-05,1
125,126,139,2020-06-06,0.002309224926568455,6.449470719589886e-08,1.7349076235696795e-05,1
