,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.006659784659185321,1.569218258638456e-11,7.014405616113899e-09,1
1,2,15,2020-02-03,0.0061311545394436475,8.969655720272723e-11,3.659619533871271e-08,1
2,3,16,2020-02-04,0.005575504943744151,4.4552981111272185e-10,1.6618261954504526e-07,1
3,4,17,2020-02-05,0.004998238046064525,1.877119269310047e-09,6.38220551565416e-07,1
4,5,18,2020-02-06,0.004411447698690726,7.15685539216704e-09,2.2544094485326176e-06,1
5,6,19,2020-02-07,0.003826056957119998,2.7127862489997647e-08,7.704312947159331e-06,1
6,7,20,2020-02-08,0.00325026690583706,1.1499003234980327e-07,2.9437448281549637e-05,1
7,8,21,2020-02-09,0.0026888159307571296,6.194870597485109e-07,0.00013876510138366644,1
8,9,22,2020-02-10,0.0021439429694758137,4.7674342933099404e-06,0.000881975344262339,1
9,10,23,2020-02-11,0.001617051992010519,5.65265852410465e-05,0.008365934615674883,1
10,11,24,2020-02-12,0.0011093683917660529,0.0010581885727646997,0.11534255443135226,0
11,12,25,2020-02-13,0.0006236419154816214,0.02776980072653694,1.0,0
12,13,26,2020-02-14,0.00016439692248466348,0.5006245778011582,1.0,0
13,14,27,2020-02-15,-0.0002626177705784334,0.257032438744505,1.0,0
14,15,28,2020-02-16,-0.0006514099151816383,0.006965290101838545,0.5363273378415679,0
15,16,29,2020-02-17,-0.0009962964631345585,0.00010528514930389252,0.014424065454633275,-1
16,17,30,2020-02-18,-0.0012924724964328992,1.5011369964076226e-06,0.0003092342212599703,-1
17,18,31,2020-02-19,-0.0015364473496641985,1.9168756464890423e-08,5.6547831571426745e-06,-1
18,19,32,2020-02-20,-0.0017270234386168655,1.7799878846327706e-10,6.97755250776046e-08,-1
19,20,33,2020-02-21,-0.0018651730083537636,9.052368202422515e-13,4.5986030468306375e-10,-1
20,21,34,2020-02-22,-0.0019546354857826586,1.812025968571952e-15,1.1578845939174772e-12,-1
21,22,35,2020-02-23,-0.0020021617068582916,1.6726686808253554e-18,1.2444654985340644e-15,-1
22,23,36,2020-02-24,-0.002014974201533301,5.634491137699249e-20,4.462516981057805e-17,-1
23,24,37,2020-02-25,-0.001998918360491727,1.4598166089602238e-18,1.0904830068932872e-15,-1
24,25,38,2020-02-26,-0.001958389745864846,6.346461413477553e-17,4.436176528020809e-14,-1
25,26,39,2020-02-27,-0.0018953722874330474,1.798938378801002e-15,1.1513205624326412e-12,-1
26,27,40,2020-02-28,-0.0018105918684987556,5.086075015022249e-14,2.9092349085927266e-11,-1
27,28,41,2020-02-29,-0.0017037574474847782,1.5842829722879136e-12,7.87388637227093e-10,-1
28,29,42,2020-03-01,-0.0015721936829486737,5.713235952771712e-11,2.4052723361168908e-08,-1
29,30,43,2020-03-02,-0.0014106949973526919,2.4889847606400913e-09,8.412768490963508e-07,-1
30,31,44,2020-03-03,-0.0012143118481928576,1.3135973359078247e-07,3.310265286487718e-05,-1
31,32,45,2020-03-04,-0.0009793548001716763,8.679021866573726e-06,0.0015361868703835497,-1
32,33,46,2020-03-05,-0.0007042011062648847,0.000706554536352563,0.08125377168054475,0
33,34,47,2020-03-06,-0.00038906600447185104,0.04936561739948431,1.0,0
34,35,48,2020-03-07,-3.703434885614801e-05,0.8542828464581904,1.0,0
35,36,49,2020-03-08,0.00034470499887214525,0.13065783347915805,1.0,0
36,37,50,2020-03-09,0.0007457105477248282,0.005624037107423164,0.46117104280869947,0
