,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.01577027422070029,3.49709492383053e-12,1.6471317091241796e-09,-1
1,2,15,2020-02-03,-0.016887580549550113,1.6699584837535512e-12,8.132697815879794e-10,-1
2,3,16,2020-02-04,-0.01793830635288326,7.793304786347059e-13,4.0213452697550824e-10,-1
3,4,17,2020-02-05,-0.018914051962337145,2.0467099952349598e-13,1.1072701074221132e-10,-1
4,5,18,2020-02-06,-0.01974726808890602,2.5222880786948796e-14,1.488149966429979e-11,-1
5,6,19,2020-02-07,-0.020373379298606626,1.2268045698556555e-15,8.145982343841553e-13,-1
6,7,20,2020-02-08,-0.020732966932169226,3.520319991904749e-17,2.541671034155229e-14,-1
7,8,21,2020-02-09,-0.02078067898727673,1.621835181540244e-17,1.1855615177059183e-14,-1
8,9,22,2020-02-10,-0.020490736612459585,8.01523310164971e-16,5.386236644308605e-13,-1
9,10,23,2020-02-11,-0.019860769653748254,6.97227348549665e-14,3.925389972334614e-11,-1
10,11,24,2020-02-12,-0.018911789640436508,2.5546421900919944e-12,1.2211189668639734e-09,-1
11,12,25,2020-02-13,-0.01768377148722855,4.187688232483546e-11,1.779767498805507e-08,-1
12,13,26,2020-02-14,-0.016238912058819957,3.62762551490464e-10,1.342221440514717e-07,-1
13,14,27,2020-02-15,-0.01465692283181061,1.8604549878430594e-09,6.009269610733082e-07,-1
14,15,28,2020-02-16,-0.013035232531111595,5.832507097905348e-09,1.726422100979983e-06,-1
15,16,29,2020-02-17,-0.011475490859583482,1.1012931996239234e-08,3.061595094954507e-06,-1
16,17,30,2020-02-18,-0.010061981957204435,1.1854962879734857e-08,3.2601147919270855e-06,-1
17,18,31,2020-02-19,-0.008852530350732368,6.402745125924593e-09,1.8824070670218305e-06,-1
18,19,32,2020-02-20,-0.007883009438631124,1.396380958917018e-09,4.6220209740153293e-07,-1
19,20,33,2020-02-21,-0.0071723885683501,8.976035217006604e-11,3.6173421924536615e-08,-1
20,21,34,2020-02-22,-0.006724283929043934,1.282864183108613e-12,6.427149557374152e-10,-1
21,22,35,2020-02-23,-0.006530043615589776,1.9358048848089428e-14,1.1595471260005567e-11,-1
22,23,36,2020-02-24,-0.006566330255641105,4.984021199738947e-14,2.8558441474504165e-11,-1
23,24,37,2020-02-25,-0.006797952577890972,1.0440684918701714e-12,5.272545883944365e-10,-1
24,25,38,2020-02-26,-0.007180493327563859,6.037691881968671e-12,2.7652628819416514e-09,-1
25,26,39,2020-02-27,-0.007660844148481007,9.15205218779162e-12,4.118423484506229e-09,-1
26,27,40,2020-02-28,-0.008182153977001803,4.924100598782764e-12,2.2798585772364197e-09,-1
27,28,41,2020-02-29,-0.008686854261117448,1.1679036125261234e-12,5.874555171006401e-10,-1
28,29,42,2020-03-01,-0.009121569553582187,1.1883928580419628e-13,6.548044647811215e-11,-1
29,30,43,2020-03-02,-0.009436397275939524,4.410041040749573e-15,2.7959660198352296e-12,-1
30,31,44,2020-03-03,-0.009580098292863059,1.7907164078232008e-16,1.2552922018840637e-13,-1
31,32,45,2020-03-04,-0.009503109417314118,1.799581720800058e-15,1.1715277002408378e-12,-1
32,33,46,2020-03-05,-0.009173783565219827,6.633703615226016e-13,3.4296247690718504e-10,-1
33,34,47,2020-03-06,-0.00858867798512544,1.124063086432643e-10,4.428808560544613e-08,-1
34,35,48,2020-03-07,-0.0077766331638989585,6.459774097419794e-09,1.8927138105439997e-06,-1
35,36,49,2020-03-08,-0.00679552451491934,1.627264958980851e-07,3.677618807296723e-05,-1
36,37,50,2020-03-09,-0.005724375804920645,2.1047532682236244e-06,0.00035780805559801614,-1
37,38,51,2020-03-10,-0.004651728779196435,1.492662227441155e-05,0.0021046537406920287,-1
38,39,52,2020-03-11,-0.0036666061135500194,5.644979235782226e-05,0.00699977425236996,-1
39,40,53,2020-03-12,-0.002852595330220325,9.602378767710752e-05,0.010754664219836042,-1
40,41,54,2020-03-13,-0.002284086624815953,5.15824311941519e-05,0.006602551192851443,-1
41,42,55,2020-03-14,-0.0020198541081294288,1.269882351034493e-05,0.001841329409000015,-1
42,43,56,2020-03-15,-0.0020900254043753116,2.126507840473969e-05,0.0029133157414493373,-1
43,44,57,2020-03-16,-0.002486801626817793,6.509940256708387e-05,0.007811928308050065,-1
44,45,58,2020-03-17,-0.0031595180950071103,5.5329108144008293e-05,0.006916138518001037,-1
45,46,59,2020-03-18,-0.0040223483357998595,1.6639872389989788e-05,0.0023295821345985703,-1
46,47,60,2020-03-19,-0.004975330877844748,2.4028843001945577e-06,0.0004036845624326857,-1
47,48,61,2020-03-20,-0.0059205010780959385,1.8748493686480184e-07,4.12466861102564e-05,-1
48,49,62,2020-03-21,-0.006769548848774228,7.799786746575235e-09,2.2385387962670923e-06,-1
49,50,63,2020-03-22,-0.007448671923692086,1.5365426946879516e-10,5.977151082336131e-08,-1
50,51,64,2020-03-23,-0.007903195566940876,1.338110626533134e-12,6.677172026400339e-10,-1
51,52,65,2020-03-24,-0.008095679409606635,2.898341001491265e-14,1.69552948587239e-11,-1
52,53,66,2020-03-25,-0.00800721609977648,2.184039970762398e-13,1.1771975442409326e-10,-1
53,54,67,2020-03-26,-0.007638663902786184,2.647996587474133e-11,1.135990536026403e-08,-1
54,55,68,2020-03-27,-0.0070130177292749875,1.8397562407350843e-09,5.966387246333047e-07,-1
55,56,69,2020-03-28,-0.006167415648474663,6.832054485423538e-08,1.6533571854724963e-05,-1
56,57,70,2020-03-29,-0.005149623741250656,1.873581783266855e-06,0.00032600323028843275,-1
57,58,71,2020-03-30,-0.004015430125096648,4.7329347720007587e-05,0.006152815203600987,-1
58,59,72,2020-03-31,-0.002822826691498756,0.0012128840962787985,0.10188226408741907,0
59,60,73,2020-04-01,-0.0016338119294726239,0.029175169884482047,1.0,0
60,61,74,2020-04-02,-0.0005120917838794711,0.4210312239293025,1.0,0
61,62,75,2020-04-03,0.0004797829637818619,0.38902466725727913,1.0,0
62,63,76,2020-04-04,0.0012834906273709004,0.01190872882483076,0.7145237294898455,0
63,64,77,2020-04-05,0.0018508290994459801,8.604648522983927e-05,0.009895345801431516,1
64,65,78,2020-04-06,0.002151937880764822,6.681099078691542e-07,0.00013028143203448506,1
65,66,79,2020-04-07,0.0021807414477274527,3.4184107447720065e-07,7.110294349125773e-05,1
66,67,80,2020-04-08,0.0019523823110138864,1.9497147539582913e-05,0.002710103508002025,1
67,68,81,2020-04-09,0.001498338309486067,0.0018311535922877378,0.14282998019844356,0
68,69,82,2020-04-10,0.0008610524870347264,0.07847731023690174,1.0,0
69,70,83,2020-04-11,9.545027325768323e-05,0.8479649607063285,1.0,0
70,71,84,2020-04-12,-0.0007374245540812338,0.16039298117561085,1.0,0
71,72,85,2020-04-13,-0.0015788023753469933,0.005542518861606737,0.3736066625212383,0
72,73,86,2020-04-14,-0.0023797746683915833,0.00010663787366344742,0.011730166102979216,-1
73,74,87,2020-04-15,-0.0031059137190495314,1.7278734266701421e-06,0.00030583359652061517,-1
74,75,88,2020-04-16,-0.003732877216387781,2.5323954574931846e-08,6.609552144057211e-06,-1
75,76,89,2020-04-17,-0.004239090979426119,3.1257343142239405e-10,1.1705248158080823e-07,-1
76,77,90,2020-04-18,-0.004607594653449412,2.6454395131163536e-12,1.2618746477565006e-09,-1
77,78,91,2020-04-19,-0.004831708104894194,1.2443038783260165e-14,7.60269669657196e-12,-1
78,79,92,2020-04-20,-0.004915298454177185,2.1643581432075848e-16,1.5085576258156865e-13,-1
79,80,93,2020-04-21,-0.00487094479448622,2.559611299128152e-15,1.6458300653394018e-12,-1
80,81,94,2020-04-22,-0.004719829259779125,2.645202970842784e-13,1.4151835894008895e-10,-1
81,82,95,2020-04-23,-0.004488423861484363,9.251462289235192e-12,4.153906567866601e-09,-1
82,83,96,2020-04-24,-0.004205180313559348,1.0251537686641114e-10,4.04935738622324e-08,-1
83,84,97,2020-04-25,-0.0038963511835188144,4.315850080141809e-10,1.5666535790914765e-07,-1
84,85,98,2020-04-26,-0.0035875388027823874,7.171558378393303e-10,2.502873874059263e-07,-1
85,86,99,2020-04-27,-0.003306278498715329,3.8769192321120443e-10,1.4267062774172324e-07,-1
86,87,100,2020-04-28,-0.0030805330377677975,4.8592550594232085e-11,2.050605635076594e-08,-1
87,88,101,2020-04-29,-0.0029329157419402474,1.4149627004744854e-12,6.993906570420394e-10,-1
88,89,102,2020-04-30,-0.002875814871246782,1.0679369743519533e-13,5.927050207653341e-11,-1
89,90,103,2020-05-01,-0.002904737605716722,3.420550636876494e-13,1.8060507362707888e-10,-1
90,91,104,2020-05-02,-0.0030047270148954052,1.7871861617584982e-12,8.685724746146301e-10,-1
91,92,105,2020-05-03,-0.003157226561643152,2.7414393143367195e-12,1.3049251136242785e-09,-1
92,93,106,2020-05-04,-0.0033454099242954368,1.4981934253251028e-12,7.371111652599506e-10,-1
93,94,107,2020-05-05,-0.0035570434144337514,5.291160014096323e-13,2.7514032073300876e-10,-1
94,95,108,2020-05-06,-0.0037886323013704482,2.461889198728129e-13,1.322034499717005e-10,-1
95,96,109,2020-05-07,-0.0040453577294589935,2.9012456609120245e-13,1.546363937266109e-10,-1
96,97,110,2020-05-08,-0.004333609999473613,8.255422252688462e-13,4.235031615629181e-10,-1
97,98,111,2020-05-09,-0.004654419986720217,3.072801250814888e-12,1.4595805941370718e-09,-1
98,99,112,2020-05-10,-0.005002031032837521,8.852614446848488e-12,4.0013817299755164e-09,-1
99,100,113,2020-05-11,-0.005367187519051309,1.4321339695628538e-11,6.272746786685299e-09,-1
100,101,114,2020-05-12,-0.005736294196629867,1.091090812460774e-11,4.844443207325837e-09,-1
101,102,115,2020-05-13,-0.006087795308994902,3.468686768409444e-12,1.6399035516223834e-09,-1
102,103,116,2020-05-14,-0.006394170387607675,4.009666486539439e-13,2.1010652389466658e-10,-1
103,104,117,2020-05-15,-0.00662400882017797,1.650322507828111e-14,9.951444722203509e-12,-1
104,105,118,2020-05-16,-0.006751256747752275,5.293454301326601e-16,3.6048423792034156e-13,-1
105,106,119,2020-05-17,-0.006764387986473984,3.170478873913316e-16,2.1812894652523614e-13,-1
106,107,120,2020-05-18,-0.006667934150161681,5.611865942700934e-15,3.5410874098442893e-12,-1
107,108,121,2020-05-19,-0.0064812765481556235,9.65372842457345e-14,5.386780460911985e-11,-1
108,109,122,2020-05-20,-0.006236756748139228,4.867684942578942e-13,2.536063855083629e-10,-1
109,110,123,2020-05-21,-0.00597766735990949,6.104106396194928e-13,3.161927113228973e-10,-1
110,111,124,2020-05-22,-0.005750029834235368,1.7664191837738347e-13,9.644648743405138e-11,-1
111,112,125,2020-05-23,-0.005594806028750199,1.44701317879957e-14,8.826780390677377e-12,-1
112,113,126,2020-05-24,-0.005538924554675136,2.516079065582989e-15,1.6203549182354449e-12,-1
113,114,127,2020-05-25,-0.005586552022714325,1.1455707203324305e-14,7.010892808434474e-12,-1
114,115,128,2020-05-26,-0.00572051179632155,1.0778657465411402e-13,5.971376235837917e-11,-1
115,116,129,2020-05-27,-0.005912964871909443,3.0918130513465004e-13,1.6417527302649917e-10,-1
116,117,130,2020-05-28,-0.006125406670181656,2.0602980783261764e-13,1.1125609622961353e-10,-1
117,118,131,2020-05-29,-0.006304943125131108,3.306128905661522e-14,1.927473152000667e-11,-1
