,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0013975544420037588,4.3143288385838116e-10,1.6998455624020219e-07,1
1,2,15,2020-02-03,0.001484821749543656,3.3998808325309535e-11,1.546108306623749e-08,1
2,3,16,2020-02-04,0.001506179718517752,8.204913484551045e-11,3.5773422792642554e-08,1
3,4,17,2020-02-05,0.001587700108659736,1.97187398152805e-09,7.09874633350098e-07,1
4,5,18,2020-02-06,0.0017556006726602007,4.5072697847709795e-08,1.293586428229271e-05,1
5,6,19,2020-02-07,0.0020230151340206713,2.568612891142568e-07,6.575649001324974e-05,1
6,7,20,2020-02-08,0.0023885372277644913,4.291028297253851e-07,0.00010470109045299396,1
7,8,21,2020-02-09,0.002834699797712178,2.913705676598018e-07,7.327693212829451e-05,1
8,9,22,2020-02-10,0.003327697802057969,1.0031651419587259e-07,2.7587041403864964e-05,1
9,10,23,2020-02-11,0.003829277562570037,1.8798032162753686e-08,5.733399809639875e-06,1
10,11,24,2020-02-12,0.004302506553801689,1.8566195126688021e-09,6.739528830987752e-07,1
11,12,25,2020-02-13,0.004711310597137242,8.961822607543566e-11,3.889431011673908e-08,1
12,13,26,2020-02-14,0.005025318244031081,1.955502618337463e-12,1.0313566971189242e-09,1
13,14,27,2020-02-15,0.0052256987582487155,2.2459111610417103e-14,1.4239076761004443e-11,1
14,15,28,2020-02-16,0.005304242485543168,9.734545298442211e-16,6.736305346522011e-13,1
15,16,29,2020-02-17,0.005253661998743381,8.588385072460591e-15,5.599627067244305e-12,1
16,17,30,2020-02-18,0.005063948382141929,1.024639106191411e-12,5.625268692990846e-10,1
17,18,31,2020-02-19,0.004726305862546509,1.0177353696252402e-10,4.396616796781038e-08,1
18,19,32,2020-02-20,0.004234704576801914,7.235035142375166e-09,2.4092667024109305e-06,1
19,20,33,2020-02-21,0.0035922676345657677,4.6325453385843994e-07,0.00011217478688753792,1
20,21,34,2020-02-22,0.002819007902659593,3.0223270462390916e-05,0.004865946544444937,1
21,22,35,2020-02-23,0.0019482710247485957,0.001910996325813154,0.1949216252329417,0
22,23,36,2020-02-24,0.001016444446150541,0.08092254000078511,1.0,0
23,24,37,2020-02-25,5.777270141093325e-05,0.9183231501928923,1.0,0
24,25,38,2020-02-26,-0.0008984555979419063,0.12559078694166506,1.0,0
25,26,39,2020-02-27,-0.0018302721740996127,0.00408442288769768,0.38393575144358194,0
26,27,40,2020-02-28,-0.002723335023678896,8.801015127642839e-05,0.01249744148125283,-1
27,28,41,2020-02-29,-0.003569872565859402,1.8635813957851347e-06,0.00039880641869801883,-1
28,29,42,2020-03-01,-0.004370638770246118,5.231403161827449e-08,1.4857184979589955e-05,-1
29,30,43,2020-03-02,-0.005138468114582454,3.245868488908629e-09,1.1295622341402028e-06,-1
30,31,44,2020-03-03,-0.0058974520723996116,7.650607824408881e-10,2.8995803654509657e-07,-1
31,32,45,2020-03-04,-0.006678339333788494,6.497999994246087e-10,2.5082279977789897e-07,-1
32,33,46,2020-03-05,-0.007516637551442424,1.0235783971624328e-09,3.8179474214158746e-07,-1
33,34,47,2020-03-06,-0.008443954449039509,1.6194408790133337e-09,5.927153617188801e-07,-1
34,35,48,2020-03-07,-0.009478573643095421,1.918508914855708e-09,6.945002271777662e-07,-1
35,36,49,2020-03-08,-0.01062083178150515,1.575002764348497e-09,5.780260145158985e-07,-1
36,37,50,2020-03-09,-0.011856846068686571,9.153193528648908e-10,3.4507539603006384e-07,-1
37,38,51,2020-03-10,-0.013158434042617502,3.9165637629353734e-10,1.562708941411214e-07,-1
38,39,52,2020-03-11,-0.014489105374213336,1.2784339673932208e-10,5.4461287010951206e-08,-1
39,40,53,2020-03-12,-0.015812086039703733,3.308937541553684e-11,1.5154933940315873e-08,-1
40,41,54,2020-03-13,-0.017096099464593343,7.1301429505079356e-12,3.55794133230346e-09,-1
41,42,55,2020-03-14,-0.01831852329854251,1.375444337649221e-12,7.454908310058777e-10,-1
42,43,56,2020-03-15,-0.019471389762508454,2.6438933693412815e-13,1.541389834325967e-10,-1
43,44,57,2020-03-16,-0.020562890214198163,5.889390807274615e-14,3.621975346473888e-11,-1
44,45,58,2020-03-17,-0.02161060743127684,1.7881169450769387e-14,1.137242377068933e-11,-1
45,46,59,2020-03-18,-0.022627015457032787,7.780393886222607e-15,5.10393838936203e-12,-1
46,47,60,2020-03-19,-0.023606478669918912,4.038602947246126e-15,2.7058639746549043e-12,-1
47,48,61,2020-03-20,-0.02451400742202577,1.7232714255261324e-15,1.1683780265067178e-12,-1
48,49,62,2020-03-21,-0.02528416382319306,3.8896040734302263e-16,2.7382812676948795e-13,-1
49,50,63,2020-03-22,-0.025830499530879306,3.417439471957655e-17,2.5289052092486648e-14,-1
50,51,64,2020-03-23,-0.026056124806566383,3.4235067478901365e-18,2.6224061688838445e-15,-1
51,52,65,2020-03-24,-0.02586492152235552,5.0443927961433686e-17,3.702584312369233e-14,-1
52,53,66,2020-03-25,-0.02517750137162166,2.1642514769384556e-14,1.3742996878559193e-11,-1
53,54,67,2020-03-26,-0.023933374806074763,5.31698643584977e-12,2.674444177232434e-09,-1
54,55,68,2020-03-27,-0.022097391535152375,5.292064740181557e-10,2.0639052486708074e-07,-1
55,56,69,2020-03-28,-0.019670209687259053,2.783080232645086e-08,8.321409895608807e-06,-1
56,57,70,2020-03-29,-0.016693261520135776,9.965875030425418e-07,0.00022323560068152938,-1
57,58,71,2020-03-30,-0.013254857514307107,2.985915175653349e-05,0.004837182584558426,-1
58,59,72,2020-03-31,-0.009486737625171621,0.0008804306093051084,0.09772779763286703,0
59,60,73,2020-04-01,-0.0055542093348977094,0.025801786324727155,1.0,0
60,61,74,2020-04-02,-0.0016400710872930208,0.45301906455920293,1.0,0
61,62,75,2020-04-03,0.0020753448114651744,0.310820085637031,1.0,0
62,63,76,2020-04-04,0.0054319401684123515,0.008757169848884161,0.7356022673062695,0
63,64,77,2020-04-05,0.008302768537856265,0.0001023939272245804,0.014335149811441255,1
64,65,78,2020-04-06,0.010606088369860402,8.895582087455523e-07,0.00020281927159398593,1
65,66,79,2020-04-07,0.012309112293025105,5.173661311552922e-09,1.7435238619933348e-06,1
66,67,80,2020-04-08,0.013424942176008769,1.6500017255088385e-11,7.80706454254017e-09,1
67,68,81,2020-04-09,0.014009292821639608,5.96035565795742e-14,3.6596583739858555e-11,1
68,69,82,2020-04-10,0.01414380010494668,9.664563485706647e-15,6.272301702223614e-12,1
69,70,83,2020-04-11,0.013920705153052612,7.813743903051575e-14,4.7273150613462027e-11,1
70,71,84,2020-04-12,0.01343674779169554,6.165565658734196e-13,3.4280545062562133e-10,1
71,72,85,2020-04-13,0.012787944744393065,1.7554986347027169e-12,9.335374795800993e-10,1
72,73,86,2020-04-14,0.012070287639441983,1.7582019705592583e-12,9.335374795800993e-10,1
73,74,87,2020-04-15,0.011376904131102634,5.930208966233946e-13,3.3031263941923075e-10,1
74,75,88,2020-04-16,0.010789748850763144,5.515925398302269e-14,3.3978100453541977e-11,1
75,76,89,2020-04-17,0.01036843903871889,1.0361105035308042e-15,7.138801369327241e-13,1
76,77,90,2020-04-18,0.010141541970332547,5.3333483699470586e-18,4.064011457899659e-15,1
77,78,91,2020-04-19,0.010099656426320802,9.167502669324273e-19,7.159819584742258e-16,1
78,79,92,2020-04-20,0.010199123957365377,1.9985962000074065e-17,1.4889541690055178e-14,1
79,80,93,2020-04-21,0.010379771285532156,2.2291270068089244e-16,1.5871384288479542e-13,1
80,81,94,2020-04-22,0.010582920504917107,5.022688772138766e-16,3.515882140497136e-13,1
81,82,95,2020-04-23,0.010753919789944364,2.7329854333243994e-16,1.9404196576603235e-13,1
82,83,96,2020-04-24,0.010832123400616308,9.097247500287153e-17,6.595504437708186e-14,1
83,84,97,2020-04-25,0.010751146977218884,6.130042471748628e-16,4.2787696452805426e-13,1
84,85,98,2020-04-26,0.01043867377428624,1.850210058846363e-13,1.0897737246605079e-10,1
85,86,99,2020-04-27,0.009824188689170945,7.411645962060764e-11,3.2537125773446754e-08,1
86,87,100,2020-04-28,0.00885203359543785,1.4654238150285203e-08,4.5721223028889836e-06,1
87,88,101,2020-04-29,0.00749982182281089,1.6487824812808197e-06,0.000356137015956657,1
88,89,102,2020-04-30,0.005785810367713359,0.00013438026930796536,0.018275716625883287,1
89,90,103,2020-05-01,0.0037677729670469885,0.008449206281528546,0.7181825339299264,0
90,91,104,2020-05-02,0.001538892356168264,0.2572844548165457,1.0,0
91,92,105,2020-05-03,-0.0007863169568969393,0.56450889487431,1.0,0
92,93,106,2020-05-04,-0.0030797827901788252,0.03421764960217045,1.0,0
93,94,107,2020-05-05,-0.0052080513038328955,0.0008374193854085118,0.09379097116575333,0
94,95,108,2020-05-06,-0.007043305400810881,1.3857602151532278e-05,0.002411222774366616,-1
95,96,109,2020-05-07,-0.008475987484895375,1.4865607263231073e-07,3.9096547102297724e-05,-1
96,97,110,2020-05-08,-0.009427590569455213,9.427012790923388e-10,3.544556809387194e-07,-1
97,98,111,2020-05-09,-0.009854326008422502,1.54370529434988e-11,7.33260014816193e-09,-1
98,99,112,2020-05-10,-0.009747844520946396,5.2315661586469286e-11,2.3385100729151772e-08,-1
99,100,113,2020-05-11,-0.009133380016327044,4.216044000043771e-09,1.4292389160148385e-06,-1
100,101,114,2020-05-12,-0.008065936354736254,2.9078147669958137e-07,7.327693212829451e-05,-1
101,102,115,2020-05-13,-0.006620494778761739,1.3128859081770599e-05,0.002323808057473396,-1
102,103,116,2020-05-14,-0.004887348675729896,0.0005022552618298932,0.0592661208959274,0
103,104,117,2020-05-15,-0.0029671903401245225,0.018262107673384324,1.0,0
104,105,118,2020-05-16,-0.0009639787527683038,0.3939972992748412,1.0,0
105,106,119,2020-05-17,0.001022586770054919,0.35101002083771016,1.0,0
106,107,120,2020-05-18,0.00290670292725307,0.012025251778695649,0.9499948905169563,0
107,108,121,2020-05-19,0.004617861181347709,0.00021456398357440256,0.027716916853402097,1
108,109,122,2020-05-20,0.006106809063726982,3.711140930966775e-06,0.0007496504680552886,1
109,110,123,2020-05-21,0.007342792642353953,5.972880494695424e-08,1.6843522995041095e-05,1
110,111,124,2020-05-22,0.008304808184725862,6.878140020157002e-10,2.634327627720132e-07,1
111,112,125,2020-05-23,0.008980419050052549,4.09446614959826e-12,2.0799888039959164e-09,1
112,113,126,2020-05-24,0.009370151432231114,1.340204771127128e-14,8.604114630636162e-12,1
113,114,127,2020-05-25,0.009486135238822305,6.642682700471595e-16,4.62330715952823e-13,1
114,115,128,2020-05-26,0.009354120733548858,1.2600147508183648e-14,8.101894847762085e-12,1
115,116,129,2020-05-27,0.009013664063180712,5.389032382367563e-13,3.0286361988905706e-10,1
116,117,130,2020-05-28,0.008512358730493625,9.122169602098987e-12,4.460740935426405e-09,1
117,118,131,2020-05-29,0.00789742987440827,7.257477213155239e-11,3.1932899737883054e-08,1
118,119,132,2020-05-30,0.007212993259179924,3.475296584243595e-10,1.407495116618656e-07,1
119,120,133,2020-05-31,0.006496650796049383,1.2082223460877055e-09,4.4945871274462644e-07,1
120,121,134,2020-06-01,0.005774976040172047,3.5540482391678743e-09,1.2225925942737487e-06,1
121,122,135,2020-06-02,0.005062926778943588,9.736937390892984e-09,3.145030777258434e-06,1
122,123,136,2020-06-03,0.004368386146419932,2.8352932620995857e-08,8.449173921056766e-06,1
123,124,137,2020-06-04,0.003692894929085736,1.1042958391205969e-07,2.9926417240168178e-05,1
124,125,138,2020-06-05,0.003028759293630463,7.545003971397687e-07,0.00017386921097412088,1
125,126,139,2020-06-06,0.002363959285346204,1.1037923844956025e-05,0.0019978642159370406,1
126,127,140,2020-06-07,0.0016862276779884648,0.0003622229633556083,0.044553424492739815,1
127,128,141,2020-06-08,0.0009830218374107548,0.019799319809362226,1.0,0
128,129,142,2020-06-09,0.0002434391144278303,0.5463350361393281,1.0,0
129,130,143,2020-06-10,-0.0005392489128777979,0.22327437939729047,1.0,0
130,131,144,2020-06-11,-0.0013721869008360356,0.00995089400616552,0.8159733085055726,0
131,132,145,2020-06-12,-0.0022670094287497965,0.0004945044014913922,0.05884602377747567,0
132,133,146,2020-06-13,-0.0032321868095132548,4.0171908666658964e-05,0.006306989660665457,-1
