,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.012373224659993534,4.717855641544942e-08,1.4908423827282017e-05,-1
1,2,15,2020-02-03,-0.014262586188955957,4.383401095168721e-09,1.6043248008317518e-06,-1
2,3,16,2020-02-04,-0.01596342458878043,5.151674156100527e-10,2.143096448937819e-07,-1
3,4,17,2020-02-05,-0.017513168279916308,4.72023692912686e-11,2.2137911197604976e-08,-1
4,5,18,2020-02-06,-0.018864897015270526,3.0626347664563412e-12,1.5925700785572975e-09,-1
5,6,19,2020-02-07,-0.019986240114169173,1.2513902006995175e-13,7.445771694162129e-11,-1
6,7,20,2020-02-08,-0.020869822538396966,2.890698514231286e-15,1.9483307985918867e-12,-1
7,8,21,2020-02-09,-0.021539320086912055,3.4831824243753595e-17,2.56710544676464e-14,-1
8,9,22,2020-02-10,-0.022039083616111677,2.11737207144571e-19,1.6917802850851223e-16,-1
9,10,23,2020-02-11,-0.02241789665598459,9.587973777666517e-22,8.044309999462207e-19,-1
10,11,24,2020-02-12,-0.022727880692004408,4.6310626093917847e-23,3.9271410927642334e-20,-1
11,12,25,2020-02-13,-0.023021042372550465,4.645217944544518e-22,3.9112735093064844e-19,-1
12,13,26,2020-02-14,-0.0233521353188922,3.43103103359917e-20,2.7791351372153276e-17,-1
13,14,27,2020-02-15,-0.023777231712065135,2.055127499122635e-18,1.5947789393191648e-15,-1
14,15,28,2020-02-16,-0.024346328492427738,6.587855790511419e-17,4.7959590154923134e-14,-1
15,16,29,2020-02-17,-0.025097700649175398,1.039521146427462e-15,7.101901056136374e-13,-1
16,17,30,2020-02-18,-0.02605416762434336,8.125757327795928e-15,5.314245292378537e-12,-1
17,18,31,2020-02-19,-0.0272106447138034,3.24797465143555e-14,2.0104963092386054e-11,-1
18,19,32,2020-02-20,-0.028534381768207988,7.132219545076793e-14,4.329257263861613e-11,-1
19,20,33,2020-02-21,-0.029975418721078693,9.564592048540493e-14,5.719626045027215e-11,-1
20,21,34,2020-02-22,-0.031478858224267776,8.457128975720124e-14,5.099648772359235e-11,-1
21,22,35,2020-02-23,-0.03299558343171274,4.992803148682278e-14,3.055595526993554e-11,-1
22,23,36,2020-02-24,-0.034466754089468477,1.8090389898504914e-14,1.1451216805753611e-11,-1
23,24,37,2020-02-25,-0.03580775142764003,3.420191938918351e-15,2.2915285990752953e-12,-1
24,25,38,2020-02-26,-0.036913207104996654,2.6074674324486617e-16,1.8408720073087551e-13,-1
25,26,39,2020-02-27,-0.0376654507915167,6.726500339941134e-18,5.09868725767538e-15,-1
