,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.04503683080275621,2.180708689054305e-17,1.6900492340170863e-14,1
1,2,15,2020-02-03,0.04372961533857285,4.865406890030577e-18,3.848536850014187e-15,1
2,3,16,2020-02-04,0.04289908122025702,3.591240781431907e-17,2.743707957013977e-14,1
3,4,17,2020-02-05,0.041846174647661494,7.683174356729593e-17,5.770063941903924e-14,1
4,5,18,2020-02-06,0.04073604227516214,7.563997857442054e-17,5.688126388796425e-14,1
5,6,19,2020-02-07,0.03964891351244705,4.6253114526537684e-17,3.5013607696589026e-14,1
6,7,20,2020-02-08,0.03859905516940889,2.4740204488107178e-17,1.9074697660330635e-14,1
7,8,21,2020-02-09,0.03749971096425139,3.0650425959591526e-17,2.347822628504711e-14,1
8,9,22,2020-02-10,0.03608619367906588,8.528098782472192e-16,6.165815419727395e-13,1
9,10,23,2020-02-11,0.03428003277057061,8.440026230683187e-14,5.435376892559972e-11,1
10,11,24,2020-02-12,0.03252219031585286,7.651328741252669e-13,4.705567175870391e-10,1
11,12,25,2020-02-13,0.03088365221540846,2.092976934123862e-12,1.2474142527378217e-09,1
12,13,26,2020-02-14,0.02934750870449958,2.9249221499056372e-12,1.7315539127441373e-09,1
13,14,27,2020-02-15,0.027920357141224244,2.3155132732579935e-12,1.3754148843152482e-09,1
14,15,28,2020-02-16,0.026544280777899974,1.2285681452332419e-12,7.475077752127307e-10,1
15,16,29,2020-02-17,0.02521892516991128,4.1406131695739577e-13,2.571320778305428e-10,1
16,17,30,2020-02-18,0.024002874590791222,6.799448002872394e-14,4.3992428578584385e-11,1
17,18,31,2020-02-19,0.023026883507183123,2.9969099042684073e-15,2.1158183924134957e-12,1
18,19,32,2020-02-20,0.022421520005705915,3.2431903064173074e-17,2.4810405844092402e-14,1
19,20,33,2020-02-21,0.022248427781253046,4.054548014473037e-18,3.223365671506064e-15,1
20,21,34,2020-02-22,0.022495082422292687,1.8892631016246346e-17,1.4679574299623412e-14,1
21,22,35,2020-02-23,0.02303034691130954,1.0458687839981367e-17,8.178693890865429e-15,1
22,23,36,2020-02-24,0.023491371764755437,7.21005290977126e-18,5.681521692899753e-15,1
23,24,37,2020-02-25,0.02364349673943216,1.6282759458192447e-17,1.2684269617931917e-14,1
24,25,38,2020-02-26,0.023812656460325727,2.4037371646761025e-17,1.8556850911299512e-14,1
25,26,39,2020-02-27,0.024023612223876053,1.599850064472775e-17,1.2478830502887646e-14,1
26,27,40,2020-02-28,0.024220068148578383,4.441121319071722e-18,3.5173680847048037e-15,1
27,28,41,2020-02-29,0.024364922982718883,6.192741874040798e-19,4.991349950476883e-16,1
28,29,42,2020-03-01,0.024342621640987817,9.082989687976166e-19,7.302723709132837e-16,1
29,30,43,2020-03-02,0.02407457165719553,1.9090391304888147e-17,1.4814143652593203e-14,1
30,31,44,2020-03-03,0.02353140904143673,3.110618385488158e-16,2.2894151317192844e-13,1
31,32,45,2020-03-04,0.022760961058070628,2.1806121267522456e-15,1.5547764463743512e-12,1
32,33,46,2020-03-05,0.021825718142124646,1.2835995156154662e-14,8.72847670618517e-12,1
33,34,47,2020-03-06,0.020731942417541196,1.147418707086328e-13,7.332005538281636e-11,1
34,35,48,2020-03-07,0.01942443426605353,2.179352777316478e-12,1.2967149025033044e-09,1
35,36,49,2020-03-08,0.017796061024877324,9.817094997038557e-11,5.3394322680173305e-08,1
36,37,50,2020-03-09,0.015719506731969934,8.821694588097777e-09,4.2697001806393246e-06,1
37,38,51,2020-03-10,0.013197267889751499,7.708521618773998e-07,0.00033532069041666894,1
38,39,52,2020-03-11,0.010724763921699795,1.4636814574677328e-05,0.006059641233916414,1
39,40,53,2020-03-12,0.009306350064700408,2.0587592659435208e-05,0.008461500583027871,1
40,41,54,2020-03-13,0.009472170348330233,2.424186740093664e-05,0.009939165634384023,1
41,42,55,2020-03-14,0.010985833134062786,9.213371306140107e-05,0.036392816659253424,1
42,43,56,2020-03-15,0.013529511606100749,0.0001691622253362527,0.0658041056558023,0
43,44,57,2020-03-16,0.01682875169615432,0.00012855823509192146,0.05013771168584937,0
44,45,58,2020-03-17,0.020565255302047256,5.041957840107992e-05,0.02021825093883305,1
45,46,59,2020-03-18,0.02431435802193942,1.1033875913928199e-05,0.004612160132021987,1
46,47,60,2020-03-19,0.02763809661507314,1.36499873800693e-06,0.0005896794548189937,1
47,48,61,2020-03-20,0.030173978259250177,1.0673563976942957e-07,4.803103789624331e-05,1
48,49,62,2020-03-21,0.031632920184051005,1.0697969622737702e-08,5.16711932778231e-06,1
