,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.012494924424997694,9.555464941007003e-10,5.465725946256005e-07,-1
1,2,15,2020-02-03,-0.013486946384076114,5.926167794336479e-12,3.8638614019073846e-09,-1
2,3,16,2020-02-04,-0.014171465488065898,5.094047902080094e-15,3.688090681105988e-12,-1
3,4,17,2020-02-05,-0.014494605657293711,8.93597419811677e-18,6.970059874531081e-15,-1
4,5,18,2020-02-06,-0.01441085608675626,1.5068901977692253e-17,1.1693467934689189e-14,-1
5,6,19,2020-02-07,-0.014137573523861894,1.0117277578961233e-19,8.164643006221715e-17,-1
6,7,20,2020-02-08,-0.014005301889181173,3.958832534133736e-22,3.2897898358651347e-19,-1
7,8,21,2020-02-09,-0.014005093127145787,3.903402733625145e-22,3.2476310743761205e-19,-1
8,9,22,2020-02-10,-0.01414104202422736,1.0079735856324775e-19,8.144426571910417e-17,-1
9,10,23,2020-02-11,-0.014423599720264382,1.5320510551339545e-17,1.1858075166736808e-14,-1
10,11,24,2020-02-12,-0.014874736249006048,9.410150985077595e-16,6.972921879942498e-13,-1
11,12,25,2020-02-13,-0.01552773081582067,3.0451278261235324e-14,2.1589956287215843e-11,-1
12,13,26,2020-02-14,-0.016417925706189593,5.474804179910455e-13,3.7228668423391095e-10,-1
13,14,27,2020-02-15,-0.017561320050551665,4.932256869845864e-12,3.2503572772284245e-09,-1
14,15,28,2020-02-16,-0.018912638009884807,1.7960952697189107e-11,1.1423165915412271e-08,-1
15,16,29,2020-02-17,-0.020318285224395497,2.0178996271142516e-11,1.2793483635904355e-08,-1
16,17,30,2020-02-18,-0.021524250674633847,5.852102047333897e-12,3.8214226369090345e-09,-1
17,18,31,2020-02-19,-0.02227506548405293,6.484363728816176e-13,4.376945516950918e-10,-1
18,19,32,2020-02-20,-0.022425915774062218,2.7977399290286165e-13,1.9164518513846022e-10,-1
19,20,33,2020-02-21,-0.02196978476261139,4.037597247105364e-12,2.6728893775837512e-09,-1
20,21,34,2020-02-22,-0.020975375476789765,1.737373317785706e-10,1.0302623774469236e-07,-1
21,22,35,2020-02-23,-0.019528207648544016,4.320773995483017e-09,2.380746471511142e-06,-1
22,23,36,2020-02-24,-0.017723045384218664,5.130409535956109e-08,2.6678129586971766e-05,-1
23,24,37,2020-02-25,-0.015669742179488442,3.0915373319740804e-07,0.00015179448299992734,-1
24,25,38,2020-02-26,-0.01349983303465873,9.525540774703554e-07,0.00045151063272094846,-1
25,26,39,2020-02-27,-0.011370887117905914,1.3155926442864182e-06,0.000612989985779716,-1
26,27,40,2020-02-28,-0.009462259115746495,5.51548385118571e-07,0.0002663978700122698,-1
27,28,41,2020-02-29,-0.007954818166196443,2.901633104312771e-08,1.5378655452857687e-05,-1
