,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.001122740066700048,4.421697887101721e-15,1.5962329372437213e-12,-1
1,2,15,2020-02-03,-0.001164230784608401,3.181650504205246e-14,1.0467630158835259e-11,-1
2,3,16,2020-02-04,-0.0012157913649017838,6.013574064978526e-14,1.9363708489230855e-11,-1
3,4,17,2020-02-05,-0.001269665300172649,4.459344021727686e-14,1.4403681190180426e-11,-1
4,5,18,2020-02-06,-0.0013202240695076575,1.3126745952418725e-14,4.502473861679623e-12,-1
5,6,19,2020-02-07,-0.0013621416354135903,1.4014639403324335e-15,5.26950441564995e-13,-1
6,7,20,2020-02-08,-0.0013903246925512144,5.648546351043879e-17,2.5983313214801845e-14,-1
7,8,21,2020-02-09,-0.0013993180289162059,7.3858376421374e-18,3.7963205480586236e-15,-1
8,9,22,2020-02-10,-0.001384233356085152,2.784947132022534e-16,1.1585380069213742e-13,-1
9,10,23,2020-02-11,-0.0013417365845547265,7.289990916595227e-14,2.3182171114772823e-11,-1
10,11,24,2020-02-12,-0.0012706684639196616,8.069439225905625e-12,2.0577070026059343e-09,-1
11,12,25,2020-02-13,-0.0011727421027595652,3.550591230472849e-10,7.349723847078797e-08,-1
12,13,26,2020-02-14,-0.0010533529220782291,7.590949679601439e-09,1.3056433448914475e-06,-1
13,14,27,2020-02-15,-0.0009201313565801172,8.964843479529176e-08,1.3357616784498473e-05,-1
14,15,28,2020-02-16,-0.000782039003688648,6.131202511009747e-07,7.786627188982378e-05,-1
15,16,29,2020-02-17,-0.0006488396657478117,2.3882517422465892e-06,0.00026987244687386457,-1
16,17,30,2020-02-18,-0.0005299365856707871,4.848698253334293e-06,0.0005236594113601036,-1
17,18,31,2020-02-19,-0.0004330157145366545,4.036755742244388e-06,0.0004400063759046383,-1
18,19,32,2020-02-20,-0.0003641949216111295,8.773517177572769e-07,0.00010528220613087323,-1
19,20,33,2020-02-21,-0.0003274498339111111,5.8788032706265416e-08,8.935780971352343e-06,-1
20,21,34,2020-02-22,-0.00032408453969513226,3.9062126703029984e-08,6.210878145781767e-06,-1
21,22,35,2020-02-23,-0.0003514782130165549,2.740329626845582e-07,3.7871728760516746e-05,-1
22,23,36,2020-02-24,-0.0004036090276170489,6.488932676272326e-07,8.111165845340408e-05,-1
23,24,37,2020-02-25,-0.0004719119954219864,3.7658031195532475e-07,4.970860117810287e-05,-1
24,25,38,2020-02-26,-0.0005454298629571849,7.13344736500572e-08,1.0771505521158638e-05,-1
