,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.13767373674981842,2.5531567680095965e-13,1.930186516615255e-10,1
1,2,15,2020-02-03,0.1327184448648101,2.1665853487361387e-17,1.826431448984565e-14,1
2,3,16,2020-02-04,0.1329536882120632,3.279708141646934e-17,2.741836006416837e-14,1
3,4,17,2020-02-05,0.13413489400117115,4.337521693787504e-17,3.6131555709249906e-14,1
4,5,18,2020-02-06,0.13454700298024758,2.5754450860841217e-17,2.1633738723106623e-14,1
5,6,19,2020-02-07,0.13260400828406063,1.5670683552253103e-15,1.2646241626668254e-12,1
6,7,20,2020-02-08,0.1269804411596825,2.391821618313054e-12,1.772339819169973e-09,1
7,8,21,2020-02-09,0.1168093295365957,1.5319298367230016e-09,1.101457552603838e-06,1
8,9,22,2020-02-10,0.10183327698950255,3.198159094344234e-07,0.000221312609328621,1
9,10,23,2020-02-11,0.08243207131197447,3.02232474098088e-05,0.020007789785293426,1
10,11,24,2020-02-12,0.059499444472148395,0.001632305888074082,0.9418404974187453,0
11,12,25,2020-02-13,0.03408304404321861,0.05268689810064381,1.0,0
12,13,26,2020-02-14,0.007259078598809046,0.6594781260295054,1.0,0
13,14,27,2020-02-15,-0.01993435625439914,0.22041291648204117,1.0,0
14,15,28,2020-02-16,-0.046601355837034016,0.00630676384390555,1.0,0
15,16,29,2020-02-17,-0.07214767063445876,8.698744889614741e-05,0.05601991708911893,0
16,17,30,2020-02-18,-0.0965230021778085,1.4793810677226097e-06,0.0010074585071190973,-1
17,18,31,2020-02-19,-0.12061417129898673,7.962191449305296e-08,5.573534014513707e-05,-1
18,19,32,2020-02-20,-0.147077058700666,3.994733413279421e-08,2.804302856122154e-05,-1
19,20,33,2020-02-21,-0.18348521596049208,3.0783526180602654e-07,0.00021363767169338242,-1
20,21,34,2020-02-22,-0.13611059243974752,0.0039672475333049455,1.0,0
21,22,35,2020-02-23,-0.08931957316170037,0.0842070295275219,1.0,0
22,23,36,2020-02-24,-0.04443121818174311,0.4095134770454103,1.0,0
23,24,37,2020-02-25,-0.002479336882755325,0.9638647241437412,1.0,0
24,25,38,2020-02-26,0.03578131406727408,0.5133416436778604,1.0,0
25,26,39,2020-02-27,0.06958374948873618,0.19915646425152875,1.0,0
26,27,40,2020-02-28,0.09804454958009212,0.06598555770165322,1.0,0
27,28,41,2020-02-29,0.12011866322773704,0.02192094338564872,1.0,0
28,29,42,2020-03-01,0.13453150892479265,0.009346614630413643,1.0,0
29,30,43,2020-03-02,0.1396671628309172,0.006769644664893178,1.0,0
30,31,44,2020-03-03,0.1333644321060173,0.00977452509571281,1.0,0
31,32,45,2020-03-04,0.1124911029187611,0.026261708203827096,1.0,0
32,33,46,2020-03-05,0.07184942051393943,0.10886430106296369,1.0,0
33,34,47,2020-03-06,0.0,1.0,1.0,0
34,35,48,2020-03-07,0.0,1.0,1.0,0
35,36,49,2020-03-08,0.0,1.0,1.0,0
36,37,50,2020-03-09,0.0,1.0,1.0,0
37,38,51,2020-03-10,0.0,1.0,1.0,0
38,39,52,2020-03-11,0.0,1.0,1.0,0
39,40,53,2020-03-12,0.0,1.0,1.0,0
40,41,54,2020-03-13,0.0,1.0,1.0,0
