,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.8934142214136437,0.13982663740215678,1.0,0
1,2,15,2020-02-03,-1.6398877408024868,0.0014780646383225978,0.635567794478717,0
2,3,16,2020-02-04,-1.7980996893149748,0.0005277459592298653,0.2432908872049679,0
3,4,17,2020-02-05,-1.8756848207207184,0.0002965968535272999,0.14147669913252203,0
4,5,18,2020-02-06,-1.874742302894769,0.000298787943991937,0.142223061340162,0
5,6,19,2020-02-07,-1.7968789745754268,0.0005351136819970288,0.24615229371863323,0
6,7,20,2020-02-08,-1.6433861548641275,0.0014795735455698392,0.635567794478717,0
7,8,21,2020-02-09,-1.4153816102091643,0.00527795098595844,1.0,0
8,9,22,2020-02-10,-1.113896654257039,0.021145322145204006,1.0,0
9,10,23,2020-02-11,-0.7399791125984257,0.0884200761317314,1.0,0
10,11,24,2020-02-12,-0.2947807174393518,0.38671777948776964,1.0,0
11,12,25,2020-02-13,0.22025413294383583,0.013696130512952896,1.0,0
12,13,26,2020-02-14,0.06899179961389923,0.024950185163683154,1.0,0
13,14,27,2020-02-15,0.006814150811199812,0.7925756357744551,1.0,0
14,15,28,2020-02-16,-0.06726088245315309,0.07953879631664837,1.0,0
15,16,29,2020-02-17,0.41683256044766603,0.18511942892906247,1.0,0
16,17,30,2020-02-18,0.8319580338071666,0.03962283331166299,1.0,0
17,18,31,2020-02-19,1.1768273573440968,0.0088652964543395,1.0,0
18,19,32,2020-02-20,1.4506139015540394,0.0020728945987002036,0.8643970476579849,0
19,20,33,2020-02-21,1.6526089863396791,0.0005548958928326929,0.2535874230245406,0
20,21,34,2020-02-22,1.7821117590561444,0.00020165138868218766,0.0980025748995432,0
21,22,35,2020-02-23,1.8383151321589075,0.00012294720592752087,0.06085886693412283,0
22,23,36,2020-02-24,1.8202156399527691,0.00014477826438469909,0.07137568434165666,0
23,24,37,2020-02-25,1.7264777215236056,0.00031694488281225634,0.15054881933582176,0
24,25,38,2020-02-26,1.5552792488619207,0.0010724726263336864,0.47617784609215674,0
25,26,39,2020-02-27,1.3040028853823797,0.004584059137725174,1.0,0
26,27,40,2020-02-28,0.9685383619875352,0.02165171852216513,1.0,0
27,28,41,2020-02-29,0.5413013952435115,0.10886430106296399,1.0,0
28,29,42,2020-03-01,0.0,1.0,1.0,0
29,30,43,2020-03-02,0.0,1.0,1.0,0
30,31,44,2020-03-03,0.0,1.0,1.0,0
31,32,45,2020-03-04,0.0,1.0,1.0,0
32,33,46,2020-03-05,0.0,1.0,1.0,0
33,34,47,2020-03-06,0.0,1.0,1.0,0
34,35,48,2020-03-07,0.0,1.0,1.0,0
35,36,49,2020-03-08,0.0,1.0,1.0,0
36,37,50,2020-03-09,0.0,1.0,1.0,0
37,38,51,2020-03-10,0.0,1.0,1.0,0
38,39,52,2020-03-11,0.0,1.0,1.0,0
39,40,53,2020-03-12,0.0,1.0,1.0,0
40,41,54,2020-03-13,0.0,1.0,1.0,0
41,42,55,2020-03-14,0.0,1.0,1.0,0
42,43,56,2020-03-15,0.0,1.0,1.0,0
43,44,57,2020-03-16,0.0,1.0,1.0,0
44,45,58,2020-03-17,0.0,1.0,1.0,0
45,46,59,2020-03-18,0.0,1.0,1.0,0
46,47,60,2020-03-19,0.0,1.0,1.0,0
47,48,61,2020-03-20,0.0,1.0,1.0,0
48,49,62,2020-03-21,0.0,1.0,1.0,0
49,50,63,2020-03-22,0.0,1.0,1.0,0
50,51,64,2020-03-23,0.0,1.0,1.0,0
51,52,65,2020-03-24,0.0,1.0,1.0,0
52,53,66,2020-03-25,0.0,1.0,1.0,0
53,54,67,2020-03-26,0.0,1.0,1.0,0
54,55,68,2020-03-27,0.0,1.0,1.0,0
55,56,69,2020-03-28,0.0,1.0,1.0,0
56,57,70,2020-03-29,0.0,1.0,1.0,0
57,58,71,2020-03-30,0.0,1.0,1.0,0
58,59,72,2020-03-31,0.0,1.0,1.0,0
59,60,73,2020-04-01,0.0,1.0,1.0,0
60,61,74,2020-04-02,0.0,1.0,1.0,0
61,62,75,2020-04-03,0.0,1.0,1.0,0
62,63,76,2020-04-04,0.0,1.0,1.0,0
63,64,77,2020-04-05,0.0,1.0,1.0,0
64,65,78,2020-04-06,0.0,1.0,1.0,0
65,66,79,2020-04-07,0.0,1.0,1.0,0
66,67,80,2020-04-08,0.0,1.0,1.0,0
67,68,81,2020-04-09,0.0,1.0,1.0,0
68,69,82,2020-04-10,0.0,1.0,1.0,0
69,70,83,2020-04-11,0.0,1.0,1.0,0
70,71,84,2020-04-12,0.0,1.0,1.0,0
71,72,85,2020-04-13,0.0,1.0,1.0,0
72,73,86,2020-04-14,0.0,1.0,1.0,0
73,74,87,2020-04-15,0.0,1.0,1.0,0
74,75,88,2020-04-16,0.0,1.0,1.0,0
75,76,89,2020-04-17,0.0,1.0,1.0,0
76,77,90,2020-04-18,0.0,1.0,1.0,0
77,78,91,2020-04-19,0.0,1.0,1.0,0
78,79,92,2020-04-20,0.0,1.0,1.0,0
79,80,93,2020-04-21,0.0,1.0,1.0,0
80,81,94,2020-04-22,0.0,1.0,1.0,0
81,82,95,2020-04-23,0.0,1.0,1.0,0
82,83,96,2020-04-24,0.0,1.0,1.0,0
83,84,97,2020-04-25,0.0,1.0,1.0,0
84,85,98,2020-04-26,0.0,1.0,1.0,0
85,86,99,2020-04-27,0.0,1.0,1.0,0
86,87,100,2020-04-28,0.0,1.0,1.0,0
87,88,101,2020-04-29,0.0,1.0,1.0,0
88,89,102,2020-04-30,0.0,1.0,1.0,0
89,90,103,2020-05-01,0.0,1.0,1.0,0
90,91,104,2020-05-02,0.0,1.0,1.0,0
91,92,105,2020-05-03,0.0,1.0,1.0,0
92,93,106,2020-05-04,0.0,1.0,1.0,0
93,94,107,2020-05-05,0.0,1.0,1.0,0
94,95,108,2020-05-06,0.0,1.0,1.0,0
95,96,109,2020-05-07,0.0,1.0,1.0,0
96,97,110,2020-05-08,0.0,1.0,1.0,0
97,98,111,2020-05-09,0.0,1.0,1.0,0
98,99,112,2020-05-10,0.0,1.0,1.0,0
99,100,113,2020-05-11,-0.5278106224652951,0.10886430106296381,1.0,0
100,101,114,2020-05-12,-0.9051632593178806,0.022630442871858274,1.0,0
101,102,115,2020-05-13,-1.195204356722102,0.005129955042940848,1.0,0
102,103,116,2020-05-14,-1.4081761025335648,0.001328373324381389,0.5765140227815229,0
103,104,117,2020-05-15,-1.5488402356435689,0.0004500212655843618,0.20880986723114386,0
104,105,118,2020-05-16,-1.6200514959168437,0.00023965323506459948,0.11575251253620154,0
105,106,119,2020-05-17,-1.6236441454364592,0.00023172289445702577,0.11215388091720047,0
106,107,120,2020-05-18,-1.5608215675981376,0.00040817413709004686,0.19102549615814193,0
107,108,121,2020-05-19,-1.4323657467971067,0.001137900505015026,0.5040899237216565,0
108,109,122,2020-05-20,-1.2386830534970554,0.004169417385173837,1.0,0
109,110,123,2020-05-21,-0.9797812868955312,0.017397235107294972,1.0,0
