,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.009910880107511011,2.0580968027786752e-18,1.4097963099033926e-15,1
1,2,15,2020-02-03,0.009709244181366374,8.188822495391527e-19,5.707609279287894e-16,1
2,3,16,2020-02-04,0.009535717988658559,3.8490064726773433e-19,2.7212475761828817e-16,1
3,4,17,2020-02-05,0.009379308564705658,1.0676234772964545e-19,7.72959397562633e-17,1
4,5,18,2020-02-06,0.009245195310943588,1.5708539245119623e-20,1.1734278816104359e-17,1
5,6,19,2020-02-07,0.009137733486445653,1.031391431781247e-21,7.900458367444352e-19,1
6,7,20,2020-02-08,0.009060738994785968,2.3326510496071572e-23,1.83812902709044e-20,1
7,8,21,2020-02-09,0.009016843325224481,2.078030970705863e-25,1.6935952411252783e-22,1
8,9,22,2020-02-10,0.009007139458030753,3.040749808998765e-26,2.5025370928059835e-23,1
9,10,23,2020-02-11,0.009031119352301543,1.5093655717628966e-24,1.2180580164126576e-21,1
10,11,24,2020-02-12,0.009086965414980297,1.0577576020843105e-22,8.218776568195093e-20,1
11,12,25,2020-02-13,0.009171733671223394,2.2607821342238584e-21,1.7204552041443563e-18,1
12,13,26,2020-02-14,0.009281286526120694,1.7683688301588698e-20,1.3156664096381991e-17,1
13,14,27,2020-02-15,0.009410426511641966,6.313239414520687e-20,4.602351533185581e-17,1
14,15,28,2020-02-16,0.009552841203930507,1.1626897769948548e-19,8.394620189902851e-17,1
15,16,29,2020-02-17,0.009701332050911551,1.166055983342564e-19,8.407263639899886e-17,1
16,17,30,2020-02-18,0.009848438522427875,6.471355851492903e-20,4.711147059886833e-17,1
17,18,31,2020-02-19,0.00998703239738426,1.957326684608366e-20,1.454293726664016e-17,1
18,19,32,2020-02-20,0.010110440852693914,3.0548652478950714e-21,2.3216975884002544e-18,1
19,20,33,2020-02-21,0.010212930145000234,2.2419978280222793e-22,1.7375483167172664e-19,1
20,21,34,2020-02-22,0.010290641404469522,6.4701283585489556e-24,5.169632558480615e-21,1
21,22,35,2020-02-23,0.010341467638484729,6.302083031658424e-26,5.180312252023225e-23,1
22,23,36,2020-02-24,0.010364989251096468,7.373272467198457e-28,6.171429055045109e-25,1
23,24,37,2020-02-25,0.010362224404068924,1.446116224615481e-27,1.2075070475539267e-24,1
24,25,38,2020-02-26,0.010335631587065075,6.367969146912971e-26,5.228102669615549e-23,1
25,26,39,2020-02-27,0.010289109911406217,1.2796742227115751e-24,1.0339767719509528e-21,1
26,27,40,2020-02-28,0.010227511153513976,8.33624982822586e-24,6.643991113096011e-21,1
27,28,41,2020-02-29,0.01015615701796976,2.2188207577907132e-23,1.7506495778968728e-20,1
28,29,42,2020-03-01,0.01008016356047036,2.880864444221885e-23,2.2643594531584017e-20,1
29,30,43,2020-03-02,0.010003951193872337,1.9990210900779425e-23,1.5812256822516526e-20,1
30,31,44,2020-03-03,0.00993107974431772,7.795916861173298e-24,6.221141655216291e-21,1
31,32,45,2020-03-04,0.009864245712360307,1.8028336302391774e-24,1.453083905972777e-21,1
32,33,46,2020-03-05,0.009804996248091837,2.6398901017002347e-25,2.148870542783991e-22,1
33,34,47,2020-03-06,0.009753732501177123,2.7561447546968643e-26,2.271063277870216e-23,1
34,35,48,2020-03-07,0.009709714678238862,2.6995274456884796e-27,2.2433073073671264e-24,1
35,36,49,2020-03-08,0.009671015173459,4.2527035428346145e-28,3.563765568895407e-25,1
36,37,50,2020-03-09,0.009634830134247629,2.409155329814312e-28,2.0236904770440222e-25,1
37,38,51,2020-03-10,0.009597678793945477,7.928176241614055e-28,6.62795533798935e-25,1
38,39,52,2020-03-11,0.009555920067051998,9.417992900368577e-27,7.798098121505183e-24,1
39,40,53,2020-03-12,0.00950632311953317,1.7382820018912138e-25,1.421914677547013e-22,1
40,41,54,2020-03-13,0.009445925963562647,3.1161018751963995e-24,2.502229805782709e-21,1
41,42,55,2020-03-14,0.00937183044773632,4.6869646684826723e-23,3.660519406084967e-20,1
42,43,56,2020-03-15,0.00928136755767214,5.774538136558044e-22,4.42907075074002e-19,1
43,44,57,2020-03-16,0.009172314252236326,5.863360170727225e-21,4.420973568728327e-18,1
44,45,58,2020-03-17,0.009043385505349626,4.806872938005899e-20,3.518630990620318e-17,1
45,46,59,2020-03-18,0.00889419791218479,3.1375760270355073e-19,2.22767897919521e-16,1
46,47,60,2020-03-19,0.00872537785534014,1.618269647192393e-18,1.1166060565627511e-15,1
47,48,61,2020-03-20,0.008538038951355319,6.7464626305521234e-18,4.513383499839371e-15,1
48,49,62,2020-03-21,0.008333574932709129,2.3523369100959772e-17,1.5266666546522893e-14,1
49,50,63,2020-03-22,0.008113874103622472,7.007680853866298e-17,4.442869661351233e-14,1
50,51,64,2020-03-23,0.007881354842449298,1.7966870350792066e-16,1.1067592136087912e-13,1
51,52,65,2020-03-24,0.007638733287979696,3.9480482090616767e-16,2.3135562505101427e-13,1
52,53,66,2020-03-25,0.007388776339597788,7.460161696423767e-16,4.185150711693733e-13,1
53,54,67,2020-03-26,0.007134638796656573,1.2328002306163656e-15,6.644793243022211e-13,1
54,55,68,2020-03-27,0.006879129839713857,1.8448953144187966e-15,9.741047260131246e-13,1
55,56,69,2020-03-28,0.00662402036480223,2.6214388453253665e-15,1.3605267607238653e-12,1
56,57,70,2020-03-29,0.006370208287270929,3.682427322157218e-15,1.874355506978024e-12,1
57,58,71,2020-03-30,0.0061175593578961605,5.2868127703541046e-15,2.6539800107177606e-12,1
58,59,72,2020-03-31,0.005865365696597287,8.080585914011909e-15,3.9352453401237995e-12,1
59,60,73,2020-04-01,0.0056125995305068175,1.3668469786334051e-14,6.383175390218002e-12,1
60,61,74,2020-04-02,0.005358559059135068,2.6260784494765224e-14,1.171230988466529e-11,1
61,62,75,2020-04-03,0.005102270546652235,5.746462814374679e-14,2.4652325473667372e-11,1
62,63,76,2020-04-04,0.004842240157269447,1.4073960415702367e-13,5.629584166280947e-11,1
63,64,77,2020-04-05,0.00457687814541971,3.77288733479918e-13,1.4186056378844916e-10,1
64,65,78,2020-04-06,0.004305219060140191,1.0770956698301657e-12,3.823689627897088e-10,1
65,66,79,2020-04-07,0.004027180105761884,3.1959064992719246e-12,1.0961959292502702e-09,1
66,67,80,2020-04-08,0.0037433477230872877,9.640898971061489e-12,3.1814966604502913e-09,1
67,68,81,2020-04-09,0.003455226681554095,2.918087927135874e-11,9.133615211935286e-09,1
