,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.014453020300023859,1.6221029645961909e-13,8.418714386254231e-11,-1
1,2,15,2020-02-03,-0.01361075069385969,1.338842380375955e-13,6.961980377954966e-11,-1
2,3,16,2020-02-04,-0.012926732022289486,3.5737385229860196e-13,1.7761480459240517e-10,-1
3,4,17,2020-02-05,-0.012260595845298167,5.011751313624301e-13,2.4357111384214103e-10,-1
4,5,18,2020-02-06,-0.011654611953453032,3.039735588915355e-13,1.5289870012244236e-10,-1
5,6,19,2020-02-07,-0.011154788633112186,6.123375699497659e-14,3.2760059992312475e-11,-1
6,7,20,2020-02-08,-0.010804908412421377,3.4412057649679456e-15,2.092253105100511e-12,-1
7,8,21,2020-02-09,-0.010640264738917701,1.6647510491188425e-16,1.1503429749411202e-13,-1
8,9,22,2020-02-10,-0.010683813627816313,4.862078256479341e-16,3.194385414506927e-13,-1
9,10,23,2020-02-11,-0.010943871042929458,2.438736912451667e-14,1.3681314078853852e-11,-1
10,11,24,2020-02-12,-0.01141331770710373,5.492054817322029e-13,2.658154531583862e-10,-1
11,12,25,2020-02-13,-0.01207134698369951,3.519218224638075e-12,1.5590136735146672e-09,-1
12,13,26,2020-02-14,-0.0128842053936863,8.136384419426644e-12,3.4416906094174704e-09,-1
13,14,27,2020-02-15,-0.01380524967456716,8.463896571018027e-12,3.5633004563985895e-09,-1
14,15,28,2020-02-16,-0.014782976272725835,4.672094707353771e-12,2.0463774818209517e-09,-1
15,16,29,2020-02-17,-0.01576783396058253,1.5324489752054805e-12,7.04926528594521e-10,-1
16,17,30,2020-02-18,-0.0167084759207729,3.105893479790243e-13,1.559158526854702e-10,-1
17,18,31,2020-02-19,-0.017555327721161328,3.794236002951179e-14,2.0678510369702403e-11,-1
18,19,32,2020-02-20,-0.018267252310232757,2.542669438396741e-15,1.561199035175599e-12,-1
19,20,33,2020-02-21,-0.018816724136468628,7.842808990600209e-17,5.5605515743355485e-14,-1
20,21,34,2020-02-22,-0.019189930985588407,9.436396190806894e-19,7.350952632638571e-16,-1
21,22,35,2020-02-23,-0.019383401208075593,9.149551968010768e-21,7.50263261376883e-18,-1
22,23,36,2020-02-24,-0.019402704809245466,4.603329377571112e-21,3.806953395251309e-18,-1
23,24,37,2020-02-25,-0.01926431297117675,1.4415056254471962e-19,1.1517629947323099e-16,-1
24,25,38,2020-02-26,-0.01899484450472349,3.515054783778985e-18,2.6644115261044703e-15,-1
25,26,39,2020-02-27,-0.018631331426948162,2.6267022916643644e-17,1.9201193752066504e-14,-1
