,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.004875505783265038,6.472798578886032e-13,1.831801997824747e-10,1
1,2,15,2020-02-03,0.005229365480444231,8.409089869796855e-12,2.0013633890116513e-09,1
2,3,16,2020-02-04,0.005662456503033538,5.998674662089063e-11,1.2897150523491486e-08,1
3,4,17,2020-02-05,0.006189667099713614,1.9556139396621343e-10,3.7938910429445404e-08,1
4,5,18,2020-02-06,0.0067928598073316295,2.928150772970624e-10,5.446360437725361e-08,1
5,6,19,2020-02-07,0.007428909263298274,1.9016558100130049e-10,3.7272453876254896e-08,1
6,7,20,2020-02-08,0.008030989064325469,4.820047335036344e-11,1.0604104137079956e-08,1
7,8,21,2020-02-09,0.008523422445513058,4.344464924288432e-12,1.0730828362992428e-09,1
8,9,22,2020-02-10,0.008829997654244278,1.8749958475457707e-13,5.812487127391889e-11,1
9,10,23,2020-02-11,0.008875046134560522,8.217322252423012e-14,2.695281698794748e-11,1
10,11,24,2020-02-12,0.008518956359414645,3.0401993842439975e-11,6.779644626864114e-09,1
11,12,25,2020-02-13,0.007383582330101616,5.202781145023773e-07,5.8791426938768633e-05,1
12,13,26,2020-02-14,0.005145838749778987,0.0028785609917638118,0.13529236661289915,0
13,14,27,2020-02-15,0.0019075960564603565,0.36251359980580466,1.0,0
14,15,28,2020-02-16,-0.00189716867435986,0.45718405432367004,1.0,0
15,16,29,2020-02-17,-0.00579029572575282,0.04986285505474008,1.0,0
16,17,30,2020-02-18,-0.009392048211384858,0.0034071654530908623,0.15672961084217968,0
17,18,31,2020-02-19,-0.012440781712059777,0.00016520012745827847,0.010903208412246379,-1
18,19,32,2020-02-20,-0.0147734903045563,6.181331738103553e-06,0.0005748638516436305,-1
19,20,33,2020-02-21,-0.016305528024386666,2.6399516223638853e-07,3.141542430613023e-05,-1
20,21,34,2020-02-22,-0.017018008630170566,3.780515733248978e-08,5.217111711883589e-06,-1
21,22,35,2020-02-23,-0.016940069306943993,4.663126711829136e-08,6.388483595205916e-06,-1
22,23,36,2020-02-24,-0.016141535564057896,2.07816495680605e-07,2.5769245464395023e-05,-1
23,24,37,2020-02-25,-0.014723715643893043,8.198672462020487e-07,9.018539708222535e-05,-1
24,25,38,2020-02-26,-0.012879002260522068,1.0263297779030952e-06,0.00011186994579143738,-1
25,26,39,2020-02-27,-0.011098876448091034,1.5510688221897094e-07,1.9543467159590338e-05,-1
26,27,40,2020-02-28,-0.00990781854335317,2.1663831276389426e-09,3.574532160604255e-07,-1
27,28,41,2020-02-29,-0.009411606316498764,9.056895376742494e-11,1.8838342383624388e-08,-1
28,29,42,2020-03-01,-0.009319213831794189,7.180784754788547e-11,1.5151455832603834e-08,-1
29,30,43,2020-03-02,-0.009338986464653478,6.663117972403376e-11,1.4259072460943224e-08,-1
30,31,44,2020-03-03,-0.009218439300266279,1.741918913916154e-10,3.4664186386931465e-08,-1
31,32,45,2020-03-04,-0.008748675213043107,7.412050193175873e-09,1.1414557297490844e-06,-1
32,33,46,2020-03-05,-0.007812537174905026,1.0414688903300908e-06,0.0001124786401556498,-1
33,34,47,2020-03-06,-0.006463539318876949,7.554493855942735e-05,0.005514780514838197,-1
34,35,48,2020-03-07,-0.0048787402515388005,0.001957377639244872,0.09982625960148847,0
35,36,49,2020-03-08,-0.003289584214827456,0.02034382691664535,0.7323777689992326,0
36,37,50,2020-03-09,-0.001912465948519112,0.1054775276860033,1.0,0
37,38,51,2020-03-10,-0.000918565741164408,0.3204628035519827,1.0,0
38,39,52,2020-03-11,-0.0004522608033565524,0.5533150033494059,1.0,0
39,40,53,2020-03-12,-0.0006185986245674586,0.4524830267635187,1.0,0
40,41,54,2020-03-13,-0.0014626653987089738,0.16912400862516064,1.0,0
41,42,55,2020-03-14,-0.0029201569864491053,0.03212042934537874,0.9957333097067409,0
42,43,56,2020-03-15,-0.004812789288914216,0.0037960003310873046,0.1708200148989287,0
43,44,57,2020-03-16,-0.0070135885716932946,0.00027710753519878895,0.017180667182324916,-1
44,45,58,2020-03-17,-0.009362758539193959,1.1284101330858791e-05,0.0009930009171155735,-1
45,46,59,2020-03-18,-0.01163972438590525,2.5631961635786686e-07,3.0758353962944024e-05,-1
46,47,60,2020-03-19,-0.013619842063703308,4.260164886487315e-09,6.731060520649958e-07,-1
47,48,61,2020-03-20,-0.015193748199420824,6.923742479123342e-11,1.4700389586664592e-08,-1
48,49,62,2020-03-21,-0.016360764332078323,1.2440434840285853e-12,3.408679146238324e-10,-1
49,50,63,2020-03-22,-0.01718394771281277,1.8336634019278777e-14,6.399485272728293e-12,-1
50,51,64,2020-03-23,-0.017722732812102626,1.273067674258193e-16,5.486921676052812e-14,-1
51,52,65,2020-03-24,-0.01800159832665857,6.957437744647826e-19,3.7361440688758826e-16,-1
52,53,66,2020-03-25,-0.018039804225098356,2.4244322561142654e-19,1.343135469887303e-16,-1
53,54,67,2020-03-26,-0.017864108882953655,6.0100610491264144e-18,2.947581406895793e-15,-1
54,55,68,2020-03-27,-0.017517249155878035,1.0129013133074058e-16,4.446636765419511e-14,-1
55,56,69,2020-03-28,-0.01705441744545408,5.581949480062533e-16,2.2551075899452633e-13,-1
56,57,70,2020-03-29,-0.01652871438005506,1.282542751711685e-15,5.053218441744039e-13,-1
57,58,71,2020-03-30,-0.01598160875273499,1.5241511698789492e-15,5.974672585925481e-13,-1
58,59,72,2020-03-31,-0.015440391354994176,1.0927654886392483e-15,4.3382789898978157e-13,-1
59,60,73,2020-04-01,-0.014919077673620731,5.708189522814177e-16,2.294692188171299e-13,-1
60,61,74,2020-04-02,-0.014415206253903782,3.0671666626851697e-16,1.2943443316531416e-13,-1
61,62,75,2020-04-03,-0.01390654686848414,3.4478074141384076e-16,1.4411834991098544e-13,-1
62,63,76,2020-04-04,-0.013348943290579745,1.9550546286547536e-15,7.624713051753539e-13,-1
63,64,77,2020-04-05,-0.012683425859794609,6.103332286619003e-14,2.0446163160173657e-11,-1
64,65,78,2020-04-06,-0.011841823732276085,4.961414591326105e-12,1.2205079894662217e-09,-1
65,66,79,2020-04-07,-0.01076797253814112,4.839907463229617e-10,8.566636209916421e-08,-1
66,67,80,2020-04-08,-0.009444589736868946,3.6117817780913414e-08,5.128730124889705e-06,-1
67,68,81,2020-04-09,-0.007902584610535474,1.7612614439895466e-06,0.00017612614439895465,-1
68,69,82,2020-04-10,-0.006214148799502778,5.5844282422831496e-05,0.004244165464135194,-1
69,70,83,2020-04-11,-0.004468037661566682,0.0012485144465592514,0.06768856074184589,0
