,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0032820317297639788,1.6354212794255275e-20,8.242523248304658e-18,-1
1,2,15,2020-02-03,-0.003328499220514034,2.4340407404428593e-21,1.3435904887244584e-18,-1
2,3,16,2020-02-04,-0.0033684946656519863,8.672868685689587e-22,4.900170807414617e-19,-1
3,4,17,2020-02-05,-0.003406532012033357,3.9802036301904908e-22,2.3164785127708656e-19,-1
4,5,18,2020-02-06,-0.0034433960204255038,2.719465505378938e-22,1.5990457171628158e-19,-1
5,6,19,2020-02-07,-0.0034802017640054865,2.9536653408148704e-22,1.7338015550583289e-19,-1
6,7,20,2020-02-08,-0.0035181832873390057,4.952491290557616e-22,2.8476824920706293e-19,-1
7,8,21,2020-02-09,-0.0035584046668992527,1.125958157964918e-21,6.316625266183191e-19,-1
8,9,22,2020-02-10,-0.003601639862551178,2.9556104079279853e-21,1.622630113952464e-18,-1
9,10,23,2020-02-11,-0.0036485045431337735,7.958035008536216e-21,4.154094274455905e-18,-1
10,11,24,2020-02-12,-0.0036995184693737588,2.0424164805536526e-20,1.0171234073157189e-17,-1
11,12,25,2020-02-13,-0.0037549515877399373,4.7438461848678845e-20,2.2548870303521146e-17,-1
12,13,26,2020-02-14,-0.0038148785087980404,9.778250316523475e-20,4.4686603946512283e-17,-1
13,14,27,2020-02-15,-0.0038793893804097515,1.8206906349936234e-19,7.88359044952239e-17,-1
14,15,28,2020-02-16,-0.003948649251425549,3.1618581731352023e-19,1.312171141851109e-16,-1
15,16,29,2020-02-17,-0.004022737480058695,5.241179358207608e-19,2.1279188194322886e-16,-1
16,17,30,2020-02-18,-0.004101495227282368,8.252794705344005e-19,3.177325961557442e-16,-1
17,18,31,2020-02-19,-0.004184339937023666,1.2003874503946501e-18,4.50541042328701e-16,-1
18,19,32,2020-02-20,-0.0042704477789478066,1.5640298481003123e-18,5.70870894556614e-16,-1
19,20,33,2020-02-21,-0.004358888459044819,1.7648963354844236e-18,6.388924734453613e-16,-1
20,21,34,2020-02-22,-0.004448487738315706,1.6399843183125623e-18,5.969542918657727e-16,-1
21,22,35,2020-02-23,-0.004537923015791722,1.2142712106767483e-18,4.541374327931038e-16,-1
22,23,36,2020-02-24,-0.004625763498004666,7.079039652067235e-19,2.7891416229144906e-16,-1
23,24,37,2020-02-25,-0.004710919154603519,3.304618559098428e-19,1.3681120834667492e-16,-1
24,25,38,2020-02-26,-0.004792754628525787,1.2870636528663478e-19,5.753174528312574e-17,-1
25,26,39,2020-02-27,-0.004871018735705978,4.5825151530896434e-20,2.18585972802376e-17,-1
26,27,40,2020-02-28,-0.004945832328170143,1.7324948047558762e-20,8.697123919874498e-18,-1
27,28,41,2020-02-29,-0.005017786879925727,8.2689305857571e-21,4.308112835179449e-18,-1
28,29,42,2020-03-01,-0.005088082711897429,5.759622473649784e-21,3.0525999110343855e-18,-1
29,30,43,2020-03-02,-0.005158219732113094,6.06781620629918e-21,3.2038069569259673e-18,-1
30,31,44,2020-03-03,-0.005229618720928412,8.820308551910163e-21,4.5777401384413746e-18,-1
31,32,45,2020-03-04,-0.005303409704174311,1.5314553631254855e-20,7.764478691046212e-18,-1
32,33,46,2020-03-05,-0.005380610722708952,2.790575822747155e-20,1.3645915773233587e-17,-1
33,34,47,2020-03-06,-0.005461998203185979,4.813610877102233e-20,2.2816515557464585e-17,-1
34,35,48,2020-03-07,-0.005547887987302961,7.501902268121961e-20,3.488384554676712e-17,-1
35,36,49,2020-03-08,-0.00563838309647376,1.0545441957233832e-19,4.7981760905413936e-17,-1
36,37,50,2020-03-09,-0.0057332145224324015,1.3683124749728955e-19,6.075307388879655e-17,-1
37,38,51,2020-03-10,-0.005832025843165458,1.6818384144507963e-19,7.332815487005471e-17,-1
38,39,52,2020-03-11,-0.005934334298027438,1.9865296345040239e-19,8.542077428367303e-17,-1
39,40,53,2020-03-12,-0.006039377324528679,2.2160421606410075e-19,9.418179182724282e-17,-1
40,41,54,2020-03-13,-0.006146175639658909,2.264573984893126e-19,9.601793695946855e-17,-1
41,42,55,2020-03-14,-0.006253592599344994,2.062488887282168e-19,8.806827548694857e-17,-1
42,43,56,2020-03-15,-0.006360594025928191,1.6249979476445032e-19,7.101241031206479e-17,-1
43,44,57,2020-03-16,-0.006465910166275358,1.0620664378149274e-19,4.8217816276797706e-17,-1
44,45,58,2020-03-17,-0.006567797706640523,5.484935474203661e-20,2.572434737401517e-17,-1
45,46,59,2020-03-18,-0.006664214997417841,2.141196166393913e-20,1.059892102364987e-17,-1
46,47,60,2020-03-19,-0.0067531961195322465,6.0198051266545815e-21,3.1844769120002737e-18,-1
47,48,61,2020-03-20,-0.006832776714933206,1.1503829501556988e-21,6.442144520871913e-19,-1
48,49,62,2020-03-21,-0.006901001531183734,1.3690150672450112e-22,8.077188896745566e-20,-1
49,50,63,2020-03-22,-0.006956198858239497,8.680740414247038e-24,5.460185720561387e-21,-1
50,51,64,2020-03-23,-0.006997272699169546,2.3866784535966345e-25,1.6420347760744846e-22,-1
51,52,65,2020-03-24,-0.007023950938028596,2.440551087392349e-27,1.8548188264181852e-24,-1
52,53,66,2020-03-25,-0.007036629590929273,2.694929695713216e-29,2.1667234753534258e-26,-1
53,54,67,2020-03-26,-0.007036243292768787,3.244581105222633e-29,2.6021540463885513e-26,-1
54,55,68,2020-03-27,-0.00702424234676966,1.1530651791686358e-27,8.86707122780681e-25,-1
55,56,69,2020-03-28,-0.007002173008313076,2.424335982262996e-26,1.7624922591051982e-23,-1
56,57,70,2020-03-29,-0.006971627182945756,2.004234161398914e-25,1.3909385080108463e-22,-1
57,58,71,2020-03-30,-0.006934063102263684,8.585013633899444e-25,5.71761908017703e-22,-1
58,59,72,2020-03-31,-0.006890895849965221,2.33674811915584e-24,1.518886277451296e-21,-1
59,60,73,2020-04-01,-0.00684356944784055,4.595193062991279e-24,2.9363283672514272e-21,-1
60,61,74,2020-04-02,-0.006793511512638572,7.34752240097335e-24,4.65098167981613e-21,-1
61,62,75,2020-04-03,-0.006742195282659665,1.0247019250623126e-23,6.4248810701407e-21,-1
62,63,76,2020-04-04,-0.006691029928867137,1.22877963614636e-23,7.630721540468896e-21,-1
63,64,77,2020-04-05,-0.0066412734009871285,1.1485598341314884e-23,7.167013364980488e-21,-1
64,65,78,2020-04-06,-0.00659402743453423,7.553621021734063e-24,4.773213038264081e-21,-1
65,66,79,2020-04-07,-0.0065499982790727385,3.33155804673318e-24,2.1521864981896342e-21,-1
66,67,80,2020-04-08,-0.006509289396620775,9.724625547936297e-25,6.457151363829701e-22,-1
67,68,81,2020-04-09,-0.006471320787411801,2.125495996665342e-25,1.4708432296924167e-22,-1
68,69,82,2020-04-10,-0.006434589887278667,6.052855529745323e-26,4.333844559297651e-23,-1
69,70,83,2020-04-11,-0.006396587813670456,6.637369265887019e-26,4.7457190251092183e-23,-1
70,71,84,2020-04-12,-0.00635404637654568,5.416097402833373e-25,3.655865746912527e-22,-1
71,72,85,2020-04-13,-0.006303528915913524,1.436243699839951e-23,8.875170805297032e-21,-1
72,73,86,2020-04-14,-0.006242242896813737,4.2364775512133325e-22,2.461393457254946e-19,-1
73,74,87,2020-04-15,-0.006168472215568544,8.406548582732077e-21,4.37140526302068e-18,-1
74,75,88,2020-04-16,-0.006081671886706189,9.527571038695874e-20,4.3636275357227105e-17,-1
75,76,89,2020-04-17,-0.0059831335409864,5.75442305961968e-19,2.319032493026731e-16,-1
76,77,90,2020-04-18,-0.00587609334687597,1.7818324036875795e-18,6.432414977312162e-16,-1
77,78,91,2020-04-19,-0.005765454588755604,2.742150725850003e-18,9.51526301869951e-16,-1
78,79,92,2020-04-20,-0.005656846965345186,2.0401904637709032e-18,7.222274241748998e-16,-1
79,80,93,2020-04-21,-0.005555692453951752,7.007432313898967e-19,2.774943196303991e-16,-1
80,81,94,2020-04-22,-0.005466854307427652,1.0275655033506255e-19,4.6856986952788525e-17,-1
81,82,95,2020-04-23,-0.005394044709074655,5.729407546201753e-21,3.0423154070331307e-18,-1
82,83,96,2020-04-24,-0.005339222801624605,9.903876100323435e-23,5.932421784093738e-20,-1
83,84,97,2020-04-25,-0.005302610834177948,3.986013699398063e-25,2.714475329290081e-22,-1
84,85,98,2020-04-26,-0.005282883833641162,4.921091904875569e-28,3.8286095019931926e-25,-1
85,86,99,2020-04-27,-0.005277603431569062,2.2520259812753625e-29,1.8128809149266668e-26,-1
86,87,100,2020-04-28,-0.005283748590759601,2.5035073625177846e-28,1.9677567869389787e-25,-1
87,88,101,2020-04-29,-0.00529814624274713,1.9451415855229556e-27,1.4841430297540151e-24,-1
88,89,102,2020-04-30,-0.005317715891843617,5.110037333354163e-27,3.822307925348914e-24,-1
89,90,103,2020-05-01,-0.005340064015212207,8.106747023400427e-27,6.0152062913631165e-24,-1
90,91,104,2020-05-02,-0.0053635969610389455,1.153981377184496e-26,8.493302936077891e-24,-1
91,92,105,2020-05-03,-0.005387459983929179,1.5450589345447658e-26,1.1325281990213133e-23,-1
92,93,106,2020-05-04,-0.005411171858540854,1.759238625831193e-26,1.286003435482602e-23,-1
93,94,107,2020-05-05,-0.005434283726794712,1.5378981269587612e-26,1.1288172251877307e-23,-1
94,95,108,2020-05-06,-0.005456365480291187,9.270465106019648e-27,6.86941464356056e-24,-1
95,96,109,2020-05-07,-0.005476931721175746,3.488167152813182e-27,2.6370543675267655e-24,-1
96,97,110,2020-05-08,-0.005495566156385399,7.554485896842263e-28,5.847172084155911e-25,-1
97,98,111,2020-05-09,-0.00551196804033649,8.827410081263459e-29,6.991308784360659e-26,-1
98,99,112,2020-05-10,-0.005525972362039241,5.341448162793408e-30,4.347938804513834e-27,-1
