,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.007358976976373564,8.52735038649988e-08,2.2211544396230743e-05,-1
1,2,15,2020-02-03,-0.006248823702880958,2.847302342243543e-08,8.000919581704356e-06,-1
2,3,16,2020-02-04,-0.005424948258777855,6.7781527992823566e-09,2.1418962845732247e-06,-1
3,4,17,2020-02-05,-0.004801947477427416,5.544085536691636e-10,2.0568557341125971e-07,-1
4,5,18,2020-02-06,-0.0043642296141700445,1.1262158042166359e-11,5.169330541354359e-09,-1
5,6,19,2020-02-07,-0.004086984022980794,3.751975508717474e-14,2.2249214766694623e-11,-1
6,7,20,2020-02-08,-0.003937775912871155,1.592365825604542e-17,1.1337644678304339e-14,-1
7,8,21,2020-02-09,-0.003878217909920147,1.10457206991814e-20,8.958079487036116e-18,-1
8,9,22,2020-02-10,-0.0038710200676043845,4.415719772969364e-21,3.616474494061909e-18,-1
9,10,23,2020-02-11,-0.0038868898140013964,7.152444002235634e-21,5.8363943058242775e-18,-1
10,11,24,2020-02-12,-0.0039049490239211823,2.9073190500042118e-21,2.389816259103462e-18,-1
11,12,25,2020-02-13,-0.003910560325166869,1.3370381997141845e-21,1.108404667563059e-18,-1
12,13,26,2020-02-14,-0.0038923919956847554,2.9874552533989835e-20,2.392951657972586e-17,-1
13,14,27,2020-02-15,-0.0038392614936107357,7.333082292945013e-18,5.331150826971024e-15,-1
14,15,28,2020-02-16,-0.0037428754141983654,9.548033665424702e-16,6.244414017187755e-13,-1
15,16,29,2020-02-17,-0.0036010843137167566,4.505367807819119e-14,2.6446509031898227e-11,-1
16,17,30,2020-02-18,-0.0034207280035545773,8.923760883344227e-13,4.756364550822473e-10,-1
17,18,31,2020-02-19,-0.0032149720614794886,7.556580884352702e-12,3.5667061774144757e-09,-1
18,19,32,2020-02-20,-0.0030010553662655833,2.512019913594101e-11,1.1153368416357808e-08,-1
19,20,33,2020-02-21,-0.002803214858528181,2.7719504002629465e-11,1.2224301265159594e-08,-1
20,21,34,2020-02-22,-0.002647458586492521,8.335102039805453e-12,3.917497958708563e-09,-1
