,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.005841743302279111,0.9456758765821124,1.0,0
1,2,15,2020-02-03,-0.007238524006799654,0.9328531071634183,1.0,0
2,3,16,2020-02-04,0.025828892645733167,0.7574746189731182,1.0,0
3,4,17,2020-02-05,0.07302594621343426,0.3646853385066019,1.0,0
4,5,18,2020-02-06,0.12850873180826092,0.09061826063071868,1.0,0
5,6,19,2020-02-07,0.18951060869098568,0.005504274992391833,1.0,0
6,7,20,2020-02-08,0.13461108642816758,0.015554959210707845,1.0,0
7,8,21,2020-02-09,0.10797464560431014,0.03451997869679968,1.0,0
8,9,22,2020-02-10,0.08882662384452746,0.06444155242384408,1.0,0
9,10,23,2020-02-11,0.06991667504396988,0.11859428906429796,1.0,0
10,11,24,2020-02-12,0.04050707071045364,0.27907432619259726,1.0,0
11,12,25,2020-02-13,0.06308363028852278,0.08987511531154294,1.0,0
12,13,26,2020-02-14,0.08582725678448476,0.01835787966066023,1.0,0
13,14,27,2020-02-15,0.10842924589591339,0.0018204193168882593,0.6608122120304382,0
14,15,28,2020-02-16,0.1306022525878337,3.891548515331144e-05,0.016266672794084183,1
15,16,29,2020-02-17,0.09270340617182599,2.2469093498838576e-07,0.00010156030261475037,1
16,17,30,2020-02-18,0.07654184986922312,4.260460992272996e-09,2.074844503236949e-06,1
17,18,31,2020-02-19,0.06718552084386181,1.3384841245863864e-10,7.013656812832664e-08,1
18,19,32,2020-02-20,0.061046337285512946,6.050646983164335e-12,3.3823116635888633e-09,1
19,20,33,2020-02-21,0.056685272146550975,4.036195140506784e-13,2.417680889163564e-10,1
20,21,34,2020-02-22,0.05338920220447031,4.5312101973832416e-14,2.850131214154059e-11,1
21,22,35,2020-02-23,0.05075568292566126,9.953344690097737e-15,6.489580737943724e-12,1
22,23,36,2020-02-24,0.04853586189631479,4.41743245327036e-15,2.9729320410509526e-12,1
23,24,37,2020-02-25,0.04656744815922206,3.4142063956640467e-15,2.3216603490515516e-12,1
24,25,38,2020-02-26,0.04474539891076162,3.616573506028419e-15,2.4556534105932965e-12,1
25,26,39,2020-02-27,0.043006664802054985,4.224730850379153e-15,2.8516933240059283e-12,1
26,27,40,2020-02-28,0.04132201399328145,4.743698937999945e-15,3.178278288459963e-12,1
27,28,41,2020-02-29,0.03968843664788543,4.889923541605841e-15,3.266468925792702e-12,1
28,29,42,2020-03-01,0.038113858931287964,4.669780606579201e-15,3.133422787014644e-12,1
29,30,43,2020-03-02,0.036605737535796906,4.240647246125181e-15,2.858196243888372e-12,1
30,31,44,2020-03-03,0.035167324904804384,3.75155037919877e-15,2.543551157096766e-12,1
31,32,45,2020-03-04,0.03379834479927291,3.2855246448003584e-15,2.237442283109044e-12,1
32,33,46,2020-03-05,0.03249751639882913,2.8546518439955864e-15,1.952581861292981e-12,1
33,34,47,2020-03-06,0.03126697982161042,2.388487046240112e-15,1.6385021137207168e-12,1
34,35,48,2020-03-07,0.030120323740090736,1.730634430404905e-15,1.1958683914097894e-12,1
35,36,49,2020-03-08,0.029093205399203403,8.487363526571826e-16,5.983591286233138e-13,1
36,37,50,2020-03-09,0.028241982150293637,1.9442569209270806e-16,1.3901436984628626e-13,1
37,38,51,2020-03-10,0.027610407351245918,1.6007217283706317e-17,1.1813326355375262e-14,1
38,39,52,2020-03-11,0.02719229602839706,5.500866295479914e-19,4.1476531867918547e-16,1
39,40,53,2020-03-12,0.026938880647542057,1.6047212936210065e-20,1.2436590025562801e-17,1
40,41,54,2020-03-13,0.026889070851620036,5.658440570846555e-21,4.4079252046894665e-18,1
41,42,55,2020-03-14,0.027489401739264216,1.8572623820121e-16,1.3297998655206636e-13,1
42,43,56,2020-03-15,0.029083235243702762,1.2289554893429962e-12,7.189389612656528e-10,1
43,44,57,2020-03-16,0.031066160923201004,2.031014854087411e-11,1.1109651251858138e-08,1
44,45,58,2020-03-17,0.03272608773168275,1.7308564952044322e-11,9.537019288576421e-09,1
45,46,59,2020-03-18,0.03378125717293476,4.925803043843569e-12,2.7633755075962426e-09,1
46,47,60,2020-03-19,0.0341887027817927,1.9794948485560824e-12,1.1461275173139716e-09,1
47,48,61,2020-03-20,0.03397976553692432,3.5175269068933933e-12,1.994437756208554e-09,1
48,49,62,2020-03-21,0.03320923401507433,2.19889593056171e-11,1.1961993862255702e-08,1
49,50,63,2020-03-22,0.031954559951704944,1.8148724156594642e-10,9.437336561429214e-08,1
50,51,64,2020-03-23,0.030319214518677074,1.134983596582052e-09,5.652218310978618e-07,1
51,52,65,2020-03-24,0.028403990766662505,4.5319801105851895e-09,2.202542333744402e-06,1
52,53,66,2020-03-25,0.02626523909637412,1.0277070317689564e-08,4.891885471220233e-06,1
53,54,67,2020-03-26,0.023912600716132444,8.987009351294918e-09,4.286803460567676e-06,1
54,55,68,2020-03-27,0.021449792682048725,7.565940292644575e-10,3.790536086614932e-07,1
55,56,69,2020-03-28,0.019476090523453254,2.2478518746824909e-13,1.359950384182907e-10,1
56,57,70,2020-03-29,0.01863744669905227,2.3934388127434557e-19,1.8118331812467959e-16,1
57,58,71,2020-03-30,0.0186444307218079,2.70754004409516e-19,2.0441927332918458e-16,1
58,59,72,2020-03-31,0.018953929516731315,1.8292822937759736e-19,1.386595978682188e-16,1
59,60,73,2020-04-01,0.01933727006291636,8.263117906954497e-20,6.313022080913235e-17,1
60,61,74,2020-04-02,0.01977801429719977,5.560836841814943e-19,4.187310141886652e-16,1
61,62,75,2020-04-03,0.020357717617278677,4.912758632995146e-17,3.571575526187471e-14,1
62,63,76,2020-04-04,0.021234200109172544,1.1139199717328411e-14,7.21820141682881e-12,1
63,64,77,2020-04-05,0.022682833221418165,2.873579782547144e-12,1.6494347951820607e-09,1
64,65,78,2020-04-06,0.025205524885746178,5.9744722250646e-10,3.017108473657623e-07,1
65,66,79,2020-04-07,0.029700722791235225,6.628600277975968e-08,3.0425275275909693e-05,1
66,67,80,2020-04-08,0.037262673986245345,1.764580872840116e-06,0.0007746510031768109,1
67,68,81,2020-04-09,0.04638611931868576,3.085022761853536e-06,0.0013419849014062882,1
68,69,82,2020-04-10,0.04979838536402905,7.544674941482276e-07,0.00033573803489596126,1
69,70,83,2020-04-11,0.0450630691009542,2.5732469661415255e-05,0.010807637257794407,1
70,71,84,2020-04-12,0.03148070024734626,0.01620526306834016,1.0,0
71,72,85,2020-04-13,0.007233315394524834,0.6894287856401264,1.0,0
72,73,86,2020-04-14,-0.025108176207049242,0.3075443065289103,1.0,0
73,74,87,2020-04-15,-0.04536540393815258,0.0784627733563629,1.0,0
74,75,88,2020-04-16,-0.05652485942085876,0.026840131507938302,1.0,0
75,76,89,2020-04-17,-0.0631919460065648,0.01198984972392283,1.0,0
76,77,90,2020-04-18,-0.06700083948425854,0.00709832847185712,1.0,0
77,78,91,2020-04-19,-0.06823268832741984,0.00595033556116852,1.0,0
78,79,92,2020-04-20,-0.06633517659092786,0.00768719414943868,1.0,0
79,80,93,2020-04-21,-0.059885666889948286,0.016000168556559453,1.0,0
80,81,94,2020-04-22,-0.04676142302021159,0.04976642849695776,1.0,0
81,82,95,2020-04-23,-0.027289640141078292,0.18323210480022897,1.0,0
82,83,96,2020-04-24,-0.008713587806046768,0.5907720054563994,1.0,0
83,84,97,2020-04-25,0.005068500425481762,0.6846891036583425,1.0,0
84,85,98,2020-04-26,0.011171731899117274,0.3098721660945998,1.0,0
85,86,99,2020-04-27,0.004841851350728037,0.6710569943844269,1.0,0
86,87,100,2020-04-28,-0.0146614404895834,0.05498175722240012,1.0,0
87,88,101,2020-04-29,-0.0275341064810631,7.508486410333911e-06,0.0032286491564435817,-1
88,89,102,2020-04-30,-0.034624658591335435,5.877686612081342e-09,2.833044947023207e-06,-1
89,90,103,2020-05-01,-0.03934995130139422,7.535719376336674e-11,3.971324111329428e-08,-1
90,91,104,2020-05-02,-0.04310685246897265,6.411998639678166e-12,3.5778952409404168e-09,-1
91,92,105,2020-05-03,-0.0464938723880732,1.8152839229725498e-12,1.0546799592470514e-09,-1
92,93,106,2020-05-04,-0.04981720026876928,1.108463764696965e-12,6.506682298771184e-10,-1
93,94,107,2020-05-05,-0.0532668337353131,1.1149434119478457e-12,6.533568394014375e-10,-1
94,95,108,2020-05-06,-0.05697858163965249,1.5309840777929759e-12,8.91032733275512e-10,-1
95,96,109,2020-05-07,-0.061037133880308646,2.3904334037200363e-12,1.376889640542741e-09,-1
96,97,110,2020-05-08,-0.06539888401484373,3.173498002325913e-12,1.8088938613257703e-09,-1
97,98,111,2020-05-09,-0.06970799570201563,2.1381606138815267e-12,1.2358568348235224e-09,-1
98,99,112,2020-05-10,-0.07351365221301608,5.627355598421534e-13,3.3370218698639696e-10,-1
99,100,113,2020-05-11,-0.07707041908982104,9.802035197434711e-14,6.028251646422347e-11,-1
100,101,114,2020-05-12,-0.08095308067855223,2.7492802222566857e-14,1.7457929411329955e-11,-1
101,102,115,2020-05-13,-0.08173172943427952,5.275657361767077e-15,3.508312145575106e-12,-1
102,103,116,2020-05-14,-0.07974068032829214,6.229381765711854e-13,3.687794005301417e-10,-1
103,104,117,2020-05-15,-0.07534014362615322,1.5779343520289203e-10,8.236817317590964e-08,-1
104,105,118,2020-05-16,-0.06892150679442648,1.1104398682547605e-08,5.2745893742101125e-06,-1
105,106,119,2020-05-17,-0.06091370302699339,2.94238863440685e-07,0.00013240748854830825,-1
106,107,120,2020-05-18,-0.051790492912786895,4.041467431723796e-06,0.0017539968653681275,-1
107,108,121,2020-05-19,-0.042077331471386925,3.5284548321199734e-05,0.014784225746582688,-1
108,109,122,2020-05-20,-0.03235255460123707,0.00022467026140376103,0.08919409377729312,0
109,110,123,2020-05-21,-0.02322425068237744,0.001167565793769857,0.42966421210730743,0
110,111,124,2020-05-22,-0.015224393637930829,0.005503164697324132,1.0,0
111,112,125,2020-05-23,-0.008556897951011546,0.024880891268221857,1.0,0
112,113,126,2020-05-24,-0.0032436567967332724,0.10886430106296381,1.0,0
113,114,127,2020-05-25,-0.02118034497608645,0.10886430106296381,1.0,0
114,115,128,2020-05-26,-0.041625051227684284,0.02070289993653264,1.0,0
115,116,129,2020-05-27,-0.06119052274564889,0.0038020318648472012,1.0,0
116,117,130,2020-05-28,-0.07974808622053892,0.0006311397536938373,0.23920196664996435,0
117,118,131,2020-05-29,-0.09703172161140883,9.147580384996814e-05,0.03750507957848694,-1
118,119,132,2020-05-30,-0.11235128903742105,1.153103158407684e-05,0.0049006884232326575,-1
119,120,133,2020-05-31,-0.1250050629391622,1.349754798594894e-06,0.0005952418661803483,-1
120,121,134,2020-06-01,-0.13477894490761994,1.7449760159925505e-07,7.95709063292603e-05,-1
121,122,135,2020-06-02,-0.14186311504378896,3.275809613250465e-08,1.5265272797747167e-05,-1
122,123,136,2020-06-03,-0.1468264771494724,1.1140790267277881e-08,5.277743077471227e-06,-1
123,124,137,2020-06-04,-0.1510058839189857,6.728294489016588e-09,3.236309649216979e-06,-1
124,125,138,2020-06-05,-0.1583468217702324,1.144050605256631e-08,5.399918856811298e-06,-1
125,126,139,2020-06-06,-0.19322436796256354,8.008264495454993e-06,0.003427537204054737,-1
126,127,140,2020-06-07,-0.11001801136361142,0.05067745782197827,1.0,0
127,128,141,2020-06-08,-0.05030701339279052,0.4267468496012584,1.0,0
128,129,142,2020-06-09,0.004177960286889078,0.9505216992979431,1.0,0
129,130,143,2020-06-10,0.05276661483577678,0.44819799261441007,1.0,0
130,131,144,2020-06-11,0.09469040632525569,0.17996961319533145,1.0,0
131,132,145,2020-06-12,0.12924082619087918,0.06825409759771389,1.0,0
132,133,146,2020-06-13,0.1561306597567681,0.027188471411853817,1.0,0
133,134,147,2020-06-14,0.17514804893077826,0.01275664715094664,1.0,0
134,135,148,2020-06-15,0.18559385313449792,0.008088931741961231,1.0,0
135,136,149,2020-06-16,0.18622783471344592,0.007865205123204173,1.0,0
136,137,150,2020-06-17,0.17515270285751955,0.012381647745259648,1.0,0
137,138,151,2020-06-18,0.1492056573249626,0.03037383636974419,1.0,0
138,139,152,2020-06-19,0.10152168158740613,0.108864301062964,1.0,0
139,140,153,2020-06-20,0.0,1.0,1.0,0
140,141,154,2020-06-21,0.0,1.0,1.0,0
141,142,155,2020-06-22,0.0,1.0,1.0,0
142,143,156,2020-06-23,0.0,1.0,1.0,0
143,144,157,2020-06-24,0.0,1.0,1.0,0
144,145,158,2020-06-25,0.0,1.0,1.0,0
145,146,159,2020-06-26,0.0,1.0,1.0,0
146,147,160,2020-06-27,0.0,1.0,1.0,0
147,148,161,2020-06-28,0.0,1.0,1.0,0
148,149,162,2020-06-29,0.0,1.0,1.0,0
149,150,163,2020-06-30,0.0,1.0,1.0,0
150,151,164,2020-07-01,0.0,1.0,1.0,0
151,152,165,2020-07-02,0.0,1.0,1.0,0
152,153,166,2020-07-03,0.0,1.0,1.0,0
153,154,167,2020-07-04,0.0,1.0,1.0,0
154,155,168,2020-07-05,0.0,1.0,1.0,0
155,156,169,2020-07-06,0.0,1.0,1.0,0
156,157,170,2020-07-07,0.0,1.0,1.0,0
157,158,171,2020-07-08,0.0,1.0,1.0,0
158,159,172,2020-07-09,0.0,1.0,1.0,0
159,160,173,2020-07-10,0.0,1.0,1.0,0
160,161,174,2020-07-11,0.0,1.0,1.0,0
161,162,175,2020-07-12,0.0,1.0,1.0,0
162,163,176,2020-07-13,0.0,1.0,1.0,0
163,164,177,2020-07-14,0.0,1.0,1.0,0
164,165,178,2020-07-15,0.0,1.0,1.0,0
165,166,179,2020-07-16,0.0,1.0,1.0,0
166,167,180,2020-07-17,0.0,1.0,1.0,0
167,168,181,2020-07-18,0.0,1.0,1.0,0
168,169,182,2020-07-19,0.0,1.0,1.0,0
169,170,183,2020-07-20,0.0,1.0,1.0,0
170,171,184,2020-07-21,0.0,1.0,1.0,0
171,172,185,2020-07-22,0.0,1.0,1.0,0
172,173,186,2020-07-23,0.0,1.0,1.0,0
173,174,187,2020-07-24,0.0,1.0,1.0,0
174,175,188,2020-07-25,0.0,1.0,1.0,0
175,176,189,2020-07-26,0.0,1.0,1.0,0
176,177,190,2020-07-27,0.0,1.0,1.0,0
177,178,191,2020-07-28,0.0,1.0,1.0,0
178,179,192,2020-07-29,-0.23526810456180594,0.10886430106296381,1.0,0
179,180,193,2020-07-30,-0.3171020008659076,0.0388808274959177,1.0,0
180,181,194,2020-07-31,-0.3623486015054151,0.019344997386982248,1.0,0
181,182,195,2020-08-01,-0.38209989457823096,0.013688394601557092,1.0,0
182,183,196,2020-08-02,-0.38137028857506095,0.013874073884634802,1.0,0
183,184,197,2020-08-03,-0.3630510454769377,0.019356373755398892,1.0,0
184,185,198,2020-08-04,-0.32898341258190883,0.034385838900905,1.0,0
185,186,199,2020-08-05,-0.2804373558501832,0.07098345990900944,1.0,0
186,187,200,2020-08-06,-0.21835843993986945,0.15638277967232142,1.0,0
187,188,201,2020-08-07,-0.1434998856489553,0.342135139440223,1.0,0
188,189,202,2020-08-08,-0.05647902478780242,0.6978746540863208,1.0,0
189,190,203,2020-08-09,0.04218752419235064,0.7568044512907957,1.0,0
190,191,204,2020-08-10,0.15205698931477363,0.2098525939221375,1.0,0
191,192,205,2020-08-11,0.27274217738632034,0.004031816621751719,1.0,0
192,193,206,2020-08-12,0.1324351764812813,4.708918023877474e-06,0.002038961504338946,1
193,194,207,2020-08-13,0.1013682604208312,2.628957887345021e-07,0.00011856600071926044,1
194,195,208,2020-08-14,0.08328144169540837,2.5213587196755626e-08,1.1799958808081633e-05,1
195,196,209,2020-08-15,0.07122023033982008,3.513233568108656e-09,1.7179712148051329e-06,1
196,197,210,2020-08-16,0.06252542377363939,7.044435377897219e-10,3.550395430460198e-07,1
197,198,211,2020-08-17,0.05586038833250019,1.9359410177736121e-10,1.0047533882245048e-07,1
198,199,212,2020-08-18,0.050498525629372584,6.940548237355399e-11,3.6646094693236506e-08,1
199,200,213,2020-08-19,0.046022935290536644,3.210476290099844e-11,1.733657196653916e-08,1
200,201,214,2020-08-20,0.04217465225936794,1.9555895799620144e-11,1.0716630898191839e-08,1
201,202,215,2020-08-21,0.0387727024629816,1.5720492234718022e-11,8.693432205799066e-09,1
202,203,216,2020-08-22,0.035690376272275656,1.6277009492415814e-11,8.98490923981353e-09,1
203,204,217,2020-08-23,0.03284551606987329,2.061004518739877e-11,1.123247462713233e-08,1
204,205,218,2020-08-24,0.030192893035736353,2.930061256152795e-11,1.585163139578662e-08,1
205,206,219,2020-08-25,0.0277183328153423,4.1684000396302465e-11,2.234262421241812e-08,1
206,207,220,2020-08-26,0.025427108526869437,5.2651046528520206e-11,2.806300779970127e-08,1
207,208,221,2020-08-27,0.023332694805896344,5.306333001731901e-11,2.8229691569213714e-08,1
208,209,222,2020-08-28,0.02145035402358782,3.879496136544312e-11,2.0871689214608397e-08,1
209,210,223,2020-08-29,0.019793247090539538,1.883663886324505e-11,1.0360151374784779e-08,1
210,211,224,2020-08-30,0.018368871148245397,5.583748121707283e-12,3.1268989481560785e-09,1
211,212,225,2020-08-31,0.017176977403672567,9.342303280870644e-13,5.50261663243281e-10,1
212,213,226,2020-09-01,0.016209153736105073,8.288044449518527e-14,5.1137234253529317e-11,1
213,214,227,2020-09-02,0.015448796572590424,3.858675410486177e-15,2.608464577488656e-12,1
214,215,228,2020-09-03,0.014871404345016827,1.0752910198037989e-16,7.774354073181466e-14,1
