,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.02817730259979635,6.205655803878934e-17,4.983141610514784e-14,1
1,2,15,2020-02-03,0.02739942844565827,4.4295338074050206e-17,3.5657747149610416e-14,1
2,3,16,2020-02-04,0.026663640475359386,3.1915489923915143e-17,2.5723884878675604e-14,1
3,4,17,2020-02-05,0.025378027945431456,2.064668789633185e-14,1.6042476495449846e-11,1
4,5,18,2020-02-06,0.022542015903131235,3.309119795308539e-09,2.2800557884734644e-06,1
5,6,19,2020-02-07,0.019307665963410183,5.618472870977448e-07,0.0003505927071489928,1
6,7,20,2020-02-08,0.015993908288439357,1.5296510889336743e-05,0.009009644913819342,1
7,8,21,2020-02-09,0.012708227779071716,0.00019490554815709626,0.10583371264930327,0
8,9,22,2020-02-10,0.00954620136920839,0.0016553560992035744,0.7862941471216979,0
9,10,23,2020-02-11,0.006601317101578502,0.011025731488004821,1.0,0
10,11,24,2020-02-12,0.003965051865585152,0.062442288237410534,1.0,0
11,12,25,2020-02-13,0.0017269456819911707,0.2996502349594802,1.0,0
12,13,26,2020-02-14,-2.532737624285923e-05,0.983992441897496,1.0,0
13,14,27,2020-02-15,-0.001205891516934485,0.22557491661587653,1.0,0
14,15,28,2020-02-16,-0.001730604692245093,0.05713330200251288,1.0,0
15,16,29,2020-02-17,-0.0015169970619742957,0.097474881520721,1.0,0
16,17,30,2020-02-18,-0.00048421232215596985,0.5104106925271731,1.0,0
17,18,31,2020-02-19,0.0007679367727675528,2.665718860224342e-05,0.015487826577903428,1
18,19,32,2020-02-20,0.0009711692013695374,8.876248278794136e-23,7.305152333447574e-20,1
19,20,33,2020-02-21,0.0009786499480325679,1.8696149642584598e-34,1.6022600243695e-31,1
20,21,34,2020-02-22,0.000977693119846405,1.8477973172139905e-34,1.5854100981696037e-31,1
21,22,35,2020-02-23,0.0009767381608360474,1.8262552205096315e-34,1.5687532344177735e-31,1
22,23,36,2020-02-24,0.0009757850655295943,1.8049849317407803e-34,1.552287041297071e-31,1
23,24,37,2020-02-25,0.0009748338284764545,1.783982763280398e-34,1.5360091591844227e-31,1
24,25,38,2020-02-26,0.0009738844442473162,1.7632450791029234e-34,1.51991725818672e-31,1
25,26,39,2020-02-27,0.0009729369074340321,1.7427682894572566e-34,1.5040090338016126e-31,1
26,27,40,2020-02-28,0.0009719912126493879,1.7225488685896966e-34,1.4882822224614979e-31,1
27,28,41,2020-02-29,0.0009710473545271332,1.7025833353293117e-34,1.4727345850598545e-31,1
28,29,42,2020-03-01,0.0010521477952997941,3.819401953450826e-11,2.788163426019103e-08,1
29,30,43,2020-03-02,0.0010935664171871032,4.3974573971279554e-11,3.192554070314896e-08,1
30,31,44,2020-03-03,0.001099024688756051,3.643967894968504e-11,2.6637405312219765e-08,1
31,32,45,2020-03-04,0.0010727803773199662,1.513531364388143e-10,1.0882290509950748e-07,1
32,33,46,2020-03-05,0.0010190871301237335,2.388634012723369e-09,1.6601006388427414e-06,1
33,34,47,2020-03-06,0.0009421944823093268,4.933044707952702e-08,3.2360773284169725e-05,1
34,35,48,2020-03-07,0.0008463478648583234,8.11110979798653e-07,0.0005028888074751649,1
35,36,49,2020-03-08,0.00073578861251138,9.700789525274414e-06,0.005752568188487728,1
