,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0007900359305461507,9.790004386110774e-06,0.0015859807105499453,-1
1,2,15,2020-02-03,-0.0010102755070101723,1.925963449959902e-06,0.000373636909292221,-1
2,3,16,2020-02-04,-0.0012591665613886107,2.3867821093199113e-07,5.585070135808592e-05,-1
3,4,17,2020-02-05,-0.0014975483751220905,5.2845639574224986e-08,1.3845557568446946e-05,-1
4,5,18,2020-02-06,-0.0017198118056752872,1.2813982077893223e-08,3.831380641290074e-06,-1
5,6,19,2020-02-07,-0.0019190063255491374,2.2262497328760963e-09,7.546986594449967e-07,-1
6,7,20,2020-02-08,-0.002086137385051348,2.027968972864222e-10,8.030757132542319e-08,-1
7,8,21,2020-02-09,-0.0022107148605570405,7.952111782428244e-12,3.7447822459801825e-09,-1
8,9,22,2020-02-10,-0.0022796669972541153,2.6880361154442483e-13,1.4999241524178905e-10,-1
9,10,23,2020-02-11,-0.0022790580898978782,2.8058504865997027e-13,1.5628587210360345e-10,-1
10,11,24,2020-02-12,-0.002200486003543357,1.73243286738303e-11,7.847920889245125e-09,-1
11,12,25,2020-02-13,-0.002046974346911133,1.299895076506079e-09,4.5496327677712765e-07,-1
12,13,26,2020-02-14,-0.0018316805042686466,4.158842087054077e-08,1.1187285214175467e-05,-1
13,14,27,2020-02-15,-0.0015721897370412794,6.712096038904471e-07,0.00014162522642088433,-1
14,15,28,2020-02-16,-0.0012869772787306695,7.127950686038128e-06,0.0012104062590443823,-1
15,16,29,2020-02-17,-0.0009961871341846325,5.782388026904068e-05,0.00757492831524433,-1
16,17,30,2020-02-18,-0.0007211519667515508,0.0003934925003471477,0.042492918409222126,-1
17,18,31,2020-02-19,-0.0004780421855192423,0.0025105699052136825,0.2159090118483767,0
18,19,32,2020-02-20,-0.00027448170569474616,0.017739649980097236,1.0,0
19,20,33,2020-02-21,-0.00011000585905403543,0.1658733694343116,1.0,0
20,21,34,2020-02-22,2.2321866434320983e-05,0.6778749157330788,1.0,0
21,22,35,2020-02-23,0.00013455095204827872,0.004473947626248662,0.34896791484739564,0
22,23,36,2020-02-24,0.00024046681716955422,6.915588418524848e-05,0.008782797291526557,1
23,24,37,2020-02-25,0.00035584297727274123,3.974050362995524e-05,0.005424965365917521,1
24,25,38,2020-02-26,0.0004967600656003138,4.354309757623649e-05,0.005791231977639454,1
25,26,39,2020-02-27,0.0006776563836304948,3.9369440822674007e-05,0.005424965365917521,1
26,27,40,2020-02-28,0.0009110599217084462,2.9746322212157362e-05,0.0042834703985506605,1
27,28,41,2020-02-29,0.0012118672142685811,1.9787680715489133e-05,0.0029681521073233698,1
28,29,42,2020-03-01,0.0015956028656503873,1.1422489671944074e-05,0.0017819083888232755,1
29,30,43,2020-03-02,0.0020733123374762456,5.8541821020770125e-06,0.0010010651394551692,1
30,31,44,2020-03-03,0.0026460444542509925,2.7191489903846575e-06,0.0005057617122115463,1
31,32,45,2020-03-04,0.003306261905137305,1.1434445701344034e-06,0.00022754546945674627,1
32,33,46,2020-03-05,0.004039582410875839,4.2657403757129304e-07,9.387869112559397e-05,1
33,34,47,2020-03-06,0.004820590200716398,1.3364738493690388e-07,3.2926621696119135e-05,1
34,35,48,2020-03-07,0.00561244517545854,3.212934189370156e-08,8.964086388342735e-06,1
35,36,49,2020-03-08,0.006367813421683328,5.0944197149086325e-09,1.6607808270602142e-06,1
36,37,50,2020-03-09,0.007030618388144701,4.356026436522363e-10,1.633509913695886e-07,1
37,38,51,2020-03-10,0.007537915320021547,1.6359730744860155e-11,7.44367748891137e-09,1
38,39,52,2020-03-11,0.007822838599411708,4.262794719466454e-13,2.3317487115481503e-10,1
39,40,53,2020-03-12,0.007823166062800696,4.234433342012649e-13,2.3204694714229315e-10,1
40,41,54,2020-03-13,0.007493721391595479,7.27326190075725e-11,3.054769998318045e-08,1
41,42,55,2020-03-14,0.006815400145847956,1.8813950151319147e-08,5.531301344487829e-06,1
42,43,56,2020-03-15,0.005796705477542767,2.443389930046655e-06,0.00046180069677881775,1
43,44,57,2020-03-16,0.004475908974710789,0.00019193994352288557,0.0226489133357005,1
