,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.12737383704037655,0.035249524916790356,1.0,0
1,2,15,2020-02-03,-0.13173521570911562,0.029293527616166434,1.0,0
2,3,16,2020-02-04,-0.11851616235596492,0.0527711358440928,1.0,0
3,4,17,2020-02-05,-0.09923007014133503,0.11091699858128239,1.0,0
4,5,18,2020-02-06,-0.078706609318711,0.21153291380759473,1.0,0
5,6,19,2020-02-07,-0.05751824759010557,0.36403360810496044,1.0,0
6,7,20,2020-02-08,-0.03558791030755687,0.5742585955098479,1.0,0
7,8,21,2020-02-09,-0.012835897927193935,0.8383286023828924,1.0,0
8,9,22,2020-02-10,0.01082039063915745,0.8614733439707468,1.0,0
9,10,23,2020-02-11,0.03546652490401392,0.5581069625358266,1.0,0
10,11,24,2020-02-12,0.06119102876021572,0.29503134553368376,1.0,0
11,12,25,2020-02-13,0.08808534667166737,0.11202402504147581,1.0,0
12,13,26,2020-02-14,0.1162438167070431,0.023015472998524352,1.0,0
13,14,27,2020-02-15,0.040196814563722115,0.1155645732858873,1.0,0
14,15,28,2020-02-16,-0.000541370554201871,0.9611595403232189,1.0,0
15,16,29,2020-02-17,-0.01989843134766801,5.099441012349908e-05,0.020652736100017128,-1
16,17,30,2020-02-18,-0.025955614166122788,6.252835965959222e-14,4.1456302454309644e-11,-1
17,18,31,2020-02-19,-0.027394690628832426,3.2558734914469705e-16,2.4484168655681216e-13,-1
18,19,32,2020-02-20,-0.028306159519796963,3.456984501357445e-16,2.5927383760180835e-13,-1
19,20,33,2020-02-21,-0.02925489890987665,3.8201835938419343e-16,2.8613175117876086e-13,-1
20,21,34,2020-02-22,-0.030245922833278444,4.403434697287866e-16,3.2805588494794603e-13,-1
21,22,35,2020-02-23,-0.03128522206471309,5.293437278548827e-16,3.917143586126132e-13,-1
22,23,36,2020-02-24,-0.032379690262222975,6.634670901414876e-16,4.883117783441349e-13,-1
23,24,37,2020-02-25,-0.03353725488762409,8.675067115250361e-16,6.341474061248014e-13,-1
24,25,38,2020-02-26,-0.03476715477968299,1.1851311149915998e-15,8.580349272539183e-13,-1
25,26,39,2020-02-27,-0.036080328798173585,1.6957099539527263e-15,1.209041197168294e-12,-1
