,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0012353587340136112,0.09295062161183544,1.0,0
1,2,15,2020-02-03,0.00030519274556408923,0.6622517361681795,1.0,0
2,3,16,2020-02-04,-0.0007159817910606359,0.23760224784735945,1.0,0
3,4,17,2020-02-05,-0.0015126385081570353,0.00490562108067207,0.30414850700166834,0
4,5,18,2020-02-06,-0.0020217152500644608,2.4082325840098573e-05,0.0026731381682509416,-1
5,6,19,2020-02-07,-0.0022086129019567866,6.9019984061323e-07,0.00010629077545443741,-1
6,7,20,2020-02-08,-0.002067661427425615,1.0277333074954284e-05,0.001264111968219377,-1
7,8,21,2020-02-09,-0.0016205839887488873,0.0013792312905686636,0.09378772775866913,0
8,9,22,2020-02-10,-0.0009109431417305859,0.09003444756435897,1.0,0
9,10,23,2020-02-11,3.7243201872266145e-06,0.9949150237096701,1.0,0
10,11,24,2020-02-12,0.001054293456928498,0.11410727516709877,1.0,0
11,12,25,2020-02-13,0.0021637006364905505,0.0049287797643332056,0.30414850700166834,0
12,13,26,2020-02-14,0.0032517214712511427,0.00016578290830102178,0.015252027563694004,1
13,14,27,2020-02-15,0.00424129552464552,4.914616567007252e-06,0.0006389001537109428,1
14,15,28,2020-02-16,0.00506207399534471,1.057335289187742e-07,1.9666436378892e-05,1
15,16,29,2020-02-17,0.005649775841315014,1.3212973395163226e-09,3.527863896508581e-07,1
16,17,30,2020-02-18,0.0059501339950114186,2.059654551305697e-11,7.991459659066105e-09,1
17,18,31,2020-02-19,0.005927503059009533,3.216189667414311e-11,1.1835577976084665e-08,1
18,19,32,2020-02-20,0.005566790657627277,4.808888706426687e-09,1.1637510669552583e-06,1
19,20,33,2020-02-21,0.004872278108763088,8.902891981174659e-07,0.00013176280132138496,1
20,21,34,2020-02-22,0.0038682621931539936,9.694538513693321e-05,0.009694538513693321,1
21,22,35,2020-02-23,0.0026039419133240824,0.006663681247221468,0.38649351233884516,0
22,23,36,2020-02-24,0.0011538278556753642,0.21018992666312608,1.0,0
23,24,37,2020-02-25,-0.0003836639803449382,0.6757074803925558,1.0,0
